'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.04, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.3733333, 'head_vector_x':0.3432278, 'head_vector_y':-0.1984082, 'head_vector_z':0.9180571
'global_time':0.4167826, 'head_vector_x':0.1342857, 'head_vector_y':-0.4678787, 'head_vector_z':0.8735313
'global_time':0.4305592, 'head_vector_x':0.1078971, 'head_vector_y':-0.4693528, 'head_vector_z':0.8763939
'global_time':0.4421725, 'head_vector_x':0.09947073, 'head_vector_y':-0.4694574, 'head_vector_z':0.8773342
'global_time':0.4568405, 'head_vector_x':0.09106342, 'head_vector_y':-0.4696504, 'head_vector_z':0.8781434
'global_time':0.4691921, 'head_vector_x':0.083161, 'head_vector_y':-0.4695967, 'head_vector_z':0.8789558
'global_time':0.4800675, 'head_vector_x':0.07544089, 'head_vector_y':-0.4695908, 'head_vector_z':0.8796551
'global_time':0.4906084, 'head_vector_x':0.06804954, 'head_vector_y':-0.4694584, 'head_vector_z':0.8803284
'global_time':0.5016429, 'head_vector_x':0.06071587, 'head_vector_y':-0.4695699, 'head_vector_z':0.8808051
'global_time':0.5102794, 'head_vector_x':0.05383685, 'head_vector_y':-0.4693073, 'head_vector_z':0.8813922
'global_time':0.5214179, 'head_vector_x':0.04715494, 'head_vector_y':-0.4689925, 'head_vector_z':0.8819425
'global_time':0.5318573, 'head_vector_x':0.04079827, 'head_vector_y':-0.4683063, 'head_vector_z':0.8826238
'global_time':0.5435681, 'head_vector_x':0.0348059, 'head_vector_y':-0.4674717, 'head_vector_z':0.8833226
'global_time':0.5542842, 'head_vector_x':0.02896104, 'head_vector_y':-0.4666603, 'head_vector_z':0.8839624
'global_time':0.5655819, 'head_vector_x':0.02399871, 'head_vector_y':-0.4656462, 'head_vector_z':0.8846455
'global_time':0.5761982, 'head_vector_x':0.01913378, 'head_vector_y':-0.4642564, 'head_vector_z':0.8854941
'global_time':0.5871254, 'head_vector_x':0.01440293, 'head_vector_y':-0.4629099, 'head_vector_z':0.8862883
'global_time':0.5974312, 'head_vector_x':0.0104257, 'head_vector_y':-0.4618091, 'head_vector_z':0.8869181
'global_time':0.6085043, 'head_vector_x':0.006708033, 'head_vector_y':-0.4603276, 'head_vector_z':0.8877238
'global_time':0.6224103, 'head_vector_x':0.003377682, 'head_vector_y':-0.4588023, 'head_vector_z':0.8885319
'global_time':0.634117, 'head_vector_x':0.0006326139, 'head_vector_y':-0.4568786, 'head_vector_z':0.8895289
'global_time':0.6443889, 'head_vector_x':-0.002246642, 'head_vector_y':-0.4544934, 'head_vector_z':0.8907472
'global_time':0.6555859, 'head_vector_x':-0.004648861, 'head_vector_y':-0.4516051, 'head_vector_z':0.8922058
'global_time':0.6672238, 'head_vector_x':-0.007080318, 'head_vector_y':-0.4486697, 'head_vector_z':0.8936696
'global_time':0.6788959, 'head_vector_x':-0.008990783, 'head_vector_y':-0.4455269, 'head_vector_z':0.8952234
'global_time':0.6916241, 'head_vector_x':-0.01136118, 'head_vector_y':-0.4423583, 'head_vector_z':0.8967664
'global_time':0.7048074, 'head_vector_x':-0.01360057, 'head_vector_y':-0.4390535, 'head_vector_z':0.898358
'global_time':0.7167616, 'head_vector_x':-0.01605217, 'head_vector_y':-0.4356844, 'head_vector_z':0.8999563
'global_time':0.7285445, 'head_vector_x':-0.02072335, 'head_vector_y':-0.4287755, 'head_vector_z':0.9031734
'global_time':0.7390525, 'head_vector_x':-0.02316901, 'head_vector_y':-0.4259196, 'head_vector_z':0.9044643
'global_time':0.7513528, 'head_vector_x':-0.02569425, 'head_vector_y':-0.4231388, 'head_vector_z':0.9057005
'global_time':0.7646679, 'head_vector_x':-0.02817208, 'head_vector_y':-0.4204843, 'head_vector_z':0.9068623
'global_time':0.7762723, 'head_vector_x':-0.0307192, 'head_vector_y':-0.4178726, 'head_vector_z':0.9079862
'global_time':0.7865635, 'head_vector_x':-0.03348129, 'head_vector_y':-0.4153659, 'head_vector_z':0.909038
'global_time':0.8006686, 'head_vector_x':-0.0363273, 'head_vector_y':-0.41297, 'head_vector_z':0.9100199
'global_time':0.8128972, 'head_vector_x':-0.03916404, 'head_vector_y':-0.4109297, 'head_vector_z':0.9108254
'global_time':0.82722, 'head_vector_x':-0.04215603, 'head_vector_y':-0.4091121, 'head_vector_z':0.9115098
'global_time':0.8387323, 'head_vector_x':-0.04504444, 'head_vector_y':-0.4075032, 'head_vector_z':0.9120922
'global_time':0.8489823, 'head_vector_x':-0.04797459, 'head_vector_y':-0.4058004, 'head_vector_z':0.9127018
'global_time':0.8595965, 'head_vector_x':-0.05077531, 'head_vector_y':-0.4038184, 'head_vector_z':0.913429
