'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':0.04, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':0.3733333, 'gaze_vector_x':0.05544811, 'gaze_vector_y':0.2199477, 'gaze_vector_z':0.9739345
'gaze_vector':0.4244842, 'gaze_vector_x':0.05838204, 'gaze_vector_y':0.2294253, 'gaze_vector_z':0.9715738
'gaze_vector':0.4393758, 'gaze_vector_x':0.0549871, 'gaze_vector_y':0.2252437, 'gaze_vector_z':0.9727495
'gaze_vector':0.4536131, 'gaze_vector_x':0.05413994, 'gaze_vector_y':0.224107, 'gaze_vector_z':0.9730596
'gaze_vector':0.4658499, 'gaze_vector_x':0.05384765, 'gaze_vector_y':0.2248341, 'gaze_vector_z':0.972908
'gaze_vector':0.4795213, 'gaze_vector_x':0.05318588, 'gaze_vector_y':0.2263908, 'gaze_vector_z':0.9725834
'gaze_vector':0.4897991, 'gaze_vector_x':0.05234631, 'gaze_vector_y':0.2278248, 'gaze_vector_z':0.972294
'gaze_vector':0.5014572, 'gaze_vector_x':0.05173542, 'gaze_vector_y':0.2279756, 'gaze_vector_z':0.9722914
'gaze_vector':0.5136469, 'gaze_vector_x':0.05090744, 'gaze_vector_y':0.2285144, 'gaze_vector_z':0.9722086
'gaze_vector':0.525494, 'gaze_vector_x':0.04986548, 'gaze_vector_y':0.2298985, 'gaze_vector_z':0.9719363
'gaze_vector':0.5368997, 'gaze_vector_x':0.04817185, 'gaze_vector_y':0.2323387, 'gaze_vector_z':0.9714413
'gaze_vector':0.5491671, 'gaze_vector_x':0.04602268, 'gaze_vector_y':0.2345024, 'gaze_vector_z':0.9710255
'gaze_vector':0.5616166, 'gaze_vector_x':0.04324278, 'gaze_vector_y':0.2355793, 'gaze_vector_z':0.9708926
'gaze_vector':0.572049, 'gaze_vector_x':0.03955715, 'gaze_vector_y':0.2355558, 'gaze_vector_z':0.9710554
'gaze_vector':0.5838473, 'gaze_vector_x':0.03636357, 'gaze_vector_y':0.2334137, 'gaze_vector_z':0.9716973
'gaze_vector':0.5958697, 'gaze_vector_x':0.03345124, 'gaze_vector_y':0.2292432, 'gaze_vector_z':0.9727942
'gaze_vector':0.6084904, 'gaze_vector_x':0.02743484, 'gaze_vector_y':0.2238813, 'gaze_vector_z':0.9742302
'gaze_vector':0.6200836, 'gaze_vector_x':0.02453365, 'gaze_vector_y':0.2231437, 'gaze_vector_z':0.9744768
'gaze_vector':0.6355705, 'gaze_vector_x':0.02214613, 'gaze_vector_y':0.2222934, 'gaze_vector_z':0.9747283
'gaze_vector':0.6457839, 'gaze_vector_x':0.02009882, 'gaze_vector_y':0.2212818, 'gaze_vector_z':0.9750028
'gaze_vector':0.6575955, 'gaze_vector_x':0.01830461, 'gaze_vector_y':0.2202004, 'gaze_vector_z':0.9752829
'gaze_vector':0.6700622, 'gaze_vector_x':0.01686364, 'gaze_vector_y':0.2184507, 'gaze_vector_z':0.9757023
'gaze_vector':0.6806002, 'gaze_vector_x':0.01583106, 'gaze_vector_y':0.2166499, 'gaze_vector_z':0.976121
'gaze_vector':0.6918972, 'gaze_vector_x':0.01549637, 'gaze_vector_y':0.2153417, 'gaze_vector_z':0.9764158
'gaze_vector':0.7047985, 'gaze_vector_x':0.01554491, 'gaze_vector_y':0.2130288, 'gaze_vector_z':0.9769223
'gaze_vector':0.7178872, 'gaze_vector_x':0.01524046, 'gaze_vector_y':0.2098142, 'gaze_vector_z':0.9776225
'gaze_vector':0.7292145, 'gaze_vector_x':0.01511168, 'gaze_vector_y':0.2055538, 'gaze_vector_z':0.9785292
