'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':0.04, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':0.3733333, 'head_position_x':-0.0793319, 'head_position_y':1.637469, 'head_position_z':-0.08389308
'global_time':0.4244842, 'head_position_x':-0.04154162, 'head_position_y':1.637927, 'head_position_z':-0.0882517
'global_time':0.4393758, 'head_position_x':-0.03235298, 'head_position_y':1.637108, 'head_position_z':-0.08714648
'global_time':0.4536131, 'head_position_x':-0.02750486, 'head_position_y':1.636349, 'head_position_z':-0.08704642
'global_time':0.4658499, 'head_position_x':-0.02491048, 'head_position_y':1.636205, 'head_position_z':-0.08692844
'global_time':0.4795213, 'head_position_x':-0.02231257, 'head_position_y':1.636218, 'head_position_z':-0.08677426
'global_time':0.4897991, 'head_position_x':-0.01967003, 'head_position_y':1.636051, 'head_position_z':-0.08656244
'global_time':0.5014572, 'head_position_x':-0.01677242, 'head_position_y':1.635741, 'head_position_z':-0.08638439
'global_time':0.5136469, 'head_position_x':-0.01393182, 'head_position_y':1.635489, 'head_position_z':-0.08612911
'global_time':0.525494, 'head_position_x':-0.01108784, 'head_position_y':1.635537, 'head_position_z':-0.08572866
'global_time':0.5368997, 'head_position_x':-0.008193554, 'head_position_y':1.635997, 'head_position_z':-0.08508422
'global_time':0.5491671, 'head_position_x':-0.005189902, 'head_position_y':1.637042, 'head_position_z':-0.08433785
'global_time':0.5616166, 'head_position_x':-0.002323949, 'head_position_y':1.637922, 'head_position_z':-0.08369158
'global_time':0.572049, 'head_position_x':0.0006177868, 'head_position_y':1.638349, 'head_position_z':-0.08313287
'global_time':0.5838473, 'head_position_x':0.003633651, 'head_position_y':1.638257, 'head_position_z':-0.08268487
'global_time':0.5958697, 'head_position_x':0.006643974, 'head_position_y':1.637905, 'head_position_z':-0.08233625
'global_time':0.6084904, 'head_position_x':0.01247539, 'head_position_y':1.637985, 'head_position_z':-0.08129288
'global_time':0.6200836, 'head_position_x':0.01533464, 'head_position_y':1.638323, 'head_position_z':-0.08056797
'global_time':0.6355705, 'head_position_x':0.01802907, 'head_position_y':1.638571, 'head_position_z':-0.07981858
'global_time':0.6457839, 'head_position_x':0.02063172, 'head_position_y':1.638736, 'head_position_z':-0.07874825
'global_time':0.6575955, 'head_position_x':0.02333875, 'head_position_y':1.6388, 'head_position_z':-0.07764586
'global_time':0.6700622, 'head_position_x':0.02613457, 'head_position_y':1.638825, 'head_position_z':-0.07680864
'global_time':0.6806002, 'head_position_x':0.02895364, 'head_position_y':1.63893, 'head_position_z':-0.07600656
'global_time':0.6918972, 'head_position_x':0.03169055, 'head_position_y':1.63913, 'head_position_z':-0.07508562
'global_time':0.7047985, 'head_position_x':0.03447555, 'head_position_y':1.639188, 'head_position_z':-0.07452689
'global_time':0.7178872, 'head_position_x':0.03717574, 'head_position_y':1.639176, 'head_position_z':-0.07373744
'global_time':0.7292145, 'head_position_x':0.03983333, 'head_position_y':1.63904, 'head_position_z':-0.07286779
'global_time':0.7417628, 'head_position_x':0.04518815, 'head_position_y':1.638379, 'head_position_z':-0.07100977
'global_time':0.7546223, 'head_position_x':0.0477972, 'head_position_y':1.637925, 'head_position_z':-0.0701956
'global_time':0.7667562, 'head_position_x':0.05024717, 'head_position_y':1.637387, 'head_position_z':-0.06933536
'global_time':0.7804232, 'head_position_x':0.05258101, 'head_position_y':1.636799, 'head_position_z':-0.06853778
'global_time':0.7917728, 'head_position_x':0.05472609, 'head_position_y':1.636136, 'head_position_z':-0.06770582
'global_time':0.8046128, 'head_position_x':0.05671236, 'head_position_y':1.635396, 'head_position_z':-0.06717613
'global_time':0.817552, 'head_position_x':0.05835791, 'head_position_y':1.634707, 'head_position_z':-0.06642333
'global_time':0.8299894, 'head_position_x':0.06000489, 'head_position_y':1.633948, 'head_position_z':-0.06569079
'global_time':0.84166, 'head_position_x':0.06256598, 'head_position_y':1.632367, 'head_position_z':-0.06447928
