'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.04, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.3733333, 'head_vector_x':0.05544811, 'head_vector_y':0.2199477, 'head_vector_z':0.9739345
'global_time':0.4244842, 'head_vector_x':0.05838204, 'head_vector_y':0.2294253, 'head_vector_z':0.9715738
'global_time':0.4393758, 'head_vector_x':0.0549871, 'head_vector_y':0.2252437, 'head_vector_z':0.9727495
'global_time':0.4536131, 'head_vector_x':0.05413994, 'head_vector_y':0.224107, 'head_vector_z':0.9730596
'global_time':0.4658499, 'head_vector_x':0.05384765, 'head_vector_y':0.2248341, 'head_vector_z':0.972908
'global_time':0.4795213, 'head_vector_x':0.05318588, 'head_vector_y':0.2263908, 'head_vector_z':0.9725834
'global_time':0.4897991, 'head_vector_x':0.05234631, 'head_vector_y':0.2278248, 'head_vector_z':0.972294
'global_time':0.5014572, 'head_vector_x':0.05173542, 'head_vector_y':0.2279756, 'head_vector_z':0.9722914
'global_time':0.5136469, 'head_vector_x':0.05090744, 'head_vector_y':0.2285144, 'head_vector_z':0.9722086
'global_time':0.525494, 'head_vector_x':0.04986548, 'head_vector_y':0.2298985, 'head_vector_z':0.9719363
'global_time':0.5368997, 'head_vector_x':0.04817185, 'head_vector_y':0.2323387, 'head_vector_z':0.9714413
'global_time':0.5491671, 'head_vector_x':0.04602268, 'head_vector_y':0.2345024, 'head_vector_z':0.9710255
'global_time':0.5616166, 'head_vector_x':0.04324278, 'head_vector_y':0.2355793, 'head_vector_z':0.9708926
'global_time':0.572049, 'head_vector_x':0.03955715, 'head_vector_y':0.2355558, 'head_vector_z':0.9710554
'global_time':0.5838473, 'head_vector_x':0.03636357, 'head_vector_y':0.2334137, 'head_vector_z':0.9716973
'global_time':0.5958697, 'head_vector_x':0.03345124, 'head_vector_y':0.2292432, 'head_vector_z':0.9727942
'global_time':0.6084904, 'head_vector_x':0.02743484, 'head_vector_y':0.2238813, 'head_vector_z':0.9742302
'global_time':0.6200836, 'head_vector_x':0.02453365, 'head_vector_y':0.2231437, 'head_vector_z':0.9744768
'global_time':0.6355705, 'head_vector_x':0.02214613, 'head_vector_y':0.2222934, 'head_vector_z':0.9747283
'global_time':0.6457839, 'head_vector_x':0.02009882, 'head_vector_y':0.2212818, 'head_vector_z':0.9750028
'global_time':0.6575955, 'head_vector_x':0.01830461, 'head_vector_y':0.2202004, 'head_vector_z':0.9752829
'global_time':0.6700622, 'head_vector_x':0.01686364, 'head_vector_y':0.2184507, 'head_vector_z':0.9757023
'global_time':0.6806002, 'head_vector_x':0.01583106, 'head_vector_y':0.2166499, 'head_vector_z':0.976121
'global_time':0.6918972, 'head_vector_x':0.01549637, 'head_vector_y':0.2153417, 'head_vector_z':0.9764158
'global_time':0.7047985, 'head_vector_x':0.01554491, 'head_vector_y':0.2130288, 'head_vector_z':0.9769223
'global_time':0.7178872, 'head_vector_x':0.01524046, 'head_vector_y':0.2098142, 'head_vector_z':0.9776225
'global_time':0.7292145, 'head_vector_x':0.01511168, 'head_vector_y':0.2055538, 'head_vector_z':0.9785292
'global_time':0.7417628, 'head_vector_x':0.01427969, 'head_vector_y':0.1957606, 'head_vector_z':0.9805477
'global_time':0.7546223, 'head_vector_x':0.0132055, 'head_vector_y':0.1903252, 'head_vector_z':0.9816323
'global_time':0.7667562, 'head_vector_x':0.01195974, 'head_vector_y':0.1841956, 'head_vector_z':0.9828168
'global_time':0.7804232, 'head_vector_x':0.01024086, 'head_vector_y':0.1770238, 'head_vector_z':0.9841533
'global_time':0.7917728, 'head_vector_x':0.006931228, 'head_vector_y':0.1683365, 'head_vector_z':0.9857052
'global_time':0.8046128, 'head_vector_x':0.00365654, 'head_vector_y':0.1596601, 'head_vector_z':0.9871653
'global_time':0.817552, 'head_vector_x':-0.0001492943, 'head_vector_y':0.1508617, 'head_vector_z':0.9885549
'global_time':0.8299894, 'head_vector_x':-0.004001867, 'head_vector_y':0.1415784, 'head_vector_z':0.9899189
'global_time':0.84166, 'head_vector_x':-0.0122922, 'head_vector_y':0.1259435, 'head_vector_z':0.9919612
'global_time':0.852756, 'head_vector_x':-0.01749706, 'head_vector_y':0.1201893, 'head_vector_z':0.9925968
'global_time':0.8671513, 'head_vector_x':-0.02308905, 'head_vector_y':0.115525, 'head_vector_z':0.9930362
'global_time':0.8772992, 'head_vector_x':-0.02932451, 'head_vector_y':0.1117826, 'head_vector_z':0.9932999
'global_time':0.8877639, 'head_vector_x':-0.03556275, 'head_vector_y':0.1079917, 'head_vector_z':0.9935155
'global_time':0.8980638, 'head_vector_x':-0.04168901, 'head_vector_y':0.1058976, 'head_vector_z':0.9935027
'global_time':0.9088587, 'head_vector_x':-0.04720642, 'head_vector_y':0.1038199, 'head_vector_z':0.9934752
'global_time':0.9192652, 'head_vector_x':-0.0522918, 'head_vector_y':0.1026621, 'head_vector_z':0.9933408
'global_time':0.9302933, 'head_vector_x':-0.05744193, 'head_vector_y':0.1008622, 'head_vector_z':0.9932408
'global_time':0.9412299, 'head_vector_x':-0.06222788, 'head_vector_y':0.09911761, 'head_vector_z':0.9931281
'global_time':0.9525207, 'head_vector_x':-0.06719124, 'head_vector_y':0.0963999, 'head_vector_z':0.9930722
'global_time':0.9635883, 'head_vector_x':-0.07196986, 'head_vector_y':0.09317045, 'head_vector_z':0.9930456
'global_time':0.9751879, 'head_vector_x':-0.07653345, 'head_vector_y':0.08992439, 'head_vector_z':0.9930037
'global_time':0.9864314, 'head_vector_x':-0.08086769, 'head_vector_y':0.08701579, 'head_vector_z':0.9929193
'global_time':0.9970768, 'head_vector_x':-0.08489913, 'head_vector_y':0.08457673, 'head_vector_z':0.9927935
'global_time':1.008878, 'head_vector_x':-0.0883932, 'head_vector_y':0.08286131, 'head_vector_z':0.9926332
'global_time':1.020482, 'head_vector_x':-0.0919104, 'head_vector_y':0.08125152, 'head_vector_z':0.9924468
