'global_time':0.04, 'hit_distance':2.95 
'global_time':0.3733333, 'hit_distance':2.95 
'global_time':0.4244842, 'hit_distance':3.115089 
'global_time':0.4393758, 'hit_distance':3.127145 
'global_time':0.4536131, 'hit_distance':3.122229 
'global_time':0.4658499, 'hit_distance':3.121131 
'global_time':0.4795213, 'hit_distance':3.121496 
'global_time':0.4897991, 'hit_distance':3.122379 
'global_time':0.5014572, 'hit_distance':3.123091 
'global_time':0.5136469, 'hit_distance':3.122916 
'global_time':0.525494, 'hit_distance':3.12292 
'global_time':0.5368997, 'hit_distance':3.123382 
'global_time':0.5491671, 'hit_distance':3.12431 
'global_time':0.5616166, 'hit_distance':3.12488 
'global_time':0.572049, 'hit_distance':3.124642 
'global_time':0.5838473, 'hit_distance':3.123543 
'global_time':0.5958697, 'hit_distance':3.121018 
'global_time':0.6084904, 'hit_distance':3.117141 
'global_time':0.6200836, 'hit_distance':3.111475 
'global_time':0.6355705, 'hit_distance':3.109944 
'global_time':0.6457839, 'hit_distance':3.108372 
'global_time':0.6575955, 'hit_distance':3.1064 
'global_time':0.6700622, 'hit_distance':3.104377 
'global_time':0.6806002, 'hit_distance':3.102185 
'global_time':0.6918972, 'hit_distance':3.100032 
'global_time':0.7047985, 'hit_distance':3.098153 
'global_time':0.7178872, 'hit_distance':3.095975 
'global_time':0.7292145, 'hit_distance':3.09295 
'global_time':0.7417628, 'hit_distance':3.089195 
'global_time':0.7546223, 'hit_distance':3.080941 
'global_time':0.7667562, 'hit_distance':3.076708 
'global_time':0.7804232, 'hit_distance':3.072124 
'global_time':0.7917728, 'hit_distance':3.067142 
'global_time':0.8046128, 'hit_distance':3.061469 
'global_time':0.817552, 'hit_distance':3.056404 
'global_time':0.8299894, 'hit_distance':3.051347 
'global_time':0.84166, 'hit_distance':3.046402 
'global_time':0.852756, 'hit_distance':3.038908 
'global_time':0.8671513, 'hit_distance':3.036359 
'global_time':0.8772992, 'hit_distance':3.034316 
'global_time':0.8877639, 'hit_distance':3.032945 
'global_time':0.8980638, 'hit_distance':3.031643 
'global_time':0.9088587, 'hit_distance':3.031065 
'global_time':0.9192652, 'hit_distance':3.030517 
'global_time':0.9302933, 'hit_distance':3.030439 
'global_time':0.9412299, 'hit_distance':3.030211 
'global_time':0.9525207, 'hit_distance':3.030068 
'global_time':0.9635883, 'hit_distance':3.030129 
'global_time':0.9751879, 'hit_distance':3.029954 
'global_time':0.9864314, 'hit_distance':3.030002 
'global_time':0.9970768, 'hit_distance':3.114278 
'global_time':2.197149, 'hit_distance':3.075002 
'global_time':2.208356, 'hit_distance':3.018156 
'global_time':2.222198, 'hit_distance':3.019101 
'global_time':2.234605, 'hit_distance':3.019387 
'global_time':2.24725, 'hit_distance':3.019611 
'global_time':2.259261, 'hit_distance':3.019537 
'global_time':2.269758, 'hit_distance':3.019368 
'global_time':2.283149, 'hit_distance':3.018826 
'global_time':2.295439, 'hit_distance':3.018672 
'global_time':2.308092, 'hit_distance':3.018647 
'global_time':2.320993, 'hit_distance':3.018824 
'global_time':2.333043, 'hit_distance':3.018973 
'global_time':2.344526, 'hit_distance':3.018638 
'global_time':2.357417, 'hit_distance':3.018238 
'global_time':2.368983, 'hit_distance':3.01802 
'global_time':2.379994, 'hit_distance':3.017965 
'global_time':2.391151, 'hit_distance':3.017892 
'global_time':2.402564, 'hit_distance':3.017507 
'global_time':2.413491, 'hit_distance':3.016435 
'global_time':2.425071, 'hit_distance':3.014734 
'global_time':2.43665, 'hit_distance':3.012946 
'global_time':2.448444, 'hit_distance':3.010823 
'global_time':2.4603, 'hit_distance':3.009245 
'global_time':2.471764, 'hit_distance':3.008127 
'global_time':2.483543, 'hit_distance':3.00713 
'global_time':2.495569, 'hit_distance':3.006552 
'global_time':2.510832, 'hit_distance':3.006224 
'global_time':2.522073, 'hit_distance':3.006058 
'global_time':2.533928, 'hit_distance':3.006136 
'global_time':2.867261, 'hit_distance':3.006866 
'global_time':2.885778, 'hit_distance':3.00782 
'global_time':2.897305, 'hit_distance':3.014698 
'global_time':2.910231, 'hit_distance':3.016167 
'global_time':2.919918, 'hit_distance':3.017349 
'global_time':2.931819, 'hit_distance':3.017213 
'global_time':2.944135, 'hit_distance':3.016436 
'global_time':2.956429, 'hit_distance':3.016318 
'global_time':2.97205, 'hit_distance':3.016623 
'global_time':2.982167, 'hit_distance':3.016323 
'global_time':2.993927, 'hit_distance':3.016397 
'global_time':3.004197, 'hit_distance':3.01745 
'global_time':3.01764, 'hit_distance':3.018515 
'global_time':3.028398, 'hit_distance':3.01948 
'global_time':3.039222, 'hit_distance':3.020373 
'global_time':3.051317, 'hit_distance':3.022119 
'global_time':3.061505, 'hit_distance':3.023643 
'global_time':3.072682, 'hit_distance':3.025671 
'global_time':3.084632, 'hit_distance':3.028048 
'global_time':3.095655, 'hit_distance':3.03005 
'global_time':3.107784, 'hit_distance':3.031945 
'global_time':3.119159, 'hit_distance':3.034034 
'global_time':3.131886, 'hit_distance':3.036732 
'global_time':3.143377, 'hit_distance':3.039683 
'global_time':3.15403, 'hit_distance':3.042337 
'global_time':3.166042, 'hit_distance':3.045444 
'global_time':3.179162, 'hit_distance':3.047632 
'global_time':3.191475, 'hit_distance':3.05086 
'global_time':3.203667, 'hit_distance':3.059134 
'global_time':3.214286, 'hit_distance':3.062487 
'global_time':3.228405, 'hit_distance':3.065103 
'global_time':3.239848, 'hit_distance':3.065789 
'global_time':3.864226, 'hit_distance':3.095513 
'global_time':3.892496, 'hit_distance':3.109986 
'global_time':5.07313, 'hit_distance':3.08513 
'global_time':5.084311, 'hit_distance':3.05652 
'global_time':5.097063, 'hit_distance':3.044515 
'global_time':5.109494, 'hit_distance':2.99627 
'global_time':5.119709, 'hit_distance':2.996429 
'global_time':5.131289, 'hit_distance':2.996597 
'global_time':5.143559, 'hit_distance':2.996857 
'global_time':5.154213, 'hit_distance':2.997189 
'global_time':5.166242, 'hit_distance':2.99755 
'global_time':5.17794, 'hit_distance':2.997989 
'global_time':5.191216, 'hit_distance':2.998813 
'global_time':5.203985, 'hit_distance':2.999035 
'global_time':5.215631, 'hit_distance':2.998892 
'global_time':5.227012, 'hit_distance':2.999061 
'global_time':5.239738, 'hit_distance':2.999351 
'global_time':5.253766, 'hit_distance':2.999512 
'global_time':5.264888, 'hit_distance':2.999813 
'global_time':5.275858, 'hit_distance':3.000135 
'global_time':5.287742, 'hit_distance':3.000206 
'global_time':5.299579, 'hit_distance':2.999962 
'global_time':5.311068, 'hit_distance':2.999175 
'global_time':5.322196, 'hit_distance':2.998565 
'global_time':5.333753, 'hit_distance':2.998089 
'global_time':5.343856, 'hit_distance':2.99752 
'global_time':5.356678, 'hit_distance':2.997295 
'global_time':5.366861, 'hit_distance':2.996434 
'global_time':5.379599, 'hit_distance':2.996498 
'global_time':5.391182, 'hit_distance':2.997121 
'global_time':5.409068, 'hit_distance':2.998041 
'global_time':5.419301, 'hit_distance':2.999005 
'global_time':5.431412, 'hit_distance':3.000501 
'global_time':5.442893, 'hit_distance':3.001889 
'global_time':5.454325, 'hit_distance':3.003256 
'global_time':5.465398, 'hit_distance':3.004939 
'global_time':5.476514, 'hit_distance':3.006514 
'global_time':5.489192, 'hit_distance':3.008294 
'global_time':5.501494, 'hit_distance':3.012213 
'global_time':5.514535, 'hit_distance':3.013913 
'global_time':5.525959, 'hit_distance':3.016198 
'global_time':5.537897, 'hit_distance':3.017937 
'global_time':5.54882, 'hit_distance':3.019759 
'global_time':5.560085, 'hit_distance':3.021347 
'global_time':5.573711, 'hit_distance':3.022854 
'global_time':5.585685, 'hit_distance':3.024206 
'global_time':5.598113, 'hit_distance':3.02504 
'global_time':5.609894, 'hit_distance':3.025891 
'global_time':5.620097, 'hit_distance':3.02658 
'global_time':5.631689, 'hit_distance':3.027333 
'global_time':5.642699, 'hit_distance':3.02783 
'global_time':5.653251, 'hit_distance':3.028172 
'global_time':5.668474, 'hit_distance':3.028482 
'global_time':5.67986, 'hit_distance':3.02815 
'global_time':5.690041, 'hit_distance':3.027148 
'global_time':5.702468, 'hit_distance':3.026896 
'global_time':5.715229, 'hit_distance':3.027006 
'global_time':5.727112, 'hit_distance':3.027072 
'global_time':5.738594, 'hit_distance':3.027071 
'global_time':5.751445, 'hit_distance':3.027069 
'global_time':5.761485, 'hit_distance':3.027661 
'global_time':5.772064, 'hit_distance':3.028634 
'global_time':5.78206, 'hit_distance':3.028964 
'global_time':5.793411, 'hit_distance':3.029011 
'global_time':5.805187, 'hit_distance':3.02916 
'global_time':5.816586, 'hit_distance':3.02965 
'global_time':5.826625, 'hit_distance':3.030546 
'global_time':5.837699, 'hit_distance':3.031624 
'global_time':5.848818, 'hit_distance':3.033142 
'global_time':5.860868, 'hit_distance':3.034754 
'global_time':5.87367, 'hit_distance':3.036684 
'global_time':5.885489, 'hit_distance':3.038077 
'global_time':5.898134, 'hit_distance':3.039456 
'global_time':5.909664, 'hit_distance':3.040964 
'global_time':5.921968, 'hit_distance':3.04263 
'global_time':5.934441, 'hit_distance':3.046475 
'global_time':5.945821, 'hit_distance':3.047013 
'global_time':5.959132, 'hit_distance':3.048684 
