'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':0.04, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':0.3733333, 'head_position_x':0.3703441, 'head_position_y':1.65335, 'head_position_z':-0.3651287
'global_time':0.4204062, 'head_position_x':0.353987, 'head_position_y':1.653294, 'head_position_z':-0.3642297
'global_time':0.4367937, 'head_position_x':0.3535374, 'head_position_y':1.653405, 'head_position_z':-0.3642311
'global_time':0.451832, 'head_position_x':0.3533753, 'head_position_y':1.653621, 'head_position_z':-0.364155
'global_time':0.4606154, 'head_position_x':0.3533638, 'head_position_y':1.653754, 'head_position_z':-0.3641069
'global_time':0.4735832, 'head_position_x':0.353348, 'head_position_y':1.653847, 'head_position_z':-0.3641139
'global_time':0.4845681, 'head_position_x':0.353384, 'head_position_y':1.653888, 'head_position_z':-0.3641487
'global_time':0.4946645, 'head_position_x':0.3534757, 'head_position_y':1.653931, 'head_position_z':-0.3642538
'global_time':0.5040902, 'head_position_x':0.3535814, 'head_position_y':1.653883, 'head_position_z':-0.3644065
'global_time':0.5135898, 'head_position_x':0.353752, 'head_position_y':1.653808, 'head_position_z':-0.3646477
'global_time':0.5244897, 'head_position_x':0.3539698, 'head_position_y':1.653815, 'head_position_z':-0.3648372
'global_time':0.5376299, 'head_position_x':0.3542333, 'head_position_y':1.653873, 'head_position_z':-0.3650367
'global_time':0.5486679, 'head_position_x':0.3542917, 'head_position_y':1.653715, 'head_position_z':-0.3651864
'global_time':0.559836, 'head_position_x':0.3544008, 'head_position_y':1.653842, 'head_position_z':-0.3649717
'global_time':0.5695775, 'head_position_x':0.3547107, 'head_position_y':1.653963, 'head_position_z':-0.3654368
'global_time':0.5803836, 'head_position_x':0.3549819, 'head_position_y':1.65405, 'head_position_z':-0.3655945
'global_time':0.5913882, 'head_position_x':0.3552782, 'head_position_y':1.654109, 'head_position_z':-0.3656726
'global_time':0.601633, 'head_position_x':0.3555566, 'head_position_y':1.654166, 'head_position_z':-0.3658001
'global_time':0.6128598, 'head_position_x':0.3558286, 'head_position_y':1.654185, 'head_position_z':-0.3659872
'global_time':0.62756, 'head_position_x':0.3560832, 'head_position_y':1.654216, 'head_position_z':-0.3661772
'global_time':0.6385854, 'head_position_x':0.3563132, 'head_position_y':1.654211, 'head_position_z':-0.3663389
'global_time':0.6505191, 'head_position_x':0.3565431, 'head_position_y':1.654276, 'head_position_z':-0.3665828
'global_time':0.6614001, 'head_position_x':0.3567812, 'head_position_y':1.654293, 'head_position_z':-0.3667189
'global_time':0.6738045, 'head_position_x':0.3572271, 'head_position_y':1.654364, 'head_position_z':-0.3676163
'global_time':0.6857212, 'head_position_x':0.3574547, 'head_position_y':1.654341, 'head_position_z':-0.3677822
'global_time':0.697091, 'head_position_x':0.3577005, 'head_position_y':1.654247, 'head_position_z':-0.3681093
'global_time':0.7101901, 'head_position_x':0.3579227, 'head_position_y':1.654231, 'head_position_z':-0.3682688
'global_time':0.7226896, 'head_position_x':0.3581957, 'head_position_y':1.654268, 'head_position_z':-0.3685813
'global_time':0.7344531, 'head_position_x':0.3583996, 'head_position_y':1.654294, 'head_position_z':-0.3686858
'global_time':0.7450473, 'head_position_x':0.3582005, 'head_position_y':1.65459, 'head_position_z':-0.368302
'global_time':0.755734, 'head_position_x':0.358473, 'head_position_y':1.654678, 'head_position_z':-0.3685203
'global_time':0.7697666, 'head_position_x':0.3589253, 'head_position_y':1.654631, 'head_position_z':-0.3688294
'global_time':0.782625, 'head_position_x':0.3592947, 'head_position_y':1.654702, 'head_position_z':-0.3689122
'global_time':0.7945627, 'head_position_x':0.3594926, 'head_position_y':1.654697, 'head_position_z':-0.3689642
'global_time':0.8085072, 'head_position_x':0.3596586, 'head_position_y':1.654724, 'head_position_z':-0.368962
'global_time':0.8208294, 'head_position_x':0.3598407, 'head_position_y':1.654726, 'head_position_z':-0.3689649
'global_time':0.8337316, 'head_position_x':0.3600262, 'head_position_y':1.654753, 'head_position_z':-0.3689614
'global_time':0.8463969, 'head_position_x':0.3603115, 'head_position_y':1.65485, 'head_position_z':-0.3692754
'global_time':0.8593677, 'head_position_x':0.3606882, 'head_position_y':1.654819, 'head_position_z':-0.3692341
'global_time':0.869058, 'head_position_x':0.3608716, 'head_position_y':1.654741, 'head_position_z':-0.3691488
'global_time':0.8815805, 'head_position_x':0.3610648, 'head_position_y':1.654683, 'head_position_z':-0.3690928
'global_time':0.8949994, 'head_position_x':0.3613138, 'head_position_y':1.654638, 'head_position_z':-0.369047
'global_time':0.9065756, 'head_position_x':0.3615386, 'head_position_y':1.654595, 'head_position_z':-0.3690135
'global_time':0.9211285, 'head_position_x':0.3617564, 'head_position_y':1.654566, 'head_position_z':-0.3690459
'global_time':0.9342579, 'head_position_x':0.3619733, 'head_position_y':1.654544, 'head_position_z':-0.3690549
'global_time':0.9472204, 'head_position_x':0.3623678, 'head_position_y':1.654418, 'head_position_z':-0.3692608
'global_time':0.9591346, 'head_position_x':0.3625354, 'head_position_y':1.654379, 'head_position_z':-0.3692289
'global_time':0.9718484, 'head_position_x':0.3627721, 'head_position_y':1.654315, 'head_position_z':-0.3692013
'global_time':0.9851674, 'head_position_x':0.3629516, 'head_position_y':1.654319, 'head_position_z':-0.3691471
'global_time':0.9962171, 'head_position_x':0.3636181, 'head_position_y':1.654162, 'head_position_z':-0.3694774
'global_time':1.008453, 'head_position_x':0.3638931, 'head_position_y':1.654216, 'head_position_z':-0.3694432
'global_time':1.02091, 'head_position_x':0.364125, 'head_position_y':1.654264, 'head_position_z':-0.3694995
'global_time':1.034321, 'head_position_x':0.364321, 'head_position_y':1.654213, 'head_position_z':-0.3695478
'global_time':1.045475, 'head_position_x':0.3645162, 'head_position_y':1.65422, 'head_position_z':-0.369702
'global_time':1.056206, 'head_position_x':0.3647183, 'head_position_y':1.654351, 'head_position_z':-0.3697473
