'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':0.04, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':0.3733333, 'gaze_vector_x':-0.8527275, 'gaze_vector_y':-0.03188364, 'gaze_vector_z':0.521382
'gaze_vector':0.4230044, 'gaze_vector_x':-0.9491743, 'gaze_vector_y':-0.008020833, 'gaze_vector_z':0.3146488
'gaze_vector':0.4415728, 'gaze_vector_x':-0.9585789, 'gaze_vector_y':-0.0207204, 'gaze_vector_z':0.2840725
'gaze_vector':0.4557042, 'gaze_vector_x':-0.961585, 'gaze_vector_y':-0.02887133, 'gaze_vector_z':0.2729847
'gaze_vector':0.4685985, 'gaze_vector_x':-0.9624877, 'gaze_vector_y':-0.03138992, 'gaze_vector_z':0.2695036
'gaze_vector':0.4804557, 'gaze_vector_x':-0.9632584, 'gaze_vector_y':-0.03326697, 'gaze_vector_z':0.2665082
'gaze_vector':0.4925248, 'gaze_vector_x':-0.9636693, 'gaze_vector_y':-0.03424478, 'gaze_vector_z':0.2648942
'gaze_vector':0.5038848, 'gaze_vector_x':-0.9636541, 'gaze_vector_y':-0.03448511, 'gaze_vector_z':0.2649178
'gaze_vector':0.514376, 'gaze_vector_x':-0.9630693, 'gaze_vector_y':-0.03441386, 'gaze_vector_z':0.2670453
'gaze_vector':0.5247545, 'gaze_vector_x':-0.9621237, 'gaze_vector_y':-0.03478343, 'gaze_vector_z':0.2703856
'gaze_vector':0.5380964, 'gaze_vector_x':-0.9612107, 'gaze_vector_y':-0.03496006, 'gaze_vector_z':0.2735903
'gaze_vector':0.5522231, 'gaze_vector_x':-0.9593099, 'gaze_vector_y':-0.03520004, 'gaze_vector_z':0.2801526
'gaze_vector':0.5641097, 'gaze_vector_x':-0.9552413, 'gaze_vector_y':-0.03488147, 'gaze_vector_z':0.2937645
'gaze_vector':0.5788032, 'gaze_vector_x':-0.952851, 'gaze_vector_y':-0.03402293, 'gaze_vector_z':0.3015254
'gaze_vector':0.5910763, 'gaze_vector_x':-0.9495302, 'gaze_vector_y':-0.03272089, 'gaze_vector_z':0.3119646
'gaze_vector':0.6018224, 'gaze_vector_x':-0.9463541, 'gaze_vector_y':-0.03163636, 'gaze_vector_z':0.3215789
'gaze_vector':0.6130089, 'gaze_vector_x':-0.942537, 'gaze_vector_y':-0.03089766, 'gaze_vector_z':0.3326703
'gaze_vector':0.6234643, 'gaze_vector_x':-0.9386497, 'gaze_vector_y':-0.03032384, 'gaze_vector_z':0.3435364
'gaze_vector':0.6353161, 'gaze_vector_x':-0.9342125, 'gaze_vector_y':-0.02934742, 'gaze_vector_z':0.3555077
'gaze_vector':0.6480747, 'gaze_vector_x':-0.9291711, 'gaze_vector_y':-0.02822816, 'gaze_vector_z':0.3685703
'gaze_vector':0.6620095, 'gaze_vector_x':-0.9238431, 'gaze_vector_y':-0.02714587, 'gaze_vector_z':0.3818077
'gaze_vector':0.6721981, 'gaze_vector_x':-0.9180789, 'gaze_vector_y':-0.02571918, 'gaze_vector_z':0.3955626
'gaze_vector':0.6825408, 'gaze_vector_x':-0.9116673, 'gaze_vector_y':-0.02407275, 'gaze_vector_z':0.4102236
'gaze_vector':0.6965202, 'gaze_vector_x':-0.9045014, 'gaze_vector_y':-0.02255602, 'gaze_vector_z':0.4258739
'gaze_vector':0.7077695, 'gaze_vector_x':-0.8962381, 'gaze_vector_y':-0.02114112, 'gaze_vector_z':0.4430693
'gaze_vector':0.7201334, 'gaze_vector_x':-0.8761786, 'gaze_vector_y':-0.02108193, 'gaze_vector_z':0.4815254
'gaze_vector':0.7318779, 'gaze_vector_x':-0.865148, 'gaze_vector_y':-0.02178675, 'gaze_vector_z':0.5010433
'gaze_vector':0.7431692, 'gaze_vector_x':-0.8539238, 'gaze_vector_y':-0.0220506, 'gaze_vector_z':0.5199307
'gaze_vector':0.754793, 'gaze_vector_x':-0.8421052, 'gaze_vector_y':-0.02213532, 'gaze_vector_z':0.5388588
'gaze_vector':0.7670835, 'gaze_vector_x':-0.8303562, 'gaze_vector_y':-0.02192249, 'gaze_vector_z':0.5568016
'gaze_vector':0.7795572, 'gaze_vector_x':-0.8183462, 'gaze_vector_y':-0.02096918, 'gaze_vector_z':0.574343
'gaze_vector':0.7911983, 'gaze_vector_x':-0.8060656, 'gaze_vector_y':-0.02002858, 'gaze_vector_z':0.5914872
