'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':0.04, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':0.3733333, 'head_position_x':-0.06783415, 'head_position_y':1.613049, 'head_position_z':-0.08241951
'global_time':0.4230044, 'head_position_x':0.01186755, 'head_position_y':1.619792, 'head_position_z':-0.07395521
'global_time':0.4415728, 'head_position_x':0.02180359, 'head_position_y':1.618697, 'head_position_z':-0.07373746
'global_time':0.4557042, 'head_position_x':0.0292308, 'head_position_y':1.617997, 'head_position_z':-0.07327202
'global_time':0.4685985, 'head_position_x':0.03295002, 'head_position_y':1.617757, 'head_position_z':-0.07271456
'global_time':0.4804557, 'head_position_x':0.03668881, 'head_position_y':1.617614, 'head_position_z':-0.07201308
'global_time':0.4925248, 'head_position_x':0.04034162, 'head_position_y':1.617618, 'head_position_z':-0.07112029
'global_time':0.5038848, 'head_position_x':0.04400557, 'head_position_y':1.617676, 'head_position_z':-0.06990279
'global_time':0.514376, 'head_position_x':0.04771912, 'head_position_y':1.617719, 'head_position_z':-0.06862945
'global_time':0.5247545, 'head_position_x':0.05138844, 'head_position_y':1.617702, 'head_position_z':-0.06715833
'global_time':0.5380964, 'head_position_x':0.05513142, 'head_position_y':1.617694, 'head_position_z':-0.06585111
'global_time':0.5522231, 'head_position_x':0.058847, 'head_position_y':1.617851, 'head_position_z':-0.06418301
'global_time':0.5641097, 'head_position_x':0.06625175, 'head_position_y':1.618237, 'head_position_z':-0.06148949
'global_time':0.5788032, 'head_position_x':0.06989846, 'head_position_y':1.618454, 'head_position_z':-0.06022242
'global_time':0.5910763, 'head_position_x':0.07349113, 'head_position_y':1.618721, 'head_position_z':-0.05874085
'global_time':0.6018224, 'head_position_x':0.07728576, 'head_position_y':1.618948, 'head_position_z':-0.0574405
'global_time':0.6130089, 'head_position_x':0.08095658, 'head_position_y':1.619143, 'head_position_z':-0.05597085
'global_time':0.6234643, 'head_position_x':0.08440597, 'head_position_y':1.619403, 'head_position_z':-0.05440596
'global_time':0.6353161, 'head_position_x':0.0880445, 'head_position_y':1.619581, 'head_position_z':-0.05291846
'global_time':0.6480747, 'head_position_x':0.0917135, 'head_position_y':1.619894, 'head_position_z':-0.0515338
'global_time':0.6620095, 'head_position_x':0.09542997, 'head_position_y':1.620206, 'head_position_z':-0.05006653
'global_time':0.6721981, 'head_position_x':0.09899004, 'head_position_y':1.620508, 'head_position_z':-0.04857516
'global_time':0.6825408, 'head_position_x':0.1024076, 'head_position_y':1.620841, 'head_position_z':-0.04709095
'global_time':0.6965202, 'head_position_x':0.1059192, 'head_position_y':1.621201, 'head_position_z':-0.04553901
'global_time':0.7077695, 'head_position_x':0.109347, 'head_position_y':1.621409, 'head_position_z':-0.04387164
'global_time':0.7201334, 'head_position_x':0.1164886, 'head_position_y':1.62175, 'head_position_z':-0.04037013
'global_time':0.7318779, 'head_position_x':0.1201436, 'head_position_y':1.621888, 'head_position_z':-0.03867763
'global_time':0.7431692, 'head_position_x':0.1237373, 'head_position_y':1.621982, 'head_position_z':-0.03707971
'global_time':0.754793, 'head_position_x':0.1272886, 'head_position_y':1.622112, 'head_position_z':-0.03568479
'global_time':0.7670835, 'head_position_x':0.1307161, 'head_position_y':1.622321, 'head_position_z':-0.0341238
'global_time':0.7795572, 'head_position_x':0.1340436, 'head_position_y':1.622554, 'head_position_z':-0.03250592
'global_time':0.7911983, 'head_position_x':0.1373551, 'head_position_y':1.622766, 'head_position_z':-0.03097536
'global_time':0.8029848, 'head_position_x':0.1405247, 'head_position_y':1.623043, 'head_position_z':-0.02943522
'global_time':0.8147377, 'head_position_x':0.1437789, 'head_position_y':1.62328, 'head_position_z':-0.02794871
'global_time':0.8273507, 'head_position_x':0.1470124, 'head_position_y':1.623549, 'head_position_z':-0.02642745
'global_time':0.840551, 'head_position_x':0.1504498, 'head_position_y':1.623834, 'head_position_z':-0.02506335
'global_time':0.8529069, 'head_position_x':0.1573216, 'head_position_y':1.624176, 'head_position_z':-0.02200644
'global_time':0.8651595, 'head_position_x':0.1608632, 'head_position_y':1.624352, 'head_position_z':-0.02027285
'global_time':0.8770616, 'head_position_x':0.1644887, 'head_position_y':1.62466, 'head_position_z':-0.01838953
'global_time':0.8885694, 'head_position_x':0.1683295, 'head_position_y':1.625144, 'head_position_z':-0.0163519
'global_time':0.9002631, 'head_position_x':0.1723844, 'head_position_y':1.625544, 'head_position_z':-0.01457321
'global_time':0.9115383, 'head_position_x':0.1764002, 'head_position_y':1.626, 'head_position_z':-0.01256398
'global_time':0.9240628, 'head_position_x':0.1804982, 'head_position_y':1.626347, 'head_position_z':-0.01080471
'global_time':0.9362682, 'head_position_x':0.1848501, 'head_position_y':1.626674, 'head_position_z':-0.009083805
'global_time':0.9504636, 'head_position_x':0.1892964, 'head_position_y':1.627, 'head_position_z':-0.007485156
'global_time':0.9618449, 'head_position_x':0.1936344, 'head_position_y':1.627277, 'head_position_z':-0.005606744
'global_time':0.9727014, 'head_position_x':0.1982057, 'head_position_y':1.627646, 'head_position_z':-0.004327589
'global_time':0.9833947, 'head_position_x':0.2028062, 'head_position_y':1.627985, 'head_position_z':-0.003388994
'global_time':0.9940562, 'head_position_x':0.2070998, 'head_position_y':1.628378, 'head_position_z':-0.002571342
'global_time':1.005165, 'head_position_x':0.211228, 'head_position_y':1.628802, 'head_position_z':-0.002148961
'global_time':1.016735, 'head_position_x':0.2149702, 'head_position_y':1.629183, 'head_position_z':-0.001771908
'global_time':1.028054, 'head_position_x':0.2186829, 'head_position_y':1.629445, 'head_position_z':-0.002275944
'global_time':1.040266, 'head_position_x':0.2223551, 'head_position_y':1.629476, 'head_position_z':-0.002863044
'global_time':1.052157, 'head_position_x':0.2254536, 'head_position_y':1.629518, 'head_position_z':-0.00316059
'global_time':1.063384, 'head_position_x':0.2306365, 'head_position_y':1.629749, 'head_position_z':-0.00482303
'global_time':1.074834, 'head_position_x':0.2325823, 'head_position_y':1.629807, 'head_position_z':-0.00569103
'global_time':1.086479, 'head_position_x':0.2339653, 'head_position_y':1.629844, 'head_position_z':-0.006324076
'global_time':1.098387, 'head_position_x':0.2351249, 'head_position_y':1.629756, 'head_position_z':-0.007237973
'global_time':1.110594, 'head_position_x':0.2356872, 'head_position_y':1.629593, 'head_position_z':-0.008020235
'global_time':1.121628, 'head_position_x':0.2362412, 'head_position_y':1.629344, 'head_position_z':-0.009039409
'global_time':1.131975, 'head_position_x':0.2364929, 'head_position_y':1.629171, 'head_position_z':-0.009813777
'global_time':1.144402, 'head_position_x':0.2363521, 'head_position_y':1.629168, 'head_position_z':-0.01056856
'global_time':1.155795, 'head_position_x':0.2358809, 'head_position_y':1.629139, 'head_position_z':-0.01100251
'global_time':1.168202, 'head_position_x':0.2350413, 'head_position_y':1.629267, 'head_position_z':-0.01149231
'global_time':1.181591, 'head_position_x':0.234036, 'head_position_y':1.629335, 'head_position_z':-0.01200298
