'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.04, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.3733333, 'head_vector_x':-0.8527275, 'head_vector_y':-0.03188364, 'head_vector_z':0.521382
'global_time':0.4230044, 'head_vector_x':-0.9491743, 'head_vector_y':-0.008020833, 'head_vector_z':0.3146488
'global_time':0.4415728, 'head_vector_x':-0.9585789, 'head_vector_y':-0.0207204, 'head_vector_z':0.2840725
'global_time':0.4557042, 'head_vector_x':-0.961585, 'head_vector_y':-0.02887133, 'head_vector_z':0.2729847
'global_time':0.4685985, 'head_vector_x':-0.9624877, 'head_vector_y':-0.03138992, 'head_vector_z':0.2695036
'global_time':0.4804557, 'head_vector_x':-0.9632584, 'head_vector_y':-0.03326697, 'head_vector_z':0.2665082
'global_time':0.4925248, 'head_vector_x':-0.9636693, 'head_vector_y':-0.03424478, 'head_vector_z':0.2648942
'global_time':0.5038848, 'head_vector_x':-0.9636541, 'head_vector_y':-0.03448511, 'head_vector_z':0.2649178
'global_time':0.514376, 'head_vector_x':-0.9630693, 'head_vector_y':-0.03441386, 'head_vector_z':0.2670453
'global_time':0.5247545, 'head_vector_x':-0.9621237, 'head_vector_y':-0.03478343, 'head_vector_z':0.2703856
'global_time':0.5380964, 'head_vector_x':-0.9612107, 'head_vector_y':-0.03496006, 'head_vector_z':0.2735903
'global_time':0.5522231, 'head_vector_x':-0.9593099, 'head_vector_y':-0.03520004, 'head_vector_z':0.2801526
'global_time':0.5641097, 'head_vector_x':-0.9552413, 'head_vector_y':-0.03488147, 'head_vector_z':0.2937645
'global_time':0.5788032, 'head_vector_x':-0.952851, 'head_vector_y':-0.03402293, 'head_vector_z':0.3015254
'global_time':0.5910763, 'head_vector_x':-0.9495302, 'head_vector_y':-0.03272089, 'head_vector_z':0.3119646
'global_time':0.6018224, 'head_vector_x':-0.9463541, 'head_vector_y':-0.03163636, 'head_vector_z':0.3215789
'global_time':0.6130089, 'head_vector_x':-0.942537, 'head_vector_y':-0.03089766, 'head_vector_z':0.3326703
'global_time':0.6234643, 'head_vector_x':-0.9386497, 'head_vector_y':-0.03032384, 'head_vector_z':0.3435364
'global_time':0.6353161, 'head_vector_x':-0.9342125, 'head_vector_y':-0.02934742, 'head_vector_z':0.3555077
'global_time':0.6480747, 'head_vector_x':-0.9291711, 'head_vector_y':-0.02822816, 'head_vector_z':0.3685703
'global_time':0.6620095, 'head_vector_x':-0.9238431, 'head_vector_y':-0.02714587, 'head_vector_z':0.3818077
'global_time':0.6721981, 'head_vector_x':-0.9180789, 'head_vector_y':-0.02571918, 'head_vector_z':0.3955626
'global_time':0.6825408, 'head_vector_x':-0.9116673, 'head_vector_y':-0.02407275, 'head_vector_z':0.4102236
'global_time':0.6965202, 'head_vector_x':-0.9045014, 'head_vector_y':-0.02255602, 'head_vector_z':0.4258739
'global_time':0.7077695, 'head_vector_x':-0.8962381, 'head_vector_y':-0.02114112, 'head_vector_z':0.4430693
'global_time':0.7201334, 'head_vector_x':-0.8761786, 'head_vector_y':-0.02108193, 'head_vector_z':0.4815254
'global_time':0.7318779, 'head_vector_x':-0.865148, 'head_vector_y':-0.02178675, 'head_vector_z':0.5010433
'global_time':0.7431692, 'head_vector_x':-0.8539238, 'head_vector_y':-0.0220506, 'head_vector_z':0.5199307
'global_time':0.754793, 'head_vector_x':-0.8421052, 'head_vector_y':-0.02213532, 'head_vector_z':0.5388588
'global_time':0.7670835, 'head_vector_x':-0.8303562, 'head_vector_y':-0.02192249, 'head_vector_z':0.5568016
'global_time':0.7795572, 'head_vector_x':-0.8183462, 'head_vector_y':-0.02096918, 'head_vector_z':0.574343
'global_time':0.7911983, 'head_vector_x':-0.8060656, 'head_vector_y':-0.02002858, 'head_vector_z':0.5914872
'global_time':0.8029848, 'head_vector_x':-0.7930529, 'head_vector_y':-0.01904672, 'head_vector_z':0.6088549
'global_time':0.8147377, 'head_vector_x':-0.779389, 'head_vector_y':-0.0180218, 'head_vector_z':0.6262811
'global_time':0.8273507, 'head_vector_x':-0.7647289, 'head_vector_y':-0.01734237, 'head_vector_z':0.6441187
'global_time':0.840551, 'head_vector_x':-0.7482812, 'head_vector_y':-0.01708365, 'head_vector_z':0.6631618
'global_time':0.8529069, 'head_vector_x':-0.7110659, 'head_vector_y':-0.0182691, 'head_vector_z':0.702888
'global_time':0.8651595, 'head_vector_x':-0.688976, 'head_vector_y':-0.01839535, 'head_vector_z':0.7245507
'global_time':0.8770616, 'head_vector_x':-0.6645651, 'head_vector_y':-0.01801043, 'head_vector_z':0.7470132
'global_time':0.8885694, 'head_vector_x':-0.6359903, 'head_vector_y':-0.01666366, 'head_vector_z':0.7715172
'global_time':0.9002631, 'head_vector_x':-0.6055582, 'head_vector_y':-0.01426773, 'head_vector_z':0.7956731
'global_time':0.9115383, 'head_vector_x':-0.5731785, 'head_vector_y':-0.01159688, 'head_vector_z':0.8193485
'global_time':0.9240628, 'head_vector_x':-0.5392876, 'head_vector_y':-0.009209765, 'head_vector_z':0.8420713
'global_time':0.9362682, 'head_vector_x':-0.5018845, 'head_vector_y':-0.007219164, 'head_vector_z':0.8649045
'global_time':0.9504636, 'head_vector_x':-0.4618912, 'head_vector_y':-0.005987512, 'head_vector_z':0.8869164
'global_time':0.9618449, 'head_vector_x':-0.4186842, 'head_vector_y':-0.005093893, 'head_vector_z':0.9081176
'global_time':0.9727014, 'head_vector_x':-0.3742686, 'head_vector_y':-0.004134471, 'head_vector_z':0.9273111
'global_time':0.9833947, 'head_vector_x':-0.3297907, 'head_vector_y':-0.003088749, 'head_vector_z':0.944049
'global_time':0.9940562, 'head_vector_x':-0.285823, 'head_vector_y':-0.001679816, 'head_vector_z':0.9582809
'global_time':1.005165, 'head_vector_x':-0.2443304, 'head_vector_y':4.155841E-05, 'head_vector_z':0.9696921
'global_time':1.016735, 'head_vector_x':-0.2047264, 'head_vector_y':0.001784399, 'head_vector_z':0.9788176
'global_time':1.028054, 'head_vector_x':-0.167339, 'head_vector_y':0.003102956, 'head_vector_z':0.9858946
'global_time':1.040266, 'head_vector_x':-0.1305296, 'head_vector_y':0.003855021, 'head_vector_z':0.9914369
'global_time':1.052157, 'head_vector_x':-0.09573631, 'head_vector_y':0.00340981, 'head_vector_z':0.9954009
'global_time':1.063384, 'head_vector_x':-0.0340657, 'head_vector_y':0.003300071, 'head_vector_z':0.9994141
'global_time':1.074834, 'head_vector_x':-0.008275793, 'head_vector_y':0.00440763, 'head_vector_z':0.999956
'global_time':1.086479, 'head_vector_x':0.01326494, 'head_vector_y':0.006312256, 'head_vector_z':0.9998921
'global_time':1.098387, 'head_vector_x':0.03262594, 'head_vector_y':0.007400868, 'head_vector_z':0.9994403
'global_time':1.110594, 'head_vector_x':0.04764054, 'head_vector_y':0.00710856, 'head_vector_z':0.9988393
'global_time':1.121628, 'head_vector_x':0.0628536, 'head_vector_y':0.006149166, 'head_vector_z':0.9980038
'global_time':1.131975, 'head_vector_x':0.07723325, 'head_vector_y':0.004977044, 'head_vector_z':0.9970006
'global_time':1.144402, 'head_vector_x':0.08939869, 'head_vector_y':0.004581433, 'head_vector_z':0.9959854
'global_time':1.155795, 'head_vector_x':0.1004429, 'head_vector_y':0.005128862, 'head_vector_z':0.9949296
'global_time':1.168202, 'head_vector_x':0.1069342, 'head_vector_y':0.006872022, 'head_vector_z':0.9942424
'global_time':1.181591, 'head_vector_x':0.1124133, 'head_vector_y':0.008565191, 'head_vector_z':0.9936246
'global_time':1.19323, 'head_vector_x':0.1146208, 'head_vector_y':0.01083887, 'head_vector_z':0.9933502
'global_time':1.209006, 'head_vector_x':0.1172912, 'head_vector_y':0.01160316, 'head_vector_z':0.9930298
'global_time':1.220484, 'head_vector_x':0.1221778, 'head_vector_y':0.01230382, 'head_vector_z':0.992432
'global_time':1.230913, 'head_vector_x':0.1231057, 'head_vector_y':0.01276797, 'head_vector_z':0.9923114
'global_time':1.243352, 'head_vector_x':0.1230005, 'head_vector_y':0.01333665, 'head_vector_z':0.992317
