'global_time':0.04, 'hit_distance':2.95 
'global_time':0.3733333, 'hit_distance':2.95 
'global_time':2.181772, 'hit_distance':3.001265 
'global_time':2.192936, 'hit_distance':3.001364 
'global_time':2.207076, 'hit_distance':3.001323 
'global_time':2.218421, 'hit_distance':3.00118 
'global_time':2.231179, 'hit_distance':3.000618 
'global_time':2.241594, 'hit_distance':3.000293 
'global_time':2.25491, 'hit_distance':3.000096 
'global_time':2.266241, 'hit_distance':3.000091 
'global_time':2.277987, 'hit_distance':3.000122 
'global_time':2.289704, 'hit_distance':3.000319 
'global_time':2.303413, 'hit_distance':3.000535 
'global_time':2.318605, 'hit_distance':3.000709 
'global_time':2.330559, 'hit_distance':3.001182 
'global_time':2.342773, 'hit_distance':3.001363 
'global_time':2.355331, 'hit_distance':3.00171 
'global_time':2.366255, 'hit_distance':3.001951 
'global_time':2.378563, 'hit_distance':3.002158 
'global_time':2.392361, 'hit_distance':3.002383 
'global_time':2.404377, 'hit_distance':3.002612 
'global_time':2.416986, 'hit_distance':3.002853 
'global_time':2.433845, 'hit_distance':3.002928 
'global_time':2.446782, 'hit_distance':3.003001 
'global_time':2.45936, 'hit_distance':3.003067 
'global_time':2.471195, 'hit_distance':3.002832 
'global_time':2.486583, 'hit_distance':3.002772 
'global_time':2.497978, 'hit_distance':3.002832 
'global_time':2.51009, 'hit_distance':3.002589 
'global_time':2.520871, 'hit_distance':3.002649 
'global_time':2.532971, 'hit_distance':3.00254 
'global_time':2.544867, 'hit_distance':3.002534 
'global_time':2.556868, 'hit_distance':3.002541 
'global_time':2.568588, 'hit_distance':3.002716 
'global_time':2.581642, 'hit_distance':3.002945 
'global_time':2.593372, 'hit_distance':3.003483 
'global_time':2.603726, 'hit_distance':3.003822 
'global_time':2.614796, 'hit_distance':3.004531 
'global_time':2.62704, 'hit_distance':3.005221 
'global_time':2.638498, 'hit_distance':3.006012 
'global_time':2.649734, 'hit_distance':3.006825 
'global_time':2.661379, 'hit_distance':3.007374 
'global_time':2.673838, 'hit_distance':3.007704 
'global_time':2.686727, 'hit_distance':3.008252 
'global_time':2.686727, 'hit_distance':2.995756 
'global_time':2.698055, 'hit_distance':3.009956 
