'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.04, 'gaze_vector_x':-0.09866333, 'gaze_vector_y':-0.327652, 'gaze_vector_z':0.939621
'gaze_vector':0.3733333, 'gaze_vector_x':-0.01035683, 'gaze_vector_y':-0.9542751, 'gaze_vector_z':0.2987269
'gaze_vector':0.413594, 'gaze_vector_x':-0.05591439, 'gaze_vector_y':-0.9504337, 'gaze_vector_z':0.3058212
'gaze_vector':0.4267353, 'gaze_vector_x':-0.05332775, 'gaze_vector_y':-0.9506763, 'gaze_vector_z':0.3055213
'gaze_vector':0.4388256, 'gaze_vector_x':-0.05987352, 'gaze_vector_y':-0.9515406, 'gaze_vector_z':0.3016088
'gaze_vector':0.4523842, 'gaze_vector_x':-0.06194856, 'gaze_vector_y':-0.9531341, 'gaze_vector_z':0.2961062
'gaze_vector':0.4638555, 'gaze_vector_x':-0.08325485, 'gaze_vector_y':-0.9567835, 'gaze_vector_z':0.2785913
'gaze_vector':0.473764, 'gaze_vector_x':-0.05816346, 'gaze_vector_y':-0.9533663, 'gaze_vector_z':0.2961102
'gaze_vector':0.484695, 'gaze_vector_x':-0.09471491, 'gaze_vector_y':-0.9585406, 'gaze_vector_z':0.2687094
'gaze_vector':0.4965215, 'gaze_vector_x':-0.08485533, 'gaze_vector_y':-0.9635829, 'gaze_vector_z':0.2535615
'gaze_vector':0.5081878, 'gaze_vector_x':-0.07990664, 'gaze_vector_y':-0.9524283, 'gaze_vector_z':0.2940779
'gaze_vector':0.5194973, 'gaze_vector_x':-0.1102645, 'gaze_vector_y':-0.939932, 'gaze_vector_z':0.323023
'gaze_vector':0.5295377, 'gaze_vector_x':-0.1061348, 'gaze_vector_y':-0.9422398, 'gaze_vector_z':0.3176361
'gaze_vector':0.5406303, 'gaze_vector_x':-0.08113813, 'gaze_vector_y':-0.9375038, 'gaze_vector_z':0.3383738
'gaze_vector':0.552388, 'gaze_vector_x':-0.0759365, 'gaze_vector_y':-0.9347453, 'gaze_vector_z':0.3470832
'gaze_vector':0.5634426, 'gaze_vector_x':-0.08797264, 'gaze_vector_y':-0.9295034, 'gaze_vector_z':0.3581526
'gaze_vector':0.5742407, 'gaze_vector_x':-0.08500744, 'gaze_vector_y':-0.9236872, 'gaze_vector_z':0.3735875
'gaze_vector':0.5860605, 'gaze_vector_x':-0.08443875, 'gaze_vector_y':-0.9197463, 'gaze_vector_z':0.3833204
'gaze_vector':0.5964733, 'gaze_vector_x':-0.07861194, 'gaze_vector_y':-0.9206344, 'gaze_vector_z':0.3824008
'gaze_vector':0.608454, 'gaze_vector_x':-0.09141503, 'gaze_vector_y':-0.9222599, 'gaze_vector_z':0.3755871
'gaze_vector':0.6199507, 'gaze_vector_x':-0.08863321, 'gaze_vector_y':-0.9210514, 'gaze_vector_z':0.3791909
'gaze_vector':0.6308834, 'gaze_vector_x':-0.08895345, 'gaze_vector_y':-0.9222971, 'gaze_vector_z':0.3760671
'gaze_vector':0.6414328, 'gaze_vector_x':-0.08732545, 'gaze_vector_y':-0.9226654, 'gaze_vector_z':0.375546
'gaze_vector':0.652925, 'gaze_vector_x':-0.08614497, 'gaze_vector_y':-0.9159105, 'gaze_vector_z':0.3919945
'gaze_vector':0.6639627, 'gaze_vector_x':-0.08527005, 'gaze_vector_y':-0.925612, 'gaze_vector_z':0.368719
'gaze_vector':0.67535, 'gaze_vector_x':-0.08229756, 'gaze_vector_y':-0.9224655, 'gaze_vector_z':0.3771957
'gaze_vector':0.6895623, 'gaze_vector_x':-0.08832161, 'gaze_vector_y':-0.9243873, 'gaze_vector_z':0.3710666
'gaze_vector':0.6998709, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.7093589, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.7207167, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.7307459, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.7410201, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.7541651, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.7657948, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.7765415, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.7890947, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.8092008, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.8242153, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.8380025, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.8497113, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.8610559, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.8742609, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.8847391, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.8960251, 'gaze_vector_x':-0.05228209, 'gaze_vector_y':-0.4613985, 'gaze_vector_z':0.885641
'gaze_vector':0.9084528, 'gaze_vector_x':-0.0634652, 'gaze_vector_y':-0.4370269, 'gaze_vector_z':0.8971964
'gaze_vector':0.9208383, 'gaze_vector_x':-0.06368235, 'gaze_vector_y':-0.4828135, 'gaze_vector_z':0.873403
'gaze_vector':0.9350129, 'gaze_vector_x':-0.07086265, 'gaze_vector_y':-0.4831969, 'gaze_vector_z':0.8726273
'gaze_vector':0.9462838, 'gaze_vector_x':-0.07266153, 'gaze_vector_y':-0.4694072, 'gaze_vector_z':0.8799725
'gaze_vector':0.9585212, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.9711043, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.9844537, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.9960932, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.009062, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.021016, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.032209, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.042993, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.056868, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.068885, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.080723, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.092263, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.104776, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.117318, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.129742, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.14215, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.155001, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.168949, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.182026, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.193655, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.206023, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.217376, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.230213, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.241723, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.253828, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.265798, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.2772, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.289833, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.301846, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
