'global_time':7.255236, 'hit_distance':3.599814 
'global_time':7.27078, 'hit_distance':3.601782 
'global_time':7.306037, 'hit_distance':3.600508 
'global_time':7.318875, 'hit_distance':3.611817 
'global_time':7.332145, 'hit_distance':3.608325 
'global_time':7.344204, 'hit_distance':3.610008 
'global_time':7.358135, 'hit_distance':3.612724 
'global_time':7.369958, 'hit_distance':3.612123 
'global_time':7.382317, 'hit_distance':3.611562 
'global_time':7.396176, 'hit_distance':3.600232 
'global_time':7.411126, 'hit_distance':3.596223 
'global_time':7.42347, 'hit_distance':3.595762 
'global_time':7.436288, 'hit_distance':3.596587 
'global_time':7.448479, 'hit_distance':3.594581 
'global_time':7.459948, 'hit_distance':3.590006 
'global_time':7.469779, 'hit_distance':3.591723 
'global_time':7.480704, 'hit_distance':3.588175 
'global_time':7.49407, 'hit_distance':3.601216 
'global_time':7.503734, 'hit_distance':3.582548 
'global_time':7.515005, 'hit_distance':3.605595 
'global_time':7.528935, 'hit_distance':3.591662 
'global_time':7.542881, 'hit_distance':3.575727 
'global_time':7.553344, 'hit_distance':3.578958 
'global_time':7.565556, 'hit_distance':3.579413 
'global_time':7.576819, 'hit_distance':3.576473 
'global_time':7.588234, 'hit_distance':3.577796 
'global_time':7.60001, 'hit_distance':3.575509 
'global_time':7.611867, 'hit_distance':3.578343 
'global_time':7.623905, 'hit_distance':3.579717 
'global_time':7.637081, 'hit_distance':3.581238 
'global_time':7.650102, 'hit_distance':3.580479 
'global_time':7.661634, 'hit_distance':3.577838 
'global_time':7.672866, 'hit_distance':3.574436 
'global_time':7.684602, 'hit_distance':3.592013 
'global_time':7.706656, 'hit_distance':3.738891 
'global_time':7.729777, 'hit_distance':3.788709 
'global_time':7.742649, 'hit_distance':3.779388 
'global_time':7.753195, 'hit_distance':3.794944 
'global_time':7.765122, 'hit_distance':3.759378 
'global_time':7.778042, 'hit_distance':3.751449 
'global_time':7.789041, 'hit_distance':3.762932 
'global_time':7.80179, 'hit_distance':3.764444 
'global_time':7.813805, 'hit_distance':3.821551 
'global_time':7.825866, 'hit_distance':3.802555 
'global_time':7.836711, 'hit_distance':3.910907 
'global_time':7.905962, 'hit_distance':3.78877 
'global_time':7.975235, 'hit_distance':3.711432 
'global_time':7.986148, 'hit_distance':3.702605 
'global_time':7.99885, 'hit_distance':3.89049 
'global_time':8.011711, 'hit_distance':3.775735 
'global_time':8.025393, 'hit_distance':3.822028 
'global_time':8.03608, 'hit_distance':3.640975 
'global_time':8.046752, 'hit_distance':3.619987 
'global_time':8.061076, 'hit_distance':3.675053 
'global_time':8.072946, 'hit_distance':3.715296 
'global_time':8.083698, 'hit_distance':3.76158 
'global_time':8.095296, 'hit_distance':3.708234 
'global_time':8.10587, 'hit_distance':3.618892 
'global_time':8.118984, 'hit_distance':3.705798 
'global_time':8.129992, 'hit_distance':3.726449 
'global_time':8.142415, 'hit_distance':3.764721 
'global_time':8.154238, 'hit_distance':3.669705 
'global_time':8.164839, 'hit_distance':3.675682 
'global_time':8.176519, 'hit_distance':3.716731 
'global_time':8.189714, 'hit_distance':3.704882 
'global_time':8.203571, 'hit_distance':3.701915 
'global_time':8.213736, 'hit_distance':3.750228 
'global_time':8.225709, 'hit_distance':3.523308 
'global_time':8.238296, 'hit_distance':3.352171 
'global_time':8.414483, 'hit_distance':3.416579 
'global_time':8.425988, 'hit_distance':3.43393 
'global_time':8.43904, 'hit_distance':3.413181 
'global_time':8.449944, 'hit_distance':3.401831 
'global_time':8.461386, 'hit_distance':3.388067 
'global_time':8.473355, 'hit_distance':3.417265 
'global_time':8.485428, 'hit_distance':3.478078 
'global_time':8.497288, 'hit_distance':3.480037 
'global_time':8.508928, 'hit_distance':3.47696 
'global_time':8.521399, 'hit_distance':3.470202 
'global_time':8.535132, 'hit_distance':3.475867 
'global_time':8.546637, 'hit_distance':3.47148 
'global_time':8.558856, 'hit_distance':3.492042 
'global_time':8.569198, 'hit_distance':3.478094 
'global_time':8.648346, 'hit_distance':3.018307 
'global_time':8.72025, 'hit_distance':2.976212 
'global_time':8.733, 'hit_distance':2.95769 
'global_time':8.74491, 'hit_distance':2.960551 
'global_time':8.758161, 'hit_distance':2.964187 
'global_time':8.769339, 'hit_distance':2.961873 
'global_time':8.781011, 'hit_distance':2.958982 
'global_time':8.792845, 'hit_distance':2.95893 
