'global_time':9.160301, 'ChildID':9, 'pos_x':-3, 'pos_y':1, 'pos_z':0, 'is_correct':1, 'activated_time':9.120301,  
'global_time':10.81926, 'ChildID':10, 'pos_x':-3, 'pos_y':2.5, 'pos_z':1.6, 'is_correct':1, 'activated_time':1.658955,  
'global_time':11.74971, 'ChildID':9, 'pos_x':-3, 'pos_y':1, 'pos_z':0, 'is_correct':1, 'activated_time':0.930451,  
'global_time':12.99779, 'ChildID':11, 'pos_x':-3, 'pos_y':1, 'pos_z':1.6, 'is_correct':1, 'activated_time':1.248081,  
'global_time':14.06414, 'ChildID':8, 'pos_x':-3, 'pos_y':2.5, 'pos_z':0, 'is_correct':1, 'activated_time':1.066343,  
'global_time':15.5277, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':1.463563,  
'global_time':17.27044, 'ChildID':7, 'pos_x':-3, 'pos_y':1, 'pos_z':-1.6, 'is_correct':1, 'activated_time':1.74274,  
'global_time':18.07138, 'ChildID':8, 'pos_x':-3, 'pos_y':2.5, 'pos_z':0, 'is_correct':1, 'activated_time':0.8009455,  
'global_time':19.00022, 'ChildID':7, 'pos_x':-3, 'pos_y':1, 'pos_z':-1.6, 'is_correct':1, 'activated_time':0.9288345,  
'global_time':19.86668, 'ChildID':9, 'pos_x':-3, 'pos_y':1, 'pos_z':0, 'is_correct':1, 'activated_time':0.8664461,  
'global_time':21.13762, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':1.270934,  
'global_time':22.46905, 'ChildID':9, 'pos_x':-3, 'pos_y':1, 'pos_z':0, 'is_correct':1, 'activated_time':1.331433,  
'global_time':23.76147, 'ChildID':4, 'pos_x':-1.6, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':1.292422,  
'global_time':24.73079, 'ChildID':9, 'pos_x':-3, 'pos_y':1, 'pos_z':0, 'is_correct':1, 'activated_time':0.9693158,  
'global_time':25.78073, 'ChildID':5, 'pos_x':-1.6, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':1.04995,  
'global_time':27.67159, 'ChildID':7, 'pos_x':-3, 'pos_y':1, 'pos_z':-1.6, 'is_correct':1, 'activated_time':1.890862,  
'global_time':28.91344, 'ChildID':5, 'pos_x':-1.6, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':1.241852,  
'global_time':29.70797, 'ChildID':4, 'pos_x':-1.6, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.7945259,  
