'gaze_vector':0.02, 'gaze_vector_x':-0.0112915, 'gaze_vector_y':-0.4600067, 'gaze_vector_z':0.8878326
'gaze_vector':0.04, 'gaze_vector_x':-0.0329895, 'gaze_vector_y':-0.4796448, 'gaze_vector_z':0.8768311
'gaze_vector':0.3733333, 'gaze_vector_x':-0.01754057, 'gaze_vector_y':-0.9649432, 'gaze_vector_z':0.2618509
'gaze_vector':0.4158515, 'gaze_vector_x':0.009216689, 'gaze_vector_y':-0.9847033, 'gaze_vector_z':0.1739064
'gaze_vector':0.4301465, 'gaze_vector_x':0.02325415, 'gaze_vector_y':-0.9773502, 'gaze_vector_z':0.2102582
'gaze_vector':0.4455, 'gaze_vector_x':0.02998608, 'gaze_vector_y':-0.9750108, 'gaze_vector_z':0.2200961
'gaze_vector':0.4590138, 'gaze_vector_x':0.01745631, 'gaze_vector_y':-0.9754064, 'gaze_vector_z':0.219654
'gaze_vector':0.4706084, 'gaze_vector_x':0.02725698, 'gaze_vector_y':-0.9753447, 'gaze_vector_z':0.2189519
'gaze_vector':0.4835573, 'gaze_vector_x':0.02130252, 'gaze_vector_y':-0.9723924, 'gaze_vector_z':0.2323315
'gaze_vector':0.4937772, 'gaze_vector_x':0.03321102, 'gaze_vector_y':-0.9707075, 'gaze_vector_z':0.2379126
'gaze_vector':0.5054787, 'gaze_vector_x':0.01427205, 'gaze_vector_y':-0.9724895, 'gaze_vector_z':0.2324803
'gaze_vector':0.5199999, 'gaze_vector_x':0.01661364, 'gaze_vector_y':-0.9725356, 'gaze_vector_z':0.2321171
'gaze_vector':0.5296047, 'gaze_vector_x':0.02077711, 'gaze_vector_y':-0.9731216, 'gaze_vector_z':0.2292864
'gaze_vector':0.541023, 'gaze_vector_x':0.03627405, 'gaze_vector_y':-0.9688403, 'gaze_vector_z':0.2449624
'gaze_vector':0.5524436, 'gaze_vector_x':0.02298519, 'gaze_vector_y':-0.9689461, 'gaze_vector_z':0.2461608
'gaze_vector':0.5640553, 'gaze_vector_x':0.02911615, 'gaze_vector_y':-0.9688349, 'gaze_vector_z':0.245946
'gaze_vector':0.5747144, 'gaze_vector_x':0.03906733, 'gaze_vector_y':-0.9642172, 'gaze_vector_z':0.2622101
'gaze_vector':0.5875624, 'gaze_vector_x':0.03219599, 'gaze_vector_y':-0.9657915, 'gaze_vector_z':0.2572815
'gaze_vector':0.6022067, 'gaze_vector_x':0.03951237, 'gaze_vector_y':-0.9634367, 'gaze_vector_z':0.2649537
'gaze_vector':0.6134414, 'gaze_vector_x':0.03912774, 'gaze_vector_y':-0.9608455, 'gaze_vector_z':0.2742599
'gaze_vector':0.6249629, 'gaze_vector_x':0.03865778, 'gaze_vector_y':-0.958254, 'gaze_vector_z':0.2832748
'gaze_vector':0.6368507, 'gaze_vector_x':0.02517619, 'gaze_vector_y':-0.9574413, 'gaze_vector_z':0.2874838
'gaze_vector':0.6493014, 'gaze_vector_x':0.02745242, 'gaze_vector_y':-0.9619982, 'gaze_vector_z':0.271599
'gaze_vector':0.6606488, 'gaze_vector_x':0.04276154, 'gaze_vector_y':-0.961583, 'gaze_vector_z':0.2711112
'gaze_vector':0.6731181, 'gaze_vector_x':0.05295403, 'gaze_vector_y':-0.965049, 'gaze_vector_z':0.2566094
'gaze_vector':0.6878102, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.70196, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.7144488, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.7254301, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.7391343, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.7506702, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.7630831, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.7758348, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.7898362, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.8010242, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.8150468, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.8260016, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
