'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.04, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.3733333, 'head_vector_x':0.02919041, 'head_vector_y':-0.7259498, 'head_vector_z':0.6871279
'global_time':0.4158515, 'head_vector_x':0.04163397, 'head_vector_y':-0.7852504, 'head_vector_z':0.617777
'global_time':0.4301465, 'head_vector_x':0.03732391, 'head_vector_y':-0.7820582, 'head_vector_z':0.6220869
'global_time':0.4455, 'head_vector_x':0.03575538, 'head_vector_y':-0.7797695, 'head_vector_z':0.6250448
'global_time':0.4590138, 'head_vector_x':0.03328921, 'head_vector_y':-0.7768192, 'head_vector_z':0.6288433
'global_time':0.4706084, 'head_vector_x':0.03263225, 'head_vector_y':-0.7760265, 'head_vector_z':0.6298555
'global_time':0.4835573, 'head_vector_x':0.03210827, 'head_vector_y':-0.7754689, 'head_vector_z':0.6305687
'global_time':0.4937772, 'head_vector_x':0.03250394, 'head_vector_y':-0.7750728, 'head_vector_z':0.6310353
'global_time':0.5054787, 'head_vector_x':0.0328857, 'head_vector_y':-0.7738392, 'head_vector_z':0.6325278
'global_time':0.5199999, 'head_vector_x':0.03350206, 'head_vector_y':-0.7721016, 'head_vector_z':0.6346155
'global_time':0.5296047, 'head_vector_x':0.03447971, 'head_vector_y':-0.7705509, 'head_vector_z':0.6364452
'global_time':0.541023, 'head_vector_x':0.0350295, 'head_vector_y':-0.7691112, 'head_vector_z':0.6381542
'global_time':0.5524436, 'head_vector_x':0.03551285, 'head_vector_y':-0.7677, 'head_vector_z':0.6398247
'global_time':0.5640553, 'head_vector_x':0.03611567, 'head_vector_y':-0.7663814, 'head_vector_z':0.6413698
'global_time':0.5747144, 'head_vector_x':0.03672279, 'head_vector_y':-0.7652521, 'head_vector_z':0.6426826
'global_time':0.5875624, 'head_vector_x':0.03736662, 'head_vector_y':-0.7635521, 'head_vector_z':0.6446643
'global_time':0.6022067, 'head_vector_x':0.03774518, 'head_vector_y':-0.7612818, 'head_vector_z':0.6473218
'global_time':0.6134414, 'head_vector_x':0.03876343, 'head_vector_y':-0.7549279, 'head_vector_z':0.6546612
'global_time':0.6249629, 'head_vector_x':0.03900104, 'head_vector_y':-0.7516098, 'head_vector_z':0.6584539
'global_time':0.6368507, 'head_vector_x':0.03942597, 'head_vector_y':-0.7479261, 'head_vector_z':0.6626102
'global_time':0.6493014, 'head_vector_x':0.03985721, 'head_vector_y':-0.7439615, 'head_vector_z':0.6670327
'global_time':0.6606488, 'head_vector_x':0.04022475, 'head_vector_y':-0.7395983, 'head_vector_z':0.6718454
'global_time':0.6731181, 'head_vector_x':0.04074948, 'head_vector_y':-0.7349917, 'head_vector_z':0.6768506
'global_time':0.6878102, 'head_vector_x':0.04142788, 'head_vector_y':-0.7302489, 'head_vector_z':0.681924
'global_time':0.70196, 'head_vector_x':0.04239896, 'head_vector_y':-0.725033, 'head_vector_z':0.6874077
'global_time':0.7144488, 'head_vector_x':0.04431304, 'head_vector_y':-0.7153267, 'head_vector_z':0.6973837
'global_time':0.7254301, 'head_vector_x':0.04526176, 'head_vector_y':-0.7109817, 'head_vector_z':0.7017523
'global_time':0.7391343, 'head_vector_x':0.04634971, 'head_vector_y':-0.7068602, 'head_vector_z':0.705833
'global_time':0.7506702, 'head_vector_x':0.04749305, 'head_vector_y':-0.7029889, 'head_vector_z':0.7096133
'global_time':0.7630831, 'head_vector_x':0.04892747, 'head_vector_y':-0.699301, 'head_vector_z':0.7131509
'global_time':0.7758348, 'head_vector_x':0.0501924, 'head_vector_y':-0.6964245, 'head_vector_z':0.7158726
'global_time':0.7898362, 'head_vector_x':0.05129505, 'head_vector_y':-0.6939348, 'head_vector_z':0.7182084
'global_time':0.8010242, 'head_vector_x':0.05381696, 'head_vector_y':-0.6910511, 'head_vector_z':0.7207996
'global_time':0.8150468, 'head_vector_x':0.05480003, 'head_vector_y':-0.6891674, 'head_vector_z':0.722527
'global_time':0.8260016, 'head_vector_x':0.05556948, 'head_vector_y':-0.6867079, 'head_vector_z':0.7248064
'global_time':0.8391129, 'head_vector_x':0.05638874, 'head_vector_y':-0.6839311, 'head_vector_z':0.7273641
'global_time':0.8490379, 'head_vector_x':0.0568562, 'head_vector_y':-0.6815767, 'head_vector_z':0.7295344
'global_time':0.861519, 'head_vector_x':0.05701958, 'head_vector_y':-0.6792921, 'head_vector_z':0.7316495
'global_time':0.8724871, 'head_vector_x':0.05741694, 'head_vector_y':-0.6773494, 'head_vector_z':0.7334174
'global_time':0.8833567, 'head_vector_x':0.05785439, 'head_vector_y':-0.6750969, 'head_vector_z':0.7354571
'global_time':0.8927223, 'head_vector_x':0.0583173, 'head_vector_y':-0.6724766, 'head_vector_z':0.7378172
'global_time':0.9042524, 'head_vector_x':0.05892588, 'head_vector_y':-0.6689836, 'head_vector_z':0.7409377
'global_time':0.9157419, 'head_vector_x':0.05955187, 'head_vector_y':-0.6642152, 'head_vector_z':0.7451656
'global_time':0.9266136, 'head_vector_x':0.06033525, 'head_vector_y':-0.6593562, 'head_vector_z':0.7494059
'global_time':0.940819, 'head_vector_x':0.06096052, 'head_vector_y':-0.6540323, 'head_vector_z':0.7540063
'global_time':0.9502485, 'head_vector_x':0.06136795, 'head_vector_y':-0.6489473, 'head_vector_z':0.7583545
'global_time':0.9616479, 'head_vector_x':0.06171796, 'head_vector_y':-0.6446043, 'head_vector_z':0.7620211
'global_time':0.9729567, 'head_vector_x':0.06222688, 'head_vector_y':-0.6396505, 'head_vector_z':0.766143
'global_time':0.9823583, 'head_vector_x':0.06290631, 'head_vector_y':-0.6338363, 'head_vector_z':0.7709048
'global_time':0.9941052, 'head_vector_x':0.06374168, 'head_vector_y':-0.6264946, 'head_vector_z':0.776815
'global_time':1.00581, 'head_vector_x':0.06463598, 'head_vector_y':-0.6181922, 'head_vector_z':0.783365
'global_time':1.018423, 'head_vector_x':0.06590205, 'head_vector_y':-0.6093958, 'head_vector_z':0.7901226
'global_time':1.030669, 'head_vector_x':0.06706784, 'head_vector_y':-0.6013848, 'head_vector_z':0.7961396
'global_time':1.044804, 'head_vector_x':0.06828094, 'head_vector_y':-0.5946562, 'head_vector_z':0.8010753
'global_time':1.057018, 'head_vector_x':0.06959486, 'head_vector_y':-0.5791379, 'head_vector_z':0.8122536
'global_time':1.067536, 'head_vector_x':0.06917837, 'head_vector_y':-0.5681767, 'head_vector_z':0.8199936
'global_time':1.081524, 'head_vector_x':0.06909494, 'head_vector_y':-0.5547829, 'head_vector_z':0.8291211
'global_time':1.09416, 'head_vector_x':0.0689878, 'head_vector_y':-0.5399851, 'head_vector_z':0.8388425
'global_time':1.105883, 'head_vector_x':0.06928809, 'head_vector_y':-0.5260246, 'head_vector_z':0.8476422
'global_time':1.116945, 'head_vector_x':0.07023312, 'head_vector_y':-0.5124449, 'head_vector_z':0.8558432
'global_time':1.130479, 'head_vector_x':0.07092519, 'head_vector_y':-0.499437, 'head_vector_z':0.8634421
'global_time':1.142852, 'head_vector_x':0.07157329, 'head_vector_y':-0.4870107, 'head_vector_z':0.8704584
'global_time':1.155707, 'head_vector_x':0.07283776, 'head_vector_y':-0.4748779, 'head_vector_z':0.8770323
'global_time':1.167764, 'head_vector_x':0.0752515, 'head_vector_y':-0.4516242, 'head_vector_z':0.8890291
'global_time':1.18009, 'head_vector_x':0.07673381, 'head_vector_y':-0.4411334, 'head_vector_z':0.894155
'global_time':1.191955, 'head_vector_x':0.07769179, 'head_vector_y':-0.4318142, 'head_vector_z':0.8986103
'global_time':1.201578, 'head_vector_x':0.07846502, 'head_vector_y':-0.4222073, 'head_vector_z':0.903097
'global_time':1.213519, 'head_vector_x':0.07954957, 'head_vector_y':-0.4124218, 'head_vector_z':0.9075131
'global_time':1.223797, 'head_vector_x':0.08036837, 'head_vector_y':-0.4023091, 'head_vector_z':0.9119695
'global_time':1.234679, 'head_vector_x':0.08140077, 'head_vector_y':-0.3919864, 'head_vector_z':0.9163627
'global_time':1.246904, 'head_vector_x':0.08227399, 'head_vector_y':-0.380704, 'head_vector_z':0.9210296
'global_time':1.258757, 'head_vector_x':0.08267045, 'head_vector_y':-0.3688489, 'head_vector_z':0.9258057
'global_time':1.274021, 'head_vector_x':0.08277927, 'head_vector_y':-0.3565314, 'head_vector_z':0.9306089
'global_time':1.285076, 'head_vector_x':0.08265557, 'head_vector_y':-0.3438513, 'head_vector_z':0.9353793
'global_time':1.295863, 'head_vector_x':0.08221195, 'head_vector_y':-0.331459, 'head_vector_z':0.9398809
'global_time':1.307053, 'head_vector_x':0.08197639, 'head_vector_y':-0.3190189, 'head_vector_z':0.9441964
'global_time':1.316007, 'head_vector_x':0.08211661, 'head_vector_y':-0.3066722, 'head_vector_z':0.9482663
'global_time':1.325691, 'head_vector_x':0.08226881, 'head_vector_y':-0.294322, 'head_vector_z':0.9521588
'global_time':1.337647, 'head_vector_x':0.08226434, 'head_vector_y':-0.2813898, 'head_vector_z':0.9560609
'global_time':1.34953, 'head_vector_x':0.08150426, 'head_vector_y':-0.2677982, 'head_vector_z':0.9600215
'global_time':1.361785, 'head_vector_x':0.08102757, 'head_vector_y':-0.2545603, 'head_vector_z':0.9636564
'global_time':1.373655, 'head_vector_x':0.0804632, 'head_vector_y':-0.2413468, 'head_vector_z':0.9670974
'global_time':1.38448, 'head_vector_x':0.07968833, 'head_vector_y':-0.2277926, 'head_vector_z':0.9704434
'global_time':1.395111, 'head_vector_x':0.07858488, 'head_vector_y':-0.2131923, 'head_vector_z':0.9738446
'global_time':1.409122, 'head_vector_x':0.07692546, 'head_vector_y':-0.1985042, 'head_vector_z':0.9770765
'global_time':1.424195, 'head_vector_x':0.07504316, 'head_vector_y':-0.1832712, 'head_vector_z':0.980194
'global_time':1.437306, 'head_vector_x':0.07084946, 'head_vector_y':-0.1512497, 'head_vector_z':0.9859533
'global_time':1.448723, 'head_vector_x':0.06771529, 'head_vector_y':-0.1320246, 'head_vector_z':0.9889308
'global_time':1.458641, 'head_vector_x':0.06436956, 'head_vector_y':-0.1129522, 'head_vector_z':0.9915132
'global_time':1.47036, 'head_vector_x':0.06000316, 'head_vector_y':-0.0921835, 'head_vector_z':0.9939325
'global_time':1.803694, 'head_vector_x':0.0557989, 'head_vector_y':-0.07239328, 'head_vector_z':0.9958141
'global_time':1.823099, 'head_vector_x':0.0989912, 'head_vector_y':0.2449956, 'head_vector_z':0.9644573
'global_time':1.836249, 'head_vector_x':0.1011134, 'head_vector_y':0.246726, 'head_vector_z':0.9637958
'global_time':1.850875, 'head_vector_x':0.103507, 'head_vector_y':0.2480665, 'head_vector_z':0.9631975
'global_time':1.863155, 'head_vector_x':0.1093946, 'head_vector_y':0.2505704, 'head_vector_z':0.9618978
'global_time':1.875731, 'head_vector_x':0.1129504, 'head_vector_y':0.2519625, 'head_vector_z':0.9611228
'global_time':1.88763, 'head_vector_x':0.1160949, 'head_vector_y':0.2529978, 'head_vector_z':0.960476
'global_time':1.901348, 'head_vector_x':0.1193031, 'head_vector_y':0.2533935, 'head_vector_z':0.9599784
'global_time':1.911893, 'head_vector_x':0.122355, 'head_vector_y':0.2533582, 'head_vector_z':0.9596035
'global_time':1.923745, 'head_vector_x':0.1251855, 'head_vector_y':0.2525421, 'head_vector_z':0.9594535
'global_time':1.936333, 'head_vector_x':0.1283713, 'head_vector_y':0.2519891, 'head_vector_z':0.959178
'global_time':1.94671, 'head_vector_x':0.1312668, 'head_vector_y':0.2513638, 'head_vector_z':0.9589501
'global_time':1.959824, 'head_vector_x':0.1342421, 'head_vector_y':0.2507459, 'head_vector_z':0.9586999
'global_time':1.971699, 'head_vector_x':0.1374378, 'head_vector_y':0.2492515, 'head_vector_z':0.9586368
'global_time':1.983171, 'head_vector_x':0.1407978, 'head_vector_y':0.2480605, 'head_vector_z':0.9584581
'global_time':1.996015, 'head_vector_x':0.1442172, 'head_vector_y':0.2470856, 'head_vector_z':0.9582015
'global_time':2.007568, 'head_vector_x':0.1509648, 'head_vector_y':0.24619, 'head_vector_z':0.9573923
'global_time':2.020182, 'head_vector_x':0.1542343, 'head_vector_y':0.2461692, 'head_vector_z':0.9568765
'global_time':2.03155, 'head_vector_x':0.1575231, 'head_vector_y':0.2467456, 'head_vector_z':0.956192
'global_time':2.044293, 'head_vector_x':0.1606389, 'head_vector_y':0.247335, 'head_vector_z':0.9555211
'global_time':2.054347, 'head_vector_x':0.1635194, 'head_vector_y':0.2477102, 'head_vector_z':0.9549351
'global_time':2.065015, 'head_vector_x':0.1664699, 'head_vector_y':0.2480849, 'head_vector_z':0.9543279
'global_time':2.077325, 'head_vector_x':0.1693159, 'head_vector_y':0.2483747, 'head_vector_z':0.9537516
'global_time':2.088009, 'head_vector_x':0.1720833, 'head_vector_y':0.2488264, 'head_vector_z':0.9531384
'global_time':2.100977, 'head_vector_x':0.174419, 'head_vector_y':0.2495698, 'head_vector_z':0.9525193
'global_time':2.111157, 'head_vector_x':0.1764026, 'head_vector_y':0.2508738, 'head_vector_z':0.9518111
'global_time':2.121213, 'head_vector_x':0.1781053, 'head_vector_y':0.2520856, 'head_vector_z':0.9511737
'global_time':2.134962, 'head_vector_x':0.179616, 'head_vector_y':0.253422, 'head_vector_z':0.9505343
'global_time':2.147341, 'head_vector_x':0.1808147, 'head_vector_y':0.2545205, 'head_vector_z':0.9500133
