'global_time':8.452003, 'hit_distance':3.663716 
'global_time':8.468822, 'hit_distance':3.635244 
'global_time':8.482421, 'hit_distance':3.726476 
'global_time':8.494583, 'hit_distance':3.654169 
'global_time':8.506832, 'hit_distance':3.658788 
'global_time':8.518207, 'hit_distance':3.651874 
'global_time':8.531096, 'hit_distance':3.65086 
'global_time':8.542619, 'hit_distance':3.638439 
'global_time':8.552968, 'hit_distance':3.659614 
'global_time':8.552968, 'hit_distance':3.716443 
'global_time':8.56519, 'hit_distance':3.680405 
'global_time':8.56519, 'hit_distance':3.744601 
'global_time':8.578625, 'hit_distance':3.569037 
'global_time':8.578625, 'hit_distance':3.775146 
'global_time':8.591091, 'hit_distance':3.812434 
'global_time':8.601588, 'hit_distance':3.855722 
'global_time':8.613353, 'hit_distance':3.056818 
'global_time':8.613353, 'hit_distance':3.904159 
'global_time':8.627419, 'hit_distance':2.960413 
'global_time':8.627419, 'hit_distance':3.95975 
'global_time':8.641088, 'hit_distance':2.925683 
'global_time':8.641088, 'hit_distance':4.026845 
'global_time':8.653163, 'hit_distance':2.911117 
'global_time':8.665097, 'hit_distance':2.921884 
'global_time':8.677747, 'hit_distance':2.917135 
'global_time':8.689471, 'hit_distance':2.91421 
'global_time':8.701473, 'hit_distance':2.914026 
'global_time':8.715474, 'hit_distance':2.915585 
'global_time':8.725851, 'hit_distance':2.907897 
'global_time':8.739686, 'hit_distance':2.908236 
'global_time':8.752373, 'hit_distance':2.905633 
'global_time':8.766353, 'hit_distance':2.915025 
'global_time':8.778586, 'hit_distance':2.914823 
'global_time':8.791192, 'hit_distance':2.921452 
'global_time':8.791192, 'hit_distance':3.888524 
'global_time':8.808304, 'hit_distance':2.929887 
'global_time':8.808304, 'hit_distance':3.807649 
'global_time':8.820874, 'hit_distance':2.930618 
'global_time':8.820874, 'hit_distance':3.732781 
'global_time':8.834338, 'hit_distance':2.936078 
'global_time':8.834338, 'hit_distance':3.663354 
'global_time':8.845952, 'hit_distance':2.944921 
'global_time':8.845952, 'hit_distance':3.599543 
'global_time':8.859509, 'hit_distance':2.944503 
'global_time':8.859509, 'hit_distance':3.540282 
'global_time':8.871574, 'hit_distance':2.9535 
'global_time':8.871574, 'hit_distance':3.485808 
'global_time':8.883893, 'hit_distance':2.946862 
'global_time':8.883893, 'hit_distance':3.434562 
'global_time':8.896477, 'hit_distance':2.938542 
'global_time':8.896477, 'hit_distance':3.386572 
'global_time':8.91048, 'hit_distance':2.939888 
'global_time':8.91048, 'hit_distance':3.366875 
'global_time':8.922491, 'hit_distance':2.934172 
'global_time':8.934345, 'hit_distance':2.939596 
'global_time':8.949209, 'hit_distance':2.954276 
'global_time':8.961468, 'hit_distance':2.951078 
'global_time':8.973169, 'hit_distance':2.951819 
'global_time':8.984198, 'hit_distance':2.95272 
'global_time':8.997169, 'hit_distance':2.952301 
'global_time':9.008393, 'hit_distance':2.949204 
'global_time':9.008393, 'hit_distance':3.088464 
'global_time':9.020771, 'hit_distance':2.94685 
'global_time':9.020771, 'hit_distance':3.066655 
'global_time':9.032471, 'hit_distance':2.947502 
'global_time':9.032471, 'hit_distance':3.046767 
'global_time':9.045046, 'hit_distance':2.948489 
'global_time':9.045046, 'hit_distance':3.028692 
'global_time':9.055473, 'hit_distance':2.948512 
'global_time':9.055473, 'hit_distance':3.012324 
'global_time':9.068802, 'hit_distance':2.948019 
'global_time':9.068802, 'hit_distance':3.004601 
'global_time':9.082973, 'hit_distance':2.94879 
'global_time':9.082973, 'hit_distance':2.997388 
'global_time':9.095062, 'hit_distance':2.949741 
'global_time':9.095062, 'hit_distance':2.989972 
'global_time':9.108293, 'hit_distance':2.950218 
'global_time':9.108293, 'hit_distance':2.983004 
'global_time':9.120739, 'hit_distance':2.951348 
'global_time':9.120739, 'hit_distance':2.976409 
'global_time':9.13605, 'hit_distance':2.948712 
'global_time':9.13605, 'hit_distance':2.970035 
'global_time':9.149103, 'hit_distance':2.952111 
'global_time':9.149103, 'hit_distance':2.964092 
'global_time':9.160301, 'hit_distance':2.948368 
'global_time':9.160301, 'hit_distance':2.958395 
'global_time':9.175227, 'hit_distance':2.95748 
'global_time':9.175227, 'hit_distance':2.952845 
'global_time':9.189001, 'hit_distance':2.956739 
'global_time':9.189001, 'hit_distance':2.947529 
'global_time':9.201382, 'hit_distance':2.99246 
'global_time':9.201382, 'hit_distance':2.943565 
'global_time':9.215446, 'hit_distance':3.073546 
'global_time':9.215446, 'hit_distance':2.942299 
'global_time':9.227069, 'hit_distance':3.120234 
'global_time':9.227069, 'hit_distance':2.942561 
'global_time':9.241677, 'hit_distance':3.129574 
'global_time':9.241677, 'hit_distance':2.943437 
'global_time':9.253026, 'hit_distance':3.12323 
'global_time':9.253026, 'hit_distance':2.945658 
'global_time':9.264295, 'hit_distance':3.115228 
'global_time':9.264295, 'hit_distance':2.948709 
'global_time':9.275626, 'hit_distance':3.114737 
'global_time':9.275626, 'hit_distance':2.952639 
'global_time':9.289126, 'hit_distance':3.106933 
'global_time':9.289126, 'hit_distance':2.955694 
'global_time':9.301192, 'hit_distance':3.10813 
'global_time':9.301192, 'hit_distance':2.959022 
'global_time':9.314381, 'hit_distance':3.107895 
'global_time':9.314381, 'hit_distance':2.962467 
'global_time':9.327084, 'hit_distance':3.111787 
'global_time':9.327084, 'hit_distance':2.965837 
'global_time':9.340165, 'hit_distance':3.111398 
'global_time':9.340165, 'hit_distance':2.969033 
'global_time':9.350885, 'hit_distance':3.111609 
'global_time':9.350885, 'hit_distance':2.972955 
'global_time':9.362733, 'hit_distance':3.111858 
'global_time':9.362733, 'hit_distance':2.976856 
'global_time':9.377683, 'hit_distance':3.113748 
'global_time':9.377683, 'hit_distance':2.980954 
'global_time':9.390991, 'hit_distance':3.101596 
'global_time':9.390991, 'hit_distance':2.984624 
'global_time':9.402362, 'hit_distance':3.105046 
'global_time':9.402362, 'hit_distance':2.988312 
'global_time':9.414657, 'hit_distance':3.12089 
'global_time':9.414657, 'hit_distance':2.992021 
'global_time':9.427057, 'hit_distance':2.995665 
'global_time':9.438846, 'hit_distance':3.00052 
'global_time':9.451536, 'hit_distance':3.005587 
'global_time':9.466292, 'hit_distance':3.488826 
'global_time':9.466292, 'hit_distance':3.01107 
'global_time':9.477795, 'hit_distance':3.016988 
'global_time':9.490473, 'hit_distance':3.57177 
'global_time':9.490473, 'hit_distance':3.022909 
'global_time':9.502464, 'hit_distance':3.49006 
'global_time':9.502464, 'hit_distance':3.029349 
'global_time':9.517727, 'hit_distance':3.474051 
'global_time':9.517727, 'hit_distance':3.036355 
'global_time':9.531109, 'hit_distance':3.044035 
'global_time':9.542205, 'hit_distance':3.545118 
'global_time':9.542205, 'hit_distance':3.051544 
'global_time':9.555151, 'hit_distance':3.479367 
'global_time':9.555151, 'hit_distance':3.059161 
'global_time':9.568283, 'hit_distance':3.504267 
'global_time':9.568283, 'hit_distance':3.066663 
'global_time':9.580913, 'hit_distance':3.495567 
'global_time':9.593079, 'hit_distance':3.491104 
'global_time':9.604872, 'hit_distance':3.468963 
'global_time':9.618797, 'hit_distance':3.461941 
'global_time':9.739797, 'hit_distance':3.546123 
'global_time':9.751881, 'hit_distance':3.675343 
'global_time':9.765118, 'hit_distance':3.760738 
'global_time':9.77588, 'hit_distance':3.786302 
'global_time':9.788267, 'hit_distance':3.746264 
'global_time':9.80187, 'hit_distance':3.738806 
'global_time':9.81412, 'hit_distance':3.735221 
'global_time':9.825701, 'hit_distance':3.741056 
'global_time':9.840178, 'hit_distance':3.717355 
'global_time':9.852476, 'hit_distance':3.737434 
'global_time':9.865078, 'hit_distance':3.720037 
'global_time':9.8766, 'hit_distance':3.707542 
'global_time':9.888772, 'hit_distance':3.732471 
'global_time':9.901162, 'hit_distance':3.745613 
'global_time':9.913288, 'hit_distance':3.746759 
'global_time':9.924413, 'hit_distance':3.755438 
'global_time':9.935365, 'hit_distance':3.720623 
'global_time':9.948296, 'hit_distance':3.695604 
'global_time':9.958621, 'hit_distance':3.707756 
'global_time':9.97117, 'hit_distance':3.716807 
'global_time':9.982971, 'hit_distance':3.733989 
'global_time':9.982971, 'hit_distance':3.594896 
'global_time':9.993732, 'hit_distance':3.744709 
'global_time':9.993732, 'hit_distance':3.533097 
'global_time':10.00547, 'hit_distance':3.866917 
'global_time':10.00547, 'hit_distance':3.55476 
'global_time':10.01709, 'hit_distance':3.577559 
'global_time':10.0299, 'hit_distance':3.601128 
'global_time':10.04142, 'hit_distance':3.623115 
'global_time':10.0543, 'hit_distance':3.646197 
'global_time':10.06792, 'hit_distance':3.66648 
'global_time':10.08201, 'hit_distance':3.687063 
'global_time':10.09329, 'hit_distance':3.709079 
'global_time':10.10351, 'hit_distance':3.730908 
'global_time':10.11526, 'hit_distance':3.750821 
'global_time':10.12653, 'hit_distance':3.772635 
'global_time':10.14037, 'hit_distance':3.79479 
'global_time':10.15193, 'hit_distance':3.816712 
'global_time':10.16278, 'hit_distance':3.837352 
'global_time':10.17693, 'hit_distance':3.858801 
'global_time':10.19104, 'hit_distance':3.881354 
'global_time':10.20238, 'hit_distance':3.904936 
'global_time':10.27537, 'hit_distance':3.616843 
'global_time':10.28584, 'hit_distance':3.547938 
'global_time':10.29815, 'hit_distance':3.583613 
'global_time':10.30924, 'hit_distance':3.517685 
'global_time':10.32298, 'hit_distance':3.531421 
'global_time':10.33429, 'hit_distance':3.52319 
'global_time':10.34661, 'hit_distance':3.582458 
'global_time':10.35903, 'hit_distance':3.577935 
'global_time':10.37229, 'hit_distance':3.572889 
'global_time':10.3842, 'hit_distance':3.508388 
'global_time':10.39689, 'hit_distance':3.504824 
'global_time':10.4105, 'hit_distance':3.509123 
'global_time':10.42279, 'hit_distance':3.542276 
'global_time':10.44249, 'hit_distance':3.526405 
'global_time':10.45706, 'hit_distance':3.532907 
'global_time':10.46827, 'hit_distance':3.528212 
'global_time':10.47894, 'hit_distance':3.528584 
'global_time':10.49007, 'hit_distance':3.561313 
'global_time':10.50301, 'hit_distance':3.57216 
'global_time':10.51547, 'hit_distance':3.582005 
'global_time':10.5282, 'hit_distance':3.579031 
'global_time':10.54099, 'hit_distance':3.578184 
'global_time':10.55343, 'hit_distance':3.57394 
'global_time':10.56667, 'hit_distance':3.558335 
'global_time':10.57936, 'hit_distance':3.554667 
'global_time':10.59292, 'hit_distance':3.556305 
'global_time':10.59292, 'hit_distance':3.928383 
'global_time':10.60493, 'hit_distance':3.553363 
'global_time':10.60493, 'hit_distance':3.923458 
'global_time':10.61654, 'hit_distance':3.548351 
'global_time':10.61654, 'hit_distance':3.915553 
'global_time':10.62689, 'hit_distance':3.543386 
'global_time':10.62689, 'hit_distance':3.903324 
'global_time':10.63977, 'hit_distance':3.540944 
'global_time':10.63977, 'hit_distance':3.888077 
'global_time':10.65358, 'hit_distance':3.53804 
'global_time':10.65358, 'hit_distance':3.863291 
'global_time':10.66729, 'hit_distance':3.537718 
'global_time':10.66729, 'hit_distance':3.8384 
'global_time':10.67927, 'hit_distance':3.534232 
'global_time':10.67927, 'hit_distance':3.816035 
'global_time':10.69303, 'hit_distance':3.549318 
'global_time':10.69303, 'hit_distance':3.794454 
'global_time':10.70634, 'hit_distance':3.565802 
'global_time':10.70634, 'hit_distance':3.774056 
'global_time':10.71768, 'hit_distance':3.564795 
'global_time':10.71768, 'hit_distance':3.753658 
'global_time':10.73273, 'hit_distance':3.567223 
'global_time':10.73273, 'hit_distance':3.736432 
'global_time':10.74385, 'hit_distance':3.57168 
'global_time':10.74385, 'hit_distance':3.718632 
