'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.04, 'gaze_vector_x':-0.2103424, 'gaze_vector_y':0.03933716, 'gaze_vector_z':0.9768219
'gaze_vector':0.3733333, 'gaze_vector_x':0.3853985, 'gaze_vector_y':-0.0615341, 'gaze_vector_z':0.9206904
'gaze_vector':0.4298653, 'gaze_vector_x':0.4385132, 'gaze_vector_y':-0.04481307, 'gaze_vector_z':0.8975875
'gaze_vector':0.444181, 'gaze_vector_x':0.4395051, 'gaze_vector_y':-0.04200827, 'gaze_vector_z':0.8972515
'gaze_vector':0.4539024, 'gaze_vector_x':0.3931952, 'gaze_vector_y':-0.04927991, 'gaze_vector_z':0.9181175
'gaze_vector':0.4647075, 'gaze_vector_x':0.3274316, 'gaze_vector_y':-0.03402036, 'gaze_vector_z':0.9442521
'gaze_vector':0.4761399, 'gaze_vector_x':0.2640991, 'gaze_vector_y':-0.02774252, 'gaze_vector_z':0.9640858
'gaze_vector':0.4868828, 'gaze_vector_x':0.1642593, 'gaze_vector_y':-0.02577661, 'gaze_vector_z':0.9860663
'gaze_vector':0.4980007, 'gaze_vector_x':0.1055967, 'gaze_vector_y':-0.0180808, 'gaze_vector_z':0.9942417
'gaze_vector':0.5092344, 'gaze_vector_x':0.05754642, 'gaze_vector_y':0.002044875, 'gaze_vector_z':0.9983315
'gaze_vector':0.5209104, 'gaze_vector_x':0.03713034, 'gaze_vector_y':0.02823062, 'gaze_vector_z':0.9989074
'gaze_vector':0.5320928, 'gaze_vector_x':0.0347475, 'gaze_vector_y':0.02458717, 'gaze_vector_z':0.9990845
'gaze_vector':0.542591, 'gaze_vector_x':0.03265953, 'gaze_vector_y':0.02122327, 'gaze_vector_z':0.9992394
'gaze_vector':0.5538149, 'gaze_vector_x':0.0317291, 'gaze_vector_y':0.01906095, 'gaze_vector_z':0.9993002
'gaze_vector':0.5653998, 'gaze_vector_x':0.03097707, 'gaze_vector_y':0.015429, 'gaze_vector_z':0.9993935
'gaze_vector':0.5758331, 'gaze_vector_x':0.0294641, 'gaze_vector_y':0.01164959, 'gaze_vector_z':0.9994867
'gaze_vector':0.5878344, 'gaze_vector_x':0.0305915, 'gaze_vector_y':0.01375413, 'gaze_vector_z':0.9994336
'gaze_vector':0.5995418, 'gaze_vector_x':0.02650489, 'gaze_vector_y':0.01558742, 'gaze_vector_z':0.9995182
