'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':0.04, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':0.3733333, 'head_position_x':-0.0439266, 'head_position_y':1.739447, 'head_position_z':-0.4887726
'global_time':0.4298653, 'head_position_x':-0.002382135, 'head_position_y':1.744414, 'head_position_z':-0.4821336
'global_time':0.444181, 'head_position_x':0.002758074, 'head_position_y':1.745257, 'head_position_z':-0.481443
'global_time':0.4539024, 'head_position_x':0.004494044, 'head_position_y':1.745538, 'head_position_z':-0.4812583
'global_time':0.4647075, 'head_position_x':0.006355627, 'head_position_y':1.745829, 'head_position_z':-0.4810859
'global_time':0.4761399, 'head_position_x':0.008055842, 'head_position_y':1.746073, 'head_position_z':-0.4809504
'global_time':0.4868828, 'head_position_x':0.009607619, 'head_position_y':1.746377, 'head_position_z':-0.4807685
'global_time':0.4980007, 'head_position_x':0.01134338, 'head_position_y':1.746775, 'head_position_z':-0.48071
'global_time':0.5092344, 'head_position_x':0.01297509, 'head_position_y':1.747179, 'head_position_z':-0.4805457
'global_time':0.5209104, 'head_position_x':0.0144344, 'head_position_y':1.747528, 'head_position_z':-0.4804146
'global_time':0.5320928, 'head_position_x':0.01600086, 'head_position_y':1.747909, 'head_position_z':-0.4802406
'global_time':0.542591, 'head_position_x':0.01754306, 'head_position_y':1.748247, 'head_position_z':-0.4800168
'global_time':0.5538149, 'head_position_x':0.01906891, 'head_position_y':1.748752, 'head_position_z':-0.4798937
'global_time':0.5653998, 'head_position_x':0.02036903, 'head_position_y':1.749099, 'head_position_z':-0.4797144
'global_time':0.5758331, 'head_position_x':0.02165536, 'head_position_y':1.749503, 'head_position_z':-0.4795489
'global_time':0.5878344, 'head_position_x':0.02297104, 'head_position_y':1.749929, 'head_position_z':-0.4792331
'global_time':0.5995418, 'head_position_x':0.02412765, 'head_position_y':1.750391, 'head_position_z':-0.478979
'global_time':0.6093048, 'head_position_x':0.02498538, 'head_position_y':1.750911, 'head_position_z':-0.4786496
'global_time':0.6192629, 'head_position_x':0.02569525, 'head_position_y':1.751351, 'head_position_z':-0.4782194
'global_time':0.6336493, 'head_position_x':0.02613726, 'head_position_y':1.751794, 'head_position_z':-0.4779553
'global_time':0.6443792, 'head_position_x':0.02642638, 'head_position_y':1.752242, 'head_position_z':-0.4775665
'global_time':0.663053, 'head_position_x':0.026417, 'head_position_y':1.752754, 'head_position_z':-0.4769394
'global_time':0.6739511, 'head_position_x':0.0263078, 'head_position_y':1.75291, 'head_position_z':-0.4767721
'global_time':0.6861026, 'head_position_x':0.0260302, 'head_position_y':1.753033, 'head_position_z':-0.4766016
'global_time':0.698985, 'head_position_x':0.02583321, 'head_position_y':1.75331, 'head_position_z':-0.4762524
'global_time':0.7105678, 'head_position_x':0.02558021, 'head_position_y':1.753501, 'head_position_z':-0.4761214
'global_time':0.722037, 'head_position_x':0.02532618, 'head_position_y':1.753671, 'head_position_z':-0.4759408
'global_time':0.7349606, 'head_position_x':0.025008, 'head_position_y':1.753725, 'head_position_z':-0.4759008
'global_time':0.7477869, 'head_position_x':0.0248227, 'head_position_y':1.753968, 'head_position_z':-0.475879
'global_time':0.7600194, 'head_position_x':0.02475993, 'head_position_y':1.754012, 'head_position_z':-0.4758643
'global_time':0.7717535, 'head_position_x':0.02500992, 'head_position_y':1.754151, 'head_position_z':-0.4758931
'global_time':0.7840548, 'head_position_x':0.02555265, 'head_position_y':1.754208, 'head_position_z':-0.4759785
'global_time':0.7953013, 'head_position_x':0.02616148, 'head_position_y':1.754361, 'head_position_z':-0.4762012
'global_time':0.806811, 'head_position_x':0.02702742, 'head_position_y':1.754349, 'head_position_z':-0.4764047
'global_time':0.8192979, 'head_position_x':0.02792848, 'head_position_y':1.754287, 'head_position_z':-0.4765274
'global_time':0.8321962, 'head_position_x':0.02897499, 'head_position_y':1.754262, 'head_position_z':-0.4767648
'global_time':0.8426079, 'head_position_x':0.03034419, 'head_position_y':1.754307, 'head_position_z':-0.4772195
'global_time':0.854855, 'head_position_x':0.03163886, 'head_position_y':1.754303, 'head_position_z':-0.4774177
'global_time':0.8642791, 'head_position_x':0.03323461, 'head_position_y':1.754281, 'head_position_z':-0.4776657
'global_time':0.8765387, 'head_position_x':0.0348216, 'head_position_y':1.754272, 'head_position_z':-0.4778353
'global_time':0.8889232, 'head_position_x':0.03654566, 'head_position_y':1.754259, 'head_position_z':-0.4783271
'global_time':0.9034238, 'head_position_x':0.03864767, 'head_position_y':1.754205, 'head_position_z':-0.4788181
'global_time':0.9149953, 'head_position_x':0.04265659, 'head_position_y':1.753957, 'head_position_z':-0.4793519
'global_time':0.9270861, 'head_position_x':0.04472096, 'head_position_y':1.753765, 'head_position_z':-0.479738
'global_time':0.9386472, 'head_position_x':0.0470099, 'head_position_y':1.753692, 'head_position_z':-0.4801016
'global_time':0.950333, 'head_position_x':0.04924156, 'head_position_y':1.753589, 'head_position_z':-0.4803364
'global_time':0.9632803, 'head_position_x':0.05130738, 'head_position_y':1.753486, 'head_position_z':-0.4807988
'global_time':0.9746915, 'head_position_x':0.05361434, 'head_position_y':1.753538, 'head_position_z':-0.4813443
'global_time':0.9875848, 'head_position_x':0.05568186, 'head_position_y':1.753645, 'head_position_z':-0.4816625
'global_time':0.9993339, 'head_position_x':0.05756945, 'head_position_y':1.753697, 'head_position_z':-0.4822567
'global_time':1.011204, 'head_position_x':0.05945989, 'head_position_y':1.753758, 'head_position_z':-0.4826041
'global_time':1.023353, 'head_position_x':0.061332, 'head_position_y':1.753757, 'head_position_z':-0.4829497
'global_time':1.035605, 'head_position_x':0.06318362, 'head_position_y':1.753926, 'head_position_z':-0.4833263
'global_time':1.048028, 'head_position_x':0.0660535, 'head_position_y':1.754153, 'head_position_z':-0.4841416
'global_time':1.05976, 'head_position_x':0.06738327, 'head_position_y':1.75442, 'head_position_z':-0.4844977
'global_time':1.07319, 'head_position_x':0.0683697, 'head_position_y':1.754644, 'head_position_z':-0.4848281
'global_time':1.085864, 'head_position_x':0.06918273, 'head_position_y':1.754774, 'head_position_z':-0.485143
'global_time':1.09753, 'head_position_x':0.07014555, 'head_position_y':1.754841, 'head_position_z':-0.485635
'global_time':1.110159, 'head_position_x':0.07086865, 'head_position_y':1.754921, 'head_position_z':-0.4859892
'global_time':1.123243, 'head_position_x':0.07138646, 'head_position_y':1.754933, 'head_position_z':-0.4864063
'global_time':1.135363, 'head_position_x':0.07190224, 'head_position_y':1.754925, 'head_position_z':-0.4867827
'global_time':1.148692, 'head_position_x':0.07300789, 'head_position_y':1.754917, 'head_position_z':-0.4876708
'global_time':1.165247, 'head_position_x':0.07328106, 'head_position_y':1.754758, 'head_position_z':-0.4880889
'global_time':1.177555, 'head_position_x':0.07381538, 'head_position_y':1.754673, 'head_position_z':-0.4884616
'global_time':1.190265, 'head_position_x':0.07427693, 'head_position_y':1.754581, 'head_position_z':-0.4888813
'global_time':1.201275, 'head_position_x':0.07457452, 'head_position_y':1.754438, 'head_position_z':-0.4894565
'global_time':1.214945, 'head_position_x':0.07560045, 'head_position_y':1.75439, 'head_position_z':-0.4903222
'global_time':1.226227, 'head_position_x':0.0759431, 'head_position_y':1.754292, 'head_position_z':-0.4907372
'global_time':1.238755, 'head_position_x':0.07619697, 'head_position_y':1.754121, 'head_position_z':-0.4913124
'global_time':1.25074, 'head_position_x':0.07647732, 'head_position_y':1.754019, 'head_position_z':-0.4917528
'global_time':1.262669, 'head_position_x':0.07685295, 'head_position_y':1.754045, 'head_position_z':-0.4922489
'global_time':1.275096, 'head_position_x':0.07703215, 'head_position_y':1.753943, 'head_position_z':-0.4927062
'global_time':1.284897, 'head_position_x':0.07732745, 'head_position_y':1.753906, 'head_position_z':-0.4930975
'global_time':1.297959, 'head_position_x':0.07770561, 'head_position_y':1.753909, 'head_position_z':-0.4934738
'global_time':1.310023, 'head_position_x':0.07798711, 'head_position_y':1.753849, 'head_position_z':-0.4938524
'global_time':1.32416, 'head_position_x':0.07811102, 'head_position_y':1.753746, 'head_position_z':-0.494226
'global_time':1.33603, 'head_position_x':0.07828082, 'head_position_y':1.75369, 'head_position_z':-0.494616
'global_time':1.350377, 'head_position_x':0.07865947, 'head_position_y':1.753659, 'head_position_z':-0.4954293
'global_time':1.365282, 'head_position_x':0.07868303, 'head_position_y':1.753579, 'head_position_z':-0.4959192
'global_time':1.375807, 'head_position_x':0.07883596, 'head_position_y':1.753538, 'head_position_z':-0.4962742
'global_time':1.386527, 'head_position_x':0.07888519, 'head_position_y':1.753395, 'head_position_z':-0.4966472
'global_time':1.399816, 'head_position_x':0.07879124, 'head_position_y':1.753219, 'head_position_z':-0.4969895
'global_time':1.410137, 'head_position_x':0.07874448, 'head_position_y':1.753058, 'head_position_z':-0.4973595
'global_time':1.422229, 'head_position_x':0.0788284, 'head_position_y':1.752957, 'head_position_z':-0.4976009
'global_time':1.435808, 'head_position_x':0.07844602, 'head_position_y':1.75259, 'head_position_z':-0.498014
'global_time':1.448718, 'head_position_x':0.07821637, 'head_position_y':1.752425, 'head_position_z':-0.4983506
'global_time':1.459719, 'head_position_x':0.07809649, 'head_position_y':1.752317, 'head_position_z':-0.4983657
'global_time':1.472292, 'head_position_x':0.07782717, 'head_position_y':1.752212, 'head_position_z':-0.4985926
'global_time':1.485407, 'head_position_x':0.0775706, 'head_position_y':1.752188, 'head_position_z':-0.4988465
'global_time':1.497188, 'head_position_x':0.07735132, 'head_position_y':1.75226, 'head_position_z':-0.4988827
'global_time':1.509519, 'head_position_x':0.07705035, 'head_position_y':1.752348, 'head_position_z':-0.499065
'global_time':1.521359, 'head_position_x':0.07654905, 'head_position_y':1.752447, 'head_position_z':-0.4991335
'global_time':1.533467, 'head_position_x':0.07614854, 'head_position_y':1.752527, 'head_position_z':-0.4992982
'global_time':1.546215, 'head_position_x':0.07577577, 'head_position_y':1.752588, 'head_position_z':-0.4993235
'global_time':1.559222, 'head_position_x':0.07475571, 'head_position_y':1.752467, 'head_position_z':-0.499705
'global_time':1.569512, 'head_position_x':0.07430635, 'head_position_y':1.752558, 'head_position_z':-0.4998228
'global_time':1.582359, 'head_position_x':0.07380168, 'head_position_y':1.752695, 'head_position_z':-0.4999614
'global_time':1.592951, 'head_position_x':0.07317706, 'head_position_y':1.752863, 'head_position_z':-0.4997778
'global_time':1.605679, 'head_position_x':0.07267324, 'head_position_y':1.753061, 'head_position_z':-0.4997995
'global_time':1.618047, 'head_position_x':0.07222114, 'head_position_y':1.753318, 'head_position_z':-0.4994028
'global_time':1.630325, 'head_position_x':0.07169577, 'head_position_y':1.753426, 'head_position_z':-0.4993388
'global_time':1.64327, 'head_position_x':0.07109167, 'head_position_y':1.753496, 'head_position_z':-0.4992642
'global_time':1.656154, 'head_position_x':0.07054725, 'head_position_y':1.753516, 'head_position_z':-0.4992296
'global_time':1.668363, 'head_position_x':0.07006441, 'head_position_y':1.753616, 'head_position_z':-0.4990413
'global_time':1.68137, 'head_position_x':0.06878176, 'head_position_y':1.753539, 'head_position_z':-0.4985794
'global_time':1.692879, 'head_position_x':0.06829946, 'head_position_y':1.753554, 'head_position_z':-0.4980973
'global_time':1.705058, 'head_position_x':0.06770296, 'head_position_y':1.753457, 'head_position_z':-0.4980251
'global_time':1.71643, 'head_position_x':0.06699874, 'head_position_y':1.75335, 'head_position_z':-0.4978248
'global_time':1.726586, 'head_position_x':0.06638637, 'head_position_y':1.753288, 'head_position_z':-0.4977109
'global_time':1.738709, 'head_position_x':0.06580828, 'head_position_y':1.753206, 'head_position_z':-0.4973547
'global_time':1.754021, 'head_position_x':0.06537446, 'head_position_y':1.753307, 'head_position_z':-0.4970845
'global_time':1.766813, 'head_position_x':0.06472835, 'head_position_y':1.753218, 'head_position_z':-0.4969815
'global_time':1.777259, 'head_position_x':0.06427469, 'head_position_y':1.753113, 'head_position_z':-0.4967416
'global_time':1.789807, 'head_position_x':0.06391288, 'head_position_y':1.753171, 'head_position_z':-0.4963923
'global_time':1.800197, 'head_position_x':0.06339147, 'head_position_y':1.753071, 'head_position_z':-0.4962586
'global_time':1.810739, 'head_position_x':0.06300428, 'head_position_y':1.752985, 'head_position_z':-0.4961901
'global_time':1.822231, 'head_position_x':0.06281935, 'head_position_y':1.752899, 'head_position_z':-0.4961258
'global_time':1.833803, 'head_position_x':0.06256834, 'head_position_y':1.752734, 'head_position_z':-0.4960829
'global_time':1.844226, 'head_position_x':0.06221193, 'head_position_y':1.752513, 'head_position_z':-0.4959459
'global_time':1.855317, 'head_position_x':0.06207699, 'head_position_y':1.752333, 'head_position_z':-0.4959533
'global_time':1.868728, 'head_position_x':0.06218561, 'head_position_y':1.752199, 'head_position_z':-0.49599
'global_time':1.881437, 'head_position_x':0.06212637, 'head_position_y':1.751869, 'head_position_z':-0.4960121
'global_time':1.892085, 'head_position_x':0.06232145, 'head_position_y':1.751722, 'head_position_z':-0.4961674
'global_time':1.902936, 'head_position_x':0.06268567, 'head_position_y':1.751695, 'head_position_z':-0.4961637
'global_time':1.915523, 'head_position_x':0.06283472, 'head_position_y':1.751527, 'head_position_z':-0.4961764
'global_time':1.92596, 'head_position_x':0.0631647, 'head_position_y':1.751385, 'head_position_z':-0.496278
'global_time':1.937822, 'head_position_x':0.0636914, 'head_position_y':1.751324, 'head_position_z':-0.4964063
'global_time':1.950422, 'head_position_x':0.06419698, 'head_position_y':1.751244, 'head_position_z':-0.4965377
'global_time':1.961315, 'head_position_x':0.06464733, 'head_position_y':1.751157, 'head_position_z':-0.4967452
'global_time':1.973323, 'head_position_x':0.06533742, 'head_position_y':1.751093, 'head_position_z':-0.4968338
'global_time':1.984026, 'head_position_x':0.06601687, 'head_position_y':1.751093, 'head_position_z':-0.4969781
'global_time':1.995883, 'head_position_x':0.06676375, 'head_position_y':1.751137, 'head_position_z':-0.4971563
'global_time':2.007457, 'head_position_x':0.06760556, 'head_position_y':1.751132, 'head_position_z':-0.4973635
'global_time':2.018766, 'head_position_x':0.06857914, 'head_position_y':1.751155, 'head_position_z':-0.4975703
'global_time':2.030792, 'head_position_x':0.06947601, 'head_position_y':1.751137, 'head_position_z':-0.4978006
'global_time':2.042633, 'head_position_x':0.07040307, 'head_position_y':1.751186, 'head_position_z':-0.4981525
'global_time':2.05335, 'head_position_x':0.07134304, 'head_position_y':1.751142, 'head_position_z':-0.4983633
'global_time':2.065118, 'head_position_x':0.07246257, 'head_position_y':1.751251, 'head_position_z':-0.4986085
'global_time':2.075627, 'head_position_x':0.07352184, 'head_position_y':1.751375, 'head_position_z':-0.4989303
'global_time':2.087342, 'head_position_x':0.0745469, 'head_position_y':1.751388, 'head_position_z':-0.499243
'global_time':2.097937, 'head_position_x':0.07571198, 'head_position_y':1.75144, 'head_position_z':-0.4994803
'global_time':2.110155, 'head_position_x':0.07698323, 'head_position_y':1.751591, 'head_position_z':-0.4997867
'global_time':2.122605, 'head_position_x':0.07814489, 'head_position_y':1.751736, 'head_position_z':-0.4998907
'global_time':2.135352, 'head_position_x':0.07929025, 'head_position_y':1.751688, 'head_position_z':-0.5001573
'global_time':2.146546, 'head_position_x':0.0807026, 'head_position_y':1.751759, 'head_position_z':-0.5004562
'global_time':2.160934, 'head_position_x':0.08323663, 'head_position_y':1.751738, 'head_position_z':-0.5009015
'global_time':2.172444, 'head_position_x':0.08463883, 'head_position_y':1.751679, 'head_position_z':-0.5010983
'global_time':2.182896, 'head_position_x':0.08610754, 'head_position_y':1.751753, 'head_position_z':-0.5012455
'global_time':2.192669, 'head_position_x':0.08751217, 'head_position_y':1.751728, 'head_position_z':-0.5015653
'global_time':2.203556, 'head_position_x':0.08886851, 'head_position_y':1.751588, 'head_position_z':-0.5018306
'global_time':2.214861, 'head_position_x':0.09042425, 'head_position_y':1.751539, 'head_position_z':-0.5021234
'global_time':2.225738, 'head_position_x':0.09195182, 'head_position_y':1.751451, 'head_position_z':-0.5024347
'global_time':2.235958, 'head_position_x':0.09336834, 'head_position_y':1.751287, 'head_position_z':-0.5028118
'global_time':2.247505, 'head_position_x':0.09490913, 'head_position_y':1.751148, 'head_position_z':-0.5031464
'global_time':2.25877, 'head_position_x':0.09655467, 'head_position_y':1.751032, 'head_position_z':-0.5035135
'global_time':2.270395, 'head_position_x':0.09810194, 'head_position_y':1.750912, 'head_position_z':-0.5038783
'global_time':2.28193, 'head_position_x':0.099628, 'head_position_y':1.750674, 'head_position_z':-0.504126
'global_time':2.29641, 'head_position_x':0.101364, 'head_position_y':1.750524, 'head_position_z':-0.5043206
'global_time':2.308852, 'head_position_x':0.1030283, 'head_position_y':1.750313, 'head_position_z':-0.5046566
'global_time':2.320865, 'head_position_x':0.1045842, 'head_position_y':1.750059, 'head_position_z':-0.5050837
'global_time':2.332816, 'head_position_x':0.1062778, 'head_position_y':1.749813, 'head_position_z':-0.5054616
'global_time':2.34161, 'head_position_x':0.1081617, 'head_position_y':1.749594, 'head_position_z':-0.5058841
'global_time':2.351944, 'head_position_x':0.1099111, 'head_position_y':1.749318, 'head_position_z':-0.5062551
'global_time':2.363231, 'head_position_x':0.1116187, 'head_position_y':1.749006, 'head_position_z':-0.5065753
'global_time':2.696564, 'head_position_x':0.1135107, 'head_position_y':1.748754, 'head_position_z':-0.506896
'global_time':2.718064, 'head_position_x':0.16468, 'head_position_y':1.731323, 'head_position_z':-0.4849589
'global_time':2.732883, 'head_position_x':0.1646007, 'head_position_y':1.731422, 'head_position_z':-0.4849394
'global_time':2.745288, 'head_position_x':0.1644827, 'head_position_y':1.731564, 'head_position_z':-0.4847868
'global_time':2.755591, 'head_position_x':0.1644652, 'head_position_y':1.731743, 'head_position_z':-0.4847519
'global_time':2.768266, 'head_position_x':0.1645183, 'head_position_y':1.731922, 'head_position_z':-0.4846647
'global_time':2.783065, 'head_position_x':0.1646449, 'head_position_y':1.732224, 'head_position_z':-0.484385
'global_time':2.794496, 'head_position_x':0.1648279, 'head_position_y':1.732327, 'head_position_z':-0.4843337
'global_time':2.806608, 'head_position_x':0.1649509, 'head_position_y':1.732399, 'head_position_z':-0.4842466
'global_time':2.818945, 'head_position_x':0.1650698, 'head_position_y':1.73242, 'head_position_z':-0.4841885
'global_time':2.832352, 'head_position_x':0.1652012, 'head_position_y':1.732402, 'head_position_z':-0.4841295
'global_time':2.845708, 'head_position_x':0.1652859, 'head_position_y':1.732374, 'head_position_z':-0.4841266
'global_time':2.856935, 'head_position_x':0.1654597, 'head_position_y':1.732354, 'head_position_z':-0.4841137
'global_time':2.867529, 'head_position_x':0.1656066, 'head_position_y':1.732391, 'head_position_z':-0.4842449
'global_time':2.880606, 'head_position_x':0.1659924, 'head_position_y':1.732198, 'head_position_z':-0.4842921
'global_time':2.894416, 'head_position_x':0.1661255, 'head_position_y':1.732101, 'head_position_z':-0.4843393
'global_time':2.907245, 'head_position_x':0.166357, 'head_position_y':1.732028, 'head_position_z':-0.4844192
'global_time':2.919223, 'head_position_x':0.166578, 'head_position_y':1.731935, 'head_position_z':-0.4845342
'global_time':2.933026, 'head_position_x':0.166952, 'head_position_y':1.731865, 'head_position_z':-0.4847454
'global_time':2.944686, 'head_position_x':0.1671748, 'head_position_y':1.731801, 'head_position_z':-0.4850152
'global_time':2.956969, 'head_position_x':0.1674127, 'head_position_y':1.731764, 'head_position_z':-0.4851789
'global_time':2.969439, 'head_position_x':0.1680629, 'head_position_y':1.73177, 'head_position_z':-0.4854315
'global_time':2.982055, 'head_position_x':0.1683248, 'head_position_y':1.731782, 'head_position_z':-0.4855893
'global_time':2.995085, 'head_position_x':0.1686332, 'head_position_y':1.731789, 'head_position_z':-0.4858476
'global_time':3.005868, 'head_position_x':0.1688775, 'head_position_y':1.731815, 'head_position_z':-0.4860401
'global_time':3.01953, 'head_position_x':0.169058, 'head_position_y':1.731812, 'head_position_z':-0.4861958
'global_time':3.030144, 'head_position_x':0.1693122, 'head_position_y':1.731823, 'head_position_z':-0.4864364
'global_time':3.040667, 'head_position_x':0.1696752, 'head_position_y':1.731811, 'head_position_z':-0.4866192
'global_time':3.052367, 'head_position_x':0.1699596, 'head_position_y':1.731827, 'head_position_z':-0.4868473
'global_time':3.065116, 'head_position_x':0.170122, 'head_position_y':1.731865, 'head_position_z':-0.4871714
'global_time':3.077351, 'head_position_x':0.1704241, 'head_position_y':1.731892, 'head_position_z':-0.4873958
'global_time':3.088546, 'head_position_x':0.1708104, 'head_position_y':1.731956, 'head_position_z':-0.4876621
'global_time':3.099437, 'head_position_x':0.1711406, 'head_position_y':1.731999, 'head_position_z':-0.4878934
'global_time':3.110953, 'head_position_x':0.1713962, 'head_position_y':1.731985, 'head_position_z':-0.4881286
