'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.04, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.3733333, 'head_vector_x':0.1651942, 'head_vector_y':0.0233358, 'head_vector_z':0.985985
'global_time':0.4298653, 'head_vector_x':0.2190888, 'head_vector_y':0.04396589, 'head_vector_z':0.9747139
'global_time':0.444181, 'head_vector_x':0.2247735, 'head_vector_y':0.04748933, 'head_vector_z':0.9732531
'global_time':0.4539024, 'head_vector_x':0.2264291, 'head_vector_y':0.04872249, 'head_vector_z':0.9728083
'global_time':0.4647075, 'head_vector_x':0.2280371, 'head_vector_y':0.04989335, 'head_vector_z':0.9723732
'global_time':0.4761399, 'head_vector_x':0.229335, 'head_vector_y':0.05051056, 'head_vector_z':0.9720361
'global_time':0.4868828, 'head_vector_x':0.2301397, 'head_vector_y':0.05179684, 'head_vector_z':0.9717782
'global_time':0.4980007, 'head_vector_x':0.230986, 'head_vector_y':0.05323676, 'head_vector_z':0.9714995
'global_time':0.5092344, 'head_vector_x':0.2312431, 'head_vector_y':0.05472098, 'head_vector_z':0.9713559
'global_time':0.5209104, 'head_vector_x':0.2318285, 'head_vector_y':0.05602958, 'head_vector_z':0.9711417
'global_time':0.5320928, 'head_vector_x':0.2318728, 'head_vector_y':0.05742527, 'head_vector_z':0.9710496
'global_time':0.542591, 'head_vector_x':0.2315142, 'head_vector_y':0.05873233, 'head_vector_z':0.971057
'global_time':0.5538149, 'head_vector_x':0.2303132, 'head_vector_y':0.0596943, 'head_vector_z':0.9712839
'global_time':0.5653998, 'head_vector_x':0.2282296, 'head_vector_y':0.06111525, 'head_vector_z':0.9716873
'global_time':0.5758331, 'head_vector_x':0.2254439, 'head_vector_y':0.06211259, 'head_vector_z':0.9722742
'global_time':0.5878344, 'head_vector_x':0.2218767, 'head_vector_y':0.06314138, 'head_vector_z':0.9730282
'global_time':0.5995418, 'head_vector_x':0.21775, 'head_vector_y':0.06449565, 'head_vector_z':0.9738713
'global_time':0.6093048, 'head_vector_x':0.2113629, 'head_vector_y':0.06635891, 'head_vector_z':0.9751524
'global_time':0.6192629, 'head_vector_x':0.2033976, 'head_vector_y':0.06854782, 'head_vector_z':0.9766937
'global_time':0.6336493, 'head_vector_x':0.1932259, 'head_vector_y':0.06986362, 'head_vector_z':0.9786638
'global_time':0.6443792, 'head_vector_x':0.1816797, 'head_vector_y':0.07088222, 'head_vector_z':0.9807998
'global_time':0.663053, 'head_vector_x':0.1541347, 'head_vector_y':0.07134958, 'head_vector_z':0.9854703
'global_time':0.6739511, 'head_vector_x':0.1399829, 'head_vector_y':0.07169047, 'head_vector_z':0.9875552
'global_time':0.6861026, 'head_vector_x':0.1253556, 'head_vector_y':0.07212532, 'head_vector_z':0.9894867
'global_time':0.698985, 'head_vector_x':0.110181, 'head_vector_y':0.07255675, 'head_vector_z':0.9912596
'global_time':0.7105678, 'head_vector_x':0.09491822, 'head_vector_y':0.0733069, 'head_vector_z':0.9927823
'global_time':0.722037, 'head_vector_x':0.07950495, 'head_vector_y':0.07405668, 'head_vector_z':0.9940798
'global_time':0.7349606, 'head_vector_x':0.06438493, 'head_vector_y':0.07459401, 'head_vector_z':0.9951333
'global_time':0.7477869, 'head_vector_x':0.03689859, 'head_vector_y':0.0750688, 'head_vector_z':0.9964954
'global_time':0.7600194, 'head_vector_x':0.02584496, 'head_vector_y':0.07534277, 'head_vector_z':0.9968227
'global_time':0.7717535, 'head_vector_x':0.01727548, 'head_vector_y':0.07511971, 'head_vector_z':0.9970249
'global_time':0.7840548, 'head_vector_x':0.01240322, 'head_vector_y':0.074281, 'head_vector_z':0.9971602
'global_time':0.7953013, 'head_vector_x':0.007449789, 'head_vector_y':0.0734984, 'head_vector_z':0.9972675
'global_time':0.806811, 'head_vector_x':0.006652185, 'head_vector_y':0.07161855, 'head_vector_z':0.9974099
'global_time':0.8192979, 'head_vector_x':0.0059619, 'head_vector_y':0.06978835, 'head_vector_z':0.997544
'global_time':0.8321962, 'head_vector_x':0.007584245, 'head_vector_y':0.06782027, 'head_vector_z':0.9976687
'global_time':0.8426079, 'head_vector_x':0.01139206, 'head_vector_y':0.06608229, 'head_vector_z':0.9977491
'global_time':0.854855, 'head_vector_x':0.01582602, 'head_vector_y':0.06444585, 'head_vector_z':0.9977957
'global_time':0.8642791, 'head_vector_x':0.02384112, 'head_vector_y':0.06308571, 'head_vector_z':0.9977233
'global_time':0.8765387, 'head_vector_x':0.03193093, 'head_vector_y':0.06170511, 'head_vector_z':0.9975835
'global_time':0.8889232, 'head_vector_x':0.04009781, 'head_vector_y':0.06063611, 'head_vector_z':0.9973542
'global_time':0.9034238, 'head_vector_x':0.0509213, 'head_vector_y':0.05928564, 'head_vector_z':0.9969414
'global_time':0.9149953, 'head_vector_x':0.07560098, 'head_vector_y':0.05651386, 'head_vector_z':0.9955354
'global_time':0.9270861, 'head_vector_x':0.09005975, 'head_vector_y':0.05507668, 'head_vector_z':0.9944123
'global_time':0.9386472, 'head_vector_x':0.1037431, 'head_vector_y':0.05441086, 'head_vector_z':0.9931147
'global_time':0.950333, 'head_vector_x':0.1198956, 'head_vector_y':0.05460158, 'head_vector_z':0.9912839
'global_time':0.9632803, 'head_vector_x':0.1346294, 'head_vector_y':0.05516364, 'head_vector_z':0.9893593
'global_time':0.9746915, 'head_vector_x':0.149325, 'head_vector_y':0.05581686, 'head_vector_z':0.9872115
'global_time':0.9875848, 'head_vector_x':0.1630792, 'head_vector_y':0.05633036, 'head_vector_z':0.9850036
'global_time':0.9993339, 'head_vector_x':0.1763307, 'head_vector_y':0.05710457, 'head_vector_z':0.9826732
'global_time':1.011204, 'head_vector_x':0.1891385, 'head_vector_y':0.05852333, 'head_vector_z':0.9802049
'global_time':1.023353, 'head_vector_x':0.2012547, 'head_vector_y':0.05974029, 'head_vector_z':0.9777156
'global_time':1.035605, 'head_vector_x':0.212789, 'head_vector_y':0.06132871, 'head_vector_z':0.9751716
'global_time':1.048028, 'head_vector_x':0.2324845, 'head_vector_y':0.06449213, 'head_vector_z':0.9704596
'global_time':1.05976, 'head_vector_x':0.2404162, 'head_vector_y':0.06576233, 'head_vector_z':0.9684396
'global_time':1.07319, 'head_vector_x':0.2469136, 'head_vector_y':0.06731153, 'head_vector_z':0.9666969
'global_time':1.085864, 'head_vector_x':0.2516747, 'head_vector_y':0.06882833, 'head_vector_z':0.9653614
'global_time':1.09753, 'head_vector_x':0.2574631, 'head_vector_y':0.07040668, 'head_vector_z':0.9637197
