'global_time':0.6861026, 'hit_distance':6.530062 
'global_time':0.698985, 'hit_distance':6.584358 
'global_time':0.7105678, 'hit_distance':6.689373 
'global_time':0.722037, 'hit_distance':6.747365 
'global_time':0.7349606, 'hit_distance':6.693224 
'global_time':0.7477869, 'hit_distance':6.725725 
'global_time':0.7600194, 'hit_distance':6.704164 
'global_time':0.7717535, 'hit_distance':6.663803 
'global_time':0.7840548, 'hit_distance':6.66323 
'global_time':0.7953013, 'hit_distance':6.634064 
'global_time':0.806811, 'hit_distance':6.614005 
'global_time':0.8192979, 'hit_distance':6.578017 
'global_time':0.8321962, 'hit_distance':6.542579 
'global_time':0.8426079, 'hit_distance':6.527818 
'global_time':0.854855, 'hit_distance':6.506887 
'global_time':0.8642791, 'hit_distance':6.500004 
'global_time':0.8765387, 'hit_distance':6.491115 
'global_time':0.8889232, 'hit_distance':6.487741 
'global_time':0.9034238, 'hit_distance':6.4831 
'global_time':0.9149953, 'hit_distance':6.481184 
'global_time':0.9270861, 'hit_distance':6.486178 
'global_time':0.9386472, 'hit_distance':6.488719 
'global_time':0.950333, 'hit_distance':6.495737 
'global_time':0.9632803, 'hit_distance':6.501751 
'global_time':0.9746915, 'hit_distance':6.517038 
'global_time':0.9875848, 'hit_distance':6.542025 
'global_time':0.9993339, 'hit_distance':6.553716 
'global_time':1.011204, 'hit_distance':6.565647 
'global_time':1.023353, 'hit_distance':6.581295 
'global_time':1.035605, 'hit_distance':6.594473 
'global_time':1.048028, 'hit_distance':6.630074 
'global_time':1.05976, 'hit_distance':6.653222 
'global_time':1.07319, 'hit_distance':6.64696 
'global_time':1.085864, 'hit_distance':6.657562 
'global_time':1.09753, 'hit_distance':6.677406 
'global_time':1.110159, 'hit_distance':6.695288 
'global_time':1.123243, 'hit_distance':6.701444 
'global_time':1.135363, 'hit_distance':6.733694 
'global_time':1.148692, 'hit_distance':6.747337 
'global_time':1.165247, 'hit_distance':6.773951 
'global_time':1.177555, 'hit_distance':6.800004 
'global_time':1.190265, 'hit_distance':6.811204 
'global_time':1.201275, 'hit_distance':6.804318 
'global_time':1.214945, 'hit_distance':6.848598 
'global_time':1.226227, 'hit_distance':6.854305 
