'global_time':0.6861026, 'center_x':-1.700002, 'center_y':2, 'center_z':6, 'gaze_x':-0.8105061, 'gaze_y':1.827949, 'gaze_z':5.996585
'global_time':0.698985, 'center_x':-1.600002, 'center_y':2, 'center_z':6, 'gaze_x':-1.158473, 'gaze_y':1.929788, 'gaze_z':5.996528
'global_time':0.7105678, 'center_x':-1.500002, 'center_y':2, 'center_z':6, 'gaze_x':-1.639912, 'gaze_y':2.009643, 'gaze_z':5.9964
'global_time':0.722037, 'center_x':-1.400002, 'center_y':2, 'center_z':6, 'gaze_x':-1.859329, 'gaze_y':2.020175, 'gaze_z':5.99641
'global_time':0.7349606, 'center_x':-1.300002, 'center_y':2, 'center_z':6, 'gaze_x':-1.651877, 'gaze_y':2.045385, 'gaze_z':5.996264
'global_time':0.7477869, 'center_x':-1.200002, 'center_y':2, 'center_z':6, 'gaze_x':-1.77839, 'gaze_y':2.039297, 'gaze_z':5.996219
'global_time':0.7600194, 'center_x':-1.100002, 'center_y':2, 'center_z':6, 'gaze_x':-1.705956, 'gaze_y':1.95143, 'gaze_z':5.996174
'global_time':0.7717535, 'center_x':-1.000002, 'center_y':2, 'center_z':6, 'gaze_x':-1.542385, 'gaze_y':1.94436, 'gaze_z':5.996153
'global_time':0.7840548, 'center_x':-0.9000016, 'center_y':2, 'center_z':6, 'gaze_x':-1.538672, 'gaze_y':1.948341, 'gaze_z':5.996184
'global_time':0.7953013, 'center_x':-0.8000016, 'center_y':2, 'center_z':6, 'gaze_x':-1.414328, 'gaze_y':1.84143, 'gaze_z':5.996253
'global_time':0.806811, 'center_x':-0.7000016, 'center_y':2, 'center_z':6, 'gaze_x':-1.317058, 'gaze_y':1.837774, 'gaze_z':5.996362
'global_time':0.8192979, 'center_x':-0.6000016, 'center_y':2, 'center_z':6, 'gaze_x':-1.123502, 'gaze_y':1.873046, 'gaze_z':5.99642
'global_time':0.8321962, 'center_x':-0.5000015, 'center_y':2, 'center_z':6, 'gaze_x':-0.898471, 'gaze_y':1.841905, 'gaze_z':5.996539
'global_time':0.8426079, 'center_x':-0.4000016, 'center_y':2, 'center_z':6, 'gaze_x':-0.7811632, 'gaze_y':1.865546, 'gaze_z':5.996643
'global_time':0.854855, 'center_x':-0.3000016, 'center_y':2, 'center_z':6, 'gaze_x':-0.5816814, 'gaze_y':1.90359, 'gaze_z':5.996664
'global_time':0.8642791, 'center_x':-0.2000016, 'center_y':2, 'center_z':6, 'gaze_x':-0.4940125, 'gaze_y':1.926654, 'gaze_z':5.996821
'global_time':0.8765387, 'center_x':-0.2000016, 'center_y':2, 'center_z':6, 'gaze_x':-0.3680558, 'gaze_y':1.915831, 'gaze_z':5.996858
'global_time':0.8889232, 'center_x':-0.1000016, 'center_y':2, 'center_z':6, 'gaze_x':-0.2798086, 'gaze_y':1.959555, 'gaze_z':5.996985
'global_time':0.9034238, 'center_x':-1.564622E-06, 'center_y':2, 'center_z':6, 'gaze_x':-0.09915309, 'gaze_y':1.998631, 'gaze_z':5.997028
'global_time':0.9149953, 'center_x':0.09999844, 'center_y':2, 'center_z':6, 'gaze_x':0.08935212, 'gaze_y':1.951988, 'gaze_z':5.997236
'global_time':0.9270861, 'center_x':0.1999984, 'center_y':2, 'center_z':6, 'gaze_x':0.2696446, 'gaze_y':1.98333, 'gaze_z':5.997361
'global_time':0.9386472, 'center_x':0.2999984, 'center_y':2, 'center_z':6, 'gaze_x':0.3519964, 'gaze_y':1.936375, 'gaze_z':5.997479
'global_time':0.950333, 'center_x':0.3999984, 'center_y':2, 'center_z':6, 'gaze_x':0.4707877, 'gaze_y':1.94593, 'gaze_z':5.997537
'global_time':0.9632803, 'center_x':0.4999984, 'center_y':2, 'center_z':6, 'gaze_x':0.5637259, 'gaze_y':1.886903, 'gaze_z':5.997568
'global_time':0.9746915, 'center_x':0.5999984, 'center_y':2, 'center_z':6, 'gaze_x':0.7205068, 'gaze_y':1.928514, 'gaze_z':5.997565
'global_time':0.9875848, 'center_x':0.6999984, 'center_y':2, 'center_z':6, 'gaze_x':0.9341873, 'gaze_y':1.899638, 'gaze_z':5.997553
'global_time':0.9993339, 'center_x':0.7999985, 'center_y':2, 'center_z':6, 'gaze_x':1.012518, 'gaze_y':1.920869, 'gaze_z':5.997602
'global_time':1.011204, 'center_x':0.8999985, 'center_y':2, 'center_z':6, 'gaze_x':1.089438, 'gaze_y':1.930406, 'gaze_z':5.997556
'global_time':1.023353, 'center_x':0.9999985, 'center_y':2, 'center_z':6, 'gaze_x':1.178611, 'gaze_y':1.973865, 'gaze_z':5.997624
