'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':0.04, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':0.3733333, 'gaze_vector_x':-0.6193526, 'gaze_vector_y':0.1067831, 'gaze_vector_z':0.7778172
'gaze_vector':0.4163139, 'gaze_vector_x':-0.6139088, 'gaze_vector_y':0.1117512, 'gaze_vector_z':0.7814267
'gaze_vector':0.4400269, 'gaze_vector_x':-0.6121042, 'gaze_vector_y':0.1117743, 'gaze_vector_z':0.7828377
'gaze_vector':0.4523318, 'gaze_vector_x':-0.6109439, 'gaze_vector_y':0.1113902, 'gaze_vector_z':0.7837983
'gaze_vector':0.4647005, 'gaze_vector_x':-0.6103144, 'gaze_vector_y':0.1113592, 'gaze_vector_z':0.784293
'gaze_vector':0.4766113, 'gaze_vector_x':-0.6088663, 'gaze_vector_y':0.111575, 'gaze_vector_z':0.785387
'gaze_vector':0.4892045, 'gaze_vector_x':-0.6081299, 'gaze_vector_y':0.1116275, 'gaze_vector_z':0.7859499
'gaze_vector':0.5006415, 'gaze_vector_x':-0.6076018, 'gaze_vector_y':0.1117615, 'gaze_vector_z':0.7863393
'gaze_vector':0.5140188, 'gaze_vector_x':-0.6072942, 'gaze_vector_y':0.1118037, 'gaze_vector_z':0.7865708
'gaze_vector':0.5263898, 'gaze_vector_x':-0.6069016, 'gaze_vector_y':0.1115904, 'gaze_vector_z':0.7869041
'gaze_vector':0.5388366, 'gaze_vector_x':-0.6065011, 'gaze_vector_y':0.1112512, 'gaze_vector_z':0.7872608
'gaze_vector':0.5512627, 'gaze_vector_x':-0.6061894, 'gaze_vector_y':0.1108347, 'gaze_vector_z':0.7875596
'gaze_vector':0.5635651, 'gaze_vector_x':-0.6057914, 'gaze_vector_y':0.1105453, 'gaze_vector_z':0.7879064
'gaze_vector':0.5752514, 'gaze_vector_x':-0.605613, 'gaze_vector_y':0.1101809, 'gaze_vector_z':0.7880946
'gaze_vector':0.5876817, 'gaze_vector_x':-0.6055021, 'gaze_vector_y':0.110242, 'gaze_vector_z':0.7881713
'gaze_vector':0.6052452, 'gaze_vector_x':-0.6054902, 'gaze_vector_y':0.1103721, 'gaze_vector_z':0.7881621
'gaze_vector':0.6209425, 'gaze_vector_x':-0.606132, 'gaze_vector_y':0.1103743, 'gaze_vector_z':0.7876685
'gaze_vector':0.6323924, 'gaze_vector_x':-0.6071938, 'gaze_vector_y':0.1099489, 'gaze_vector_z':0.7869097
'gaze_vector':0.6432482, 'gaze_vector_x':-0.6077332, 'gaze_vector_y':0.1098342, 'gaze_vector_z':0.7865093
'gaze_vector':0.6550364, 'gaze_vector_x':-0.6083364, 'gaze_vector_y':0.1103171, 'gaze_vector_z':0.7859752
'gaze_vector':0.6666084, 'gaze_vector_x':-0.6090214, 'gaze_vector_y':0.1110477, 'gaze_vector_z':0.7853416
