'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':0.04, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':0.3733333, 'head_position_x':-0.1322217, 'head_position_y':1.694064, 'head_position_z':-0.8890757
'global_time':0.4163139, 'head_position_x':-0.1275756, 'head_position_y':1.694864, 'head_position_z':-0.8885752
'global_time':0.4400269, 'head_position_x':-0.127152, 'head_position_y':1.694803, 'head_position_z':-0.8885142
'global_time':0.4523318, 'head_position_x':-0.1271382, 'head_position_y':1.694801, 'head_position_z':-0.888445
'global_time':0.4647005, 'head_position_x':-0.1270488, 'head_position_y':1.694783, 'head_position_z':-0.8884481
'global_time':0.4766113, 'head_position_x':-0.1270289, 'head_position_y':1.69472, 'head_position_z':-0.8884912
'global_time':0.4892045, 'head_position_x':-0.1269349, 'head_position_y':1.694778, 'head_position_z':-0.8883513
'global_time':0.5006415, 'head_position_x':-0.1268992, 'head_position_y':1.69478, 'head_position_z':-0.8883557
'global_time':0.5140188, 'head_position_x':-0.1268653, 'head_position_y':1.69469, 'head_position_z':-0.888486
'global_time':0.5263898, 'head_position_x':-0.1268464, 'head_position_y':1.694656, 'head_position_z':-0.8885086
'global_time':0.5388366, 'head_position_x':-0.1267264, 'head_position_y':1.694668, 'head_position_z':-0.8885087
'global_time':0.5512627, 'head_position_x':-0.1268409, 'head_position_y':1.694567, 'head_position_z':-0.8885972
'global_time':0.5635651, 'head_position_x':-0.1268679, 'head_position_y':1.694513, 'head_position_z':-0.8886197
'global_time':0.5752514, 'head_position_x':-0.1268101, 'head_position_y':1.694565, 'head_position_z':-0.8886549
'global_time':0.5876817, 'head_position_x':-0.1270757, 'head_position_y':1.694489, 'head_position_z':-0.8887572
'global_time':0.6052452, 'head_position_x':-0.1271989, 'head_position_y':1.694455, 'head_position_z':-0.8888248
'global_time':0.6209425, 'head_position_x':-0.1272841, 'head_position_y':1.694499, 'head_position_z':-0.8886616
'global_time':0.6323924, 'head_position_x':-0.1274829, 'head_position_y':1.694412, 'head_position_z':-0.8890097
'global_time':0.6432482, 'head_position_x':-0.1275828, 'head_position_y':1.694422, 'head_position_z':-0.8891053
'global_time':0.6550364, 'head_position_x':-0.1277801, 'head_position_y':1.694462, 'head_position_z':-0.8891466
'global_time':0.6666084, 'head_position_x':-0.1280004, 'head_position_y':1.694547, 'head_position_z':-0.8892556
'global_time':0.6790543, 'head_position_x':-0.1282498, 'head_position_y':1.694619, 'head_position_z':-0.8893398
'global_time':0.6909037, 'head_position_x':-0.1283448, 'head_position_y':1.6947, 'head_position_z':-0.8893728
'global_time':0.7029676, 'head_position_x':-0.1285702, 'head_position_y':1.694716, 'head_position_z':-0.8894928
'global_time':0.7150555, 'head_position_x':-0.1288693, 'head_position_y':1.694646, 'head_position_z':-0.8897376
'global_time':0.7263933, 'head_position_x':-0.1290221, 'head_position_y':1.694643, 'head_position_z':-0.8897278
'global_time':0.7408013, 'head_position_x':-0.1292078, 'head_position_y':1.694582, 'head_position_z':-0.8898482
'global_time':0.7526571, 'head_position_x':-0.1294663, 'head_position_y':1.694459, 'head_position_z':-0.8901061
'global_time':0.7652546, 'head_position_x':-0.1296453, 'head_position_y':1.694356, 'head_position_z':-0.8902081
'global_time':0.7775645, 'head_position_x':-0.1298644, 'head_position_y':1.694283, 'head_position_z':-0.8902432
'global_time':0.7906182, 'head_position_x':-0.130017, 'head_position_y':1.69416, 'head_position_z':-0.8903549
'global_time':0.8030173, 'head_position_x':-0.1301118, 'head_position_y':1.69408, 'head_position_z':-0.89036
