'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.04, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.3733333, 'head_vector_x':-0.6193526, 'head_vector_y':0.1067831, 'head_vector_z':0.7778172
'global_time':0.4163139, 'head_vector_x':-0.6139088, 'head_vector_y':0.1117512, 'head_vector_z':0.7814267
'global_time':0.4400269, 'head_vector_x':-0.6121042, 'head_vector_y':0.1117743, 'head_vector_z':0.7828377
'global_time':0.4523318, 'head_vector_x':-0.6109439, 'head_vector_y':0.1113902, 'head_vector_z':0.7837983
'global_time':0.4647005, 'head_vector_x':-0.6103144, 'head_vector_y':0.1113592, 'head_vector_z':0.784293
'global_time':0.4766113, 'head_vector_x':-0.6088663, 'head_vector_y':0.111575, 'head_vector_z':0.785387
'global_time':0.4892045, 'head_vector_x':-0.6081299, 'head_vector_y':0.1116275, 'head_vector_z':0.7859499
'global_time':0.5006415, 'head_vector_x':-0.6076018, 'head_vector_y':0.1117615, 'head_vector_z':0.7863393
'global_time':0.5140188, 'head_vector_x':-0.6072942, 'head_vector_y':0.1118037, 'head_vector_z':0.7865708
'global_time':0.5263898, 'head_vector_x':-0.6069016, 'head_vector_y':0.1115904, 'head_vector_z':0.7869041
'global_time':0.5388366, 'head_vector_x':-0.6065011, 'head_vector_y':0.1112512, 'head_vector_z':0.7872608
'global_time':0.5512627, 'head_vector_x':-0.6061894, 'head_vector_y':0.1108347, 'head_vector_z':0.7875596
'global_time':0.5635651, 'head_vector_x':-0.6057914, 'head_vector_y':0.1105453, 'head_vector_z':0.7879064
'global_time':0.5752514, 'head_vector_x':-0.605613, 'head_vector_y':0.1101809, 'head_vector_z':0.7880946
'global_time':0.5876817, 'head_vector_x':-0.6055021, 'head_vector_y':0.110242, 'head_vector_z':0.7881713
'global_time':0.6052452, 'head_vector_x':-0.6054902, 'head_vector_y':0.1103721, 'head_vector_z':0.7881621
'global_time':0.6209425, 'head_vector_x':-0.606132, 'head_vector_y':0.1103743, 'head_vector_z':0.7876685
'global_time':0.6323924, 'head_vector_x':-0.6071938, 'head_vector_y':0.1099489, 'head_vector_z':0.7869097
'global_time':0.6432482, 'head_vector_x':-0.6077332, 'head_vector_y':0.1098342, 'head_vector_z':0.7865093
'global_time':0.6550364, 'head_vector_x':-0.6083364, 'head_vector_y':0.1103171, 'head_vector_z':0.7859752
'global_time':0.6666084, 'head_vector_x':-0.6090214, 'head_vector_y':0.1110477, 'head_vector_z':0.7853416
'global_time':0.6790543, 'head_vector_x':-0.6097222, 'head_vector_y':0.1116938, 'head_vector_z':0.7847059
'global_time':0.6909037, 'head_vector_x':-0.6106759, 'head_vector_y':0.1124003, 'head_vector_z':0.7838629
'global_time':0.7029676, 'head_vector_x':-0.6118938, 'head_vector_y':0.1123262, 'head_vector_z':0.7829233
'global_time':0.7150555, 'head_vector_x':-0.6131073, 'head_vector_y':0.1124061, 'head_vector_z':0.7819618
'global_time':0.7263933, 'head_vector_x':-0.614158, 'head_vector_y':0.111995, 'head_vector_z':0.7811959
'global_time':0.7408013, 'head_vector_x':-0.6150265, 'head_vector_y':0.1113074, 'head_vector_z':0.7806107
'global_time':0.7526571, 'head_vector_x':-0.6159287, 'head_vector_y':0.1108087, 'head_vector_z':0.77997
'global_time':0.7652546, 'head_vector_x':-0.6162999, 'head_vector_y':0.1102316, 'head_vector_z':0.7797586
'global_time':0.7775645, 'head_vector_x':-0.6169464, 'head_vector_y':0.1089526, 'head_vector_z':0.7794271
'global_time':0.7906182, 'head_vector_x':-0.6170765, 'head_vector_y':0.1085781, 'head_vector_z':0.7793763
'global_time':0.8030173, 'head_vector_x':-0.6168517, 'head_vector_y':0.1078812, 'head_vector_z':0.779651
'global_time':0.8154815, 'head_vector_x':-0.6165541, 'head_vector_y':0.1073195, 'head_vector_z':0.7799638
'global_time':0.8288187, 'head_vector_x':-0.6154339, 'head_vector_y':0.1067529, 'head_vector_z':0.7809258
'global_time':0.8385348, 'head_vector_x':-0.6139045, 'head_vector_y':0.1058554, 'head_vector_z':0.7822505
'global_time':0.8506463, 'head_vector_x':-0.6120489, 'head_vector_y':0.1047795, 'head_vector_z':0.7838478
'global_time':0.8628103, 'head_vector_x':-0.6097218, 'head_vector_y':0.103357, 'head_vector_z':0.7858477
'global_time':0.8751779, 'head_vector_x':-0.607044, 'head_vector_y':0.1019041, 'head_vector_z':0.7881073
'global_time':0.8867151, 'head_vector_x':-0.6044836, 'head_vector_y':0.1006037, 'head_vector_z':0.7902395
'global_time':0.8996422, 'head_vector_x':-0.5982647, 'head_vector_y':0.09712124, 'head_vector_z':0.795391
'global_time':0.9123, 'head_vector_x':-0.5951016, 'head_vector_y':0.0952557, 'head_vector_z':0.7979853
'global_time':0.9249747, 'head_vector_x':-0.5917016, 'head_vector_y':0.09290326, 'head_vector_z':0.800786
'global_time':0.9359037, 'head_vector_x':-0.5882707, 'head_vector_y':0.09113411, 'head_vector_z':0.8035125
'global_time':0.949053, 'head_vector_x':-0.5845916, 'head_vector_y':0.08934138, 'head_vector_z':0.8063937
'global_time':0.9598923, 'head_vector_x':-0.5812609, 'head_vector_y':0.08756053, 'head_vector_z':0.8089925
'global_time':0.9719948, 'head_vector_x':-0.5779297, 'head_vector_y':0.08634208, 'head_vector_z':0.8115063
'global_time':0.9841499, 'head_vector_x':-0.5747494, 'head_vector_y':0.08506635, 'head_vector_z':0.8138961
'global_time':0.9960895, 'head_vector_x':-0.571916, 'head_vector_y':0.08361265, 'head_vector_z':0.8160399
'global_time':1.008229, 'head_vector_x':-0.569213, 'head_vector_y':0.08195874, 'head_vector_z':0.818095
'global_time':1.021163, 'head_vector_x':-0.5642465, 'head_vector_y':0.07859661, 'head_vector_z':0.8218567
'global_time':1.034192, 'head_vector_x':-0.5620308, 'head_vector_y':0.07718137, 'head_vector_z':0.8235074
'global_time':1.046631, 'head_vector_x':-0.5602842, 'head_vector_y':0.07634367, 'head_vector_z':0.8247746
'global_time':1.059461, 'head_vector_x':-0.5588743, 'head_vector_y':0.07551952, 'head_vector_z':0.8258065
'global_time':1.071058, 'head_vector_x':-0.5576907, 'head_vector_y':0.07496938, 'head_vector_z':0.8266563
'global_time':1.08405, 'head_vector_x':-0.5569444, 'head_vector_y':0.0743033, 'head_vector_z':0.8272195
'global_time':1.09743, 'head_vector_x':-0.5564659, 'head_vector_y':0.07344854, 'head_vector_z':0.8276177
'global_time':1.109463, 'head_vector_x':-0.5561773, 'head_vector_y':0.0727257, 'head_vector_z':0.8278754
'global_time':1.121646, 'head_vector_x':-0.5558942, 'head_vector_y':0.07078724, 'head_vector_z':0.8282336
'global_time':1.13274, 'head_vector_x':-0.5559159, 'head_vector_y':0.06988648, 'head_vector_z':0.8282955
'global_time':1.145902, 'head_vector_x':-0.5562201, 'head_vector_y':0.06931519, 'head_vector_z':0.8281393
'global_time':1.158143, 'head_vector_x':-0.55674, 'head_vector_y':0.06867328, 'head_vector_z':0.8278434
'global_time':1.171101, 'head_vector_x':-0.5570528, 'head_vector_y':0.06812765, 'head_vector_z':0.827678
'global_time':1.183475, 'head_vector_x':-0.5577109, 'head_vector_y':0.06768752, 'head_vector_z':0.8272707
'global_time':1.196081, 'head_vector_x':-0.5584511, 'head_vector_y':0.06737769, 'head_vector_z':0.8267966
'global_time':1.208081, 'head_vector_x':-0.5588308, 'head_vector_y':0.06697486, 'head_vector_z':0.8265728
'global_time':1.217671, 'head_vector_x':-0.5593719, 'head_vector_y':0.06684547, 'head_vector_z':0.8262171
'global_time':1.229146, 'head_vector_x':-0.5598118, 'head_vector_y':0.06634601, 'head_vector_z':0.8259594
'global_time':1.250418, 'head_vector_x':-0.5604463, 'head_vector_y':0.06537014, 'head_vector_z':0.8256069
'global_time':1.264436, 'head_vector_x':-0.5607623, 'head_vector_y':0.06515973, 'head_vector_z':0.8254089
'global_time':1.277516, 'head_vector_x':-0.5608482, 'head_vector_y':0.06434213, 'head_vector_z':0.8254147
'global_time':1.289549, 'head_vector_x':-0.5610436, 'head_vector_y':0.06450833, 'head_vector_z':0.825269
'global_time':1.300042, 'head_vector_x':-0.5608166, 'head_vector_y':0.06464177, 'head_vector_z':0.8254128
'global_time':1.311107, 'head_vector_x':-0.5607064, 'head_vector_y':0.06468748, 'head_vector_z':0.825484
'global_time':1.323997, 'head_vector_x':-0.5602478, 'head_vector_y':0.06497712, 'head_vector_z':0.8257725
'global_time':1.338393, 'head_vector_x':-0.5601161, 'head_vector_y':0.06471129, 'head_vector_z':0.8258828
'global_time':1.350645, 'head_vector_x':-0.5595333, 'head_vector_y':0.0646636, 'head_vector_z':0.8262815
'global_time':1.361843, 'head_vector_x':-0.559375, 'head_vector_y':0.06416706, 'head_vector_z':0.8264273
'global_time':1.373953, 'head_vector_x':-0.5593653, 'head_vector_y':0.06379691, 'head_vector_z':0.8264626
'global_time':1.383443, 'head_vector_x':-0.5589596, 'head_vector_y':0.06322955, 'head_vector_z':0.8267806
'global_time':1.396031, 'head_vector_x':-0.5585397, 'head_vector_y':0.06278374, 'head_vector_z':0.8270983
'global_time':1.407464, 'head_vector_x':-0.5580556, 'head_vector_y':0.0622794, 'head_vector_z':0.8274632
'global_time':1.417627, 'head_vector_x':-0.557705, 'head_vector_y':0.06198925, 'head_vector_z':0.8277212
'global_time':1.430738, 'head_vector_x':-0.5574135, 'head_vector_y':0.06177355, 'head_vector_z':0.8279337
'global_time':1.44156, 'head_vector_x':-0.5571644, 'head_vector_y':0.06131262, 'head_vector_z':0.8281357
'global_time':1.453813, 'head_vector_x':-0.5571446, 'head_vector_y':0.0609879, 'head_vector_z':0.8281729
'global_time':1.466268, 'head_vector_x':-0.5569792, 'head_vector_y':0.06065838, 'head_vector_z':0.8283084
'global_time':1.476039, 'head_vector_x':-0.5570655, 'head_vector_y':0.06040399, 'head_vector_z':0.8282689
'global_time':1.488578, 'head_vector_x':-0.557115, 'head_vector_y':0.05998198, 'head_vector_z':0.8282663
'global_time':1.499638, 'head_vector_x':-0.5572865, 'head_vector_y':0.05977286, 'head_vector_z':0.828166
'global_time':1.510002, 'head_vector_x':-0.557375, 'head_vector_y':0.05939521, 'head_vector_z':0.8281336
'global_time':1.526342, 'head_vector_x':-0.5574154, 'head_vector_y':0.05926291, 'head_vector_z':0.8281159
'global_time':1.539337, 'head_vector_x':-0.5574832, 'head_vector_y':0.05921371, 'head_vector_z':0.8280739
'global_time':1.550719, 'head_vector_x':-0.5575895, 'head_vector_y':0.05889157, 'head_vector_z':0.8280252
'global_time':1.561952, 'head_vector_x':-0.5576196, 'head_vector_y':0.05888655, 'head_vector_z':0.8280053
'global_time':1.574139, 'head_vector_x':-0.5577494, 'head_vector_y':0.05836862, 'head_vector_z':0.8279545
'global_time':1.587013, 'head_vector_x':-0.5581662, 'head_vector_y':0.05805077, 'head_vector_z':0.827696
'global_time':1.920347, 'head_vector_x':-0.5581288, 'head_vector_y':0.05786783, 'head_vector_z':0.827734
'global_time':1.941793, 'head_vector_x':-0.4193543, 'head_vector_y':0.05652507, 'head_vector_z':0.9060612
'global_time':1.954333, 'head_vector_x':-0.4139743, 'head_vector_y':0.05788564, 'head_vector_z':0.9084463
'global_time':1.966536, 'head_vector_x':-0.4109031, 'head_vector_y':0.05860851, 'head_vector_z':0.9097933
'global_time':1.980169, 'head_vector_x':-0.4078267, 'head_vector_y':0.0590266, 'head_vector_z':0.9111494
