'global_time':2.451827, 'hit_distance':7.296305 
'global_time':2.464211, 'hit_distance':7.289264 
'global_time':2.476213, 'hit_distance':7.285733 
'global_time':2.487586, 'hit_distance':7.281868 
'global_time':2.501213, 'hit_distance':7.277821 
'global_time':2.511611, 'hit_distance':7.274049 
'global_time':2.52562, 'hit_distance':7.269957 
'global_time':2.536853, 'hit_distance':7.26588 
'global_time':2.548801, 'hit_distance':7.261298 
'global_time':2.560742, 'hit_distance':7.256641 
'global_time':2.572398, 'hit_distance':7.25211 
'global_time':2.58531, 'hit_distance':7.242201 
'global_time':2.599179, 'hit_distance':7.23665 
'global_time':2.611231, 'hit_distance':7.231225 
'global_time':2.621863, 'hit_distance':7.226215 
'global_time':2.631679, 'hit_distance':7.221522 
'global_time':2.644318, 'hit_distance':7.216721 
'global_time':2.655512, 'hit_distance':7.212484 
'global_time':2.669002, 'hit_distance':7.207602 
'global_time':2.680714, 'hit_distance':7.203107 
'global_time':2.695007, 'hit_distance':7.198892 
'global_time':2.70484, 'hit_distance':7.194943 
'global_time':2.717308, 'hit_distance':7.191534 
'global_time':2.887758, 'hit_distance':7.19094 
'global_time':2.900316, 'hit_distance':7.193182 
'global_time':2.911632, 'hit_distance':7.195104 
'global_time':2.92405, 'hit_distance':7.197962 
'global_time':2.935701, 'hit_distance':7.200001 
'global_time':2.947821, 'hit_distance':7.202979 
'global_time':2.961515, 'hit_distance':7.204762 
'global_time':2.973337, 'hit_distance':7.207007 
'global_time':2.9852, 'hit_distance':7.215002 
'global_time':2.998258, 'hit_distance':7.220997 
'global_time':3.011646, 'hit_distance':7.227777 
'global_time':3.023868, 'hit_distance':7.234984 
'global_time':3.03614, 'hit_distance':7.241631 
'global_time':3.04702, 'hit_distance':7.247839 
'global_time':3.060782, 'hit_distance':7.255079 
'global_time':3.072247, 'hit_distance':7.26253 
'global_time':3.084026, 'hit_distance':7.270826 
'global_time':3.097583, 'hit_distance':7.290296 
'global_time':3.111053, 'hit_distance':7.300719 
'global_time':3.125493, 'hit_distance':7.310566 
'global_time':3.137907, 'hit_distance':7.321421 
'global_time':4.064978, 'hit_distance':6.943265 
'global_time':4.077659, 'hit_distance':6.951989 
'global_time':4.091976, 'hit_distance':6.958117 
'global_time':4.104975, 'hit_distance':6.963097 
'global_time':4.117916, 'hit_distance':6.959763 
'global_time':4.131876, 'hit_distance':6.95404 
'global_time':4.143731, 'hit_distance':6.947102 
'global_time':4.154881, 'hit_distance':6.937644 
'global_time':4.166869, 'hit_distance':6.928202 
'global_time':4.178354, 'hit_distance':6.918242 
'global_time':4.191646, 'hit_distance':6.907735 
'global_time':4.202857, 'hit_distance':6.898688 
'global_time':4.213481, 'hit_distance':6.889441 
'global_time':4.225093, 'hit_distance':6.882811 
'global_time':4.237991, 'hit_distance':6.878875 
'global_time':4.250856, 'hit_distance':6.877037 
'global_time':4.262482, 'hit_distance':6.879168 
'global_time':4.275255, 'hit_distance':6.882754 
'global_time':4.28874, 'hit_distance':6.887644 
'global_time':4.301041, 'hit_distance':6.894299 
'global_time':4.313432, 'hit_distance':6.902032 
'global_time':4.327918, 'hit_distance':6.910342 
'global_time':4.341189, 'hit_distance':6.928987 
'global_time':4.353652, 'hit_distance':6.939087 
'global_time':4.366508, 'hit_distance':6.949247 
'global_time':4.379183, 'hit_distance':6.959316 
'global_time':4.390805, 'hit_distance':6.969493 
'global_time':4.402272, 'hit_distance':6.979383 
'global_time':4.414994, 'hit_distance':6.990021 
'global_time':4.427367, 'hit_distance':7.00149 
'global_time':4.436892, 'hit_distance':7.013597 
'global_time':4.447792, 'hit_distance':7.027293 
'global_time':4.461394, 'hit_distance':7.042666 
'global_time':4.474053, 'hit_distance':7.058924 
'global_time':4.486595, 'hit_distance':7.092323 
'global_time':4.501624, 'hit_distance':7.110676 
'global_time':4.515469, 'hit_distance':7.130859 
'global_time':4.527797, 'hit_distance':7.152999 
'global_time':4.538432, 'hit_distance':7.177144 
'global_time':4.55479, 'hit_distance':7.230863 
'global_time':4.566243, 'hit_distance':7.261394 
'global_time':4.579189, 'hit_distance':7.295541 
'global_time':4.591578, 'hit_distance':7.332784 
'global_time':4.603758, 'hit_distance':7.371918 
'global_time':4.617548, 'hit_distance':7.41123 
'global_time':4.63077, 'hit_distance':7.496547 
'global_time':4.64325, 'hit_distance':7.54331 
'global_time':4.654806, 'hit_distance':7.590841 
'global_time':4.666625, 'hit_distance':7.635999 
'global_time':4.67881, 'hit_distance':7.67749 
'global_time':4.693299, 'hit_distance':7.714228 
'global_time':4.705343, 'hit_distance':7.747599 
'global_time':4.71844, 'hit_distance':7.797349 
'global_time':4.729986, 'hit_distance':7.814826 
'global_time':4.741214, 'hit_distance':7.821029 
'global_time':4.755151, 'hit_distance':7.815613 
'global_time':4.76749, 'hit_distance':7.799464 
'global_time':4.778694, 'hit_distance':7.771733 
'global_time':4.79173, 'hit_distance':7.736909 
'global_time':4.80392, 'hit_distance':7.702149 
'global_time':4.815412, 'hit_distance':7.672741 
'global_time':4.826889, 'hit_distance':7.650122 
'global_time':4.838571, 'hit_distance':7.629687 
'global_time':4.851816, 'hit_distance':7.593804 
'global_time':4.862617, 'hit_distance':7.576215 
'global_time':4.875206, 'hit_distance':7.556932 
'global_time':4.887862, 'hit_distance':7.537269 
'global_time':4.900411, 'hit_distance':7.514406 
'global_time':4.911844, 'hit_distance':7.490954 
'global_time':4.924546, 'hit_distance':7.467648 
'global_time':4.937614, 'hit_distance':7.446776 
'global_time':4.950529, 'hit_distance':7.414684 
'global_time':4.962753, 'hit_distance':7.401776 
'global_time':4.974866, 'hit_distance':7.390221 
'global_time':4.988755, 'hit_distance':7.377018 
'global_time':5.000848, 'hit_distance':7.364096 
'global_time':5.015286, 'hit_distance':7.350193 
'global_time':5.028787, 'hit_distance':7.335417 
'global_time':5.041857, 'hit_distance':7.304464 
'global_time':5.052792, 'hit_distance':7.28768 
'global_time':5.068718, 'hit_distance':7.269321 
'global_time':5.079955, 'hit_distance':7.249927 
'global_time':5.092169, 'hit_distance':7.228727 
'global_time':5.103664, 'hit_distance':7.20512 
'global_time':5.116182, 'hit_distance':7.182803 
'global_time':5.126752, 'hit_distance':7.159589 
'global_time':5.137002, 'hit_distance':7.136895 
'global_time':5.149953, 'hit_distance':7.114996 
'global_time':5.161329, 'hit_distance':7.094478 
'global_time':5.174711, 'hit_distance':7.052417 
'global_time':5.186431, 'hit_distance':7.032271 
'global_time':5.199022, 'hit_distance':7.012592 
'global_time':5.213164, 'hit_distance':6.993717 
'global_time':5.225916, 'hit_distance':6.975689 
'global_time':5.237496, 'hit_distance':6.958865 
'global_time':5.249517, 'hit_distance':6.943157 
'global_time':5.262383, 'hit_distance':6.928021 
'global_time':5.275431, 'hit_distance':6.901373 
'global_time':5.286175, 'hit_distance':6.889929 
'global_time':5.298521, 'hit_distance':6.879755 
'global_time':5.312708, 'hit_distance':6.871409 
'global_time':5.325463, 'hit_distance':6.86454 
'global_time':5.337652, 'hit_distance':6.858872 
'global_time':5.350607, 'hit_distance':6.855203 
'global_time':5.364007, 'hit_distance':6.851871 
'global_time':5.376997, 'hit_distance':6.852908 
'global_time':5.388945, 'hit_distance':6.855742 
'global_time':5.402157, 'hit_distance':6.860209 
'global_time':5.413655, 'hit_distance':6.866846 
'global_time':5.425742, 'hit_distance':6.875596 
'global_time':5.43646, 'hit_distance':6.886628 
'global_time':5.447573, 'hit_distance':6.899158 
'global_time':5.458707, 'hit_distance':6.914966 
'global_time':5.46998, 'hit_distance':6.932507 
'global_time':5.481776, 'hit_distance':6.952855 
'global_time':5.492692, 'hit_distance':6.976624 
'global_time':5.506732, 'hit_distance':7.004006 
'global_time':5.519934, 'hit_distance':7.06828 
'global_time':5.53194, 'hit_distance':7.103936 
'global_time':5.546367, 'hit_distance':7.141666 
'global_time':5.559966, 'hit_distance':7.179901 
'global_time':5.57551, 'hit_distance':7.261024 
'global_time':5.588646, 'hit_distance':7.303319 
'global_time':5.601677, 'hit_distance':7.345695 
'global_time':5.613959, 'hit_distance':7.391159 
'global_time':5.625965, 'hit_distance':7.440013 
'global_time':5.638887, 'hit_distance':7.490342 
'global_time':5.650946, 'hit_distance':7.59005 
'global_time':5.661694, 'hit_distance':7.640384 
'global_time':5.67327, 'hit_distance':7.688607 
'global_time':5.686482, 'hit_distance':7.735941 
'global_time':5.69863, 'hit_distance':7.781848 
'global_time':5.710903, 'hit_distance':7.82468 
'global_time':5.723264, 'hit_distance':7.863549 
'global_time':5.736711, 'hit_distance':7.897871 
'global_time':5.748919, 'hit_distance':7.928937 
'global_time':5.761542, 'hit_distance':7.966659 
'global_time':5.773469, 'hit_distance':7.977902 
'global_time':5.78753, 'hit_distance':7.977161 
'global_time':5.798906, 'hit_distance':7.974284 
'global_time':5.810605, 'hit_distance':7.964485 
'global_time':5.821315, 'hit_distance':7.950526 
'global_time':5.835462, 'hit_distance':7.93455 
'global_time':5.855721, 'hit_distance':7.885208 
'global_time':5.866568, 'hit_distance':7.855849 
'global_time':5.880637, 'hit_distance':7.825095 
'global_time':5.893556, 'hit_distance':7.7925 
'global_time':5.905229, 'hit_distance':7.757416 
'global_time':5.920408, 'hit_distance':7.690951 
'global_time':5.933731, 'hit_distance':7.657004 
'global_time':5.945307, 'hit_distance':7.623983 
'global_time':5.957506, 'hit_distance':7.593454 
'global_time':5.971918, 'hit_distance':7.564615 
'global_time':5.983798, 'hit_distance':7.5121 
'global_time':5.995143, 'hit_distance':7.48686 
'global_time':6.007668, 'hit_distance':7.461443 
'global_time':6.021424, 'hit_distance':7.43538 
'global_time':6.03271, 'hit_distance':7.408576 
'global_time':6.045508, 'hit_distance':7.381693 
'global_time':6.060139, 'hit_distance':7.350887 
'global_time':6.071446, 'hit_distance':7.323884 
'global_time':6.082513, 'hit_distance':7.295043 
'global_time':6.097807, 'hit_distance':7.236669 
'global_time':6.111049, 'hit_distance':7.205604 
'global_time':6.123197, 'hit_distance':7.173621 
'global_time':6.136384, 'hit_distance':7.142324 
'global_time':6.149014, 'hit_distance':7.112462 
'global_time':6.16301, 'hit_distance':7.056982 
'global_time':6.175307, 'hit_distance':7.031885 
'global_time':6.186368, 'hit_distance':7.008417 
'global_time':6.199329, 'hit_distance':6.986319 
'global_time':6.213373, 'hit_distance':6.966236 
'global_time':6.226982, 'hit_distance':6.947555 
'global_time':6.238142, 'hit_distance':6.930664 
'global_time':6.251763, 'hit_distance':6.902438 
'global_time':6.263608, 'hit_distance':6.891011 
'global_time':6.275407, 'hit_distance':6.881137 
'global_time':6.289745, 'hit_distance':6.87349 
'global_time':6.301111, 'hit_distance':6.867563 
'global_time':6.31388, 'hit_distance':6.863274 
'global_time':6.326988, 'hit_distance':6.860264 
'global_time':6.338348, 'hit_distance':6.858801 
'global_time':6.351351, 'hit_distance':6.858303 
'global_time':6.362378, 'hit_distance':6.859775 
'global_time':6.37398, 'hit_distance':6.862074 
'global_time':6.38519, 'hit_distance':6.865262 
'global_time':6.396892, 'hit_distance':6.869245 
'global_time':6.407738, 'hit_distance':6.87427 
'global_time':6.419647, 'hit_distance':6.880451 
'global_time':6.43265, 'hit_distance':6.887241 
'global_time':6.445726, 'hit_distance':6.895161 
'global_time':6.45723, 'hit_distance':6.903766 
'global_time':6.469655, 'hit_distance':6.913784 
'global_time':6.484134, 'hit_distance':6.92541 
'global_time':6.496735, 'hit_distance':6.954133 
'global_time':6.508241, 'hit_distance':6.970568 
'global_time':6.520348, 'hit_distance':6.988225 
'global_time':6.535591, 'hit_distance':7.007772 
'global_time':6.546734, 'hit_distance':7.027936 
'global_time':6.558432, 'hit_distance':7.048699 
'global_time':6.570435, 'hit_distance':7.071583 
'global_time':6.583799, 'hit_distance':7.096242 
'global_time':6.595282, 'hit_distance':7.151419 
'global_time':6.609988, 'hit_distance':7.179463 
'global_time':6.621564, 'hit_distance':7.208175 
'global_time':6.636641, 'hit_distance':7.237064 
'global_time':6.653022, 'hit_distance':7.297311 
'global_time':6.663411, 'hit_distance':7.331312 
'global_time':6.67687, 'hit_distance':7.366845 
'global_time':6.686644, 'hit_distance':7.404389 
'global_time':6.698205, 'hit_distance':7.442148 
'global_time':6.712126, 'hit_distance':7.480525 
'global_time':6.726447, 'hit_distance':7.521234 
'global_time':6.738519, 'hit_distance':7.56455 
'global_time':6.750906, 'hit_distance':7.663157 
'global_time':6.761515, 'hit_distance':7.715737 
'global_time':6.775174, 'hit_distance':7.769568 
'global_time':6.787328, 'hit_distance':7.822589 
'global_time':6.802145, 'hit_distance':7.874434 
'global_time':6.81315, 'hit_distance':7.92301 
'global_time':6.825055, 'hit_distance':7.968983 
'global_time':6.836527, 'hit_distance':8.00918 
'global_time':6.848523, 'hit_distance':8.045011 
'global_time':6.863126, 'hit_distance':8.104422 
'global_time':6.875201, 'hit_distance':8.120525 
'global_time':6.886317, 'hit_distance':8.126213 
'global_time':6.900269, 'hit_distance':8.124766 
'global_time':6.911707, 'hit_distance':8.101816 
'global_time':6.922922, 'hit_distance':8.065574 
'global_time':6.935889, 'hit_distance':8.028177 
'global_time':6.947988, 'hit_distance':7.980569 
'global_time':6.96118, 'hit_distance':7.885866 
'global_time':6.974362, 'hit_distance':7.837832 
'global_time':6.987851, 'hit_distance':7.791101 
'global_time':6.999889, 'hit_distance':7.740086 
'global_time':7.011493, 'hit_distance':7.690087 
'global_time':7.024278, 'hit_distance':7.638635 
'global_time':7.038032, 'hit_distance':7.585976 
'global_time':7.050426, 'hit_distance':7.488449 
'global_time':7.061917, 'hit_distance':7.441433 
'global_time':7.074414, 'hit_distance':7.395939 
'global_time':7.088566, 'hit_distance':7.351524 
'global_time':7.10067, 'hit_distance':7.308097 
'global_time':7.111193, 'hit_distance':7.266207 
'global_time':7.123038, 'hit_distance':7.224496 
'global_time':7.139916, 'hit_distance':7.147885 
'global_time':7.152585, 'hit_distance':7.112199 
'global_time':7.165525, 'hit_distance':7.077931 
'global_time':7.179565, 'hit_distance':7.046391 
'global_time':7.191035, 'hit_distance':7.016632 
'global_time':7.202166, 'hit_distance':6.988735 
'global_time':7.213896, 'hit_distance':6.96285 
'global_time':7.227807, 'hit_distance':6.939486 
'global_time':7.239178, 'hit_distance':6.898813 
'global_time':7.25113, 'hit_distance':6.881618 
'global_time':7.261704, 'hit_distance':6.865992 
'global_time':7.275019, 'hit_distance':6.852277 
'global_time':7.286217, 'hit_distance':6.840574 
'global_time':7.298637, 'hit_distance':6.830705 
'global_time':7.311197, 'hit_distance':6.822861 
'global_time':7.324182, 'hit_distance':6.816725 
'global_time':7.336406, 'hit_distance':6.812618 
'global_time':7.347816, 'hit_distance':6.81048 
'global_time':7.359907, 'hit_distance':6.809675 
'global_time':7.374834, 'hit_distance':6.813115 
'global_time':7.386214, 'hit_distance':6.816441 
'global_time':7.399632, 'hit_distance':6.821961 
'global_time':7.413066, 'hit_distance':6.828603 
'global_time':7.426479, 'hit_distance':6.836644 
'global_time':7.438572, 'hit_distance':6.855978 
'global_time':7.449951, 'hit_distance':6.866728 
'global_time':7.463179, 'hit_distance':6.878406 
'global_time':7.476344, 'hit_distance':6.891054 
'global_time':7.487403, 'hit_distance':6.904663 
'global_time':7.50027, 'hit_distance':6.919802 
'global_time':7.512016, 'hit_distance':6.936371 
'global_time':7.525251, 'hit_distance':6.954272 
'global_time':7.536444, 'hit_distance':6.972484 
'global_time':7.545789, 'hit_distance':6.991269 
'global_time':7.55918, 'hit_distance':7.010957 
'global_time':7.570992, 'hit_distance':7.030762 
'global_time':7.58372, 'hit_distance':7.077063 
'global_time':7.594573, 'hit_distance':7.102515 
'global_time':7.607659, 'hit_distance':7.130379 
'global_time':7.620044, 'hit_distance':7.159703 
'global_time':7.631218, 'hit_distance':7.18952 
'global_time':7.647687, 'hit_distance':7.221081 
'global_time':7.659313, 'hit_distance':7.254125 
'global_time':7.671821, 'hit_distance':7.325407 
'global_time':7.683745, 'hit_distance':7.366015 
'global_time':7.6969, 'hit_distance':7.4085 
'global_time':7.709852, 'hit_distance':7.452519 
'global_time':7.721321, 'hit_distance':7.495997 
'global_time':7.734561, 'hit_distance':7.539278 
'global_time':7.747294, 'hit_distance':7.583274 
'global_time':7.759167, 'hit_distance':7.625623 
'global_time':7.771343, 'hit_distance':7.666711 
'global_time':7.783324, 'hit_distance':7.741604 
'global_time':7.798969, 'hit_distance':7.776276 
'global_time':7.811066, 'hit_distance':7.804149 
'global_time':7.823404, 'hit_distance':7.831712 
'global_time':7.836536, 'hit_distance':7.851706 
'global_time':7.848971, 'hit_distance':7.871065 
'global_time':7.859599, 'hit_distance':7.883718 
'global_time':7.871645, 'hit_distance':7.892358 
'global_time':7.884447, 'hit_distance':7.885593 
'global_time':7.895867, 'hit_distance':7.874091 
'global_time':7.908843, 'hit_distance':7.851702 
'global_time':7.921209, 'hit_distance':7.828377 
'global_time':7.934644, 'hit_distance':7.800687 
'global_time':7.945013, 'hit_distance':7.771223 
'global_time':7.957992, 'hit_distance':7.735869 
'global_time':7.970354, 'hit_distance':7.698192 
'global_time':7.984896, 'hit_distance':7.610872 
'global_time':7.996933, 'hit_distance':7.564567 
'global_time':8.008567, 'hit_distance':7.517948 
'global_time':8.020502, 'hit_distance':7.475131 
'global_time':8.030927, 'hit_distance':7.43222 
'global_time':8.043505, 'hit_distance':7.390113 
'global_time':8.054305, 'hit_distance':7.350467 
'global_time':8.067684, 'hit_distance':7.313552 
'global_time':8.077945, 'hit_distance':7.277943 
'global_time':8.09077, 'hit_distance':7.243469 
'global_time':8.102205, 'hit_distance':7.210894 
'global_time':8.1154, 'hit_distance':7.179648 
'global_time':8.127912, 'hit_distance':7.12015 
'global_time':8.140446, 'hit_distance':7.092714 
'global_time':8.15225, 'hit_distance':7.066671 
'global_time':8.168848, 'hit_distance':7.041373 
'global_time':8.179805, 'hit_distance':7.016877 
'global_time':8.191359, 'hit_distance':6.994157 
'global_time':8.203443, 'hit_distance':6.97246 
'global_time':8.216489, 'hit_distance':6.952282 
'global_time':8.227678, 'hit_distance':6.916689 
'global_time':8.240396, 'hit_distance':6.90097 
'global_time':8.253813, 'hit_distance':6.886758 
'global_time':8.265495, 'hit_distance':6.873789 
'global_time':8.277625, 'hit_distance':6.862605 
'global_time':8.290433, 'hit_distance':6.852047 
'global_time':8.304001, 'hit_distance':6.842611 
'global_time':8.315802, 'hit_distance':6.834295 
'global_time':8.326714, 'hit_distance':6.827261 
'global_time':8.337398, 'hit_distance':6.821336 
'global_time':8.350846, 'hit_distance':6.813161 
'global_time':8.361936, 'hit_distance':6.810746 
'global_time':8.375119, 'hit_distance':6.809311 
'global_time':8.386383, 'hit_distance':6.809062 
'global_time':8.400382, 'hit_distance':6.809931 
'global_time':8.412632, 'hit_distance':6.812395 
'global_time':8.423772, 'hit_distance':6.815671 
'global_time':8.436575, 'hit_distance':6.820139 
'global_time':8.450108, 'hit_distance':6.825777 
'global_time':8.462371, 'hit_distance':6.84099 
'global_time':8.473668, 'hit_distance':6.850744 
'global_time':8.484982, 'hit_distance':6.861546 
'global_time':8.498277, 'hit_distance':6.873955 
'global_time':8.510561, 'hit_distance':6.887995 
'global_time':8.521921, 'hit_distance':6.903694 
'global_time':8.534662, 'hit_distance':6.920965 
'global_time':8.546819, 'hit_distance':6.940281 
'global_time':8.55844, 'hit_distance':6.961427 
'global_time':8.569111, 'hit_distance':6.983899 
'global_time':8.588498, 'hit_distance':7.035378 
'global_time':8.601501, 'hit_distance':7.064224 
'global_time':8.615278, 'hit_distance':7.096002 
'global_time':8.629406, 'hit_distance':7.166577 
'global_time':8.641237, 'hit_distance':7.202742 
'global_time':8.652087, 'hit_distance':7.241046 
'global_time':8.664865, 'hit_distance':7.278788 
'global_time':8.679217, 'hit_distance':7.31724 
'global_time':8.695024, 'hit_distance':7.396419 
'global_time':8.706834, 'hit_distance':7.435823 
'global_time':8.718352, 'hit_distance':7.475841 
'global_time':8.734426, 'hit_distance':7.515367 
'global_time':8.747281, 'hit_distance':7.553581 
'global_time':8.759248, 'hit_distance':7.589086 
'global_time':8.772787, 'hit_distance':7.654906 
'global_time':8.783048, 'hit_distance':7.684781 
'global_time':8.794318, 'hit_distance':7.713823 
'global_time':8.806263, 'hit_distance':7.740579 
'global_time':8.821166, 'hit_distance':7.771331 
'global_time':8.833569, 'hit_distance':7.796401 
'global_time':8.845377, 'hit_distance':7.819358 
'global_time':8.857063, 'hit_distance':7.837119 
'global_time':8.870959, 'hit_distance':7.850205 
'global_time':8.882852, 'hit_distance':7.869275 
'global_time':8.894564, 'hit_distance':7.871826 
'global_time':8.905622, 'hit_distance':7.87377 
'global_time':8.919971, 'hit_distance':7.874234 
'global_time':8.932833, 'hit_distance':7.872937 
'global_time':8.944389, 'hit_distance':7.86578 
'global_time':8.955134, 'hit_distance':7.858284 
'global_time':8.969114, 'hit_distance':7.84387 
'global_time':8.981663, 'hit_distance':7.828818 
'global_time':8.994943, 'hit_distance':7.788245 
