'global_time':2.451827, 'center_x':-1.299999, 'center_y':2, 'center_z':6, 'gaze_x':-2.462394, 'gaze_y':2.1975, 'gaze_z':5.996876
'global_time':2.464211, 'center_x':-1.399999, 'center_y':2, 'center_z':6, 'gaze_x':-2.44293, 'gaze_y':2.1898, 'gaze_z':5.99695
'global_time':2.476213, 'center_x':-1.499999, 'center_y':2, 'center_z':6, 'gaze_x':-2.433428, 'gaze_y':2.184633, 'gaze_z':5.996991
'global_time':2.487586, 'center_x':-1.599999, 'center_y':2, 'center_z':6, 'gaze_x':-2.422587, 'gaze_y':2.178715, 'gaze_z':5.997036
'global_time':2.501213, 'center_x':-1.699999, 'center_y':2, 'center_z':6, 'gaze_x':-2.411841, 'gaze_y':2.169066, 'gaze_z':5.997099
'global_time':2.511611, 'center_x':-1.799999, 'center_y':2, 'center_z':6, 'gaze_x':-2.401266, 'gaze_y':2.16238, 'gaze_z':5.997143
'global_time':2.52562, 'center_x':-1.899999, 'center_y':2, 'center_z':6, 'gaze_x':-2.390217, 'gaze_y':2.15345, 'gaze_z':5.997205
'global_time':2.536853, 'center_x':-1.999999, 'center_y':2, 'center_z':6, 'gaze_x':-2.37849, 'gaze_y':2.147311, 'gaze_z':5.997251
'global_time':2.548801, 'center_x':-2.099999, 'center_y':2, 'center_z':6, 'gaze_x':-2.364841, 'gaze_y':2.142443, 'gaze_z':5.997291
'global_time':2.560742, 'center_x':-2.199999, 'center_y':2, 'center_z':6, 'gaze_x':-2.350903, 'gaze_y':2.137426, 'gaze_z':5.997332
'global_time':2.572398, 'center_x':-2.299999, 'center_y':2, 'center_z':6, 'gaze_x':-2.336808, 'gaze_y':2.13399, 'gaze_z':5.997359
'global_time':2.58531, 'center_x':-2.399998, 'center_y':2, 'center_z':6, 'gaze_x':-2.305997, 'gaze_y':2.12798, 'gaze_z':5.997407
'global_time':2.599179, 'center_x':-2.499998, 'center_y':2, 'center_z':6, 'gaze_x':-2.288911, 'gaze_y':2.124618, 'gaze_z':5.997431
'global_time':2.611231, 'center_x':-2.599998, 'center_y':2, 'center_z':6, 'gaze_x':-2.271518, 'gaze_y':2.122526, 'gaze_z':5.997442
'global_time':2.621863, 'center_x':-2.699998, 'center_y':2, 'center_z':6, 'gaze_x':-2.255195, 'gaze_y':2.122021, 'gaze_z':5.997438
'global_time':2.631679, 'center_x':-2.799998, 'center_y':2, 'center_z':6, 'gaze_x':-2.240122, 'gaze_y':2.119347, 'gaze_z':5.997456
'global_time':2.644318, 'center_x':-2.799998, 'center_y':2, 'center_z':6, 'gaze_x':-2.22512, 'gaze_y':2.11571, 'gaze_z':5.997478
'global_time':2.655512, 'center_x':-2.899998, 'center_y':2, 'center_z':6, 'gaze_x':-2.211107, 'gaze_y':2.114478, 'gaze_z':5.997489
'global_time':2.669002, 'center_x':-2.999998, 'center_y':2, 'center_z':6, 'gaze_x':-2.194743, 'gaze_y':2.114542, 'gaze_z':5.997494
'global_time':2.680714, 'center_x':-3.099998, 'center_y':2, 'center_z':6, 'gaze_x':-2.180008, 'gaze_y':2.111526, 'gaze_z':5.997518
'global_time':2.695007, 'center_x':-3.199998, 'center_y':2, 'center_z':6, 'gaze_x':-2.166598, 'gaze_y':2.109159, 'gaze_z':5.997538
'global_time':2.70484, 'center_x':-3.299998, 'center_y':2, 'center_z':6, 'gaze_x':-2.153757, 'gaze_y':2.105812, 'gaze_z':5.99756
'global_time':2.717308, 'center_x':-3.299998, 'center_y':2, 'center_z':6, 'gaze_x':-2.142775, 'gaze_y':2.101032, 'gaze_z':5.997592
'global_time':2.887758, 'center_x':-3.399997, 'center_y':2, 'center_z':6, 'gaze_x':-2.151118, 'gaze_y':2.101895, 'gaze_z':5.997653
'global_time':2.900316, 'center_x':-3.299998, 'center_y':2, 'center_z':6, 'gaze_x':-2.159594, 'gaze_y':2.10049, 'gaze_z':5.997663
'global_time':2.911632, 'center_x':-3.199998, 'center_y':2, 'center_z':6, 'gaze_x':-2.167019, 'gaze_y':2.098924, 'gaze_z':5.997677
'global_time':2.92405, 'center_x':-3.099998, 'center_y':2, 'center_z':6, 'gaze_x':-2.178408, 'gaze_y':2.09538, 'gaze_z':5.997706
'global_time':2.935701, 'center_x':-2.999998, 'center_y':2, 'center_z':6, 'gaze_x':-2.186128, 'gaze_y':2.094554, 'gaze_z':5.997715
