'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.04, 'gaze_vector_x':0.1220703, 'gaze_vector_y':-0.2133942, 'gaze_vector_z':0.9692993
'gaze_vector':0.3733333, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.4199327, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.4332075, 'gaze_vector_x':0.0222617, 'gaze_vector_y':-0.1403861, 'gaze_vector_z':0.9898323
'gaze_vector':0.445572, 'gaze_vector_x':0.01853153, 'gaze_vector_y':-0.1520436, 'gaze_vector_z':0.9881979
'gaze_vector':0.4561155, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.4686745, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.4799162, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.4924022, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.5039489, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.5151359, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.5267425, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.5394197, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.5516626, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.5637927, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.5758278, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.5919284, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.6042461, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.6144697, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.6289243, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.639528, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.6513354, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.6629531, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.6734154, 'gaze_vector_x':0.02813828, 'gaze_vector_y':-0.09618136, 'gaze_vector_z':0.9949608
'gaze_vector':0.6830775, 'gaze_vector_x':0.03235111, 'gaze_vector_y':-0.08759193, 'gaze_vector_z':0.9956182
'gaze_vector':0.6951362, 'gaze_vector_x':0.03824731, 'gaze_vector_y':-0.08149301, 'gaze_vector_z':0.9959357
'gaze_vector':0.7059397, 'gaze_vector_x':0.03412751, 'gaze_vector_y':-0.08372532, 'gaze_vector_z':0.9959037
'gaze_vector':0.7174333, 'gaze_vector_x':0.02983427, 'gaze_vector_y':-0.08608821, 'gaze_vector_z':0.995837
'gaze_vector':0.7297102, 'gaze_vector_x':0.02568751, 'gaze_vector_y':-0.08241439, 'gaze_vector_z':0.9962625
'gaze_vector':0.7414395, 'gaze_vector_x':0.02698278, 'gaze_vector_y':-0.08416016, 'gaze_vector_z':0.9960735
'gaze_vector':0.7529458, 'gaze_vector_x':0.02560566, 'gaze_vector_y':-0.08500215, 'gaze_vector_z':0.9960384
'gaze_vector':0.7642133, 'gaze_vector_x':0.0452786, 'gaze_vector_y':-0.0820674, 'gaze_vector_z':0.995591
'gaze_vector':0.7738162, 'gaze_vector_x':0.03048522, 'gaze_vector_y':-0.08067717, 'gaze_vector_z':0.9962648
'gaze_vector':0.7858701, 'gaze_vector_x':0.03459681, 'gaze_vector_y':-0.08155057, 'gaze_vector_z':0.9960593
'gaze_vector':0.8066218, 'gaze_vector_x':-0.1019081, 'gaze_vector_y':-0.04492821, 'gaze_vector_z':0.9937692
'gaze_vector':0.8226114, 'gaze_vector_x':-0.1916762, 'gaze_vector_y':0.02806254, 'gaze_vector_z':0.9810537
'gaze_vector':0.8354837, 'gaze_vector_x':-0.2658095, 'gaze_vector_y':0.04972464, 'gaze_vector_z':0.962729
'gaze_vector':0.8479578, 'gaze_vector_x':-0.227031, 'gaze_vector_y':0.06180359, 'gaze_vector_z':0.9719087
'gaze_vector':0.8607454, 'gaze_vector_x':-0.2292968, 'gaze_vector_y':0.05668429, 'gaze_vector_z':0.9716944
'gaze_vector':0.8726321, 'gaze_vector_x':-0.2224389, 'gaze_vector_y':0.06262682, 'gaze_vector_z':0.9729187
'gaze_vector':0.8861595, 'gaze_vector_x':-0.225965, 'gaze_vector_y':0.06245551, 'gaze_vector_z':0.9721297
'gaze_vector':0.8983724, 'gaze_vector_x':-0.2148219, 'gaze_vector_y':0.05851579, 'gaze_vector_z':0.9748968
'gaze_vector':0.9109266, 'gaze_vector_x':-0.2222097, 'gaze_vector_y':0.05311465, 'gaze_vector_z':0.973549
'gaze_vector':0.9216231, 'gaze_vector_x':-0.2065381, 'gaze_vector_y':0.06388938, 'gaze_vector_z':0.9763328
'gaze_vector':0.9335929, 'gaze_vector_x':-0.1889342, 'gaze_vector_y':0.05685627, 'gaze_vector_z':0.9803355
'gaze_vector':0.94639, 'gaze_vector_x':-0.175191, 'gaze_vector_y':0.06713337, 'gaze_vector_z':0.9822292
'gaze_vector':0.9600878, 'gaze_vector_x':-0.1462237, 'gaze_vector_y':0.06908387, 'gaze_vector_z':0.9868262
'gaze_vector':0.9722065, 'gaze_vector_x':-0.1363007, 'gaze_vector_y':0.06933124, 'gaze_vector_z':0.9882299
'gaze_vector':0.9853132, 'gaze_vector_x':-0.1239213, 'gaze_vector_y':0.06385335, 'gaze_vector_z':0.9902256
'gaze_vector':0.9975924, 'gaze_vector_x':-0.08924337, 'gaze_vector_y':0.06496537, 'gaze_vector_z':0.9938757
'gaze_vector':1.01049, 'gaze_vector_x':-0.07864132, 'gaze_vector_y':0.06240986, 'gaze_vector_z':0.9949346
'gaze_vector':1.021581, 'gaze_vector_x':-0.07055248, 'gaze_vector_y':0.05872141, 'gaze_vector_z':0.9957693
'gaze_vector':1.038638, 'gaze_vector_x':-0.05496518, 'gaze_vector_y':0.04517392, 'gaze_vector_z':0.9974591
'gaze_vector':1.050225, 'gaze_vector_x':-0.02331562, 'gaze_vector_y':0.04438005, 'gaze_vector_z':0.998727
'gaze_vector':1.062616, 'gaze_vector_x':-0.01597313, 'gaze_vector_y':0.04748118, 'gaze_vector_z':0.99874
'gaze_vector':1.075575, 'gaze_vector_x':0.004604092, 'gaze_vector_y':0.04348003, 'gaze_vector_z':0.9990391
'gaze_vector':1.089178, 'gaze_vector_x':0.01906357, 'gaze_vector_y':0.04426557, 'gaze_vector_z':0.99883
'gaze_vector':1.101928, 'gaze_vector_x':0.03609347, 'gaze_vector_y':0.04365359, 'gaze_vector_z':0.9983934
'gaze_vector':1.117369, 'gaze_vector_x':0.0426687, 'gaze_vector_y':0.037039, 'gaze_vector_z':0.9983873
'gaze_vector':1.128011, 'gaze_vector_x':0.0455701, 'gaze_vector_y':0.03420805, 'gaze_vector_z':0.9983606
'gaze_vector':1.138447, 'gaze_vector_x':0.06982831, 'gaze_vector_y':0.04796341, 'gaze_vector_z':0.9964012
'gaze_vector':1.150535, 'gaze_vector_x':0.06895984, 'gaze_vector_y':0.04315464, 'gaze_vector_z':0.9966801
'gaze_vector':1.163284, 'gaze_vector_x':0.08450169, 'gaze_vector_y':0.01042376, 'gaze_vector_z':0.9963586
'gaze_vector':1.176099, 'gaze_vector_x':0.0927528, 'gaze_vector_y':0.02111469, 'gaze_vector_z':0.9954517
'gaze_vector':1.187308, 'gaze_vector_x':0.09993017, 'gaze_vector_y':0.09695882, 'gaze_vector_z':0.9902493
'gaze_vector':1.19772, 'gaze_vector_x':0.1204479, 'gaze_vector_y':0.1014932, 'gaze_vector_z':0.9875069
'gaze_vector':1.209654, 'gaze_vector_x':0.1282839, 'gaze_vector_y':0.069153, 'gaze_vector_z':0.9893073
'gaze_vector':1.223271, 'gaze_vector_x':0.1362987, 'gaze_vector_y':0.06516137, 'gaze_vector_z':0.9885175
'gaze_vector':1.235091, 'gaze_vector_x':0.1482115, 'gaze_vector_y':0.06702502, 'gaze_vector_z':0.9866787
'gaze_vector':1.247137, 'gaze_vector_x':0.1642635, 'gaze_vector_y':0.06460069, 'gaze_vector_z':0.9842854
'gaze_vector':1.260171, 'gaze_vector_x':0.1686635, 'gaze_vector_y':0.05789556, 'gaze_vector_z':0.9839697
'gaze_vector':1.271878, 'gaze_vector_x':0.1791451, 'gaze_vector_y':0.06170495, 'gaze_vector_z':0.9818733
'gaze_vector':1.285228, 'gaze_vector_x':0.1914182, 'gaze_vector_y':0.04970595, 'gaze_vector_z':0.9802383
'gaze_vector':1.29846, 'gaze_vector_x':0.2074226, 'gaze_vector_y':0.06648919, 'gaze_vector_z':0.9759865
'gaze_vector':1.311196, 'gaze_vector_x':0.2190288, 'gaze_vector_y':0.05389075, 'gaze_vector_z':0.9742184
'gaze_vector':1.323708, 'gaze_vector_x':0.2293131, 'gaze_vector_y':0.05502694, 'gaze_vector_z':0.9717853
'gaze_vector':1.337131, 'gaze_vector_x':0.2402897, 'gaze_vector_y':0.04425237, 'gaze_vector_z':0.9696867
'gaze_vector':1.350684, 'gaze_vector_x':0.2503806, 'gaze_vector_y':0.0442524, 'gaze_vector_z':0.9671186
'gaze_vector':1.363319, 'gaze_vector_x':0.2666421, 'gaze_vector_y':0.05192895, 'gaze_vector_z':0.9623802
'gaze_vector':1.374591, 'gaze_vector_x':0.2889643, 'gaze_vector_y':0.037305, 'gaze_vector_z':0.9566078
'gaze_vector':1.386469, 'gaze_vector_x':0.2972724, 'gaze_vector_y':0.03797094, 'gaze_vector_z':0.9540331
'gaze_vector':1.398552, 'gaze_vector_x':0.3105021, 'gaze_vector_y':0.04159855, 'gaze_vector_z':0.9496483
'gaze_vector':1.410539, 'gaze_vector_x':0.316932, 'gaze_vector_y':0.04224237, 'gaze_vector_z':0.9475031
'gaze_vector':1.421544, 'gaze_vector_x':0.3256009, 'gaze_vector_y':0.04222957, 'gaze_vector_z':0.9445559
'gaze_vector':1.433904, 'gaze_vector_x':0.3310082, 'gaze_vector_y':0.0438327, 'gaze_vector_z':0.942604
'gaze_vector':1.445573, 'gaze_vector_x':0.3399029, 'gaze_vector_y':0.04417618, 'gaze_vector_z':0.9394102
'gaze_vector':1.45939, 'gaze_vector_x':0.346199, 'gaze_vector_y':0.04307013, 'gaze_vector_z':0.9371562
'gaze_vector':1.47201, 'gaze_vector_x':0.3539968, 'gaze_vector_y':0.04148683, 'gaze_vector_z':0.9343128
