'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':0.04, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':0.3733333, 'head_position_x':0.2623369, 'head_position_y':1.733434, 'head_position_z':-0.5602741
'global_time':0.4199327, 'head_position_x':0.2586236, 'head_position_y':1.73426, 'head_position_z':-0.5621691
'global_time':0.4332075, 'head_position_x':0.2585743, 'head_position_y':1.734481, 'head_position_z':-0.5622593
'global_time':0.445572, 'head_position_x':0.258571, 'head_position_y':1.73477, 'head_position_z':-0.5625327
'global_time':0.4561155, 'head_position_x':0.2585377, 'head_position_y':1.734872, 'head_position_z':-0.5626693
'global_time':0.4686745, 'head_position_x':0.2584133, 'head_position_y':1.734972, 'head_position_z':-0.5629187
'global_time':0.4799162, 'head_position_x':0.2583826, 'head_position_y':1.735089, 'head_position_z':-0.5630307
'global_time':0.4924022, 'head_position_x':0.2584142, 'head_position_y':1.735263, 'head_position_z':-0.5631184
'global_time':0.5039489, 'head_position_x':0.2583675, 'head_position_y':1.735425, 'head_position_z':-0.5632459
'global_time':0.5151359, 'head_position_x':0.2582181, 'head_position_y':1.735525, 'head_position_z':-0.5632324
'global_time':0.5267425, 'head_position_x':0.2583033, 'head_position_y':1.735634, 'head_position_z':-0.563386
'global_time':0.5394197, 'head_position_x':0.2582502, 'head_position_y':1.735724, 'head_position_z':-0.5635145
'global_time':0.5516626, 'head_position_x':0.258108, 'head_position_y':1.735795, 'head_position_z':-0.5636925
'global_time':0.5637927, 'head_position_x':0.258022, 'head_position_y':1.735871, 'head_position_z':-0.5638334
'global_time':0.5758278, 'head_position_x':0.2579818, 'head_position_y':1.735949, 'head_position_z':-0.5640879
'global_time':0.5919284, 'head_position_x':0.2577591, 'head_position_y':1.735961, 'head_position_z':-0.5641193
'global_time':0.6042461, 'head_position_x':0.2576391, 'head_position_y':1.735982, 'head_position_z':-0.5642561
'global_time':0.6144697, 'head_position_x':0.2576256, 'head_position_y':1.735988, 'head_position_z':-0.564167
'global_time':0.6289243, 'head_position_x':0.2574753, 'head_position_y':1.735988, 'head_position_z':-0.564263
'global_time':0.639528, 'head_position_x':0.2572772, 'head_position_y':1.735911, 'head_position_z':-0.5642542
'global_time':0.6513354, 'head_position_x':0.257247, 'head_position_y':1.735855, 'head_position_z':-0.5642371
'global_time':0.6629531, 'head_position_x':0.2571182, 'head_position_y':1.73579, 'head_position_z':-0.5643051
'global_time':0.6734154, 'head_position_x':0.2568445, 'head_position_y':1.735706, 'head_position_z':-0.5642572
'global_time':0.6830775, 'head_position_x':0.2566722, 'head_position_y':1.73562, 'head_position_z':-0.5643098
'global_time':0.6951362, 'head_position_x':0.2565428, 'head_position_y':1.735521, 'head_position_z':-0.5642124
'global_time':0.7059397, 'head_position_x':0.256339, 'head_position_y':1.735427, 'head_position_z':-0.5642502
'global_time':0.7174333, 'head_position_x':0.2560324, 'head_position_y':1.735324, 'head_position_z':-0.564377
'global_time':0.7297102, 'head_position_x':0.2557884, 'head_position_y':1.735232, 'head_position_z':-0.5644048
'global_time':0.7414395, 'head_position_x':0.2555694, 'head_position_y':1.73514, 'head_position_z':-0.5644346
'global_time':0.7529458, 'head_position_x':0.2552865, 'head_position_y':1.735046, 'head_position_z':-0.564316
'global_time':0.7642133, 'head_position_x':0.2550371, 'head_position_y':1.734939, 'head_position_z':-0.5643746
'global_time':0.7738162, 'head_position_x':0.2547535, 'head_position_y':1.734856, 'head_position_z':-0.5643976
'global_time':0.7858701, 'head_position_x':0.2545439, 'head_position_y':1.734856, 'head_position_z':-0.5643135
'global_time':0.8066218, 'head_position_x':0.2540718, 'head_position_y':1.734887, 'head_position_z':-0.5642968
'global_time':0.8226114, 'head_position_x':0.2524861, 'head_position_y':1.735273, 'head_position_z':-0.5640207
'global_time':0.8354837, 'head_position_x':0.2518615, 'head_position_y':1.735423, 'head_position_z':-0.5639534
'global_time':0.8479578, 'head_position_x':0.2512162, 'head_position_y':1.735518, 'head_position_z':-0.5638801
'global_time':0.8607454, 'head_position_x':0.2505582, 'head_position_y':1.735571, 'head_position_z':-0.5638359
'global_time':0.8726321, 'head_position_x':0.2498473, 'head_position_y':1.735595, 'head_position_z':-0.563703
'global_time':0.8861595, 'head_position_x':0.2491939, 'head_position_y':1.735617, 'head_position_z':-0.5637087
'global_time':0.8983724, 'head_position_x':0.248724, 'head_position_y':1.735669, 'head_position_z':-0.5635697
'global_time':0.9109266, 'head_position_x':0.2477451, 'head_position_y':1.73595, 'head_position_z':-0.5634863
'global_time':0.9216231, 'head_position_x':0.2476287, 'head_position_y':1.736104, 'head_position_z':-0.5632847
'global_time':0.9335929, 'head_position_x':0.2475591, 'head_position_y':1.736212, 'head_position_z':-0.5631664
'global_time':0.94639, 'head_position_x':0.2475159, 'head_position_y':1.736263, 'head_position_z':-0.5632373
'global_time':0.9600878, 'head_position_x':0.2475859, 'head_position_y':1.73628, 'head_position_z':-0.5631517
'global_time':0.9722065, 'head_position_x':0.2479479, 'head_position_y':1.736319, 'head_position_z':-0.5630336
'global_time':0.9853132, 'head_position_x':0.2481806, 'head_position_y':1.736312, 'head_position_z':-0.5629944
'global_time':0.9975924, 'head_position_x':0.2485043, 'head_position_y':1.736265, 'head_position_z':-0.5631067
'global_time':1.01049, 'head_position_x':0.2496454, 'head_position_y':1.73613, 'head_position_z':-0.5632023
'global_time':1.021581, 'head_position_x':0.2500586, 'head_position_y':1.736014, 'head_position_z':-0.5634061
'global_time':1.038638, 'head_position_x':0.2505658, 'head_position_y':1.7359, 'head_position_z':-0.5634149
'global_time':1.050225, 'head_position_x':0.251283, 'head_position_y':1.735753, 'head_position_z':-0.5633215
'global_time':1.062616, 'head_position_x':0.2518377, 'head_position_y':1.735599, 'head_position_z':-0.5633124
'global_time':1.075575, 'head_position_x':0.2522675, 'head_position_y':1.735435, 'head_position_z':-0.563346
'global_time':1.089178, 'head_position_x':0.2534465, 'head_position_y':1.735279, 'head_position_z':-0.5633147
'global_time':1.101928, 'head_position_x':0.2539043, 'head_position_y':1.735207, 'head_position_z':-0.5632817
'global_time':1.117369, 'head_position_x':0.2543399, 'head_position_y':1.73516, 'head_position_z':-0.5632028
'global_time':1.128011, 'head_position_x':0.2545631, 'head_position_y':1.735008, 'head_position_z':-0.5632415
'global_time':1.138447, 'head_position_x':0.2549222, 'head_position_y':1.73501, 'head_position_z':-0.5632508
'global_time':1.150535, 'head_position_x':0.2550148, 'head_position_y':1.735001, 'head_position_z':-0.5631788
'global_time':1.163284, 'head_position_x':0.2551936, 'head_position_y':1.735001, 'head_position_z':-0.5631223
'global_time':1.176099, 'head_position_x':0.2556036, 'head_position_y':1.735045, 'head_position_z':-0.5629413
'global_time':1.187308, 'head_position_x':0.2557014, 'head_position_y':1.735074, 'head_position_z':-0.5628696
'global_time':1.19772, 'head_position_x':0.2558878, 'head_position_y':1.735041, 'head_position_z':-0.5627654
'global_time':1.209654, 'head_position_x':0.2561767, 'head_position_y':1.734919, 'head_position_z':-0.5626668
'global_time':1.223271, 'head_position_x':0.2564269, 'head_position_y':1.734852, 'head_position_z':-0.56257
'global_time':1.235091, 'head_position_x':0.2566023, 'head_position_y':1.734794, 'head_position_z':-0.5625231
'global_time':1.247137, 'head_position_x':0.2569009, 'head_position_y':1.73471, 'head_position_z':-0.5623645
'global_time':1.260171, 'head_position_x':0.25726, 'head_position_y':1.734767, 'head_position_z':-0.5623179
'global_time':1.271878, 'head_position_x':0.257436, 'head_position_y':1.734743, 'head_position_z':-0.5622214
'global_time':1.285228, 'head_position_x':0.2578472, 'head_position_y':1.734745, 'head_position_z':-0.5621324
'global_time':1.29846, 'head_position_x':0.2582888, 'head_position_y':1.734714, 'head_position_z':-0.5620778
'global_time':1.311196, 'head_position_x':0.2591453, 'head_position_y':1.734511, 'head_position_z':-0.5619704
'global_time':1.323708, 'head_position_x':0.2596917, 'head_position_y':1.734457, 'head_position_z':-0.5619184
'global_time':1.337131, 'head_position_x':0.2601864, 'head_position_y':1.73438, 'head_position_z':-0.5619168
'global_time':1.350684, 'head_position_x':0.2605484, 'head_position_y':1.734271, 'head_position_z':-0.5619816
'global_time':1.363319, 'head_position_x':0.2610902, 'head_position_y':1.734245, 'head_position_z':-0.5619807
