'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.04, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.3733333, 'head_vector_x':-0.04644867, 'head_vector_y':0.1266113, 'head_vector_z':0.9908643
'global_time':0.4199327, 'head_vector_x':0.007821715, 'head_vector_y':0.1321885, 'head_vector_z':0.9911938
'global_time':0.4332075, 'head_vector_x':0.0121102, 'head_vector_y':0.1347021, 'head_vector_z':0.9908121
'global_time':0.445572, 'head_vector_x':0.01647891, 'head_vector_y':0.1373123, 'head_vector_z':0.9903907
'global_time':0.4561155, 'head_vector_x':0.01828195, 'head_vector_y':0.1384699, 'head_vector_z':0.9901979
'global_time':0.4686745, 'head_vector_x':0.01988227, 'head_vector_y':0.1393611, 'head_vector_z':0.990042
'global_time':0.4799162, 'head_vector_x':0.02156678, 'head_vector_y':0.1405917, 'head_vector_z':0.9898328
'global_time':0.4924022, 'head_vector_x':0.02338175, 'head_vector_y':0.1417564, 'head_vector_z':0.9896254
'global_time':0.5039489, 'head_vector_x':0.02524838, 'head_vector_y':0.1429134, 'head_vector_z':0.9894131
'global_time':0.5151359, 'head_vector_x':0.02695415, 'head_vector_y':0.1441865, 'head_vector_z':0.9891834
'global_time':0.5267425, 'head_vector_x':0.02865165, 'head_vector_y':0.1453465, 'head_vector_z':0.9889659
'global_time':0.5394197, 'head_vector_x':0.02991047, 'head_vector_y':0.1461158, 'head_vector_z':0.9888152
'global_time':0.5516626, 'head_vector_x':0.0311578, 'head_vector_y':0.1468212, 'head_vector_z':0.9886722
'global_time':0.5637927, 'head_vector_x':0.03229773, 'head_vector_y':0.1472811, 'head_vector_z':0.9885672
'global_time':0.5758278, 'head_vector_x':0.03440972, 'head_vector_y':0.1475779, 'head_vector_z':0.9884517
'global_time':0.5919284, 'head_vector_x':0.0352317, 'head_vector_y':0.1477194, 'head_vector_z':0.9884016
'global_time':0.6042461, 'head_vector_x':0.03617128, 'head_vector_y':0.147547, 'head_vector_z':0.9883934
