'global_time':0.8066218, 'hit_distance':6.605341 
'global_time':0.8226114, 'hit_distance':6.690714 
'global_time':0.8354837, 'hit_distance':6.81793 
'global_time':0.8479578, 'hit_distance':6.753442 
'global_time':0.8607454, 'hit_distance':6.754923 
'global_time':0.8726321, 'hit_distance':6.746258 
'global_time':0.8861595, 'hit_distance':6.751824 
'global_time':0.8983724, 'hit_distance':6.732515 
'global_time':0.9109266, 'hit_distance':6.741749 
'global_time':0.9216231, 'hit_distance':6.722218 
'global_time':0.9335929, 'hit_distance':6.69472 
'global_time':0.94639, 'hit_distance':6.68184 
'global_time':0.9600878, 'hit_distance':6.65065 
'global_time':0.9722065, 'hit_distance':6.641094 
'global_time':0.9853132, 'hit_distance':6.627662 
'global_time':0.9975924, 'hit_distance':6.603412 
'global_time':1.01049, 'hit_distance':6.596482 
'global_time':1.021581, 'hit_distance':6.591183 
'global_time':1.038638, 'hit_distance':6.58004 
'global_time':1.050225, 'hit_distance':6.571535 
'global_time':1.062616, 'hit_distance':6.571514 
'global_time':1.075575, 'hit_distance':6.569578 
'global_time':1.089178, 'hit_distance':6.570901 
'global_time':1.101928, 'hit_distance':6.573785 
'global_time':1.117369, 'hit_distance':6.573654 
'global_time':1.128011, 'hit_distance':6.573873 
'global_time':1.138447, 'hit_distance':6.586879 
'global_time':1.150535, 'hit_distance':6.584954 
'global_time':1.163284, 'hit_distance':6.586991 
'global_time':1.176099, 'hit_distance':6.592789 
'global_time':1.187308, 'hit_distance':6.627378 
'global_time':1.19772, 'hit_distance':6.645669 
'global_time':1.209654, 'hit_distance':6.633441 
'global_time':1.223271, 'hit_distance':6.638717 
'global_time':1.235091, 'hit_distance':6.651053 
'global_time':1.247137, 'hit_distance':6.666996 
'global_time':1.260171, 'hit_distance':6.669162 
'global_time':1.271878, 'hit_distance':6.683237 
'global_time':1.285228, 'hit_distance':6.694303 
'global_time':1.29846, 'hit_distance':6.723464 
'global_time':1.311196, 'hit_distance':6.735504 
'global_time':1.323708, 'hit_distance':6.752314 
'global_time':1.337131, 'hit_distance':6.766962 
'global_time':1.350684, 'hit_distance':6.784921 
'global_time':1.363319, 'hit_distance':6.818337 
'global_time':1.374591, 'hit_distance':6.859458 
'global_time':1.386469, 'hit_distance':6.877999 
'global_time':1.398552, 'hit_distance':6.909882 
'global_time':1.410539, 'hit_distance':6.925766 
'global_time':1.421544, 'hit_distance':6.947444 
'global_time':1.433904, 'hit_distance':6.962075 
'global_time':1.445573, 'hit_distance':6.985991 
'global_time':1.45939, 'hit_distance':7.002932 
'global_time':1.47201, 'hit_distance':7.024697 
'global_time':1.485597, 'hit_distance':7.046566 
'global_time':1.497178, 'hit_distance':7.073073 
'global_time':1.510767, 'hit_distance':7.11633 
'global_time':1.525714, 'hit_distance':7.137744 
'global_time':1.537439, 'hit_distance':7.156878 
'global_time':1.550744, 'hit_distance':7.17549 
'global_time':1.564443, 'hit_distance':7.194735 
'global_time':1.579824, 'hit_distance':7.227567 
'global_time':1.591898, 'hit_distance':7.241056 
'global_time':1.606772, 'hit_distance':7.249706 
'global_time':1.626019, 'hit_distance':7.26611 
'global_time':1.640467, 'hit_distance':7.275905 
'global_time':1.651693, 'hit_distance':7.282976 
'global_time':1.663887, 'hit_distance':7.290485 
'global_time':1.677073, 'hit_distance':7.310585 
'global_time':1.688931, 'hit_distance':7.323267 
'global_time':1.701279, 'hit_distance':7.341667 
'global_time':1.713326, 'hit_distance':7.371684 
'global_time':1.728026, 'hit_distance':7.382127 
'global_time':1.73999, 'hit_distance':7.3888 
'global_time':1.751985, 'hit_distance':7.404004 
'global_time':1.763794, 'hit_distance':7.418154 
'global_time':1.774101, 'hit_distance':7.425756 
'global_time':1.785514, 'hit_distance':7.435831 
'global_time':1.797199, 'hit_distance':7.445311 
'global_time':1.809589, 'hit_distance':7.474376 
'global_time':1.822186, 'hit_distance':7.487962 
'global_time':1.834526, 'hit_distance':7.42894 
'global_time':1.847433, 'hit_distance':7.444158 
'global_time':1.859878, 'hit_distance':7.450344 
'global_time':1.871615, 'hit_distance':7.44029 
'global_time':1.88361, 'hit_distance':7.436609 
'global_time':1.901552, 'hit_distance':7.382236 
'global_time':1.914479, 'hit_distance':7.312477 
'global_time':1.926342, 'hit_distance':7.271256 
'global_time':1.943177, 'hit_distance':7.23396 
'global_time':1.954184, 'hit_distance':7.185573 
'global_time':1.9664, 'hit_distance':7.120963 
'global_time':1.978928, 'hit_distance':7.037553 
'global_time':2.332003, 'hit_distance':6.770875 
'global_time':2.3451, 'hit_distance':6.769171 
'global_time':2.359618, 'hit_distance':6.768074 
'global_time':2.372098, 'hit_distance':6.767714 
'global_time':2.386035, 'hit_distance':6.774271 
'global_time':2.400433, 'hit_distance':6.74838 
'global_time':2.4137, 'hit_distance':6.743875 
'global_time':2.426999, 'hit_distance':6.753478 
'global_time':2.439927, 'hit_distance':6.754263 
'global_time':2.453702, 'hit_distance':6.756536 
'global_time':2.468875, 'hit_distance':6.757313 
