'global_time':0.8066218, 'center_x':-1.360002, 'center_y':2, 'center_z':6, 'gaze_x':-0.4181651, 'gaze_y':1.487619, 'gaze_z':5.992879
'global_time':0.8226114, 'center_x':-1.280002, 'center_y':2, 'center_z':6, 'gaze_x':-1.028962, 'gaze_y':1.97251, 'gaze_z':5.992792
'global_time':0.8354837, 'center_x':-1.200001, 'center_y':2, 'center_z':6, 'gaze_x':-1.559364, 'gaze_y':2.123914, 'gaze_z':5.992691
'global_time':0.8479578, 'center_x':-1.120001, 'center_y':2, 'center_z':6, 'gaze_x':-1.280926, 'gaze_y':2.20237, 'gaze_z':5.992637
'global_time':0.8607454, 'center_x':-1.040001, 'center_y':2, 'center_z':6, 'gaze_x':-1.297161, 'gaze_y':2.16793, 'gaze_z':5.992658
'global_time':0.8726321, 'center_x':-0.9600014, 'center_y':2, 'center_z':6, 'gaze_x':-1.249549, 'gaze_y':2.20755, 'gaze_z':5.992626
'global_time':0.8861595, 'center_x':-0.8800014, 'center_y':2, 'center_z':6, 'gaze_x':-1.275177, 'gaze_y':2.206764, 'gaze_z':5.992717
'global_time':0.8983724, 'center_x':-0.8000014, 'center_y':2, 'center_z':6, 'gaze_x':-1.196194, 'gaze_y':2.179083, 'gaze_z':5.992708
'global_time':0.9109266, 'center_x':-0.7200015, 'center_y':2, 'center_z':6, 'gaze_x':-1.248873, 'gaze_y':2.143475, 'gaze_z':5.992613
'global_time':0.9216231, 'center_x':-0.6400015, 'center_y':2, 'center_z':6, 'gaze_x':-1.139281, 'gaze_y':2.21501, 'gaze_z':5.99244
'global_time':0.9335929, 'center_x':-0.5600015, 'center_y':2, 'center_z':6, 'gaze_x':-1.015846, 'gaze_y':2.166267, 'gaze_z':5.992435
'global_time':0.94639, 'center_x':-0.4800015, 'center_y':2, 'center_z':6, 'gaze_x':-0.9216813, 'gaze_y':2.234247, 'gaze_z':5.992333
'global_time':0.9600878, 'center_x':-0.4000015, 'center_y':2, 'center_z':6, 'gaze_x':-0.7235584, 'gaze_y':2.245139, 'gaze_z':5.992318
'global_time':0.9722065, 'center_x':-0.3200015, 'center_y':2, 'center_z':6, 'gaze_x':-0.6560073, 'gaze_y':2.246161, 'gaze_z':5.992315
'global_time':0.9853132, 'center_x':-0.2400015, 'center_y':2, 'center_z':6, 'gaze_x':-0.5719932, 'gaze_y':2.208918, 'gaze_z':5.992296
'global_time':0.9975924, 'center_x':-0.1600015, 'center_y':2, 'center_z':6, 'gaze_x':-0.3398051, 'gaze_y':2.21467, 'gaze_z':5.992284
'global_time':1.01049, 'center_x':-0.08000155, 'center_y':2, 'center_z':6, 'gaze_x':-0.2683559, 'gaze_y':2.197238, 'gaze_z':5.992325
'global_time':1.021581, 'center_x':-1.549721E-06, 'center_y':2, 'center_z':6, 'gaze_x':-0.2143145, 'gaze_y':2.172485, 'gaze_z':5.992376
'global_time':1.038638, 'center_x':0.07999845, 'center_y':2, 'center_z':6, 'gaze_x':-0.1105626, 'gaze_y':2.082582, 'gaze_z':5.992435
'global_time':1.050225, 'center_x':0.1599984, 'center_y':2, 'center_z':6, 'gaze_x':0.09848371, 'gaze_y':2.076842, 'gaze_z':5.992418
'global_time':1.062616, 'center_x':0.2399984, 'center_y':2, 'center_z':6, 'gaze_x':0.1471762, 'gaze_y':2.097073, 'gaze_z':5.992534
'global_time':1.075575, 'center_x':0.3199984, 'center_y':2, 'center_z':6, 'gaze_x':0.2827073, 'gaze_y':2.070541, 'gaze_z':5.992594
'global_time':1.089178, 'center_x':0.3999984, 'center_y':2, 'center_z':6, 'gaze_x':0.3787517, 'gaze_y':2.075621, 'gaze_z':5.992691
'global_time':1.101928, 'center_x':0.4799984, 'center_y':2, 'center_z':6, 'gaze_x':0.4911698, 'gaze_y':2.071661, 'gaze_z':5.992782
'global_time':1.117369, 'center_x':0.5599984, 'center_y':2, 'center_z':6, 'gaze_x':0.5348072, 'gaze_y':2.028133, 'gaze_z':5.992731
'global_time':1.128011, 'center_x':0.6399984, 'center_y':2, 'center_z':6, 'gaze_x':0.5540886, 'gaze_y':2.009382, 'gaze_z':5.992762
'global_time':1.138447, 'center_x':0.7199984, 'center_y':2, 'center_z':6, 'gaze_x':0.7148169, 'gaze_y':2.100439, 'gaze_z':5.992865
'global_time':1.150535, 'center_x':0.7999983, 'center_y':2, 'center_z':6, 'gaze_x':0.7090439, 'gaze_y':2.068676, 'gaze_z':5.992883
'global_time':1.163284, 'center_x':0.8799983, 'center_y':2, 'center_z':6, 'gaze_x':0.8117409, 'gaze_y':1.853171, 'gaze_z':5.992891
'global_time':1.176099, 'center_x':0.9599983, 'center_y':2, 'center_z':6, 'gaze_x':0.8670733, 'gaze_y':1.923769, 'gaze_z':5.99294
'global_time':1.187308, 'center_x':1.039998, 'center_y':2, 'center_z':6, 'gaze_x':0.9179833, 'gaze_y':2.42718, 'gaze_z':5.992997
'global_time':1.19772, 'center_x':1.119998, 'center_y':2, 'center_z':6, 'gaze_x':1.05638, 'gaze_y':2.459059, 'gaze_z':5.993015
'global_time':1.209654, 'center_x':1.199998, 'center_y':2, 'center_z':6, 'gaze_x':1.107188, 'gaze_y':2.243171, 'gaze_z':5.993006
'global_time':1.223271, 'center_x':1.279998, 'center_y':2, 'center_z':6, 'gaze_x':1.16131, 'gaze_y':2.21697, 'gaze_z':5.993082
'global_time':1.235091, 'center_x':1.359998, 'center_y':2, 'center_z':6, 'gaze_x':1.242341, 'gaze_y':2.230114, 'gaze_z':5.993108
'global_time':1.247137, 'center_x':1.439999, 'center_y':2, 'center_z':6, 'gaze_x':1.35195, 'gaze_y':2.214933, 'gaze_z':5.993029
'global_time':1.260171, 'center_x':1.519999, 'center_y':2, 'center_z':6, 'gaze_x':1.381936, 'gaze_y':2.170409, 'gaze_z':5.99308
'global_time':1.271878, 'center_x':1.599999, 'center_y':2, 'center_z':6, 'gaze_x':1.454448, 'gaze_y':2.196655, 'gaze_z':5.992984
'global_time':1.285228, 'center_x':1.679999, 'center_y':2, 'center_z':6, 'gaze_x':1.538901, 'gaze_y':2.117011, 'gaze_z':5.992975
'global_time':1.29846, 'center_x':1.759999, 'center_y':2, 'center_z':6, 'gaze_x':1.652418, 'gaze_y':2.23127, 'gaze_z':5.993021
'global_time':1.311196, 'center_x':1.839999, 'center_y':2, 'center_z':6, 'gaze_x':1.733758, 'gaze_y':2.147011, 'gaze_z':5.992988
'global_time':1.323708, 'center_x':1.919999, 'center_y':2, 'center_z':6, 'gaze_x':1.807332, 'gaze_y':2.155535, 'gaze_z':5.993009
'global_time':1.337131, 'center_x':1.999999, 'center_y':2, 'center_z':6, 'gaze_x':1.885353, 'gaze_y':2.083355, 'gaze_z':5.993068
'global_time':1.350684, 'center_x':2.079999, 'center_y':2, 'center_z':6, 'gaze_x':1.958382, 'gaze_y':2.084038, 'gaze_z':5.992988
'global_time':1.363319, 'center_x':2.159999, 'center_y':2, 'center_z':6, 'gaze_x':2.078042, 'gaze_y':2.137831, 'gaze_z':5.993014
'global_time':1.374591, 'center_x':2.239999, 'center_y':2, 'center_z':6, 'gaze_x':2.242651, 'gaze_y':2.039621, 'gaze_z':5.993087
'global_time':1.386469, 'center_x':2.319999, 'center_y':2, 'center_z':6, 'gaze_x':2.305591, 'gaze_y':2.044846, 'gaze_z':5.993123
'global_time':1.398552, 'center_x':2.399998, 'center_y':2, 'center_z':6, 'gaze_x':2.407364, 'gaze_y':2.070974, 'gaze_z':5.99316
'global_time':1.410539, 'center_x':2.479998, 'center_y':2, 'center_z':6, 'gaze_x':2.457508, 'gaze_y':2.076046, 'gaze_z':5.993287
'global_time':1.421544, 'center_x':2.559998, 'center_y':2, 'center_z':6, 'gaze_x':2.525111, 'gaze_y':2.076774, 'gaze_z':5.993342
'global_time':1.433904, 'center_x':2.639998, 'center_y':2, 'center_z':6, 'gaze_x':2.567908, 'gaze_y':2.088407, 'gaze_z':5.993429
'global_time':1.445573, 'center_x':2.719998, 'center_y':2, 'center_z':6, 'gaze_x':2.638556, 'gaze_y':2.091833, 'gaze_z':5.993481
'global_time':1.45939, 'center_x':2.799998, 'center_y':2, 'center_z':6, 'gaze_x':2.688915, 'gaze_y':2.08474, 'gaze_z':5.993566
'global_time':1.47201, 'center_x':2.879998, 'center_y':2, 'center_z':6, 'gaze_x':2.75169, 'gaze_y':2.074394, 'gaze_z':5.993682
'global_time':1.485597, 'center_x':2.959998, 'center_y':2, 'center_z':6, 'gaze_x':2.815152, 'gaze_y':2.053934, 'gaze_z':5.993847
'global_time':1.497178, 'center_x':3.039998, 'center_y':2, 'center_z':6, 'gaze_x':2.888529, 'gaze_y':2.041846, 'gaze_z':5.993897
'global_time':1.510767, 'center_x':3.119998, 'center_y':2, 'center_z':6, 'gaze_x':3.005206, 'gaze_y':2.018034, 'gaze_z':5.994133
'global_time':1.525714, 'center_x':3.199998, 'center_y':2, 'center_z':6, 'gaze_x':3.059704, 'gaze_y':2.018065, 'gaze_z':5.994263
'global_time':1.537439, 'center_x':3.279998, 'center_y':2, 'center_z':6, 'gaze_x':3.109173, 'gaze_y':2.008343, 'gaze_z':5.994319
'global_time':1.550744, 'center_x':3.359998, 'center_y':2, 'center_z':6, 'gaze_x':3.15506, 'gaze_y':2.017461, 'gaze_z':5.994366
'global_time':1.564443, 'center_x':3.439997, 'center_y':2, 'center_z':6, 'gaze_x':3.20225, 'gaze_y':2.015607, 'gaze_z':5.994466
'global_time':1.579824, 'center_x':3.519997, 'center_y':2, 'center_z':6, 'gaze_x':3.282916, 'gaze_y':2.002998, 'gaze_z':5.994582
'global_time':1.591898, 'center_x':3.599997, 'center_y':2, 'center_z':6, 'gaze_x':3.312395, 'gaze_y':2.034081, 'gaze_z':5.994565
'global_time':1.606772, 'center_x':3.679997, 'center_y':2, 'center_z':6, 'gaze_x':3.328868, 'gaze_y':2.079246, 'gaze_z':5.994572
'global_time':1.626019, 'center_x':3.759997, 'center_y':2, 'center_z':6, 'gaze_x':3.36745, 'gaze_y':2.07783, 'gaze_z':5.994677
'global_time':1.640467, 'center_x':3.839997, 'center_y':2, 'center_z':6, 'gaze_x':3.389263, 'gaze_y':2.085379, 'gaze_z':5.994679
'global_time':1.651693, 'center_x':3.919997, 'center_y':2, 'center_z':6, 'gaze_x':3.406946, 'gaze_y':2.075044, 'gaze_z':5.994676
'global_time':1.663887, 'center_x':3.999997, 'center_y':2, 'center_z':6, 'gaze_x':3.42319, 'gaze_y':2.08667, 'gaze_z':5.994691
'global_time':1.677073, 'center_x':3.919997, 'center_y':2, 'center_z':6, 'gaze_x':3.46785, 'gaze_y':2.099741, 'gaze_z':5.994755
'global_time':1.688931, 'center_x':3.919997, 'center_y':2, 'center_z':6, 'gaze_x':3.497207, 'gaze_y':2.09493, 'gaze_z':5.99481
'global_time':1.701279, 'center_x':3.839997, 'center_y':2, 'center_z':6, 'gaze_x':3.538338, 'gaze_y':2.099513, 'gaze_z':5.99478
'global_time':1.713326, 'center_x':3.759997, 'center_y':2, 'center_z':6, 'gaze_x':3.603978, 'gaze_y':2.107142, 'gaze_z':5.99481
'global_time':1.728026, 'center_x':3.679997, 'center_y':2, 'center_z':6, 'gaze_x':3.629541, 'gaze_y':2.07846, 'gaze_z':5.99488
'global_time':1.73999, 'center_x':3.599997, 'center_y':2, 'center_z':6, 'gaze_x':3.644185, 'gaze_y':2.08003, 'gaze_z':5.994895
'global_time':1.751985, 'center_x':3.519997, 'center_y':2, 'center_z':6, 'gaze_x':3.676913, 'gaze_y':2.081747, 'gaze_z':5.994935
'global_time':1.763794, 'center_x':3.439997, 'center_y':2, 'center_z':6, 'gaze_x':3.707241, 'gaze_y':2.082614, 'gaze_z':5.995074
'global_time':1.774101, 'center_x':3.359998, 'center_y':2, 'center_z':6, 'gaze_x':3.723968, 'gaze_y':2.075447, 'gaze_z':5.995136
'global_time':1.785514, 'center_x':3.279998, 'center_y':2, 'center_z':6, 'gaze_x':3.745294, 'gaze_y':2.078035, 'gaze_z':5.995169
'global_time':1.797199, 'center_x':3.199998, 'center_y':2, 'center_z':6, 'gaze_x':3.764878, 'gaze_y':2.081042, 'gaze_z':5.995192
'global_time':1.809589, 'center_x':3.119998, 'center_y':2, 'center_z':6, 'gaze_x':3.826054, 'gaze_y':2.085026, 'gaze_z':5.995283
'global_time':1.822186, 'center_x':3.039998, 'center_y':2, 'center_z':6, 'gaze_x':3.852352, 'gaze_y':2.108044, 'gaze_z':5.995337
'global_time':1.834526, 'center_x':2.959998, 'center_y':2, 'center_z':6, 'gaze_x':3.725824, 'gaze_y':2.120943, 'gaze_z':5.995439
'global_time':1.847433, 'center_x':2.879998, 'center_y':2, 'center_z':6, 'gaze_x':3.758142, 'gaze_y':2.12415, 'gaze_z':5.995431
'global_time':1.859878, 'center_x':2.799998, 'center_y':2, 'center_z':6, 'gaze_x':3.764913, 'gaze_y':2.182437, 'gaze_z':5.995511
'global_time':1.871615, 'center_x':2.719998, 'center_y':2, 'center_z':6, 'gaze_x':3.748134, 'gaze_y':2.137562, 'gaze_z':5.995541
'global_time':1.88361, 'center_x':2.639998, 'center_y':2, 'center_z':6, 'gaze_x':3.730237, 'gaze_y':2.222132, 'gaze_z':5.99552
'global_time':1.901552, 'center_x':2.559998, 'center_y':2, 'center_z':6, 'gaze_x':3.608796, 'gaze_y':2.242225, 'gaze_z':5.995503
'global_time':1.914479, 'center_x':2.479998, 'center_y':2, 'center_z':6, 'gaze_x':3.454508, 'gaze_y':2.222129, 'gaze_z':5.995459
'global_time':1.926342, 'center_x':2.399998, 'center_y':2, 'center_z':6, 'gaze_x':3.347269, 'gaze_y':2.296888, 'gaze_z':5.995414
'global_time':1.943177, 'center_x':2.319999, 'center_y':2, 'center_z':6, 'gaze_x':3.257532, 'gaze_y':2.297489, 'gaze_z':5.995312
'global_time':1.954184, 'center_x':2.239999, 'center_y':2, 'center_z':6, 'gaze_x':3.158896, 'gaze_y':2.164346, 'gaze_z':5.995275
'global_time':1.9664, 'center_x':2.159999, 'center_y':2, 'center_z':6, 'gaze_x':2.976927, 'gaze_y':2.270923, 'gaze_z':5.995217
'global_time':1.978928, 'center_x':2.079999, 'center_y':2, 'center_z':6, 'gaze_x':2.744988, 'gaze_y':2.295091, 'gaze_z':5.99516
'global_time':2.332003, 'center_x':1.919999, 'center_y':2, 'center_z':6, 'gaze_x':1.924625, 'gaze_y':2.001113, 'gaze_z':5.99521
'global_time':2.3451, 'center_x':1.839999, 'center_y':2, 'center_z':6, 'gaze_x':1.916569, 'gaze_y':2.009465, 'gaze_z':5.995151
'global_time':2.359618, 'center_x':1.759999, 'center_y':2, 'center_z':6, 'gaze_x':1.912082, 'gaze_y':2.007553, 'gaze_z':5.995139
'global_time':2.372098, 'center_x':1.679999, 'center_y':2, 'center_z':6, 'gaze_x':1.910731, 'gaze_y':2.007268, 'gaze_z':5.995101
'global_time':2.386035, 'center_x':1.599999, 'center_y':2, 'center_z':6, 'gaze_x':1.938358, 'gaze_y':1.993148, 'gaze_z':5.995137
'global_time':2.400433, 'center_x':1.519999, 'center_y':2, 'center_z':6, 'gaze_x':1.841413, 'gaze_y':1.884816, 'gaze_z':5.995156
'global_time':2.4137, 'center_x':1.439999, 'center_y':2, 'center_z':6, 'gaze_x':1.823764, 'gaze_y':1.851001, 'gaze_z':5.995156
'global_time':2.426999, 'center_x':1.359999, 'center_y':2, 'center_z':6, 'gaze_x':1.86561, 'gaze_y':1.818069, 'gaze_z':5.995092
'global_time':2.439927, 'center_x':1.279999, 'center_y':2, 'center_z':6, 'gaze_x':1.868278, 'gaze_y':1.827847, 'gaze_z':5.995075
'global_time':2.453702, 'center_x':1.2, 'center_y':2, 'center_z':6, 'gaze_x':1.878345, 'gaze_y':1.821829, 'gaze_z':5.995088
'global_time':2.468875, 'center_x':1.12, 'center_y':2, 'center_z':6, 'gaze_x':1.881373, 'gaze_y':1.831894, 'gaze_z':5.995129
'global_time':2.481074, 'center_x':1.04, 'center_y':2, 'center_z':6, 'gaze_x':1.875153, 'gaze_y':1.833799, 'gaze_z':5.995141
'global_time':2.495147, 'center_x':0.9599997, 'center_y':2, 'center_z':6, 'gaze_x':1.869199, 'gaze_y':1.837063, 'gaze_z':5.995097
'global_time':2.507171, 'center_x':0.8799998, 'center_y':2, 'center_z':6, 'gaze_x':1.865492, 'gaze_y':1.833076, 'gaze_z':5.995133
'global_time':2.518079, 'center_x':0.7999998, 'center_y':2, 'center_z':6, 'gaze_x':1.86207, 'gaze_y':1.825435, 'gaze_z':5.995114
'global_time':2.531839, 'center_x':0.7199998, 'center_y':2, 'center_z':6, 'gaze_x':1.850445, 'gaze_y':1.800649, 'gaze_z':5.995108
