'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':0.04, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':0.3733333, 'gaze_vector_x':0.5279397, 'gaze_vector_y':0.03021904, 'gaze_vector_z':0.8487441
'gaze_vector':0.4257771, 'gaze_vector_x':0.5242427, 'gaze_vector_y':0.01234486, 'gaze_vector_z':0.8514794
'gaze_vector':0.4400962, 'gaze_vector_x':0.5207007, 'gaze_vector_y':0.01056938, 'gaze_vector_z':0.8536739
'gaze_vector':0.4521188, 'gaze_vector_x':0.5190131, 'gaze_vector_y':0.009864166, 'gaze_vector_z':0.8547094
'gaze_vector':0.4667746, 'gaze_vector_x':0.5171869, 'gaze_vector_y':0.009193085, 'gaze_vector_z':0.8558231
'gaze_vector':0.4786527, 'gaze_vector_x':0.5147407, 'gaze_vector_y':0.009079922, 'gaze_vector_z':0.8572978
'gaze_vector':0.4897362, 'gaze_vector_x':0.5113496, 'gaze_vector_y':0.009604555, 'gaze_vector_z':0.8593192
'gaze_vector':0.501487, 'gaze_vector_x':0.5013026, 'gaze_vector_y':0.01065249, 'gaze_vector_z':0.8652064
'gaze_vector':0.5123326, 'gaze_vector_x':0.4949137, 'gaze_vector_y':0.009996768, 'gaze_vector_z':0.8688847
'gaze_vector':0.5250761, 'gaze_vector_x':0.4891606, 'gaze_vector_y':0.008955829, 'gaze_vector_z':0.8721477
'gaze_vector':0.5369768, 'gaze_vector_x':0.4827098, 'gaze_vector_y':0.006843999, 'gaze_vector_z':0.8757536
'gaze_vector':0.5483384, 'gaze_vector_x':0.4768668, 'gaze_vector_y':0.004895184, 'gaze_vector_z':0.8789619
'gaze_vector':0.5614668, 'gaze_vector_x':0.4706855, 'gaze_vector_y':0.002705928, 'gaze_vector_z':0.8822969
'gaze_vector':0.5802015, 'gaze_vector_x':0.4640293, 'gaze_vector_y':0.0008006468, 'gaze_vector_z':0.8858195
'gaze_vector':0.5925213, 'gaze_vector_x':0.4493539, 'gaze_vector_y':-0.002208743, 'gaze_vector_z':0.8933511
'gaze_vector':0.6042653, 'gaze_vector_x':0.441867, 'gaze_vector_y':-0.003520768, 'gaze_vector_z':0.8970737
'gaze_vector':0.6164141, 'gaze_vector_x':0.4347092, 'gaze_vector_y':-0.004984748, 'gaze_vector_z':0.9005571
'gaze_vector':0.6307122, 'gaze_vector_x':0.427649, 'gaze_vector_y':-0.006419003, 'gaze_vector_z':0.9039221
'gaze_vector':0.6436288, 'gaze_vector_x':0.4206668, 'gaze_vector_y':-0.007730193, 'gaze_vector_z':0.9071823
'gaze_vector':0.6554179, 'gaze_vector_x':0.4135263, 'gaze_vector_y':-0.009263605, 'gaze_vector_z':0.910445
'gaze_vector':0.6683244, 'gaze_vector_x':0.4061488, 'gaze_vector_y':-0.01024622, 'gaze_vector_z':0.9137495
'gaze_vector':0.6776689, 'gaze_vector_x':0.3986667, 'gaze_vector_y':-0.01096269, 'gaze_vector_z':0.9170303
'gaze_vector':0.6930324, 'gaze_vector_x':0.3913655, 'gaze_vector_y':-0.01160848, 'gaze_vector_z':0.9201621
'gaze_vector':0.7062092, 'gaze_vector_x':0.3766572, 'gaze_vector_y':-0.01203448, 'gaze_vector_z':0.9262745
'gaze_vector':0.7191709, 'gaze_vector_x':0.3687311, 'gaze_vector_y':-0.01186632, 'gaze_vector_z':0.9294604
'gaze_vector':0.7315588, 'gaze_vector_x':0.3607323, 'gaze_vector_y':-0.01176813, 'gaze_vector_z':0.9325951
'gaze_vector':0.7450651, 'gaze_vector_x':0.3529224, 'gaze_vector_y':-0.01152173, 'gaze_vector_z':0.9355817
'gaze_vector':0.7581316, 'gaze_vector_x':0.3367513, 'gaze_vector_y':-0.01101582, 'gaze_vector_z':0.9415292
'gaze_vector':0.7710164, 'gaze_vector_x':0.3285038, 'gaze_vector_y':-0.01031597, 'gaze_vector_z':0.9444463
'gaze_vector':0.7847392, 'gaze_vector_x':0.3198664, 'gaze_vector_y':-0.009542707, 'gaze_vector_z':0.9474146
'gaze_vector':0.7972511, 'gaze_vector_x':0.3110843, 'gaze_vector_y':-0.008502488, 'gaze_vector_z':0.9503443
'gaze_vector':0.8098244, 'gaze_vector_x':0.301702, 'gaze_vector_y':-0.007164722, 'gaze_vector_z':0.9533753
'gaze_vector':0.8210581, 'gaze_vector_x':0.2922067, 'gaze_vector_y':-0.005275503, 'gaze_vector_z':0.9563406
'gaze_vector':0.8329327, 'gaze_vector_x':0.2823883, 'gaze_vector_y':-0.003777053, 'gaze_vector_z':0.9592928
'gaze_vector':0.84479, 'gaze_vector_x':0.2721566, 'gaze_vector_y':-0.001956964, 'gaze_vector_z':0.9622509
'gaze_vector':0.8573884, 'gaze_vector_x':0.252772, 'gaze_vector_y':0.0007778443, 'gaze_vector_z':0.9675255
'gaze_vector':0.8701096, 'gaze_vector_x':0.2432572, 'gaze_vector_y':0.00222235, 'gaze_vector_z':0.9699593
'gaze_vector':0.8835198, 'gaze_vector_x':0.2334257, 'gaze_vector_y':0.003840307, 'gaze_vector_z':0.972367
'gaze_vector':0.8955467, 'gaze_vector_x':0.2229456, 'gaze_vector_y':0.006200148, 'gaze_vector_z':0.9748111
'gaze_vector':0.9073447, 'gaze_vector_x':0.2117321, 'gaze_vector_y':0.0091236, 'gaze_vector_z':0.9772851
'gaze_vector':0.9187169, 'gaze_vector_x':0.2003731, 'gaze_vector_y':0.01207438, 'gaze_vector_z':0.9796453
'gaze_vector':0.9304503, 'gaze_vector_x':0.1897073, 'gaze_vector_y':0.01440832, 'gaze_vector_z':0.981735
'gaze_vector':0.9438061, 'gaze_vector_x':0.1794206, 'gaze_vector_y':0.0166881, 'gaze_vector_z':0.9836309
'gaze_vector':0.9557605, 'gaze_vector_x':0.1697385, 'gaze_vector_y':0.0184276, 'gaze_vector_z':0.9853168
'gaze_vector':0.9685699, 'gaze_vector_x':0.1602611, 'gaze_vector_y':0.02012087, 'gaze_vector_z':0.9868696
'gaze_vector':0.9805056, 'gaze_vector_x':0.1415117, 'gaze_vector_y':0.02346002, 'gaze_vector_z':0.9896586
'gaze_vector':0.9930722, 'gaze_vector_x':0.132472, 'gaze_vector_y':0.02511102, 'gaze_vector_z':0.9908686
'gaze_vector':1.004409, 'gaze_vector_x':0.1236717, 'gaze_vector_y':0.02671575, 'gaze_vector_z':0.9919635
'gaze_vector':1.01812, 'gaze_vector_x':0.1152498, 'gaze_vector_y':0.02814936, 'gaze_vector_z':0.9929376
'gaze_vector':1.035563, 'gaze_vector_x':0.09948283, 'gaze_vector_y':0.02955954, 'gaze_vector_z':0.9946001
'gaze_vector':1.047337, 'gaze_vector_x':0.0932163, 'gaze_vector_y':0.02944691, 'gaze_vector_z':0.9952103
'gaze_vector':1.060652, 'gaze_vector_x':0.08642208, 'gaze_vector_y':0.02949085, 'gaze_vector_z':0.995822
'gaze_vector':1.075742, 'gaze_vector_x':0.07985173, 'gaze_vector_y':0.03002744, 'gaze_vector_z':0.9963544
'gaze_vector':1.089586, 'gaze_vector_x':0.07268853, 'gaze_vector_y':0.03086706, 'gaze_vector_z':0.9968769
'gaze_vector':1.103513, 'gaze_vector_x':0.05978646, 'gaze_vector_y':0.03176589, 'gaze_vector_z':0.9977056
'gaze_vector':1.114707, 'gaze_vector_x':0.05425104, 'gaze_vector_y':0.03208047, 'gaze_vector_z':0.9980119
'gaze_vector':1.126002, 'gaze_vector_x':0.04904708, 'gaze_vector_y':0.03246325, 'gaze_vector_z':0.9982688
'gaze_vector':1.137292, 'gaze_vector_x':0.04383664, 'gaze_vector_y':0.03291197, 'gaze_vector_z':0.9984965
'gaze_vector':1.150406, 'gaze_vector_x':0.038281, 'gaze_vector_y':0.03361072, 'gaze_vector_z':0.9987016
'gaze_vector':1.161319, 'gaze_vector_x':0.03321579, 'gaze_vector_y':0.03389353, 'gaze_vector_z':0.9988734
'gaze_vector':1.173281, 'gaze_vector_x':0.02838043, 'gaze_vector_y':0.03445077, 'gaze_vector_z':0.9990034
'gaze_vector':1.189154, 'gaze_vector_x':0.02406918, 'gaze_vector_y':0.03548443, 'gaze_vector_z':0.9990804
'gaze_vector':1.201764, 'gaze_vector_x':0.01589316, 'gaze_vector_y':0.03860883, 'gaze_vector_z':0.999128
'gaze_vector':1.212983, 'gaze_vector_x':0.0120726, 'gaze_vector_y':0.04018872, 'gaze_vector_z':0.9991192
'gaze_vector':1.225644, 'gaze_vector_x':0.008642301, 'gaze_vector_y':0.04213306, 'gaze_vector_z':0.9990746
'gaze_vector':1.237599, 'gaze_vector_x':0.00499267, 'gaze_vector_y':0.04428266, 'gaze_vector_z':0.9990066
'gaze_vector':1.248951, 'gaze_vector_x':0.0007642426, 'gaze_vector_y':0.04660954, 'gaze_vector_z':0.9989129
'gaze_vector':1.262033, 'gaze_vector_x':-0.003409881, 'gaze_vector_y':0.04918725, 'gaze_vector_z':0.9987838
'gaze_vector':1.274046, 'gaze_vector_x':-0.007323424, 'gaze_vector_y':0.05119941, 'gaze_vector_z':0.9986616
'gaze_vector':1.28663, 'gaze_vector_x':-0.01091156, 'gaze_vector_y':0.05290714, 'gaze_vector_z':0.9985398
'gaze_vector':1.297188, 'gaze_vector_x':-0.01416164, 'gaze_vector_y':0.05445665, 'gaze_vector_z':0.9984157
'gaze_vector':1.308804, 'gaze_vector_x':-0.01760007, 'gaze_vector_y':0.05622429, 'gaze_vector_z':0.998263
'gaze_vector':1.319881, 'gaze_vector_x':-0.0211254, 'gaze_vector_y':0.05858524, 'gaze_vector_z':0.9980589
'gaze_vector':1.33198, 'gaze_vector_x':-0.02525152, 'gaze_vector_y':0.06147531, 'gaze_vector_z':0.9977891
'gaze_vector':1.345507, 'gaze_vector_x':-0.02973288, 'gaze_vector_y':0.06449714, 'gaze_vector_z':0.9974748
'gaze_vector':1.359391, 'gaze_vector_x':-0.03859468, 'gaze_vector_y':0.06906942, 'gaze_vector_z':0.996865
'gaze_vector':1.371464, 'gaze_vector_x':-0.04254503, 'gaze_vector_y':0.07091083, 'gaze_vector_z':0.9965749
'gaze_vector':1.38258, 'gaze_vector_x':-0.04675922, 'gaze_vector_y':0.07293256, 'gaze_vector_z':0.9962401
'gaze_vector':1.393386, 'gaze_vector_x':-0.0512028, 'gaze_vector_y':0.07513087, 'gaze_vector_z':0.9958583
'gaze_vector':1.404092, 'gaze_vector_x':-0.05604364, 'gaze_vector_y':0.07740841, 'gaze_vector_z':0.9954231
'gaze_vector':1.415793, 'gaze_vector_x':-0.06113108, 'gaze_vector_y':0.07935266, 'gaze_vector_z':0.9949704
'gaze_vector':1.428204, 'gaze_vector_x':-0.06585486, 'gaze_vector_y':0.08089873, 'gaze_vector_z':0.9945444
'gaze_vector':1.437632, 'gaze_vector_x':-0.07066526, 'gaze_vector_y':0.08225518, 'gaze_vector_z':0.9941029
'gaze_vector':1.44999, 'gaze_vector_x':-0.07544717, 'gaze_vector_y':0.08387887, 'gaze_vector_z':0.9936156
'gaze_vector':1.46118, 'gaze_vector_x':-0.08023068, 'gaze_vector_y':0.08518665, 'gaze_vector_z':0.9931296
'gaze_vector':1.471038, 'gaze_vector_x':-0.08555484, 'gaze_vector_y':0.08647222, 'gaze_vector_z':0.9925739
