'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':0.04, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':0.3733333, 'head_position_x':0.3287567, 'head_position_y':1.728733, 'head_position_z':-0.5640258
'global_time':0.4257771, 'head_position_x':0.325661, 'head_position_y':1.726604, 'head_position_z':-0.5580884
'global_time':0.4400962, 'head_position_x':0.3251126, 'head_position_y':1.726241, 'head_position_z':-0.5575745
'global_time':0.4521188, 'head_position_x':0.3248167, 'head_position_y':1.726062, 'head_position_z':-0.5576249
'global_time':0.4667746, 'head_position_x':0.3245878, 'head_position_y':1.725924, 'head_position_z':-0.5574262
'global_time':0.4786527, 'head_position_x':0.3243448, 'head_position_y':1.725925, 'head_position_z':-0.5570245
'global_time':0.4897362, 'head_position_x':0.3239696, 'head_position_y':1.726017, 'head_position_z':-0.556611
'global_time':0.501487, 'head_position_x':0.3229295, 'head_position_y':1.725969, 'head_position_z':-0.5556271
'global_time':0.5123326, 'head_position_x':0.322315, 'head_position_y':1.7259, 'head_position_z':-0.5552663
'global_time':0.5250761, 'head_position_x':0.3216297, 'head_position_y':1.725772, 'head_position_z':-0.5550126
'global_time':0.5369768, 'head_position_x':0.3208698, 'head_position_y':1.725506, 'head_position_z':-0.5547275
'global_time':0.5483384, 'head_position_x':0.3202828, 'head_position_y':1.725255, 'head_position_z':-0.554398
'global_time':0.5614668, 'head_position_x':0.3194325, 'head_position_y':1.724995, 'head_position_z':-0.5540417
'global_time':0.5802015, 'head_position_x':0.3186159, 'head_position_y':1.724712, 'head_position_z':-0.5537562
'global_time':0.5925213, 'head_position_x':0.3170245, 'head_position_y':1.724414, 'head_position_z':-0.552884
'global_time':0.6042653, 'head_position_x':0.3161492, 'head_position_y':1.724283, 'head_position_z':-0.5524517
'global_time':0.6164141, 'head_position_x':0.3152323, 'head_position_y':1.724016, 'head_position_z':-0.5521334
'global_time':0.6307122, 'head_position_x':0.3145202, 'head_position_y':1.723796, 'head_position_z':-0.5517787
'global_time':0.6436288, 'head_position_x':0.3136885, 'head_position_y':1.72355, 'head_position_z':-0.5515527
'global_time':0.6554179, 'head_position_x':0.3127334, 'head_position_y':1.723278, 'head_position_z':-0.551433
'global_time':0.6683244, 'head_position_x':0.3119263, 'head_position_y':1.723043, 'head_position_z':-0.5512381
'global_time':0.6776689, 'head_position_x':0.3111494, 'head_position_y':1.72298, 'head_position_z':-0.5508292
'global_time':0.6930324, 'head_position_x':0.3102612, 'head_position_y':1.722892, 'head_position_z':-0.5503129
'global_time':0.7062092, 'head_position_x':0.3085976, 'head_position_y':1.722635, 'head_position_z':-0.5497114
'global_time':0.7191709, 'head_position_x':0.3078113, 'head_position_y':1.722692, 'head_position_z':-0.5493562
'global_time':0.7315588, 'head_position_x':0.3068103, 'head_position_y':1.722648, 'head_position_z':-0.5488821
'global_time':0.7450651, 'head_position_x':0.3059168, 'head_position_y':1.722605, 'head_position_z':-0.5486229
'global_time':0.7581316, 'head_position_x':0.3042789, 'head_position_y':1.722647, 'head_position_z':-0.5481396
'global_time':0.7710164, 'head_position_x':0.3032859, 'head_position_y':1.722628, 'head_position_z':-0.5477728
'global_time':0.7847392, 'head_position_x':0.3024026, 'head_position_y':1.722662, 'head_position_z':-0.5474806
