'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.04, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.3733333, 'head_vector_x':0.5279397, 'head_vector_y':0.03021904, 'head_vector_z':0.8487441
'global_time':0.4257771, 'head_vector_x':0.5242427, 'head_vector_y':0.01234486, 'head_vector_z':0.8514794
'global_time':0.4400962, 'head_vector_x':0.5207007, 'head_vector_y':0.01056938, 'head_vector_z':0.8536739
'global_time':0.4521188, 'head_vector_x':0.5190131, 'head_vector_y':0.009864166, 'head_vector_z':0.8547094
'global_time':0.4667746, 'head_vector_x':0.5171869, 'head_vector_y':0.009193085, 'head_vector_z':0.8558231
'global_time':0.4786527, 'head_vector_x':0.5147407, 'head_vector_y':0.009079922, 'head_vector_z':0.8572978
'global_time':0.4897362, 'head_vector_x':0.5113496, 'head_vector_y':0.009604555, 'head_vector_z':0.8593192
'global_time':0.501487, 'head_vector_x':0.5013026, 'head_vector_y':0.01065249, 'head_vector_z':0.8652064
'global_time':0.5123326, 'head_vector_x':0.4949137, 'head_vector_y':0.009996768, 'head_vector_z':0.8688847
'global_time':0.5250761, 'head_vector_x':0.4891606, 'head_vector_y':0.008955829, 'head_vector_z':0.8721477
'global_time':0.5369768, 'head_vector_x':0.4827098, 'head_vector_y':0.006843999, 'head_vector_z':0.8757536
'global_time':0.5483384, 'head_vector_x':0.4768668, 'head_vector_y':0.004895184, 'head_vector_z':0.8789619
'global_time':0.5614668, 'head_vector_x':0.4706855, 'head_vector_y':0.002705928, 'head_vector_z':0.8822969
'global_time':0.5802015, 'head_vector_x':0.4640293, 'head_vector_y':0.0008006468, 'head_vector_z':0.8858195
'global_time':0.5925213, 'head_vector_x':0.4493539, 'head_vector_y':-0.002208743, 'head_vector_z':0.8933511
'global_time':0.6042653, 'head_vector_x':0.441867, 'head_vector_y':-0.003520768, 'head_vector_z':0.8970737
'global_time':0.6164141, 'head_vector_x':0.4347092, 'head_vector_y':-0.004984748, 'head_vector_z':0.9005571
'global_time':0.6307122, 'head_vector_x':0.427649, 'head_vector_y':-0.006419003, 'head_vector_z':0.9039221
'global_time':0.6436288, 'head_vector_x':0.4206668, 'head_vector_y':-0.007730193, 'head_vector_z':0.9071823
'global_time':0.6554179, 'head_vector_x':0.4135263, 'head_vector_y':-0.009263605, 'head_vector_z':0.910445
'global_time':0.6683244, 'head_vector_x':0.4061488, 'head_vector_y':-0.01024622, 'head_vector_z':0.9137495
'global_time':0.6776689, 'head_vector_x':0.3986667, 'head_vector_y':-0.01096269, 'head_vector_z':0.9170303
'global_time':0.6930324, 'head_vector_x':0.3913655, 'head_vector_y':-0.01160848, 'head_vector_z':0.9201621
'global_time':0.7062092, 'head_vector_x':0.3766572, 'head_vector_y':-0.01203448, 'head_vector_z':0.9262745
'global_time':0.7191709, 'head_vector_x':0.3687311, 'head_vector_y':-0.01186632, 'head_vector_z':0.9294604
'global_time':0.7315588, 'head_vector_x':0.3607323, 'head_vector_y':-0.01176813, 'head_vector_z':0.9325951
'global_time':0.7450651, 'head_vector_x':0.3529224, 'head_vector_y':-0.01152173, 'head_vector_z':0.9355817
'global_time':0.7581316, 'head_vector_x':0.3367513, 'head_vector_y':-0.01101582, 'head_vector_z':0.9415292
'global_time':0.7710164, 'head_vector_x':0.3285038, 'head_vector_y':-0.01031597, 'head_vector_z':0.9444463
'global_time':0.7847392, 'head_vector_x':0.3198664, 'head_vector_y':-0.009542707, 'head_vector_z':0.9474146
'global_time':0.7972511, 'head_vector_x':0.3110843, 'head_vector_y':-0.008502488, 'head_vector_z':0.9503443
'global_time':0.8098244, 'head_vector_x':0.301702, 'head_vector_y':-0.007164722, 'head_vector_z':0.9533753
'global_time':0.8210581, 'head_vector_x':0.2922067, 'head_vector_y':-0.005275503, 'head_vector_z':0.9563406
'global_time':0.8329327, 'head_vector_x':0.2823883, 'head_vector_y':-0.003777053, 'head_vector_z':0.9592928
'global_time':0.84479, 'head_vector_x':0.2721566, 'head_vector_y':-0.001956964, 'head_vector_z':0.9622509
'global_time':0.8573884, 'head_vector_x':0.252772, 'head_vector_y':0.0007778443, 'head_vector_z':0.9675255
'global_time':0.8701096, 'head_vector_x':0.2432572, 'head_vector_y':0.00222235, 'head_vector_z':0.9699593
'global_time':0.8835198, 'head_vector_x':0.2334257, 'head_vector_y':0.003840307, 'head_vector_z':0.972367
'global_time':0.8955467, 'head_vector_x':0.2229456, 'head_vector_y':0.006200148, 'head_vector_z':0.9748111
'global_time':0.9073447, 'head_vector_x':0.2117321, 'head_vector_y':0.0091236, 'head_vector_z':0.9772851
'global_time':0.9187169, 'head_vector_x':0.2003731, 'head_vector_y':0.01207438, 'head_vector_z':0.9796453
'global_time':0.9304503, 'head_vector_x':0.1897073, 'head_vector_y':0.01440832, 'head_vector_z':0.981735
'global_time':0.9438061, 'head_vector_x':0.1794206, 'head_vector_y':0.0166881, 'head_vector_z':0.9836309
'global_time':0.9557605, 'head_vector_x':0.1697385, 'head_vector_y':0.0184276, 'head_vector_z':0.9853168
'global_time':0.9685699, 'head_vector_x':0.1602611, 'head_vector_y':0.02012087, 'head_vector_z':0.9868696
'global_time':0.9805056, 'head_vector_x':0.1415117, 'head_vector_y':0.02346002, 'head_vector_z':0.9896586
'global_time':0.9930722, 'head_vector_x':0.132472, 'head_vector_y':0.02511102, 'head_vector_z':0.9908686
'global_time':1.004409, 'head_vector_x':0.1236717, 'head_vector_y':0.02671575, 'head_vector_z':0.9919635
'global_time':1.01812, 'head_vector_x':0.1152498, 'head_vector_y':0.02814936, 'head_vector_z':0.9929376
'global_time':1.035563, 'head_vector_x':0.09948283, 'head_vector_y':0.02955954, 'head_vector_z':0.9946001
'global_time':1.047337, 'head_vector_x':0.0932163, 'head_vector_y':0.02944691, 'head_vector_z':0.9952103
'global_time':1.060652, 'head_vector_x':0.08642208, 'head_vector_y':0.02949085, 'head_vector_z':0.995822
'global_time':1.075742, 'head_vector_x':0.07985173, 'head_vector_y':0.03002744, 'head_vector_z':0.9963544
'global_time':1.089586, 'head_vector_x':0.07268853, 'head_vector_y':0.03086706, 'head_vector_z':0.9968769
'global_time':1.103513, 'head_vector_x':0.05978646, 'head_vector_y':0.03176589, 'head_vector_z':0.9977056
'global_time':1.114707, 'head_vector_x':0.05425104, 'head_vector_y':0.03208047, 'head_vector_z':0.9980119
'global_time':1.126002, 'head_vector_x':0.04904708, 'head_vector_y':0.03246325, 'head_vector_z':0.9982688
'global_time':1.137292, 'head_vector_x':0.04383664, 'head_vector_y':0.03291197, 'head_vector_z':0.9984965
'global_time':1.150406, 'head_vector_x':0.038281, 'head_vector_y':0.03361072, 'head_vector_z':0.9987016
'global_time':1.161319, 'head_vector_x':0.03321579, 'head_vector_y':0.03389353, 'head_vector_z':0.9988734
'global_time':1.173281, 'head_vector_x':0.02838043, 'head_vector_y':0.03445077, 'head_vector_z':0.9990034
'global_time':1.189154, 'head_vector_x':0.02406918, 'head_vector_y':0.03548443, 'head_vector_z':0.9990804
'global_time':1.201764, 'head_vector_x':0.01589316, 'head_vector_y':0.03860883, 'head_vector_z':0.999128
'global_time':1.212983, 'head_vector_x':0.0120726, 'head_vector_y':0.04018872, 'head_vector_z':0.9991192
'global_time':1.225644, 'head_vector_x':0.008642301, 'head_vector_y':0.04213306, 'head_vector_z':0.9990746
'global_time':1.237599, 'head_vector_x':0.00499267, 'head_vector_y':0.04428266, 'head_vector_z':0.9990066
'global_time':1.248951, 'head_vector_x':0.0007642426, 'head_vector_y':0.04660954, 'head_vector_z':0.9989129
'global_time':1.262033, 'head_vector_x':-0.003409881, 'head_vector_y':0.04918725, 'head_vector_z':0.9987838
'global_time':1.274046, 'head_vector_x':-0.007323424, 'head_vector_y':0.05119941, 'head_vector_z':0.9986616
'global_time':1.28663, 'head_vector_x':-0.01091156, 'head_vector_y':0.05290714, 'head_vector_z':0.9985398
'global_time':1.297188, 'head_vector_x':-0.01416164, 'head_vector_y':0.05445665, 'head_vector_z':0.9984157
'global_time':1.308804, 'head_vector_x':-0.01760007, 'head_vector_y':0.05622429, 'head_vector_z':0.998263
'global_time':1.319881, 'head_vector_x':-0.0211254, 'head_vector_y':0.05858524, 'head_vector_z':0.9980589
'global_time':1.33198, 'head_vector_x':-0.02525152, 'head_vector_y':0.06147531, 'head_vector_z':0.9977891
'global_time':1.345507, 'head_vector_x':-0.02973288, 'head_vector_y':0.06449714, 'head_vector_z':0.9974748
'global_time':1.359391, 'head_vector_x':-0.03859468, 'head_vector_y':0.06906942, 'head_vector_z':0.996865
'global_time':1.371464, 'head_vector_x':-0.04254503, 'head_vector_y':0.07091083, 'head_vector_z':0.9965749
'global_time':1.38258, 'head_vector_x':-0.04675922, 'head_vector_y':0.07293256, 'head_vector_z':0.9962401
'global_time':1.393386, 'head_vector_x':-0.0512028, 'head_vector_y':0.07513087, 'head_vector_z':0.9958583
'global_time':1.404092, 'head_vector_x':-0.05604364, 'head_vector_y':0.07740841, 'head_vector_z':0.9954231
'global_time':1.415793, 'head_vector_x':-0.06113108, 'head_vector_y':0.07935266, 'head_vector_z':0.9949704
'global_time':1.428204, 'head_vector_x':-0.06585486, 'head_vector_y':0.08089873, 'head_vector_z':0.9945444
'global_time':1.437632, 'head_vector_x':-0.07066526, 'head_vector_y':0.08225518, 'head_vector_z':0.9941029
'global_time':1.44999, 'head_vector_x':-0.07544717, 'head_vector_y':0.08387887, 'head_vector_z':0.9936156
'global_time':1.46118, 'head_vector_x':-0.08023068, 'head_vector_y':0.08518665, 'head_vector_z':0.9931296
'global_time':1.471038, 'head_vector_x':-0.08555484, 'head_vector_y':0.08647222, 'head_vector_z':0.9925739
'global_time':1.482861, 'head_vector_x':-0.09064534, 'head_vector_y':0.08809126, 'head_vector_z':0.9919795
'global_time':1.493391, 'head_vector_x':-0.09598292, 'head_vector_y':0.08966237, 'head_vector_z':0.9913365
'global_time':1.508268, 'head_vector_x':-0.1009267, 'head_vector_y':0.09101458, 'head_vector_z':0.9907221
'global_time':1.520957, 'head_vector_x':-0.106254, 'head_vector_y':0.09288342, 'head_vector_z':0.9899913
'global_time':1.532693, 'head_vector_x':-0.1116682, 'head_vector_y':0.09501094, 'head_vector_z':0.9891932
'global_time':1.543379, 'head_vector_x':-0.1169706, 'head_vector_y':0.09706563, 'head_vector_z':0.9883806
'global_time':1.554985, 'head_vector_x':-0.1222048, 'head_vector_y':0.09892969, 'head_vector_z':0.9875621
'global_time':1.566632, 'head_vector_x':-0.1267225, 'head_vector_y':0.1003667, 'head_vector_z':0.9868475
'global_time':1.899965, 'head_vector_x':-0.130923, 'head_vector_y':0.1018281, 'head_vector_z':0.9861492
'global_time':1.919431, 'head_vector_x':-0.04587491, 'head_vector_y':0.1367043, 'head_vector_z':0.9895491
'global_time':1.930527, 'head_vector_x':-0.04611225, 'head_vector_y':0.136752, 'head_vector_z':0.9895315
'global_time':1.942743, 'head_vector_x':-0.04639005, 'head_vector_y':0.1367643, 'head_vector_z':0.9895168
'global_time':1.953168, 'head_vector_x':-0.04659877, 'head_vector_y':0.1368448, 'head_vector_z':0.9894959
'global_time':1.967326, 'head_vector_x':-0.04664309, 'head_vector_y':0.1367639, 'head_vector_z':0.9895049
'global_time':1.979162, 'head_vector_x':-0.04678769, 'head_vector_y':0.1367489, 'head_vector_z':0.9895002
'global_time':1.992348, 'head_vector_x':-0.0473478, 'head_vector_y':0.136468, 'head_vector_z':0.9895123
'global_time':2.005126, 'head_vector_x':-0.04765784, 'head_vector_y':0.1365405, 'head_vector_z':0.9894875
'global_time':2.017773, 'head_vector_x':-0.04785956, 'head_vector_y':0.1368191, 'head_vector_z':0.9894392
'global_time':2.029925, 'head_vector_x':-0.04806706, 'head_vector_y':0.1371157, 'head_vector_z':0.9893881
'global_time':2.042736, 'head_vector_x':-0.04828756, 'head_vector_y':0.1375045, 'head_vector_z':0.9893234
'global_time':2.054215, 'head_vector_x':-0.04857819, 'head_vector_y':0.1377369, 'head_vector_z':0.9892769
'global_time':2.068444, 'head_vector_x':-0.04909734, 'head_vector_y':0.1375491, 'head_vector_z':0.9892774
'global_time':2.081805, 'head_vector_x':-0.0496907, 'head_vector_y':0.1377435, 'head_vector_z':0.9892207
'global_time':2.093827, 'head_vector_x':-0.04988895, 'head_vector_y':0.1376592, 'head_vector_z':0.9892225
'global_time':2.114472, 'head_vector_x':-0.05026866, 'head_vector_y':0.1377889, 'head_vector_z':0.9891852
'global_time':2.125951, 'head_vector_x':-0.05085506, 'head_vector_y':0.1382525, 'head_vector_z':0.9890905
'global_time':2.138266, 'head_vector_x':-0.05119058, 'head_vector_y':0.1383376, 'head_vector_z':0.9890613
'global_time':2.149964, 'head_vector_x':-0.05149994, 'head_vector_y':0.1383816, 'head_vector_z':0.9890391
'global_time':2.164452, 'head_vector_x':-0.05192623, 'head_vector_y':0.1384123, 'head_vector_z':0.9890125
'global_time':2.175698, 'head_vector_x':-0.05195276, 'head_vector_y':0.1384745, 'head_vector_z':0.9890024
'global_time':2.188374, 'head_vector_x':-0.05212576, 'head_vector_y':0.1385396, 'head_vector_z':0.9889842
'global_time':2.202688, 'head_vector_x':-0.05231094, 'head_vector_y':0.1386474, 'head_vector_z':0.9889593
'global_time':2.215768, 'head_vector_x':-0.05282972, 'head_vector_y':0.1388001, 'head_vector_z':0.9889103
'global_time':2.226485, 'head_vector_x':-0.05326461, 'head_vector_y':0.1392265, 'head_vector_z':0.988827
'global_time':2.237234, 'head_vector_x':-0.05340693, 'head_vector_y':0.1395692, 'head_vector_z':0.988771
'global_time':2.251205, 'head_vector_x':-0.05371454, 'head_vector_y':0.1397761, 'head_vector_z':0.9887251
'global_time':2.263013, 'head_vector_x':-0.05393396, 'head_vector_y':0.1397065, 'head_vector_z':0.988723
'global_time':2.274056, 'head_vector_x':-0.05416763, 'head_vector_y':0.1400785, 'head_vector_z':0.9886576
'global_time':2.285532, 'head_vector_x':-0.05449937, 'head_vector_y':0.1403706, 'head_vector_z':0.9885979
'global_time':2.29952, 'head_vector_x':-0.054788, 'head_vector_y':0.1406812, 'head_vector_z':0.9885378
'global_time':2.309988, 'head_vector_x':-0.05519985, 'head_vector_y':0.1410442, 'head_vector_z':0.9884632
'global_time':2.321775, 'head_vector_x':-0.05552652, 'head_vector_y':0.1412935, 'head_vector_z':0.9884093
'global_time':2.333063, 'head_vector_x':-0.05559656, 'head_vector_y':0.1414581, 'head_vector_z':0.9883818
'global_time':2.34457, 'head_vector_x':-0.05579809, 'head_vector_y':0.1416671, 'head_vector_z':0.9883406
'global_time':2.355408, 'head_vector_x':-0.05568445, 'head_vector_y':0.1417617, 'head_vector_z':0.9883334
'global_time':2.367341, 'head_vector_x':-0.05572145, 'head_vector_y':0.1419832, 'head_vector_z':0.9882995
'global_time':2.379117, 'head_vector_x':-0.05582304, 'head_vector_y':0.1420875, 'head_vector_z':0.9882788
'global_time':2.392003, 'head_vector_x':-0.0559521, 'head_vector_y':0.1423849, 'head_vector_z':0.9882287
'global_time':2.401816, 'head_vector_x':-0.05566465, 'head_vector_y':0.1427502, 'head_vector_z':0.9881922
'global_time':2.414532, 'head_vector_x':-0.05567736, 'head_vector_y':0.1431326, 'head_vector_z':0.9881362
'global_time':2.425966, 'head_vector_x':-0.05537673, 'head_vector_y':0.1433429, 'head_vector_z':0.9881226
'global_time':2.439536, 'head_vector_x':-0.05529026, 'head_vector_y':0.1436354, 'head_vector_z':0.988085
'global_time':2.451018, 'head_vector_x':-0.05514923, 'head_vector_y':0.1439252, 'head_vector_z':0.9880506
'global_time':2.462472, 'head_vector_x':-0.05494111, 'head_vector_y':0.1439612, 'head_vector_z':0.988057
'global_time':2.475299, 'head_vector_x':-0.05480197, 'head_vector_y':0.1439335, 'head_vector_z':0.9880688
'global_time':2.490406, 'head_vector_x':-0.05440566, 'head_vector_y':0.1440605, 'head_vector_z':0.9880722
'global_time':2.501474, 'head_vector_x':-0.05407456, 'head_vector_y':0.1443636, 'head_vector_z':0.9880461
'global_time':2.514853, 'head_vector_x':-0.05311283, 'head_vector_y':0.1447075, 'head_vector_z':0.988048
'global_time':2.526875, 'head_vector_x':-0.05304136, 'head_vector_y':0.1448107, 'head_vector_z':0.9880367
'global_time':2.540829, 'head_vector_x':-0.05291009, 'head_vector_y':0.1447396, 'head_vector_z':0.9880542
'global_time':2.553611, 'head_vector_x':-0.05273362, 'head_vector_y':0.1445358, 'head_vector_z':0.9880934
'global_time':2.566693, 'head_vector_x':-0.05256422, 'head_vector_y':0.144636, 'head_vector_z':0.9880878
'global_time':2.580748, 'head_vector_x':-0.05200881, 'head_vector_y':0.1444071, 'head_vector_z':0.9881507
'global_time':2.593109, 'head_vector_x':-0.05191234, 'head_vector_y':0.1445857, 'head_vector_z':0.9881296
'global_time':2.604905, 'head_vector_x':-0.05156554, 'head_vector_y':0.1449433, 'head_vector_z':0.9880953
'global_time':2.616757, 'head_vector_x':-0.05152699, 'head_vector_y':0.1452787, 'head_vector_z':0.9880481
'global_time':2.631819, 'head_vector_x':-0.05163783, 'head_vector_y':0.1454897, 'head_vector_z':0.9880113
'global_time':2.643793, 'head_vector_x':-0.05176857, 'head_vector_y':0.145543, 'head_vector_z':0.9879966
'global_time':2.656949, 'head_vector_x':-0.05191028, 'head_vector_y':0.1456766, 'head_vector_z':0.9879695
'global_time':2.670061, 'head_vector_x':-0.05188286, 'head_vector_y':0.1458697, 'head_vector_z':0.9879424
'global_time':2.681446, 'head_vector_x':-0.05203338, 'head_vector_y':0.1456563, 'head_vector_z':0.987966
'global_time':2.693742, 'head_vector_x':-0.05222291, 'head_vector_y':0.1456001, 'head_vector_z':0.9879643
'global_time':2.709853, 'head_vector_x':-0.05270973, 'head_vector_y':0.1459742, 'head_vector_z':0.9878832
