'global_time':1.01812, 'hit_distance':6.589668 
'global_time':1.035563, 'hit_distance':6.578342 
'global_time':1.047337, 'hit_distance':6.574275 
'global_time':1.060652, 'hit_distance':6.570111 
'global_time':1.075742, 'hit_distance':6.566528 
'global_time':1.089586, 'hit_distance':6.562993 
'global_time':1.103513, 'hit_distance':6.557455 
'global_time':1.114707, 'hit_distance':6.55539 
'global_time':1.126002, 'hit_distance':6.553829 
'global_time':1.137292, 'hit_distance':6.55213 
'global_time':1.150406, 'hit_distance':6.550745 
'global_time':1.161319, 'hit_distance':6.549985 
'global_time':1.173281, 'hit_distance':6.549155 
'global_time':1.189154, 'hit_distance':6.548721 
'global_time':1.201764, 'hit_distance':6.548535 
'global_time':1.212983, 'hit_distance':6.548574 
'global_time':1.225644, 'hit_distance':6.548963 
'global_time':1.237599, 'hit_distance':6.549291 
'global_time':1.248951, 'hit_distance':6.549887 
'global_time':1.262033, 'hit_distance':6.550846 
'global_time':2.462472, 'hit_distance':6.634194 
'global_time':2.475299, 'hit_distance':6.634127 
'global_time':2.490406, 'hit_distance':6.634115 
'global_time':2.501474, 'hit_distance':6.634118 
'global_time':2.514853, 'hit_distance':6.634021 
'global_time':2.526875, 'hit_distance':6.634081 
'global_time':2.540829, 'hit_distance':6.63391 
'global_time':2.553611, 'hit_distance':6.633656 
'global_time':2.566693, 'hit_distance':6.633636 
'global_time':2.580748, 'hit_distance':6.633197 
'global_time':2.593109, 'hit_distance':6.633447 
'global_time':2.604905, 'hit_distance':6.633642 
'global_time':2.616757, 'hit_distance':6.633966 
'global_time':2.631819, 'hit_distance':6.634192 
'global_time':2.643793, 'hit_distance':6.634328 
'global_time':2.656949, 'hit_distance':6.634484 
'global_time':2.670061, 'hit_distance':6.634541 
'global_time':2.681446, 'hit_distance':6.634434 
'global_time':2.693742, 'hit_distance':6.634319 
'global_time':2.709853, 'hit_distance':6.634828 
'global_time':2.72346, 'hit_distance':6.635228 
'global_time':2.736923, 'hit_distance':6.635935 
'global_time':2.75059, 'hit_distance':6.636328 
'global_time':2.763101, 'hit_distance':6.636812 
'global_time':2.776058, 'hit_distance':6.636881 
'global_time':2.788372, 'hit_distance':6.637404 
'global_time':2.800111, 'hit_distance':6.637488 
'global_time':2.814038, 'hit_distance':6.63746 
'global_time':2.82564, 'hit_distance':6.637373 
'global_time':2.83827, 'hit_distance':6.637421 
'global_time':2.849184, 'hit_distance':6.637729 
'global_time':2.861043, 'hit_distance':6.638159 
'global_time':3.361847, 'hit_distance':7.037327 
'global_time':3.376092, 'hit_distance':7.074842 
'global_time':3.388417, 'hit_distance':7.115418 
'global_time':3.400322, 'hit_distance':7.161631 
'global_time':3.413874, 'hit_distance':7.259304 
'global_time':3.425485, 'hit_distance':7.311827 
'global_time':3.438587, 'hit_distance':7.36312 
'global_time':3.45049, 'hit_distance':7.415686 
'global_time':3.463447, 'hit_distance':7.467614 
'global_time':3.475911, 'hit_distance':7.516707 
'global_time':3.488287, 'hit_distance':7.562363 
'global_time':3.499886, 'hit_distance':7.599866 
'global_time':3.511689, 'hit_distance':7.632049 
'global_time':3.654254, 'hit_distance':7.218719 
'global_time':3.667917, 'hit_distance':7.163531 
'global_time':3.680174, 'hit_distance':7.052552 
'global_time':3.691929, 'hit_distance':6.999775 
'global_time':3.704611, 'hit_distance':6.950286 
'global_time':3.716501, 'hit_distance':6.905361 
'global_time':3.726641, 'hit_distance':6.865349 
'global_time':3.738733, 'hit_distance':6.828553 
'global_time':3.752352, 'hit_distance':6.793506 
'global_time':3.764453, 'hit_distance':6.759434 
'global_time':3.774447, 'hit_distance':6.727756 
'global_time':3.785757, 'hit_distance':6.700206 
'global_time':3.800135, 'hit_distance':6.677202 
'global_time':3.812499, 'hit_distance':6.639881 
'global_time':3.823905, 'hit_distance':6.623985 
'global_time':3.834783, 'hit_distance':6.610171 
'global_time':3.848473, 'hit_distance':6.598362 
'global_time':3.859667, 'hit_distance':6.589064 
'global_time':3.874391, 'hit_distance':6.582364 
'global_time':3.886947, 'hit_distance':6.578195 
'global_time':3.9008, 'hit_distance':6.576077 
'global_time':3.912372, 'hit_distance':6.576504 
'global_time':3.92389, 'hit_distance':6.57857 
'global_time':3.935226, 'hit_distance':6.582551 
'global_time':3.948456, 'hit_distance':6.587864 
'global_time':3.959591, 'hit_distance':6.59396 
'global_time':3.971817, 'hit_distance':6.60049 
'global_time':3.984962, 'hit_distance':6.606996 
'global_time':3.996479, 'hit_distance':6.61455 
'global_time':4.007353, 'hit_distance':6.62308 
'global_time':4.017092, 'hit_distance':6.632536 
'global_time':4.031088, 'hit_distance':6.642807 
'global_time':4.042688, 'hit_distance':6.652625 
'global_time':4.053991, 'hit_distance':6.663128 
'global_time':4.066559, 'hit_distance':6.672811 
'global_time':4.080083, 'hit_distance':6.693991 
'global_time':4.091074, 'hit_distance':6.705881 
'global_time':4.103742, 'hit_distance':6.718242 
'global_time':4.117387, 'hit_distance':6.731818 
'global_time':4.128966, 'hit_distance':6.745479 
'global_time':4.141546, 'hit_distance':6.758449 
'global_time':4.154257, 'hit_distance':6.772327 
'global_time':4.166913, 'hit_distance':6.78759 
'global_time':4.179742, 'hit_distance':6.80455 
'global_time':4.191497, 'hit_distance':6.843384 
'global_time':4.204199, 'hit_distance':6.865769 
'global_time':4.218053, 'hit_distance':6.889332 
'global_time':4.230177, 'hit_distance':6.913358 
'global_time':4.241992, 'hit_distance':6.938762 
'global_time':4.253737, 'hit_distance':6.966318 
'global_time':4.267916, 'hit_distance':6.99827 
'global_time':4.27922, 'hit_distance':7.068882 
'global_time':4.291509, 'hit_distance':7.105718 
'global_time':4.303749, 'hit_distance':7.14122 
'global_time':4.317056, 'hit_distance':7.174545 
'global_time':4.329748, 'hit_distance':7.207995 
'global_time':4.341937, 'hit_distance':7.242677 
'global_time':4.356096, 'hit_distance':7.277762 
'global_time':4.366172, 'hit_distance':7.312242 
'global_time':4.381845, 'hit_distance':7.372185 
'global_time':4.392622, 'hit_distance':7.395418 
'global_time':4.406181, 'hit_distance':7.414542 
'global_time':4.417602, 'hit_distance':7.425511 
'global_time':4.429811, 'hit_distance':7.433981 
'global_time':4.441748, 'hit_distance':7.434408 
'global_time':4.455604, 'hit_distance':7.42464 
'global_time':4.466575, 'hit_distance':7.410367 
'global_time':4.478655, 'hit_distance':7.365829 
'global_time':4.490296, 'hit_distance':7.335108 
'global_time':4.505409, 'hit_distance':7.307222 
'global_time':4.517198, 'hit_distance':7.275598 
'global_time':4.529989, 'hit_distance':7.244847 
'global_time':4.541799, 'hit_distance':7.210067 
'global_time':4.555644, 'hit_distance':7.173885 
'global_time':4.565436, 'hit_distance':7.139713 
'global_time':4.57578, 'hit_distance':7.107437 
'global_time':4.587446, 'hit_distance':7.077282 
'global_time':4.600608, 'hit_distance':7.049787 
