'global_time':1.01812, 'center_x':-0.08000155, 'center_y':2, 'center_z':6, 'gaze_x':1.050029, 'gaze_y':1.960682, 'gaze_z':5.997744
'global_time':1.035563, 'center_x':-1.549721E-06, 'center_y':2, 'center_z':6, 'gaze_x':0.9438483, 'gaze_y':1.969599, 'gaze_z':5.997787
'global_time':1.047337, 'center_x':0.07999845, 'center_y':2, 'center_z':6, 'gaze_x':0.9017206, 'gaze_y':1.968765, 'gaze_z':5.997837
'global_time':1.060652, 'center_x':0.1599984, 'center_y':2, 'center_z':6, 'gaze_x':0.8562304, 'gaze_y':1.968831, 'gaze_z':5.997883
'global_time':1.075742, 'center_x':0.2399984, 'center_y':2, 'center_z':6, 'gaze_x':0.8123088, 'gaze_y':1.972244, 'gaze_z':5.997904
'global_time':1.089586, 'center_x':0.3199984, 'center_y':2, 'center_z':6, 'gaze_x':0.7644342, 'gaze_y':1.977702, 'gaze_z':5.997913
'global_time':1.103513, 'center_x':0.3999984, 'center_y':2, 'center_z':6, 'gaze_x':0.6786751, 'gaze_y':1.983541, 'gaze_z':5.997956
'global_time':1.114707, 'center_x':0.4799984, 'center_y':2, 'center_z':6, 'gaze_x':0.6419395, 'gaze_y':1.985543, 'gaze_z':5.997978
'global_time':1.126002, 'center_x':0.5599984, 'center_y':2, 'center_z':6, 'gaze_x':0.6072811, 'gaze_y':1.987932, 'gaze_z':5.997994
'global_time':1.137292, 'center_x':0.6399984, 'center_y':2, 'center_z':6, 'gaze_x':0.5727911, 'gaze_y':1.990893, 'gaze_z':5.998007
'global_time':1.150406, 'center_x':0.7199984, 'center_y':2, 'center_z':6, 'gaze_x':0.5360034, 'gaze_y':1.995449, 'gaze_z':5.99801
'global_time':1.161319, 'center_x':0.7999983, 'center_y':2, 'center_z':6, 'gaze_x':0.5025465, 'gaze_y':1.997311, 'gaze_z':5.99803
'global_time':1.173281, 'center_x':0.8799983, 'center_y':2, 'center_z':6, 'gaze_x':0.4705877, 'gaze_y':2.000991, 'gaze_z':5.998036
'global_time':1.189154, 'center_x':0.9599983, 'center_y':2, 'center_z':6, 'gaze_x':0.4423088, 'gaze_y':2.007881, 'gaze_z':5.998016
'global_time':1.201764, 'center_x':1.039998, 'center_y':2, 'center_z':6, 'gaze_x':0.3883796, 'gaze_y':2.02864, 'gaze_z':5.997921
'global_time':1.212983, 'center_x':1.119998, 'center_y':2, 'center_z':6, 'gaze_x':0.3632126, 'gaze_y':2.039148, 'gaze_z':5.997872
'global_time':1.225644, 'center_x':1.199998, 'center_y':2, 'center_z':6, 'gaze_x':0.3408112, 'gaze_y':2.052031, 'gaze_z':5.997802
'global_time':1.237599, 'center_x':1.279998, 'center_y':2, 'center_z':6, 'gaze_x':0.3166485, 'gaze_y':2.066332, 'gaze_z':5.997724
'global_time':1.248951, 'center_x':1.359998, 'center_y':2, 'center_z':6, 'gaze_x':0.2888007, 'gaze_y':2.081835, 'gaze_z':5.997641
'global_time':1.262033, 'center_x':1.439999, 'center_y':2, 'center_z':6, 'gaze_x':0.2614744, 'gaze_y':2.09898, 'gaze_z':5.997547
'global_time':2.462472, 'center_x':1.12, 'center_y':2, 'center_z':6, 'gaze_x':-0.1043822, 'gaze_y':2.739987, 'gaze_z':5.993212
'global_time':2.475299, 'center_x':1.04, 'center_y':2, 'center_z':6, 'gaze_x':-0.103173, 'gaze_y':2.739861, 'gaze_z':5.993213
'global_time':2.490406, 'center_x':0.9599997, 'center_y':2, 'center_z':6, 'gaze_x':-0.1004364, 'gaze_y':2.740765, 'gaze_z':5.993204
'global_time':2.501474, 'center_x':0.8799998, 'center_y':2, 'center_z':6, 'gaze_x':-0.09792662, 'gaze_y':2.742882, 'gaze_z':5.993188
'global_time':2.514853, 'center_x':0.7999998, 'center_y':2, 'center_z':6, 'gaze_x':-0.09113184, 'gaze_y':2.745245, 'gaze_z':5.993166
'global_time':2.526875, 'center_x':0.7199998, 'center_y':2, 'center_z':6, 'gaze_x':-0.09038877, 'gaze_y':2.745987, 'gaze_z':5.993161
'global_time':2.540829, 'center_x':0.6399998, 'center_y':2, 'center_z':6, 'gaze_x':-0.08917823, 'gaze_y':2.745521, 'gaze_z':5.993164
'global_time':2.553611, 'center_x':0.5599998, 'center_y':2, 'center_z':6, 'gaze_x':-0.08775139, 'gaze_y':2.74421, 'gaze_z':5.993173
'global_time':2.566693, 'center_x':0.4799998, 'center_y':2, 'center_z':6, 'gaze_x':-0.08650938, 'gaze_y':2.744926, 'gaze_z':5.993167
'global_time':2.580748, 'center_x':0.3999999, 'center_y':2, 'center_z':6, 'gaze_x':-0.08209407, 'gaze_y':2.743447, 'gaze_z':5.993176
'global_time':2.593109, 'center_x':0.3199999, 'center_y':2, 'center_z':6, 'gaze_x':-0.08126828, 'gaze_y':2.744707, 'gaze_z':5.993166
'global_time':2.604905, 'center_x':0.2399999, 'center_y':2, 'center_z':6, 'gaze_x':-0.07873526, 'gaze_y':2.747145, 'gaze_z':5.993147
'global_time':2.616757, 'center_x':0.1599999, 'center_y':2, 'center_z':6, 'gaze_x':-0.07810971, 'gaze_y':2.749471, 'gaze_z':5.993128
'global_time':2.631819, 'center_x':0.07999997, 'center_y':2, 'center_z':6, 'gaze_x':-0.0785946, 'gaze_y':2.750945, 'gaze_z':5.993117
'global_time':2.643793, 'center_x':0, 'center_y':2, 'center_z':6, 'gaze_x':-0.07929677, 'gaze_y':2.75135, 'gaze_z':5.993114
'global_time':2.656949, 'center_x':-0.07999997, 'center_y':2, 'center_z':6, 'gaze_x':-0.07997903, 'gaze_y':2.752267, 'gaze_z':5.993109
'global_time':2.670061, 'center_x':-0.1599999, 'center_y':2, 'center_z':6, 'gaze_x':-0.07916352, 'gaze_y':2.75357, 'gaze_z':5.9931
'global_time':2.681446, 'center_x':-0.2399999, 'center_y':2, 'center_z':6, 'gaze_x':-0.07995927, 'gaze_y':2.752067, 'gaze_z':5.993112
'global_time':2.693742, 'center_x':-0.3199999, 'center_y':2, 'center_z':6, 'gaze_x':-0.08085644, 'gaze_y':2.751713, 'gaze_z':5.993116
'global_time':2.709853, 'center_x':-0.3999999, 'center_y':2, 'center_z':6, 'gaze_x':-0.08382407, 'gaze_y':2.754289, 'gaze_z':5.993102
'global_time':2.72346, 'center_x':-0.4799998, 'center_y':2, 'center_z':6, 'gaze_x':-0.08653542, 'gaze_y':2.755795, 'gaze_z':5.993096
'global_time':2.736923, 'center_x':-0.5599998, 'center_y':2, 'center_z':6, 'gaze_x':-0.09060091, 'gaze_y':2.759398, 'gaze_z':5.993079
'global_time':2.75059, 'center_x':-0.6399998, 'center_y':2, 'center_z':6, 'gaze_x':-0.09231591, 'gaze_y':2.761539, 'gaze_z':5.993068
'global_time':2.763101, 'center_x':-0.7199998, 'center_y':2, 'center_z':6, 'gaze_x':-0.09520417, 'gaze_y':2.762976, 'gaze_z':5.993062
'global_time':2.776058, 'center_x':-0.7999998, 'center_y':2, 'center_z':6, 'gaze_x':-0.09877771, 'gaze_y':2.762664, 'gaze_z':5.993071
'global_time':2.788372, 'center_x':-0.8799998, 'center_y':2, 'center_z':6, 'gaze_x':-0.1029421, 'gaze_y':2.7646, 'gaze_z':5.993063
'global_time':2.800111, 'center_x':-0.9599997, 'center_y':2, 'center_z':6, 'gaze_x':-0.1065313, 'gaze_y':2.763594, 'gaze_z':5.993076
'global_time':2.814038, 'center_x':-1.04, 'center_y':2, 'center_z':6, 'gaze_x':-0.1133441, 'gaze_y':2.759894, 'gaze_z':5.993117
'global_time':2.82564, 'center_x':-1.12, 'center_y':2, 'center_z':6, 'gaze_x':-0.1172379, 'gaze_y':2.757402, 'gaze_z':5.993142
'global_time':2.83827, 'center_x':-1.2, 'center_y':2, 'center_z':6, 'gaze_x':-0.1213834, 'gaze_y':2.755033, 'gaze_z':5.993165
'global_time':2.849184, 'center_x':-1.279999, 'center_y':2, 'center_z':6, 'gaze_x':-0.1262839, 'gaze_y':2.755018, 'gaze_z':5.993174
'global_time':2.861043, 'center_x':-1.359999, 'center_y':2, 'center_z':6, 'gaze_x':-0.1315731, 'gaze_y':2.754867, 'gaze_z':5.993183
'global_time':3.361847, 'center_x':-3.439997, 'center_y':2, 'center_z':6, 'gaze_x':-2.198172, 'gaze_y':2.470101, 'gaze_z':5.996968
'global_time':3.376092, 'center_x':-3.359998, 'center_y':2, 'center_z':6, 'gaze_x':-2.310053, 'gaze_y':2.449033, 'gaze_z':5.997142
'global_time':3.388417, 'center_x':-3.279998, 'center_y':2, 'center_z':6, 'gaze_x':-2.426235, 'gaze_y':2.425841, 'gaze_z':5.997321
'global_time':3.400322, 'center_x':-3.199998, 'center_y':2, 'center_z':6, 'gaze_x':-2.551484, 'gaze_y':2.404621, 'gaze_z':5.997492
'global_time':3.413874, 'center_x':-3.119998, 'center_y':2, 'center_z':6, 'gaze_x':-2.803566, 'gaze_y':2.35307, 'gaze_z':5.997873
'global_time':3.425485, 'center_x':-3.039998, 'center_y':2, 'center_z':6, 'gaze_x':-2.932001, 'gaze_y':2.323729, 'gaze_z':5.99809
'global_time':3.438587, 'center_x':-2.959998, 'center_y':2, 'center_z':6, 'gaze_x':-3.053986, 'gaze_y':2.293149, 'gaze_z':5.998306
'global_time':3.45049, 'center_x':-2.879998, 'center_y':2, 'center_z':6, 'gaze_x':-3.174901, 'gaze_y':2.258708, 'gaze_z':5.998558
'global_time':3.463447, 'center_x':-2.799998, 'center_y':2, 'center_z':6, 'gaze_x':-3.290786, 'gaze_y':2.225071, 'gaze_z':5.998794
'global_time':3.475911, 'center_x':-2.719998, 'center_y':2, 'center_z':6, 'gaze_x':-3.397408, 'gaze_y':2.192199, 'gaze_z':5.999022
'global_time':3.488287, 'center_x':-2.639998, 'center_y':2, 'center_z':6, 'gaze_x':-3.493865, 'gaze_y':2.166912, 'gaze_z':5.999189
'global_time':3.499886, 'center_x':-2.559998, 'center_y':2, 'center_z':6, 'gaze_x':-3.571263, 'gaze_y':2.14918, 'gaze_z':5.999301
'global_time':3.511689, 'center_x':-2.479998, 'center_y':2, 'center_z':6, 'gaze_x':-3.636434, 'gaze_y':2.136004, 'gaze_z':5.999364
'global_time':3.654254, 'center_x':-1.519999, 'center_y':2, 'center_z':6, 'gaze_x':-2.731234, 'gaze_y':2.168298, 'gaze_z':5.998183
'global_time':3.667917, 'center_x':-1.519999, 'center_y':2, 'center_z':6, 'gaze_x':-2.593575, 'gaze_y':2.173412, 'gaze_z':5.998065
