'global_time':3.580431, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':3.77379, 'ChildID':5, 'pos_x':-2, 'pos_y':1, 'pos_z':3, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':4.048014, 'ChildID':4, 'pos_x':-2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':4.008015,  'useGaze':True, 'useVal':False
'global_time':4.306866, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':4.489645, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':4.543161, 'ChildID':5, 'pos_x':-2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.4951461,  'useGaze':True, 'useVal':False
'global_time':4.869344, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.3261839,  'useGaze':True, 'useVal':False
'global_time':5.303304, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.4339595,  'useGaze':True, 'useVal':False
'global_time':5.611867, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.3085636,  'useGaze':True, 'useVal':False
'global_time':5.904325, 'ChildID':5, 'pos_x':-2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.2924575,  'useGaze':True, 'useVal':False
'global_time':6.468369, 'ChildID':4, 'pos_x':-2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.5640442,  'useGaze':True, 'useVal':False
'global_time':6.702769, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':6.769809, 'ChildID':0, 'pos_x':2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.3014405,  'useGaze':True, 'useVal':False
'global_time':7.101618, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':7.257039, 'ChildID':4, 'pos_x':-2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.4872296,  'useGaze':True, 'useVal':False
