'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':0.04, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':0.3733333, 'head_position_x':0.04847224, 'head_position_y':1.102411, 'head_position_z':-0.6283895
'global_time':0.414874, 'head_position_x':0.04738095, 'head_position_y':1.102701, 'head_position_z':-0.6274285
'global_time':0.4303808, 'head_position_x':0.04732561, 'head_position_y':1.10267, 'head_position_z':-0.6273941
'global_time':0.4413811, 'head_position_x':0.04731577, 'head_position_y':1.102674, 'head_position_z':-0.6273707
'global_time':0.4520023, 'head_position_x':0.04722527, 'head_position_y':1.102715, 'head_position_z':-0.6272624
'global_time':0.4643331, 'head_position_x':0.04723474, 'head_position_y':1.102708, 'head_position_z':-0.6272666
'global_time':0.4757062, 'head_position_x':0.04729699, 'head_position_y':1.102716, 'head_position_z':-0.6273689
'global_time':0.4869944, 'head_position_x':0.04727787, 'head_position_y':1.10272, 'head_position_z':-0.6273709
'global_time':0.4964992, 'head_position_x':0.04724022, 'head_position_y':1.102804, 'head_position_z':-0.6273071
'global_time':0.5090088, 'head_position_x':0.04721977, 'head_position_y':1.102815, 'head_position_z':-0.6272831
'global_time':0.5197268, 'head_position_x':0.04720789, 'head_position_y':1.102831, 'head_position_z':-0.6272422
'global_time':0.5323583, 'head_position_x':0.0472606, 'head_position_y':1.102857, 'head_position_z':-0.6272393
'global_time':0.5428131, 'head_position_x':0.0472359, 'head_position_y':1.102863, 'head_position_z':-0.6271969
'global_time':0.5553111, 'head_position_x':0.04714017, 'head_position_y':1.102883, 'head_position_z':-0.6271258
'global_time':0.5665584, 'head_position_x':0.04708643, 'head_position_y':1.102883, 'head_position_z':-0.627063
'global_time':0.5763091, 'head_position_x':0.04702428, 'head_position_y':1.102866, 'head_position_z':-0.627011
'global_time':0.5873365, 'head_position_x':0.04708894, 'head_position_y':1.102744, 'head_position_z':-0.6270857
'global_time':0.598555, 'head_position_x':0.04706309, 'head_position_y':1.102727, 'head_position_z':-0.6270445
'global_time':0.6161511, 'head_position_x':0.04700773, 'head_position_y':1.102721, 'head_position_z':-0.6270152
'global_time':0.62739, 'head_position_x':0.04701145, 'head_position_y':1.102717, 'head_position_z':-0.6269755
'global_time':0.6391391, 'head_position_x':0.04698653, 'head_position_y':1.102699, 'head_position_z':-0.6269129
'global_time':0.6510941, 'head_position_x':0.04697365, 'head_position_y':1.102757, 'head_position_z':-0.6268342
'global_time':0.6603548, 'head_position_x':0.04696184, 'head_position_y':1.102791, 'head_position_z':-0.6267911
'global_time':0.6704515, 'head_position_x':0.04707607, 'head_position_y':1.10282, 'head_position_z':-0.626798
'global_time':0.6826262, 'head_position_x':0.04703259, 'head_position_y':1.102845, 'head_position_z':-0.6267872
