'global_time':3.569005, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':0.127654, 'gaze_y':1.592524, 'gaze_z':2.918882, 'useGaze': True
'global_time':3.762593, 'center_x':-2, 'center_y':1, 'center_z':3, 'gaze_x':-1.404252, 'gaze_y':0.8568754, 'gaze_z':3.018656, 'useGaze': True
'global_time':4.037331, 'center_x':-2, 'center_y':2.5, 'center_z':3, 'gaze_x':-1.985215, 'gaze_y':2.16429, 'gaze_z':2.936093, 'useGaze': True
'global_time':4.295864, 'center_x':0, 'center_y':2.5, 'center_z':3, 'gaze_x':-0.356955, 'gaze_y':2.21118, 'gaze_z':2.933166, 'useGaze': True
'global_time':4.476735, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':0.06536961, 'gaze_y':1.150884, 'gaze_z':2.935891, 'useGaze': True
'global_time':4.53373, 'center_x':-2, 'center_y':1, 'center_z':3, 'gaze_x':-1.413258, 'gaze_y':1.000119, 'gaze_z':2.937645, 'useGaze': True
'global_time':4.857779, 'center_x':0, 'center_y':2.5, 'center_z':3, 'gaze_x':-0.3844948, 'gaze_y':1.996493, 'gaze_z':2.942861, 'useGaze': True
'global_time':5.291741, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':0.5056828, 'gaze_y':1.265663, 'gaze_z':2.936182, 'useGaze': True
'global_time':5.6006, 'center_x':0, 'center_y':2.5, 'center_z':3, 'gaze_x':-0.04528222, 'gaze_y':2.273379, 'gaze_z':2.940379, 'useGaze': True
'global_time':5.892432, 'center_x':-2, 'center_y':1, 'center_z':3, 'gaze_x':-1.550894, 'gaze_y':1.40063, 'gaze_z':2.934971, 'useGaze': True
'global_time':6.457126, 'center_x':-2, 'center_y':2.5, 'center_z':3, 'gaze_x':-1.704177, 'gaze_y':2.489448, 'gaze_z':2.930977, 'useGaze': True
'global_time':6.691445, 'center_x':0, 'center_y':2.5, 'center_z':3, 'gaze_x':0.1008389, 'gaze_y':2.287091, 'gaze_z':2.933387, 'useGaze': True
'global_time':6.758943, 'center_x':2, 'center_y':2.5, 'center_z':3, 'gaze_x':1.540906, 'gaze_y':2.159984, 'gaze_z':2.933537, 'useGaze': True
'global_time':7.090427, 'center_x':0, 'center_y':2.5, 'center_z':3, 'gaze_x':0.2318475, 'gaze_y':2.04363, 'gaze_z':2.932713, 'useGaze': True
