'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':0.04, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':0.3733333, 'gaze_vector_x':0.002675865, 'gaze_vector_y':-0.7460899, 'gaze_vector_z':0.6658399
'gaze_vector':0.4484249, 'gaze_vector_x':0.003645302, 'gaze_vector_y':-0.7484818, 'gaze_vector_z':0.6631454
'gaze_vector':0.4655365, 'gaze_vector_x':0.004993321, 'gaze_vector_y':-0.7482072, 'gaze_vector_z':0.6634465
'gaze_vector':0.4782452, 'gaze_vector_x':0.005477862, 'gaze_vector_y':-0.7481582, 'gaze_vector_z':0.6634979
'gaze_vector':0.4908145, 'gaze_vector_x':0.005893222, 'gaze_vector_y':-0.7483396, 'gaze_vector_z':0.6632895
'gaze_vector':0.5039073, 'gaze_vector_x':0.006285806, 'gaze_vector_y':-0.7483187, 'gaze_vector_z':0.6633097
'gaze_vector':0.5222165, 'gaze_vector_x':0.00702383, 'gaze_vector_y':-0.7477833, 'gaze_vector_z':0.6639057
'gaze_vector':0.5330353, 'gaze_vector_x':0.007234553, 'gaze_vector_y':-0.7475579, 'gaze_vector_z':0.6641573
'gaze_vector':0.5439117, 'gaze_vector_x':0.00729923, 'gaze_vector_y':-0.7470472, 'gaze_vector_z':0.6647309
'gaze_vector':0.5554642, 'gaze_vector_x':0.007129692, 'gaze_vector_y':-0.7464145, 'gaze_vector_z':0.6654431
'gaze_vector':0.5665988, 'gaze_vector_x':0.007258952, 'gaze_vector_y':-0.746076, 'gaze_vector_z':0.6658211
'gaze_vector':0.5777065, 'gaze_vector_x':0.007385109, 'gaze_vector_y':-0.7458951, 'gaze_vector_z':0.6660225
'gaze_vector':0.5887665, 'gaze_vector_x':0.007114766, 'gaze_vector_y':-0.7459426, 'gaze_vector_z':0.6659722
'gaze_vector':0.6005865, 'gaze_vector_x':0.007051664, 'gaze_vector_y':-0.7461616, 'gaze_vector_z':0.6657275
'gaze_vector':0.6115016, 'gaze_vector_x':0.006801468, 'gaze_vector_y':-0.7463335, 'gaze_vector_z':0.6655374
'gaze_vector':0.6229843, 'gaze_vector_x':0.006789153, 'gaze_vector_y':-0.7462842, 'gaze_vector_z':0.6655928
'gaze_vector':0.6346467, 'gaze_vector_x':0.006684329, 'gaze_vector_y':-0.746235, 'gaze_vector_z':0.6656491
'gaze_vector':0.6470641, 'gaze_vector_x':0.006648737, 'gaze_vector_y':-0.7460995, 'gaze_vector_z':0.6658013
'gaze_vector':0.6577868, 'gaze_vector_x':0.006985955, 'gaze_vector_y':-0.7458289, 'gaze_vector_z':0.666101
'gaze_vector':0.6735836, 'gaze_vector_x':0.007069583, 'gaze_vector_y':-0.7455505, 'gaze_vector_z':0.6664115
'gaze_vector':0.685124, 'gaze_vector_x':0.007366583, 'gaze_vector_y':-0.7456085, 'gaze_vector_z':0.6663436
'gaze_vector':0.6946517, 'gaze_vector_x':0.007399264, 'gaze_vector_y':-0.7457058, 'gaze_vector_z':0.6662343
'gaze_vector':0.7088501, 'gaze_vector_x':0.007315201, 'gaze_vector_y':-0.7458234, 'gaze_vector_z':0.6661036
'gaze_vector':0.7218392, 'gaze_vector_x':0.007296302, 'gaze_vector_y':-0.745882, 'gaze_vector_z':0.6660382
'gaze_vector':0.7353828, 'gaze_vector_x':0.006936068, 'gaze_vector_y':-0.7455409, 'gaze_vector_z':0.6664239
'gaze_vector':0.7472579, 'gaze_vector_x':0.00692532, 'gaze_vector_y':-0.7448224, 'gaze_vector_z':0.6672268
'gaze_vector':0.7602669, 'gaze_vector_x':0.00643763, 'gaze_vector_y':-0.7438139, 'gaze_vector_z':0.6683559
'gaze_vector':0.7736675, 'gaze_vector_x':0.005539232, 'gaze_vector_y':-0.7420543, 'gaze_vector_z':0.6703168
'gaze_vector':0.7852299, 'gaze_vector_x':0.004873751, 'gaze_vector_y':-0.7411588, 'gaze_vector_z':0.6713122
'gaze_vector':0.796014, 'gaze_vector_x':0.004550313, 'gaze_vector_y':-0.7405158, 'gaze_vector_z':0.6720236
'gaze_vector':0.8102275, 'gaze_vector_x':0.004064451, 'gaze_vector_y':-0.7398734, 'gaze_vector_z':0.6727338
'gaze_vector':0.827446, 'gaze_vector_x':0.003568874, 'gaze_vector_y':-0.739553, 'gaze_vector_z':0.6730888
'gaze_vector':0.8386648, 'gaze_vector_x':0.003019627, 'gaze_vector_y':-0.7392927, 'gaze_vector_z':0.6733775
'gaze_vector':0.8522027, 'gaze_vector_x':0.002088636, 'gaze_vector_y':-0.739359, 'gaze_vector_z':0.6733083
'gaze_vector':0.8620769, 'gaze_vector_x':0.001456589, 'gaze_vector_y':-0.7394369, 'gaze_vector_z':0.6732243
'gaze_vector':0.8740487, 'gaze_vector_x':0.001214654, 'gaze_vector_y':-0.7398272, 'gaze_vector_z':0.672796
'gaze_vector':0.8860275, 'gaze_vector_x':0.0009739064, 'gaze_vector_y':-0.7400877, 'gaze_vector_z':0.6725097
'gaze_vector':0.8981718, 'gaze_vector_x':0.0006609568, 'gaze_vector_y':-0.7402848, 'gaze_vector_z':0.6722931
'gaze_vector':0.9097616, 'gaze_vector_x':0.0005468437, 'gaze_vector_y':-0.7406735, 'gaze_vector_z':0.671865
'gaze_vector':0.9255846, 'gaze_vector_x':0.0005133236, 'gaze_vector_y':-0.7409229, 'gaze_vector_z':0.6715899
'gaze_vector':0.937632, 'gaze_vector_x':0.0006359387, 'gaze_vector_y':-0.741133, 'gaze_vector_z':0.6713579
'gaze_vector':0.9487685, 'gaze_vector_x':0.0005964087, 'gaze_vector_y':-0.7414214, 'gaze_vector_z':0.6710395
'gaze_vector':0.9612377, 'gaze_vector_x':0.0006824685, 'gaze_vector_y':-0.741414, 'gaze_vector_z':0.6710476
'gaze_vector':0.9776924, 'gaze_vector_x':0.0008025207, 'gaze_vector_y':-0.7412321, 'gaze_vector_z':0.6712483
'gaze_vector':0.9882722, 'gaze_vector_x':0.0007882901, 'gaze_vector_y':-0.7410524, 'gaze_vector_z':0.6714467
'gaze_vector':0.9992154, 'gaze_vector_x':0.0007367069, 'gaze_vector_y':-0.7406881, 'gaze_vector_z':0.6718486
'gaze_vector':1.009626, 'gaze_vector_x':0.0009300662, 'gaze_vector_y':-0.7401172, 'gaze_vector_z':0.6724772
'gaze_vector':1.025213, 'gaze_vector_x':0.000960757, 'gaze_vector_y':-0.7395594, 'gaze_vector_z':0.6730907
'gaze_vector':1.0367, 'gaze_vector_x':0.0009788387, 'gaze_vector_y':-0.7388701, 'gaze_vector_z':0.6738472
'gaze_vector':1.048821, 'gaze_vector_x':0.001089796, 'gaze_vector_y':-0.7383389, 'gaze_vector_z':0.6744289
'gaze_vector':1.062592, 'gaze_vector_x':0.0008859616, 'gaze_vector_y':-0.7370934, 'gaze_vector_z':0.6757903
'gaze_vector':1.075555, 'gaze_vector_x':0.00052753, 'gaze_vector_y':-0.7365867, 'gaze_vector_z':0.6763428
'gaze_vector':1.086891, 'gaze_vector_x':0.0003182283, 'gaze_vector_y':-0.7361724, 'gaze_vector_z':0.676794
'gaze_vector':1.098608, 'gaze_vector_x':-0.000195655, 'gaze_vector_y':-0.7360141, 'gaze_vector_z':0.6769662
'gaze_vector':1.111593, 'gaze_vector_x':-0.0005817292, 'gaze_vector_y':-0.7360463, 'gaze_vector_z':0.676931
'gaze_vector':1.127155, 'gaze_vector_x':-0.0009505367, 'gaze_vector_y':-0.7359926, 'gaze_vector_z':0.6769889
'gaze_vector':1.13916, 'gaze_vector_x':-0.001420726, 'gaze_vector_y':-0.7360551, 'gaze_vector_z':0.6769201
'gaze_vector':1.151906, 'gaze_vector_x':-0.001709206, 'gaze_vector_y':-0.7363387, 'gaze_vector_z':0.676611
'gaze_vector':1.161999, 'gaze_vector_x':-0.001912498, 'gaze_vector_y':-0.7366759, 'gaze_vector_z':0.6762433
'gaze_vector':1.172402, 'gaze_vector_x':-0.002285557, 'gaze_vector_y':-0.7367749, 'gaze_vector_z':0.6761342
'gaze_vector':1.184604, 'gaze_vector_x':-0.00258232, 'gaze_vector_y':-0.7369687, 'gaze_vector_z':0.675922
'gaze_vector':1.197329, 'gaze_vector_x':-0.002871795, 'gaze_vector_y':-0.7369119, 'gaze_vector_z':0.6759827
'gaze_vector':1.209097, 'gaze_vector_x':-0.003210177, 'gaze_vector_y':-0.7369089, 'gaze_vector_z':0.6759846
'gaze_vector':1.219813, 'gaze_vector_x':-0.003688115, 'gaze_vector_y':-0.7371228, 'gaze_vector_z':0.6757488
'gaze_vector':1.231737, 'gaze_vector_x':-0.003800509, 'gaze_vector_y':-0.7371457, 'gaze_vector_z':0.6757231
'gaze_vector':1.243765, 'gaze_vector_x':-0.003903562, 'gaze_vector_y':-0.7371723, 'gaze_vector_z':0.6756936
'gaze_vector':1.255965, 'gaze_vector_x':-0.004042502, 'gaze_vector_y':-0.7369889, 'gaze_vector_z':0.6758928
'gaze_vector':1.265296, 'gaze_vector_x':-0.004164028, 'gaze_vector_y':-0.7366654, 'gaze_vector_z':0.6762446
'gaze_vector':1.282432, 'gaze_vector_x':-0.004024472, 'gaze_vector_y':-0.7364629, 'gaze_vector_z':0.676466
'gaze_vector':1.294502, 'gaze_vector_x':-0.004022962, 'gaze_vector_y':-0.7360876, 'gaze_vector_z':0.6768744
'gaze_vector':1.307696, 'gaze_vector_x':-0.003991261, 'gaze_vector_y':-0.7354759, 'gaze_vector_z':0.6775391
'gaze_vector':1.318859, 'gaze_vector_x':-0.003933166, 'gaze_vector_y':-0.7353545, 'gaze_vector_z':0.6776712
'gaze_vector':1.328815, 'gaze_vector_x':-0.003917012, 'gaze_vector_y':-0.7353551, 'gaze_vector_z':0.6776706
'gaze_vector':1.341125, 'gaze_vector_x':-0.003884896, 'gaze_vector_y':-0.7354262, 'gaze_vector_z':0.6775937
'gaze_vector':1.35162, 'gaze_vector_x':-0.003797348, 'gaze_vector_y':-0.7356382, 'gaze_vector_z':0.677364
'gaze_vector':1.363538, 'gaze_vector_x':-0.00386093, 'gaze_vector_y':-0.7359092, 'gaze_vector_z':0.6770692
'gaze_vector':1.374907, 'gaze_vector_x':-0.003871057, 'gaze_vector_y':-0.7361907, 'gaze_vector_z':0.6767631
'gaze_vector':1.386413, 'gaze_vector_x':-0.003719021, 'gaze_vector_y':-0.7364425, 'gaze_vector_z':0.6764899
'gaze_vector':1.397461, 'gaze_vector_x':-0.003524354, 'gaze_vector_y':-0.736783, 'gaze_vector_z':0.6761202
'gaze_vector':1.408575, 'gaze_vector_x':-0.003340785, 'gaze_vector_y':-0.7371644, 'gaze_vector_z':0.6757051
'gaze_vector':1.419685, 'gaze_vector_x':-0.003078872, 'gaze_vector_y':-0.7374858, 'gaze_vector_z':0.6753557
