'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':0.04, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':0.3733333, 'head_position_x':0.0637058, 'head_position_y':0.9196785, 'head_position_z':-0.4577936
'global_time':0.4484249, 'head_position_x':0.06403081, 'head_position_y':0.920289, 'head_position_z':-0.4564476
'global_time':0.4655365, 'head_position_x':0.06347061, 'head_position_y':0.9204946, 'head_position_z':-0.4561277
'global_time':0.4782452, 'head_position_x':0.06354039, 'head_position_y':0.920513, 'head_position_z':-0.4561477
'global_time':0.4908145, 'head_position_x':0.06351264, 'head_position_y':0.9206653, 'head_position_z':-0.4561078
'global_time':0.5039073, 'head_position_x':0.06357773, 'head_position_y':0.920716, 'head_position_z':-0.4560916
'global_time':0.5222165, 'head_position_x':0.06350453, 'head_position_y':0.920935, 'head_position_z':-0.4558626
'global_time':0.5330353, 'head_position_x':0.06328911, 'head_position_y':0.9211184, 'head_position_z':-0.4556292
'global_time':0.5439117, 'head_position_x':0.06328292, 'head_position_y':0.9212427, 'head_position_z':-0.4555329
'global_time':0.5554642, 'head_position_x':0.06326531, 'head_position_y':0.9212506, 'head_position_z':-0.4553755
'global_time':0.5665988, 'head_position_x':0.06325405, 'head_position_y':0.9213013, 'head_position_z':-0.4553331
'global_time':0.5777065, 'head_position_x':0.06326061, 'head_position_y':0.9212992, 'head_position_z':-0.4552736
'global_time':0.5887665, 'head_position_x':0.06308354, 'head_position_y':0.9214293, 'head_position_z':-0.4551467
'global_time':0.6005865, 'head_position_x':0.06310607, 'head_position_y':0.9214261, 'head_position_z':-0.4551885
'global_time':0.6115016, 'head_position_x':0.06299139, 'head_position_y':0.9215422, 'head_position_z':-0.4551699
'global_time':0.6229843, 'head_position_x':0.06300861, 'head_position_y':0.921497, 'head_position_z':-0.4551889
'global_time':0.6346467, 'head_position_x':0.06286176, 'head_position_y':0.9216007, 'head_position_z':-0.4551167
'global_time':0.6470641, 'head_position_x':0.06274662, 'head_position_y':0.9216405, 'head_position_z':-0.4550019
'global_time':0.6577868, 'head_position_x':0.06272564, 'head_position_y':0.921607, 'head_position_z':-0.4549696
'global_time':0.6735836, 'head_position_x':0.06258696, 'head_position_y':0.921652, 'head_position_z':-0.4548446
'global_time':0.685124, 'head_position_x':0.06243108, 'head_position_y':0.921753, 'head_position_z':-0.4547002
'global_time':0.6946517, 'head_position_x':0.06246294, 'head_position_y':0.9218274, 'head_position_z':-0.4546866
'global_time':0.7088501, 'head_position_x':0.06236544, 'head_position_y':0.921993, 'head_position_z':-0.4546103
'global_time':0.7218392, 'head_position_x':0.06236037, 'head_position_y':0.9221541, 'head_position_z':-0.4545417
'global_time':0.7353828, 'head_position_x':0.062292, 'head_position_y':0.9223874, 'head_position_z':-0.4543719
'global_time':0.7472579, 'head_position_x':0.0623259, 'head_position_y':0.9225693, 'head_position_z':-0.4542661
'global_time':0.7602669, 'head_position_x':0.062273, 'head_position_y':0.9227706, 'head_position_z':-0.4539795
