'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.04, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.3733333, 'head_vector_x':0.002675865, 'head_vector_y':-0.7460899, 'head_vector_z':0.6658399
'global_time':0.4484249, 'head_vector_x':0.003645302, 'head_vector_y':-0.7484818, 'head_vector_z':0.6631454
'global_time':0.4655365, 'head_vector_x':0.004993321, 'head_vector_y':-0.7482072, 'head_vector_z':0.6634465
'global_time':0.4782452, 'head_vector_x':0.005477862, 'head_vector_y':-0.7481582, 'head_vector_z':0.6634979
'global_time':0.4908145, 'head_vector_x':0.005893222, 'head_vector_y':-0.7483396, 'head_vector_z':0.6632895
'global_time':0.5039073, 'head_vector_x':0.006285806, 'head_vector_y':-0.7483187, 'head_vector_z':0.6633097
'global_time':0.5222165, 'head_vector_x':0.00702383, 'head_vector_y':-0.7477833, 'head_vector_z':0.6639057
'global_time':0.5330353, 'head_vector_x':0.007234553, 'head_vector_y':-0.7475579, 'head_vector_z':0.6641573
'global_time':0.5439117, 'head_vector_x':0.00729923, 'head_vector_y':-0.7470472, 'head_vector_z':0.6647309
'global_time':0.5554642, 'head_vector_x':0.007129692, 'head_vector_y':-0.7464145, 'head_vector_z':0.6654431
'global_time':0.5665988, 'head_vector_x':0.007258952, 'head_vector_y':-0.746076, 'head_vector_z':0.6658211
'global_time':0.5777065, 'head_vector_x':0.007385109, 'head_vector_y':-0.7458951, 'head_vector_z':0.6660225
'global_time':0.5887665, 'head_vector_x':0.007114766, 'head_vector_y':-0.7459426, 'head_vector_z':0.6659722
'global_time':0.6005865, 'head_vector_x':0.007051664, 'head_vector_y':-0.7461616, 'head_vector_z':0.6657275
'global_time':0.6115016, 'head_vector_x':0.006801468, 'head_vector_y':-0.7463335, 'head_vector_z':0.6655374
'global_time':0.6229843, 'head_vector_x':0.006789153, 'head_vector_y':-0.7462842, 'head_vector_z':0.6655928
'global_time':0.6346467, 'head_vector_x':0.006684329, 'head_vector_y':-0.746235, 'head_vector_z':0.6656491
'global_time':0.6470641, 'head_vector_x':0.006648737, 'head_vector_y':-0.7460995, 'head_vector_z':0.6658013
'global_time':0.6577868, 'head_vector_x':0.006985955, 'head_vector_y':-0.7458289, 'head_vector_z':0.666101
'global_time':0.6735836, 'head_vector_x':0.007069583, 'head_vector_y':-0.7455505, 'head_vector_z':0.6664115
'global_time':0.685124, 'head_vector_x':0.007366583, 'head_vector_y':-0.7456085, 'head_vector_z':0.6663436
'global_time':0.6946517, 'head_vector_x':0.007399264, 'head_vector_y':-0.7457058, 'head_vector_z':0.6662343
'global_time':0.7088501, 'head_vector_x':0.007315201, 'head_vector_y':-0.7458234, 'head_vector_z':0.6661036
'global_time':0.7218392, 'head_vector_x':0.007296302, 'head_vector_y':-0.745882, 'head_vector_z':0.6660382
'global_time':0.7353828, 'head_vector_x':0.006936068, 'head_vector_y':-0.7455409, 'head_vector_z':0.6664239
'global_time':0.7472579, 'head_vector_x':0.00692532, 'head_vector_y':-0.7448224, 'head_vector_z':0.6672268
'global_time':0.7602669, 'head_vector_x':0.00643763, 'head_vector_y':-0.7438139, 'head_vector_z':0.6683559
'global_time':0.7736675, 'head_vector_x':0.005539232, 'head_vector_y':-0.7420543, 'head_vector_z':0.6703168
'global_time':0.7852299, 'head_vector_x':0.004873751, 'head_vector_y':-0.7411588, 'head_vector_z':0.6713122
'global_time':0.796014, 'head_vector_x':0.004550313, 'head_vector_y':-0.7405158, 'head_vector_z':0.6720236
'global_time':0.8102275, 'head_vector_x':0.004064451, 'head_vector_y':-0.7398734, 'head_vector_z':0.6727338
'global_time':0.827446, 'head_vector_x':0.003568874, 'head_vector_y':-0.739553, 'head_vector_z':0.6730888
'global_time':0.8386648, 'head_vector_x':0.003019627, 'head_vector_y':-0.7392927, 'head_vector_z':0.6733775
'global_time':0.8522027, 'head_vector_x':0.002088636, 'head_vector_y':-0.739359, 'head_vector_z':0.6733083
'global_time':0.8620769, 'head_vector_x':0.001456589, 'head_vector_y':-0.7394369, 'head_vector_z':0.6732243
'global_time':0.8740487, 'head_vector_x':0.001214654, 'head_vector_y':-0.7398272, 'head_vector_z':0.672796
'global_time':0.8860275, 'head_vector_x':0.0009739064, 'head_vector_y':-0.7400877, 'head_vector_z':0.6725097
'global_time':0.8981718, 'head_vector_x':0.0006609568, 'head_vector_y':-0.7402848, 'head_vector_z':0.6722931
'global_time':0.9097616, 'head_vector_x':0.0005468437, 'head_vector_y':-0.7406735, 'head_vector_z':0.671865
'global_time':0.9255846, 'head_vector_x':0.0005133236, 'head_vector_y':-0.7409229, 'head_vector_z':0.6715899
'global_time':0.937632, 'head_vector_x':0.0006359387, 'head_vector_y':-0.741133, 'head_vector_z':0.6713579
'global_time':0.9487685, 'head_vector_x':0.0005964087, 'head_vector_y':-0.7414214, 'head_vector_z':0.6710395
'global_time':0.9612377, 'head_vector_x':0.0006824685, 'head_vector_y':-0.741414, 'head_vector_z':0.6710476
'global_time':0.9776924, 'head_vector_x':0.0008025207, 'head_vector_y':-0.7412321, 'head_vector_z':0.6712483
'global_time':0.9882722, 'head_vector_x':0.0007882901, 'head_vector_y':-0.7410524, 'head_vector_z':0.6714467
'global_time':0.9992154, 'head_vector_x':0.0007367069, 'head_vector_y':-0.7406881, 'head_vector_z':0.6718486
'global_time':1.009626, 'head_vector_x':0.0009300662, 'head_vector_y':-0.7401172, 'head_vector_z':0.6724772
'global_time':1.025213, 'head_vector_x':0.000960757, 'head_vector_y':-0.7395594, 'head_vector_z':0.6730907
'global_time':1.0367, 'head_vector_x':0.0009788387, 'head_vector_y':-0.7388701, 'head_vector_z':0.6738472
'global_time':1.048821, 'head_vector_x':0.001089796, 'head_vector_y':-0.7383389, 'head_vector_z':0.6744289
'global_time':1.062592, 'head_vector_x':0.0008859616, 'head_vector_y':-0.7370934, 'head_vector_z':0.6757903
'global_time':1.075555, 'head_vector_x':0.00052753, 'head_vector_y':-0.7365867, 'head_vector_z':0.6763428
'global_time':1.086891, 'head_vector_x':0.0003182283, 'head_vector_y':-0.7361724, 'head_vector_z':0.676794
'global_time':1.098608, 'head_vector_x':-0.000195655, 'head_vector_y':-0.7360141, 'head_vector_z':0.6769662
'global_time':1.111593, 'head_vector_x':-0.0005817292, 'head_vector_y':-0.7360463, 'head_vector_z':0.676931
'global_time':1.127155, 'head_vector_x':-0.0009505367, 'head_vector_y':-0.7359926, 'head_vector_z':0.6769889
'global_time':1.13916, 'head_vector_x':-0.001420726, 'head_vector_y':-0.7360551, 'head_vector_z':0.6769201
'global_time':1.151906, 'head_vector_x':-0.001709206, 'head_vector_y':-0.7363387, 'head_vector_z':0.676611
'global_time':1.161999, 'head_vector_x':-0.001912498, 'head_vector_y':-0.7366759, 'head_vector_z':0.6762433
'global_time':1.172402, 'head_vector_x':-0.002285557, 'head_vector_y':-0.7367749, 'head_vector_z':0.6761342
'global_time':1.184604, 'head_vector_x':-0.00258232, 'head_vector_y':-0.7369687, 'head_vector_z':0.675922
'global_time':1.197329, 'head_vector_x':-0.002871795, 'head_vector_y':-0.7369119, 'head_vector_z':0.6759827
'global_time':1.209097, 'head_vector_x':-0.003210177, 'head_vector_y':-0.7369089, 'head_vector_z':0.6759846
'global_time':1.219813, 'head_vector_x':-0.003688115, 'head_vector_y':-0.7371228, 'head_vector_z':0.6757488
'global_time':1.231737, 'head_vector_x':-0.003800509, 'head_vector_y':-0.7371457, 'head_vector_z':0.6757231
'global_time':1.243765, 'head_vector_x':-0.003903562, 'head_vector_y':-0.7371723, 'head_vector_z':0.6756936
'global_time':1.255965, 'head_vector_x':-0.004042502, 'head_vector_y':-0.7369889, 'head_vector_z':0.6758928
'global_time':1.265296, 'head_vector_x':-0.004164028, 'head_vector_y':-0.7366654, 'head_vector_z':0.6762446
'global_time':1.282432, 'head_vector_x':-0.004024472, 'head_vector_y':-0.7364629, 'head_vector_z':0.676466
'global_time':1.294502, 'head_vector_x':-0.004022962, 'head_vector_y':-0.7360876, 'head_vector_z':0.6768744
'global_time':1.307696, 'head_vector_x':-0.003991261, 'head_vector_y':-0.7354759, 'head_vector_z':0.6775391
'global_time':1.318859, 'head_vector_x':-0.003933166, 'head_vector_y':-0.7353545, 'head_vector_z':0.6776712
'global_time':1.328815, 'head_vector_x':-0.003917012, 'head_vector_y':-0.7353551, 'head_vector_z':0.6776706
