'global_time':0.04, 'hit_distance':2.95 
'global_time':0.3733333, 'hit_distance':2.95 
'global_time':5.151769, 'hit_distance':3.708753 
'global_time':5.162426, 'hit_distance':3.744246 
'global_time':5.173013, 'hit_distance':3.780775 
'global_time':5.185194, 'hit_distance':3.819733 
'global_time':5.197458, 'hit_distance':3.863019 
'global_time':5.208191, 'hit_distance':3.906408 
'global_time':5.218997, 'hit_distance':3.95177 
'global_time':5.231375, 'hit_distance':3.997887 
'global_time':5.242388, 'hit_distance':4.042393 
'global_time':5.254642, 'hit_distance':4.083718 
'global_time':5.267182, 'hit_distance':4.119712 
'global_time':5.288405, 'hit_distance':4.153806 
'global_time':5.300686, 'hit_distance':4.206163 
'global_time':5.312017, 'hit_distance':4.227608 
'global_time':5.323602, 'hit_distance':4.242412 
'global_time':5.334973, 'hit_distance':4.251317 
'global_time':5.345973, 'hit_distance':4.260222 
'global_time':5.355766, 'hit_distance':4.263195 
'global_time':5.366138, 'hit_distance':4.262568 
'global_time':5.377659, 'hit_distance':4.261567 
'global_time':5.38827, 'hit_distance':4.257436 
'global_time':5.400682, 'hit_distance':4.254252 
'global_time':5.412431, 'hit_distance':4.250669 
'global_time':5.425226, 'hit_distance':4.246921 
'global_time':5.440166, 'hit_distance':4.244306 
'global_time':5.45135, 'hit_distance':4.241513 
'global_time':5.464972, 'hit_distance':4.236614 
'global_time':5.475297, 'hit_distance':4.234959 
'global_time':5.487065, 'hit_distance':4.233095 
'global_time':5.499936, 'hit_distance':4.231816 
'global_time':5.511952, 'hit_distance':4.231642 
'global_time':5.523653, 'hit_distance':4.230726 
'global_time':5.535079, 'hit_distance':4.231757 
'global_time':5.547033, 'hit_distance':4.27529 
'global_time':5.559729, 'hit_distance':4.233786 
'global_time':5.570912, 'hit_distance':4.237215 
'global_time':5.582911, 'hit_distance':4.25106 
'global_time':5.598658, 'hit_distance':4.263851 
'global_time':5.612014, 'hit_distance':4.280047 
'global_time':5.623491, 'hit_distance':4.295994 
'global_time':5.63426, 'hit_distance':4.309107 
'global_time':5.646854, 'hit_distance':4.321677 
'global_time':5.658913, 'hit_distance':4.3361 
'global_time':5.670881, 'hit_distance':4.351263 
'global_time':5.68792, 'hit_distance':4.367022 
'global_time':5.701699, 'hit_distance':4.365992 
'global_time':5.712696, 'hit_distance':4.354286 
'global_time':5.724219, 'hit_distance':4.340448 
'global_time':5.734981, 'hit_distance':4.320136 
'global_time':5.752394, 'hit_distance':4.296649 
'global_time':5.763798, 'hit_distance':4.270617 
'global_time':5.776726, 'hit_distance':4.218013 
'global_time':5.788926, 'hit_distance':4.19214 
'global_time':5.801992, 'hit_distance':4.167692 
'global_time':5.813392, 'hit_distance':4.14244 
'global_time':5.824968, 'hit_distance':4.116695 
'global_time':5.835189, 'hit_distance':4.089053 
'global_time':5.848102, 'hit_distance':4.060076 
