'global_time':0.3733333, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':0.06258112, 'gaze_y':0.95296, 'gaze_z':2.529504, 'useGaze': False
'global_time':5.162426, 'center_x':-2, 'center_y':1, 'center_z':3, 'gaze_x':-1.479152, 'gaze_y':1.477191, 'gaze_z':2.941897, 'useGaze': False
'global_time':5.559729, 'center_x':-2, 'center_y':2.5, 'center_z':3, 'gaze_x':-2.27598, 'gaze_y':2.003141, 'gaze_z':2.939051, 'useGaze': False
'global_time':5.95477, 'center_x':0, 'center_y':2.5, 'center_z':3, 'gaze_x':-0.3654175, 'gaze_y':2.40833, 'gaze_z':2.932311, 'useGaze': False
'global_time':6.17569, 'center_x':2, 'center_y':2.5, 'center_z':3, 'gaze_x':1.556969, 'gaze_y':2.282147, 'gaze_z':2.935893, 'useGaze': False
'global_time':6.347496, 'center_x':2, 'center_y':1, 'center_z':3, 'gaze_x':2.155747, 'gaze_y':1.628903, 'gaze_z':2.944688, 'useGaze': False
'global_time':6.848127, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':0.4114417, 'gaze_y':1.261835, 'gaze_z':2.948015, 'useGaze': False
'global_time':7.059675, 'center_x':-2, 'center_y':2.5, 'center_z':3, 'gaze_x':-1.47774, 'gaze_y':2.33952, 'gaze_z':2.934831, 'useGaze': False
'global_time':7.498248, 'center_x':-2, 'center_y':1, 'center_z':3, 'gaze_x':-1.524434, 'gaze_y':1.503549, 'gaze_z':2.943297, 'useGaze': False
'global_time':7.884274, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':-0.3882404, 'gaze_y':1.252424, 'gaze_z':2.94657, 'useGaze': False
'global_time':8.086151, 'center_x':2, 'center_y':1, 'center_z':3, 'gaze_x':1.486192, 'gaze_y':1.52885, 'gaze_z':2.945856, 'useGaze': False
'global_time':8.60484, 'center_x':0, 'center_y':2.5, 'center_z':3, 'gaze_x':0.4728537, 'gaze_y':2.087416, 'gaze_z':2.936678, 'useGaze': False
'global_time':8.808789, 'center_x':-2, 'center_y':2.5, 'center_z':3, 'gaze_x':-1.462452, 'gaze_y':2.300681, 'gaze_z':2.934141, 'useGaze': False
'global_time':9.283899, 'center_x':0, 'center_y':2.5, 'center_z':3, 'gaze_x':-0.4353073, 'gaze_y':2.125062, 'gaze_z':2.93578, 'useGaze': False
'global_time':9.491406, 'center_x':2, 'center_y':2.5, 'center_z':3, 'gaze_x':1.505922, 'gaze_y':1.955445, 'gaze_z':2.940072, 'useGaze': False
'global_time':9.582446, 'center_x':2, 'center_y':1, 'center_z':3, 'gaze_x':1.88757, 'gaze_y':1.576924, 'gaze_z':2.944888, 'useGaze': False
'global_time':9.867094, 'center_x':2, 'center_y':2.5, 'center_z':3, 'gaze_x':1.910531, 'gaze_y':2.102162, 'gaze_z':2.938646, 'useGaze': False
'global_time':10.14969, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':-0.09298724, 'gaze_y':1.526381, 'gaze_z':2.944181, 'useGaze': False
'global_time':10.6326, 'center_x':2, 'center_y':1, 'center_z':3, 'gaze_x':1.465607, 'gaze_y':1.3209, 'gaze_z':2.946116, 'useGaze': False
'global_time':11.01625, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':0.4979499, 'gaze_y':1.461717, 'gaze_z':2.944733, 'useGaze': False
