'global_time':2.481499, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':2.441499,  'useGaze':True, 'useVal':True
'global_time':3.048737, 'ChildID':1, 'pos_x':2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.5672382,  'useGaze':True, 'useVal':True
'global_time':3.626209, 'ChildID':4, 'pos_x':-2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.5774714,  'useGaze':True, 'useVal':True
'global_time':4.28885, 'ChildID':0, 'pos_x':2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.662641,  'useGaze':True, 'useVal':True
'global_time':5.078712, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.7898619,  'useGaze':True, 'useVal':True
'global_time':5.679029, 'ChildID':4, 'pos_x':-2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.6003173,  'useGaze':True, 'useVal':True
'global_time':6.246231, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.5672029,  'useGaze':True, 'useVal':True
'global_time':6.810827, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.5645947,  'useGaze':True, 'useVal':True
'global_time':7.372878, 'ChildID':0, 'pos_x':2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.56205,  'useGaze':True, 'useVal':True
'global_time':8.145555, 'ChildID':4, 'pos_x':-2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.7726799,  'useGaze':True, 'useVal':True
'global_time':8.756275, 'ChildID':0, 'pos_x':2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.6107206,  'useGaze':True, 'useVal':True
'global_time':9.595987, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.8397102,  'useGaze':True, 'useVal':True
'global_time':10.19406, 'ChildID':4, 'pos_x':-2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.5980693,  'useGaze':True, 'useVal':True
