'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.04, 'gaze_vector_x':-0.1950531, 'gaze_vector_y':-0.3865356, 'gaze_vector_z':0.9013977
'gaze_vector':0.3733333, 'gaze_vector_x':0.1284296, 'gaze_vector_y':-0.1942704, 'gaze_vector_z':0.9724947
'gaze_vector':0.4281976, 'gaze_vector_x':-0.001083859, 'gaze_vector_y':-0.3985028, 'gaze_vector_z':0.917157
'gaze_vector':0.4440857, 'gaze_vector_x':0.04203384, 'gaze_vector_y':-0.5587324, 'gaze_vector_z':0.8282715
'gaze_vector':0.4558008, 'gaze_vector_x':-0.08523146, 'gaze_vector_y':-0.6548109, 'gaze_vector_z':0.7509549
'gaze_vector':0.4682575, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.4801919, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.4914185, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.5027158, 'gaze_vector_x':0.048159, 'gaze_vector_y':-0.7074618, 'gaze_vector_z':0.7050992
'gaze_vector':0.5145839, 'gaze_vector_x':-0.05300356, 'gaze_vector_y':-0.6322381, 'gaze_vector_z':0.7729467
'gaze_vector':0.5263128, 'gaze_vector_x':-0.1173662, 'gaze_vector_y':-0.6452764, 'gaze_vector_z':0.7548684
'gaze_vector':0.539405, 'gaze_vector_x':0.01834718, 'gaze_vector_y':-0.3454237, 'gaze_vector_z':0.9382638
'gaze_vector':0.5511764, 'gaze_vector_x':-0.05555717, 'gaze_vector_y':-0.5077593, 'gaze_vector_z':0.8596967
'gaze_vector':0.5625587, 'gaze_vector_x':-0.08525679, 'gaze_vector_y':-0.6533774, 'gaze_vector_z':0.7521919
'gaze_vector':0.5732765, 'gaze_vector_x':-0.0008425899, 'gaze_vector_y':-0.7275849, 'gaze_vector_z':0.6859958
'gaze_vector':0.5850847, 'gaze_vector_x':0.09364774, 'gaze_vector_y':-0.7239569, 'gaze_vector_z':0.6834464
'gaze_vector':0.5966563, 'gaze_vector_x':-0.01558315, 'gaze_vector_y':-0.7705366, 'gaze_vector_z':0.6371806
'gaze_vector':0.6086091, 'gaze_vector_x':0.05604163, 'gaze_vector_y':-0.7206218, 'gaze_vector_z':0.6910441
'gaze_vector':0.6208586, 'gaze_vector_x':0.03334953, 'gaze_vector_y':-0.7479782, 'gaze_vector_z':0.6628734
'gaze_vector':0.6362625, 'gaze_vector_x':0.03410639, 'gaze_vector_y':-0.7739575, 'gaze_vector_z':0.6323099
'gaze_vector':0.6500394, 'gaze_vector_x':0.006585475, 'gaze_vector_y':-0.7180882, 'gaze_vector_z':0.6959136
'gaze_vector':0.6610907, 'gaze_vector_x':0.01036585, 'gaze_vector_y':-0.7202452, 'gaze_vector_z':0.6936331
'gaze_vector':0.6740749, 'gaze_vector_x':0.01243422, 'gaze_vector_y':-0.80685, 'gaze_vector_z':0.5905949
'gaze_vector':0.6868491, 'gaze_vector_x':0.01165484, 'gaze_vector_y':-0.7267715, 'gaze_vector_z':0.6867762
'gaze_vector':0.6986995, 'gaze_vector_x':0.007425493, 'gaze_vector_y':-0.7068759, 'gaze_vector_z':0.7072781
'gaze_vector':0.7092276, 'gaze_vector_x':0.06484607, 'gaze_vector_y':-0.7023082, 'gaze_vector_z':0.7088896
