'global_time':3.066208, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':3.026208,  'useGaze':False, 'useVal':True
'global_time':4.298913, 'ChildID':5, 'pos_x':-2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':1.232706,  'useGaze':False, 'useVal':True
'global_time':5.608153, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':1.30924,  'useGaze':False, 'useVal':True
'global_time':6.938981, 'ChildID':5, 'pos_x':-2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':1.330828,  'useGaze':False, 'useVal':True
'global_time':7.958838, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':1.019856,  'useGaze':False, 'useVal':True
'global_time':9.055449, 'ChildID':4, 'pos_x':-2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':1.096614,  'useGaze':False, 'useVal':True
'global_time':10.94697, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':1.891523,  'useGaze':False, 'useVal':True
'global_time':11.61171, 'ChildID':1, 'pos_x':2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.6647425,  'useGaze':False, 'useVal':True
'global_time':12.29291, 'ChildID':0, 'pos_x':2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.681196,  'useGaze':False, 'useVal':True
'global_time':13.40475, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':1.111842,  'useGaze':False, 'useVal':True
'global_time':14.09067, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.6859141,  'useGaze':False, 'useVal':True
'global_time':14.95934, 'ChildID':0, 'pos_x':2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.8686638,  'useGaze':False, 'useVal':True
'global_time':16.07481, 'ChildID':5, 'pos_x':-2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':1.115474,  'useGaze':False, 'useVal':True
'global_time':17.10064, 'ChildID':0, 'pos_x':2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':1.025829,  'useGaze':False, 'useVal':True
'global_time':18.56621, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':1.465558,  'useGaze':False, 'useVal':True
