'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':0.04, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':0.3733333, 'gaze_vector_x':-0.2443254, 'gaze_vector_y':-0.8905825, 'gaze_vector_z':0.383625
'gaze_vector':0.4163711, 'gaze_vector_x':-0.2865217, 'gaze_vector_y':-0.8911029, 'gaze_vector_z':0.3519107
'gaze_vector':0.4318335, 'gaze_vector_x':-0.2780098, 'gaze_vector_y':-0.8927069, 'gaze_vector_z':0.354662
'gaze_vector':0.4432439, 'gaze_vector_x':-0.2759132, 'gaze_vector_y':-0.89289, 'gaze_vector_z':0.3558365
'gaze_vector':0.4538206, 'gaze_vector_x':-0.2736736, 'gaze_vector_y':-0.8931351, 'gaze_vector_z':0.356949
'gaze_vector':0.4661865, 'gaze_vector_x':-0.2720009, 'gaze_vector_y':-0.8930973, 'gaze_vector_z':0.3583193
'gaze_vector':0.4769639, 'gaze_vector_x':-0.2703735, 'gaze_vector_y':-0.8928778, 'gaze_vector_z':0.3600935
'gaze_vector':0.4880295, 'gaze_vector_x':-0.2685441, 'gaze_vector_y':-0.8926466, 'gaze_vector_z':0.3620305
'gaze_vector':0.4989947, 'gaze_vector_x':-0.2667118, 'gaze_vector_y':-0.8924673, 'gaze_vector_z':0.3638228
'gaze_vector':0.5106316, 'gaze_vector_x':-0.2650036, 'gaze_vector_y':-0.8923009, 'gaze_vector_z':0.3654753
'gaze_vector':0.5214448, 'gaze_vector_x':-0.2630296, 'gaze_vector_y':-0.8921247, 'gaze_vector_z':0.3673269
'gaze_vector':0.5334162, 'gaze_vector_x':-0.2610437, 'gaze_vector_y':-0.8920867, 'gaze_vector_z':0.3688328
'gaze_vector':0.5450363, 'gaze_vector_x':-0.2587194, 'gaze_vector_y':-0.8921037, 'gaze_vector_z':0.3704258
'gaze_vector':0.5567595, 'gaze_vector_x':-0.2563093, 'gaze_vector_y':-0.8921288, 'gaze_vector_z':0.3720372
'gaze_vector':0.5689942, 'gaze_vector_x':-0.2536906, 'gaze_vector_y':-0.8921856, 'gaze_vector_z':0.3736923
'gaze_vector':0.5791649, 'gaze_vector_x':-0.2508123, 'gaze_vector_y':-0.8924009, 'gaze_vector_z':0.3751186
'gaze_vector':0.5911314, 'gaze_vector_x':-0.2477395, 'gaze_vector_y':-0.8926089, 'gaze_vector_z':0.3766625
'gaze_vector':0.6045082, 'gaze_vector_x':-0.2407245, 'gaze_vector_y':-0.8931329, 'gaze_vector_z':0.3799546
'gaze_vector':0.6165535, 'gaze_vector_x':-0.2370601, 'gaze_vector_y':-0.8933014, 'gaze_vector_z':0.3818574
'gaze_vector':0.627377, 'gaze_vector_x':-0.2331213, 'gaze_vector_y':-0.8935056, 'gaze_vector_z':0.3837999
'gaze_vector':0.6369038, 'gaze_vector_x':-0.2292425, 'gaze_vector_y':-0.8935515, 'gaze_vector_z':0.3860227
'gaze_vector':0.6479413, 'gaze_vector_x':-0.2249902, 'gaze_vector_y':-0.8936083, 'gaze_vector_z':0.388386
'gaze_vector':0.6592362, 'gaze_vector_x':-0.2204513, 'gaze_vector_y':-0.8937219, 'gaze_vector_z':0.3907204
