'global_time':2.59587, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-0.5909433, 'gaze_y':0.6427294, 'gaze_z':4.952873, 'useGaze': False
'global_time':2.767792, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':0.1386163, 'gaze_y':1.381564, 'gaze_z':4.946617, 'useGaze': False
'global_time':3.296147, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-0.9043041, 'gaze_y':2.071715, 'gaze_z':4.941783, 'useGaze': False
'global_time':3.400031, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.376113, 'gaze_y':2.574311, 'gaze_z':4.938372, 'useGaze': False
'global_time':3.547733, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.936812, 'gaze_y':2.974185, 'gaze_z':3.652877, 'useGaze': False
'global_time':4.260371, 'center_x':-4, 'center_y':1, 'center_z':0.3999996, 'gaze_x':-3.945793, 'gaze_y':1.515378, 'gaze_z':0.7434247, 'useGaze': False
'global_time':4.810872, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.947045, 'gaze_y':1.279088, 'gaze_z':1.701184, 'useGaze': False
'global_time':4.868361, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.946877, 'gaze_y':1.433583, 'gaze_z':3.658651, 'useGaze': False
'global_time':5.257282, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-0.5747972, 'gaze_y':2.401763, 'gaze_z':4.937947, 'useGaze': False
'global_time':5.873487, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.939742, 'gaze_y':2.901773, 'gaze_z':3.743146, 'useGaze': False
'global_time':6.178615, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.95478, 'gaze_y':2.614689, 'gaze_z':3.093999, 'useGaze': False
'global_time':6.659705, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-3.032352, 'gaze_y':2.56473, 'gaze_z':4.941619, 'useGaze': False
'global_time':7.031723, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':0.5019246, 'gaze_y':1.484295, 'gaze_z':4.946551, 'useGaze': False
'global_time':7.522954, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-0.9013038, 'gaze_y':1.316975, 'gaze_z':4.948481, 'useGaze': False
'global_time':7.64549, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.347262, 'gaze_y':1.387452, 'gaze_z':4.949202, 'useGaze': False
'global_time':8.536607, 'center_x':-4, 'center_y':1, 'center_z':0.3999996, 'gaze_x':-3.945835, 'gaze_y':1.502621, 'gaze_z':0.221037, 'useGaze': False
'global_time':8.953983, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.946169, 'gaze_y':1.412292, 'gaze_z':1.757656, 'useGaze': False
