'global_time':2.865464, 'hit_distance':5.767459 
'global_time':2.972476, 'hit_distance':5.773613 
'global_time':3.018942, 'hit_distance':5.775549 
'global_time':3.033324, 'hit_distance':5.782647 
'global_time':3.245074, 'hit_distance':5.768408 
'global_time':3.256415, 'hit_distance':6.281301 
'global_time':3.256415, 'hit_distance':5.774165 
'global_time':3.274794, 'hit_distance':6.297915 
'global_time':3.274794, 'hit_distance':5.78528 
'global_time':3.287282, 'hit_distance':6.43986 
'global_time':3.287282, 'hit_distance':5.802934 
'global_time':3.29859, 'hit_distance':6.496138 
'global_time':3.29859, 'hit_distance':5.823689 
'global_time':3.316154, 'hit_distance':6.555028 
'global_time':3.316154, 'hit_distance':5.849324 
'global_time':3.328272, 'hit_distance':6.514064 
'global_time':3.328272, 'hit_distance':5.873189 
'global_time':3.339481, 'hit_distance':6.486359 
'global_time':3.350209, 'hit_distance':6.500134 
'global_time':3.364756, 'hit_distance':6.485369 
'global_time':3.376109, 'hit_distance':6.538138 
'global_time':3.401148, 'hit_distance':5.999749 
'global_time':3.41391, 'hit_distance':5.583816 
'global_time':3.430634, 'hit_distance':6.362182 
'global_time':3.441719, 'hit_distance':5.562751 
'global_time':3.441719, 'hit_distance':6.489336 
'global_time':3.454785, 'hit_distance':5.571423 
'global_time':3.465256, 'hit_distance':5.614869 
'global_time':3.476835, 'hit_distance':5.610745 
'global_time':3.488169, 'hit_distance':5.610309 
'global_time':3.49964, 'hit_distance':5.640862 
'global_time':3.510841, 'hit_distance':5.719992 
'global_time':3.521827, 'hit_distance':5.688312 
'global_time':3.533767, 'hit_distance':5.624782 
'global_time':3.550254, 'hit_distance':5.69987 
'global_time':3.550254, 'hit_distance':6.268909 
'global_time':3.561059, 'hit_distance':5.67514 
'global_time':3.561059, 'hit_distance':6.132446 
'global_time':3.573809, 'hit_distance':5.646486 
'global_time':3.573809, 'hit_distance':6.000963 
'global_time':3.591917, 'hit_distance':5.686221 
'global_time':3.591917, 'hit_distance':5.880567 
'global_time':3.605293, 'hit_distance':5.672127 
'global_time':3.605293, 'hit_distance':5.764051 
'global_time':3.617184, 'hit_distance':5.681464 
'global_time':3.617184, 'hit_distance':5.661192 
'global_time':3.629915, 'hit_distance':5.987051 
'global_time':3.629915, 'hit_distance':5.630255 
'global_time':3.643792, 'hit_distance':5.830301 
'global_time':3.643792, 'hit_distance':5.622198 
'global_time':3.656749, 'hit_distance':5.947382 
'global_time':3.656749, 'hit_distance':5.647536 
'global_time':3.668053, 'hit_distance':5.97157 
'global_time':3.668053, 'hit_distance':5.675487 
'global_time':3.680819, 'hit_distance':5.955024 
'global_time':3.680819, 'hit_distance':5.6971 
'global_time':3.695772, 'hit_distance':5.966566 
'global_time':3.695772, 'hit_distance':5.718379 
'global_time':3.707675, 'hit_distance':6.056719 
'global_time':3.707675, 'hit_distance':5.748564 
'global_time':3.719632, 'hit_distance':6.005823 
'global_time':3.719632, 'hit_distance':5.770076 
'global_time':3.734321, 'hit_distance':5.996632 
'global_time':3.734321, 'hit_distance':5.79612 
'global_time':3.753145, 'hit_distance':6.028786 
'global_time':3.753145, 'hit_distance':5.817218 
'global_time':3.765417, 'hit_distance':6.044625 
'global_time':3.765417, 'hit_distance':5.835091 
'global_time':3.778747, 'hit_distance':6.074971 
'global_time':3.778747, 'hit_distance':5.855811 
'global_time':3.79262, 'hit_distance':6.08601 
'global_time':3.79262, 'hit_distance':5.881176 
'global_time':3.806011, 'hit_distance':6.094812 
'global_time':3.806011, 'hit_distance':5.903033 
'global_time':3.816901, 'hit_distance':6.092665 
'global_time':3.816901, 'hit_distance':5.92665 
'global_time':3.830466, 'hit_distance':6.074482 
'global_time':3.830466, 'hit_distance':5.950615 
'global_time':3.843431, 'hit_distance':5.710184 
'global_time':3.843431, 'hit_distance':5.952646 
'global_time':3.85661, 'hit_distance':5.899034 
'global_time':3.866475, 'hit_distance':4.797942 
'global_time':3.866475, 'hit_distance':5.832493 
'global_time':3.879711, 'hit_distance':4.809766 
'global_time':3.879711, 'hit_distance':5.753713 
'global_time':3.89239, 'hit_distance':4.818773 
'global_time':3.89239, 'hit_distance':5.685531 
'global_time':3.909569, 'hit_distance':4.764305 
'global_time':3.909569, 'hit_distance':5.609862 
'global_time':3.92283, 'hit_distance':4.73473 
'global_time':3.936343, 'hit_distance':4.672937 
'global_time':3.948036, 'hit_distance':4.686451 
'global_time':3.960705, 'hit_distance':4.65005 
'global_time':3.975403, 'hit_distance':4.669345 
'global_time':3.98883, 'hit_distance':4.675938 
'global_time':4.00019, 'hit_distance':4.71799 
'global_time':4.013792, 'hit_distance':4.733334 
'global_time':4.028251, 'hit_distance':4.709546 
'global_time':4.028251, 'hit_distance':4.977609 
