'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':0.04, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':0.3733333, 'head_position_x':-0.09712521, 'head_position_y':1.140156, 'head_position_z':-0.5607703
'global_time':0.4229109, 'head_position_x':-0.08945752, 'head_position_y':1.130159, 'head_position_z':-0.5557081
'global_time':0.4392297, 'head_position_x':-0.08894552, 'head_position_y':1.130047, 'head_position_z':-0.5554275
'global_time':0.45167, 'head_position_x':-0.08878277, 'head_position_y':1.129981, 'head_position_z':-0.5554022
'global_time':0.4636495, 'head_position_x':-0.08879656, 'head_position_y':1.129946, 'head_position_z':-0.5552213
'global_time':0.4763047, 'head_position_x':-0.08850761, 'head_position_y':1.1298, 'head_position_z':-0.5552508
'global_time':0.4890527, 'head_position_x':-0.08832258, 'head_position_y':1.129547, 'head_position_z':-0.5551423
'global_time':0.5009649, 'head_position_x':-0.08839919, 'head_position_y':1.129393, 'head_position_z':-0.5550149
'global_time':0.5165855, 'head_position_x':-0.08812129, 'head_position_y':1.129224, 'head_position_z':-0.5551382
'global_time':0.5293716, 'head_position_x':-0.08820805, 'head_position_y':1.129056, 'head_position_z':-0.5550183
'global_time':0.5412713, 'head_position_x':-0.08803218, 'head_position_y':1.12884, 'head_position_z':-0.5550978
'global_time':0.5543143, 'head_position_x':-0.08790196, 'head_position_y':1.128652, 'head_position_z':-0.5552222
'global_time':0.5665235, 'head_position_x':-0.08794955, 'head_position_y':1.128233, 'head_position_z':-0.555202
'global_time':0.5785521, 'head_position_x':-0.08806711, 'head_position_y':1.128065, 'head_position_z':-0.5551232
'global_time':0.5913886, 'head_position_x':-0.08812634, 'head_position_y':1.127862, 'head_position_z':-0.5552368
'global_time':0.6040965, 'head_position_x':-0.08826403, 'head_position_y':1.127701, 'head_position_z':-0.5551891
'global_time':0.6161498, 'head_position_x':-0.08838192, 'head_position_y':1.127361, 'head_position_z':-0.5552498
'global_time':0.6279619, 'head_position_x':-0.08827417, 'head_position_y':1.126992, 'head_position_z':-0.5555342
'global_time':0.6390514, 'head_position_x':-0.08849411, 'head_position_y':1.126768, 'head_position_z':-0.5555183
'global_time':0.6485624, 'head_position_x':-0.08868159, 'head_position_y':1.126444, 'head_position_z':-0.5556229
'global_time':0.660807, 'head_position_x':-0.08894134, 'head_position_y':1.126219, 'head_position_z':-0.5556056
'global_time':0.6771778, 'head_position_x':-0.08921435, 'head_position_y':1.125963, 'head_position_z':-0.5556701
'global_time':0.6956145, 'head_position_x':-0.08974369, 'head_position_y':1.125516, 'head_position_z':-0.5556981
'global_time':0.7089965, 'head_position_x':-0.09005944, 'head_position_y':1.125267, 'head_position_z':-0.5556954
'global_time':0.7231995, 'head_position_x':-0.09022133, 'head_position_y':1.125049, 'head_position_z':-0.5557868
'global_time':0.7323238, 'head_position_x':-0.09026429, 'head_position_y':1.124844, 'head_position_z':-0.5560179
'global_time':0.7445807, 'head_position_x':-0.09055591, 'head_position_y':1.124587, 'head_position_z':-0.5560066
'global_time':0.7568755, 'head_position_x':-0.09124791, 'head_position_y':1.124175, 'head_position_z':-0.5558696
'global_time':0.7667403, 'head_position_x':-0.09164136, 'head_position_y':1.124011, 'head_position_z':-0.5557336
'global_time':0.7778298, 'head_position_x':-0.09194086, 'head_position_y':1.12379, 'head_position_z':-0.5556781
'global_time':0.7881662, 'head_position_x':-0.0921227, 'head_position_y':1.123526, 'head_position_z':-0.5557376
'global_time':0.7993833, 'head_position_x':-0.09247674, 'head_position_y':1.123278, 'head_position_z':-0.5556065
'global_time':0.8111957, 'head_position_x':-0.09275996, 'head_position_y':1.123039, 'head_position_z':-0.5555137
