'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.04, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.3733333, 'head_vector_x':-0.08603154, 'head_vector_y':0.445802, 'head_vector_z':0.8909878
'global_time':0.4229109, 'head_vector_x':-0.1470894, 'head_vector_y':0.3976449, 'head_vector_z':0.9056728
'global_time':0.4392297, 'head_vector_x':-0.148819, 'head_vector_y':0.3972629, 'head_vector_z':0.9055579
'global_time':0.45167, 'head_vector_x':-0.1491335, 'head_vector_y':0.3967678, 'head_vector_z':0.9057232
'global_time':0.4636495, 'head_vector_x':-0.1495602, 'head_vector_y':0.3962261, 'head_vector_z':0.90589
'global_time':0.4763047, 'head_vector_x':-0.1497192, 'head_vector_y':0.3955651, 'head_vector_z':0.9061525
'global_time':0.4890527, 'head_vector_x':-0.1504322, 'head_vector_y':0.3937638, 'head_vector_z':0.9068187
'global_time':0.5009649, 'head_vector_x':-0.1506161, 'head_vector_y':0.392591, 'head_vector_z':0.9072966
'global_time':0.5165855, 'head_vector_x':-0.1510629, 'head_vector_y':0.391417, 'head_vector_z':0.9077294
'global_time':0.5293716, 'head_vector_x':-0.1515318, 'head_vector_y':0.3902731, 'head_vector_z':0.9081438
'global_time':0.5412713, 'head_vector_x':-0.1519468, 'head_vector_y':0.3888456, 'head_vector_z':0.9086866
'global_time':0.5543143, 'head_vector_x':-0.1529237, 'head_vector_y':0.3874733, 'head_vector_z':0.9091088
'global_time':0.5665235, 'head_vector_x':-0.155088, 'head_vector_y':0.3846809, 'head_vector_z':0.9099276
'global_time':0.5785521, 'head_vector_x':-0.1563777, 'head_vector_y':0.3833536, 'head_vector_z':0.9102671
'global_time':0.5913886, 'head_vector_x':-0.1576408, 'head_vector_y':0.3820665, 'head_vector_z':0.9105902
'global_time':0.6040965, 'head_vector_x':-0.1590817, 'head_vector_y':0.3805789, 'head_vector_z':0.9109625
'global_time':0.6161498, 'head_vector_x':-0.1608195, 'head_vector_y':0.3791001, 'head_vector_z':0.911274
'global_time':0.6279619, 'head_vector_x':-0.1626074, 'head_vector_y':0.3774645, 'head_vector_z':0.9116355
'global_time':0.6390514, 'head_vector_x':-0.1647868, 'head_vector_y':0.3754909, 'head_vector_z':0.9120591
'global_time':0.6485624, 'head_vector_x':-0.1670714, 'head_vector_y':0.3735298, 'head_vector_z':0.9124487
'global_time':0.660807, 'head_vector_x':-0.1696797, 'head_vector_y':0.3716267, 'head_vector_z':0.9127444
'global_time':0.6771778, 'head_vector_x':-0.1725036, 'head_vector_y':0.3694459, 'head_vector_z':0.9131004
'global_time':0.6956145, 'head_vector_x':-0.1783862, 'head_vector_y':0.3656665, 'head_vector_z':0.9134913
'global_time':0.7089965, 'head_vector_x':-0.1810273, 'head_vector_y':0.3637509, 'head_vector_z':0.9137365
'global_time':0.7231995, 'head_vector_x':-0.1838491, 'head_vector_y':0.3617832, 'head_vector_z':0.9139543
'global_time':0.7323238, 'head_vector_x':-0.1865499, 'head_vector_y':0.359833, 'head_vector_z':0.9141768
'global_time':0.7445807, 'head_vector_x':-0.1896007, 'head_vector_y':0.3577433, 'head_vector_z':0.9143693
'global_time':0.7568755, 'head_vector_x':-0.1953713, 'head_vector_y':0.3537596, 'head_vector_z':0.9147044
'global_time':0.7667403, 'head_vector_x':-0.1982879, 'head_vector_y':0.3518881, 'head_vector_z':0.9147987
'global_time':0.7778298, 'head_vector_x':-0.2010282, 'head_vector_y':0.3497072, 'head_vector_z':0.9150369
'global_time':0.7881662, 'head_vector_x':-0.2036892, 'head_vector_y':0.3476709, 'head_vector_z':0.9152244
'global_time':0.7993833, 'head_vector_x':-0.2065718, 'head_vector_y':0.3456253, 'head_vector_z':0.9153531
'global_time':0.8111957, 'head_vector_x':-0.209039, 'head_vector_y':0.3432695, 'head_vector_z':0.9156794
'global_time':0.8260392, 'head_vector_x':-0.2117483, 'head_vector_y':0.3411442, 'head_vector_z':0.9158511
'global_time':0.8372172, 'head_vector_x':-0.214214, 'head_vector_y':0.3387938, 'head_vector_z':0.9161502
'global_time':0.8490568, 'head_vector_x':-0.2169547, 'head_vector_y':0.3365253, 'head_vector_z':0.9163413
'global_time':0.8598166, 'head_vector_x':-0.220051, 'head_vector_y':0.3342293, 'head_vector_z':0.9164433
'global_time':0.8722672, 'head_vector_x':-0.2235345, 'head_vector_y':0.3317273, 'head_vector_z':0.9165093
'global_time':0.8815928, 'head_vector_x':-0.2268239, 'head_vector_y':0.329217, 'head_vector_z':0.9166063
'global_time':0.8926662, 'head_vector_x':-0.2307931, 'head_vector_y':0.3264919, 'head_vector_z':0.9165902
'global_time':0.9067888, 'head_vector_x':-0.2351579, 'head_vector_y':0.323654, 'head_vector_z':0.9164872
'global_time':0.9179975, 'head_vector_x':-0.2405557, 'head_vector_y':0.3207223, 'head_vector_z':0.9161169
'global_time':0.9312427, 'head_vector_x':-0.2465125, 'head_vector_y':0.3172648, 'head_vector_z':0.9157372
'global_time':0.9421845, 'head_vector_x':-0.2527659, 'head_vector_y':0.3136093, 'head_vector_z':0.9152915
'global_time':0.9541972, 'head_vector_x':-0.2591823, 'head_vector_y':0.3101009, 'head_vector_z':0.9146923
'global_time':0.9694501, 'head_vector_x':-0.2727542, 'head_vector_y':0.3032451, 'head_vector_z':0.913043
'global_time':0.9865081, 'head_vector_x':-0.2796661, 'head_vector_y':0.3004137, 'head_vector_z':0.9118873
'global_time':0.996875, 'head_vector_x':-0.2861802, 'head_vector_y':0.2974794, 'head_vector_z':0.9108276
'global_time':1.00747, 'head_vector_x':-0.2926789, 'head_vector_y':0.2944953, 'head_vector_z':0.9097316
'global_time':1.01816, 'head_vector_x':-0.2990944, 'head_vector_y':0.2914472, 'head_vector_z':0.908626
'global_time':1.029626, 'head_vector_x':-0.3054984, 'head_vector_y':0.2878752, 'head_vector_z':0.9076335
'global_time':1.040449, 'head_vector_x':-0.311389, 'head_vector_y':0.2841192, 'head_vector_z':0.9068148
'global_time':1.051055, 'head_vector_x':-0.3174156, 'head_vector_y':0.28009, 'head_vector_z':0.9059784
'global_time':1.060902, 'head_vector_x':-0.3228899, 'head_vector_y':0.2755697, 'head_vector_z':0.90543
'global_time':1.072748, 'head_vector_x':-0.328027, 'head_vector_y':0.2709297, 'head_vector_z':0.9049836
'global_time':1.083562, 'head_vector_x':-0.3330923, 'head_vector_y':0.2654155, 'head_vector_z':0.9047675
'global_time':1.096014, 'head_vector_x':-0.3378386, 'head_vector_y':0.2599729, 'head_vector_z':0.9045879
'global_time':1.106212, 'head_vector_x':-0.3423462, 'head_vector_y':0.2541469, 'head_vector_z':0.9045488
'global_time':1.120435, 'head_vector_x':-0.3458716, 'head_vector_y':0.2477077, 'head_vector_z':0.9049938
