'global_time':3.6181, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.933088, 'gaze_y':2.316676, 'gaze_z':0.6913869, 'useGaze': True
'global_time':4.185714, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.313765, 'gaze_y':2.208671, 'gaze_z':4.934121, 'useGaze': True
'global_time':4.689471, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.550483, 'gaze_y':0.9916072, 'gaze_z':4.93684, 'useGaze': True
'global_time':5.154964, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.212258, 'gaze_y':1.037727, 'gaze_z':4.936751, 'useGaze': True
'global_time':5.773503, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.940917, 'gaze_y':2.085772, 'gaze_z':3.888063, 'useGaze': True
'global_time':6.294341, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.653126, 'gaze_y':2.219704, 'gaze_z':4.933184, 'useGaze': True
'global_time':6.875212, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.939371, 'gaze_y':2.214415, 'gaze_z':2.088516, 'useGaze': True
'global_time':7.705315, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':0.1860947, 'gaze_y':1.212335, 'gaze_z':4.934861, 'useGaze': True
'global_time':8.623284, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-1.391819, 'gaze_y':2.07226, 'gaze_z':4.930557, 'useGaze': True
'global_time':9.108906, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.587618, 'gaze_y':1.124391, 'gaze_z':4.933851, 'useGaze': True
'global_time':10.30794, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.933758, 'gaze_y':2.281104, 'gaze_z':3.499086, 'useGaze': True
'global_time':10.80391, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.935795, 'gaze_y':1.048425, 'gaze_z':1.741105, 'useGaze': True
'global_time':11.3334, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-3.004848, 'gaze_y':1.049558, 'gaze_z':4.938375, 'useGaze': True
'global_time':11.92534, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.94257, 'gaze_y':1.02732, 'gaze_z':2.25949, 'useGaze': True
'global_time':13.05089, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.941896, 'gaze_y':1.187131, 'gaze_z':3.438676, 'useGaze': True
'global_time':13.56371, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.59565, 'gaze_y':1.121339, 'gaze_z':4.938684, 'useGaze': True
'global_time':14.102, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.943346, 'gaze_y':1.108953, 'gaze_z':3.355615, 'useGaze': True
'global_time':14.66996, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.427812, 'gaze_y':1.05349, 'gaze_z':4.937627, 'useGaze': True
'global_time':15.18578, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':0.2914415, 'gaze_y':1.093658, 'gaze_z':4.935343, 'useGaze': True
'global_time':15.86928, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.1460512, 'gaze_y':2.31599, 'gaze_z':4.928878, 'useGaze': True
'global_time':17.47537, 'center_x':-4, 'center_y':1, 'center_z':0.3999996, 'gaze_x':-3.937898, 'gaze_y':1.118519, 'gaze_z':0.4020981, 'useGaze': True
'global_time':18.04453, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.936101, 'gaze_y':2.070408, 'gaze_z':1.76262, 'useGaze': True
