'global_time':7.482284, 'ChildID':0, 'pos_x':0.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':7.442285,  'useGaze':True, 'useVal':True
'global_time':8.611841, 'ChildID':10, 'pos_x':-4, 'pos_y':2.5, 'pos_z':3.6, 'is_correct':1, 'activated_time':1.129555,  'useGaze':True, 'useVal':True
'global_time':9.135074, 'ChildID':9, 'pos_x':-4, 'pos_y':1, 'pos_z':2, 'is_correct':1, 'activated_time':0.5232342,  'useGaze':True, 'useVal':True
'global_time':9.927659, 'ChildID':2, 'pos_x':-1, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.7925853,  'useGaze':True, 'useVal':True
'global_time':10.50659, 'ChildID':10, 'pos_x':-4, 'pos_y':2.5, 'pos_z':3.6, 'is_correct':1, 'activated_time':0.5789304,  'useGaze':True, 'useVal':True
'global_time':11.16093, 'ChildID':1, 'pos_x':0.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.65434,  'useGaze':True, 'useVal':True
'global_time':11.68949, 'ChildID':0, 'pos_x':0.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.5285564,  'useGaze':True, 'useVal':True
'global_time':12.49852, 'ChildID':3, 'pos_x':-1, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.8090344,  'useGaze':True, 'useVal':True
'global_time':13.01439, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.5158745,  'useGaze':True, 'useVal':True
'global_time':13.66026, 'ChildID':10, 'pos_x':-4, 'pos_y':2.5, 'pos_z':3.6, 'is_correct':1, 'activated_time':0.6458651,  'useGaze':True, 'useVal':True
'global_time':14.41419, 'ChildID':6, 'pos_x':-4, 'pos_y':2.5, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':0.7539335,  'useGaze':True, 'useVal':True
'global_time':14.95329, 'ChildID':10, 'pos_x':-4, 'pos_y':2.5, 'pos_z':3.6, 'is_correct':1, 'activated_time':0.5390942,  'useGaze':True, 'useVal':True
'global_time':15.55446, 'ChildID':3, 'pos_x':-1, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.6011751,  'useGaze':True, 'useVal':True
'global_time':16.14813, 'ChildID':10, 'pos_x':-4, 'pos_y':2.5, 'pos_z':3.6, 'is_correct':1, 'activated_time':0.593675,  'useGaze':True, 'useVal':True
'global_time':16.78711, 'ChildID':8, 'pos_x':-4, 'pos_y':2.5, 'pos_z':2, 'is_correct':1, 'activated_time':0.6389809,  'useGaze':True, 'useVal':True
