'global_time':7.469834, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.3178253, 'gaze_y':2.053576, 'gaze_z':4.932076, 'useGaze': True
'global_time':8.599123, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.935506, 'gaze_y':2.132448, 'gaze_z':3.868775, 'useGaze': True
'global_time':9.121245, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.937804, 'gaze_y':1.175919, 'gaze_z':2.049966, 'useGaze': True
'global_time':9.914582, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-1.082775, 'gaze_y':2.132168, 'gaze_z':4.936093, 'useGaze': True
'global_time':10.49532, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.939455, 'gaze_y':2.255099, 'gaze_z':3.642287, 'useGaze': True
'global_time':11.14958, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':0.4083717, 'gaze_y':1.411781, 'gaze_z':4.938543, 'useGaze': True
'global_time':11.67779, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.2248679, 'gaze_y':2.442002, 'gaze_z':4.936553, 'useGaze': True
'global_time':12.48595, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.32175, 'gaze_y':1.381334, 'gaze_z':4.936665, 'useGaze': True
'global_time':13.00169, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.68325, 'gaze_y':1.202489, 'gaze_z':4.938256, 'useGaze': True
'global_time':13.64803, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.960145, 'gaze_y':2.047024, 'gaze_z':3.450228, 'useGaze': True
'global_time':14.40279, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.932776, 'gaze_y':2.187504, 'gaze_z':0.5859801, 'useGaze': True
'global_time':14.94242, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.934567, 'gaze_y':2.128491, 'gaze_z':3.23029, 'useGaze': True
'global_time':15.54233, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.109185, 'gaze_y':1.095244, 'gaze_z':4.938155, 'useGaze': True
'global_time':16.13601, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.938427, 'gaze_y':2.223919, 'gaze_z':3.823316, 'useGaze': True
'global_time':16.77661, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-4.013526, 'gaze_y':2.046609, 'gaze_z':2.1579, 'useGaze': True
'global_time':17.36077, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.726663, 'gaze_y':1.178564, 'gaze_z':4.940257, 'useGaze': True
'global_time':18.02811, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.938537, 'gaze_y':2.173451, 'gaze_z':4.054502, 'useGaze': True
'global_time':18.90962, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':0.5160879, 'gaze_y':1.144342, 'gaze_z':4.938968, 'useGaze': True
'global_time':20.46618, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-1.108142, 'gaze_y':2.134045, 'gaze_z':4.935428, 'useGaze': True
'global_time':21.0504, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':0.1249591, 'gaze_y':1.20925, 'gaze_z':4.935978, 'useGaze': True
'global_time':21.89654, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.93857, 'gaze_y':1.173541, 'gaze_z':1.779581, 'useGaze': True
'global_time':22.42529, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.938819, 'gaze_y':1.100119, 'gaze_z':3.487894, 'useGaze': True
'global_time':23.13817, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.3644389, 'gaze_y':2.197475, 'gaze_z':4.931202, 'useGaze': True
'global_time':23.89495, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.939239, 'gaze_y':1.143056, 'gaze_z':2.192652, 'useGaze': True
'global_time':25.09159, 'center_x':-4, 'center_y':1, 'center_z':0.3999996, 'gaze_x':-3.937963, 'gaze_y':1.152216, 'gaze_z':0.565147, 'useGaze': True
