'global_time':3.066824, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.343051, 'gaze_y':1.050866, 'gaze_z':4.941648, 'useGaze': True
'global_time':4.030253, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.930782, 'gaze_y':2.23387, 'gaze_z':0.6115419, 'useGaze': True
'global_time':4.641698, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.936145, 'gaze_y':2.221369, 'gaze_z':3.448305, 'useGaze': True
'global_time':5.386743, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.49842, 'gaze_y':2.067096, 'gaze_z':4.933589, 'useGaze': True
'global_time':6.128614, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.943231, 'gaze_y':1.03347, 'gaze_z':3.323955, 'useGaze': True
'global_time':6.80082, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.414656, 'gaze_y':0.8154038, 'gaze_z':4.942699, 'useGaze': True
'global_time':7.911483, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.934976, 'gaze_y':2.212204, 'gaze_z':0.6507239, 'useGaze': True
'global_time':8.903975, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-1.348739, 'gaze_y':2.171887, 'gaze_z':4.932438, 'useGaze': True
'global_time':9.591343, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.412577, 'gaze_y':1.176241, 'gaze_z':4.937629, 'useGaze': True
'global_time':10.35338, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-1.068343, 'gaze_y':2.373057, 'gaze_z':4.93363, 'useGaze': True
'global_time':11.19796, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.939224, 'gaze_y':1.094079, 'gaze_z':1.925527, 'useGaze': True
'global_time':12.04872, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.355932, 'gaze_y':1.048624, 'gaze_z':4.938035, 'useGaze': True
