'global_time':2.893636, 'ChildID':2, 'pos_x':-1, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':2.853636,  'useGaze':False, 'useVal':True
'global_time':5.092078, 'ChildID':9, 'pos_x':-4, 'pos_y':1, 'pos_z':2, 'is_correct':1, 'activated_time':2.198443,  'useGaze':False, 'useVal':True
'global_time':5.996761, 'ChildID':3, 'pos_x':-1, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.9046847,  'useGaze':False, 'useVal':True
'global_time':6.639431, 'ChildID':2, 'pos_x':-1, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.6426696,  'useGaze':False, 'useVal':True
'global_time':7.41479, 'ChildID':0, 'pos_x':0.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.7753584,  'useGaze':False, 'useVal':True
'global_time':8.351972, 'ChildID':8, 'pos_x':-4, 'pos_y':2.5, 'pos_z':2, 'is_correct':1, 'activated_time':0.9371796,  'useGaze':False, 'useVal':True
'global_time':9.607893, 'ChildID':0, 'pos_x':0.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':1.255918,  'useGaze':False, 'useVal':True
'global_time':10.45506, 'ChildID':10, 'pos_x':-4, 'pos_y':2.5, 'pos_z':3.6, 'is_correct':1, 'activated_time':0.8471634,  'useGaze':False, 'useVal':True
'global_time':11.52627, 'ChildID':1, 'pos_x':0.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':1.071221,  'useGaze':False, 'useVal':True
'global_time':12.83633, 'ChildID':9, 'pos_x':-4, 'pos_y':1, 'pos_z':2, 'is_correct':1, 'activated_time':1.310057,  'useGaze':False, 'useVal':True
'global_time':13.63843, 'ChildID':7, 'pos_x':-4, 'pos_y':1, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':0.8021048,  'useGaze':False, 'useVal':True
'global_time':15.2789, 'ChildID':4, 'pos_x':-2.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':1.640468,  'useGaze':False, 'useVal':True
'global_time':16.56534, 'ChildID':3, 'pos_x':-1, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':1.286434,  'useGaze':False, 'useVal':True
'global_time':17.51867, 'ChildID':9, 'pos_x':-4, 'pos_y':1, 'pos_z':2, 'is_correct':1, 'activated_time':0.9533268,  'useGaze':False, 'useVal':True
'global_time':18.72627, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':1.207592,  'useGaze':False, 'useVal':True
'global_time':19.93443, 'ChildID':4, 'pos_x':-2.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':1.208161,  'useGaze':False, 'useVal':True
'global_time':21.02191, 'ChildID':6, 'pos_x':-4, 'pos_y':2.5, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':1.087479,  'useGaze':False, 'useVal':True
