'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':0.04, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':0.3733333, 'head_position_x':0.02713225, 'head_position_y':1.006126, 'head_position_z':-0.4072879
'global_time':0.4253135, 'head_position_x':0.0268675, 'head_position_y':1.005536, 'head_position_z':-0.4079634
'global_time':0.4454618, 'head_position_x':0.02682222, 'head_position_y':1.005487, 'head_position_z':-0.4077531
'global_time':0.4584783, 'head_position_x':0.0267501, 'head_position_y':1.005466, 'head_position_z':-0.4076458
'global_time':0.4697677, 'head_position_x':0.02676253, 'head_position_y':1.005437, 'head_position_z':-0.4076262
'global_time':0.4807165, 'head_position_x':0.02669909, 'head_position_y':1.005424, 'head_position_z':-0.4076291
'global_time':0.4921178, 'head_position_x':0.02675576, 'head_position_y':1.005354, 'head_position_z':-0.4076859
'global_time':0.503866, 'head_position_x':0.02677196, 'head_position_y':1.00534, 'head_position_z':-0.4077151
'global_time':0.519182, 'head_position_x':0.02677795, 'head_position_y':1.005331, 'head_position_z':-0.4077372
'global_time':0.5308982, 'head_position_x':0.02678408, 'head_position_y':1.005285, 'head_position_z':-0.4077859
'global_time':0.5443457, 'head_position_x':0.02680008, 'head_position_y':1.005174, 'head_position_z':-0.4078378
'global_time':0.5560601, 'head_position_x':0.02689756, 'head_position_y':1.005091, 'head_position_z':-0.4079382
'global_time':0.5688462, 'head_position_x':0.02689002, 'head_position_y':1.005049, 'head_position_z':-0.4078844
'global_time':0.5819675, 'head_position_x':0.02689261, 'head_position_y':1.005056, 'head_position_z':-0.4078716
'global_time':0.5937251, 'head_position_x':0.02691622, 'head_position_y':1.005053, 'head_position_z':-0.4078362
'global_time':0.6053275, 'head_position_x':0.02689406, 'head_position_y':1.005008, 'head_position_z':-0.4078719
'global_time':0.6169409, 'head_position_x':0.02688298, 'head_position_y':1.004943, 'head_position_z':-0.4079624
'global_time':0.6313587, 'head_position_x':0.02687873, 'head_position_y':1.004865, 'head_position_z':-0.4080391
'global_time':0.6441537, 'head_position_x':0.02685035, 'head_position_y':1.004756, 'head_position_z':-0.408185
'global_time':0.6554787, 'head_position_x':0.02689147, 'head_position_y':1.004697, 'head_position_z':-0.4082133
'global_time':0.671361, 'head_position_x':0.02696212, 'head_position_y':1.004624, 'head_position_z':-0.408291
'global_time':0.6820899, 'head_position_x':0.02700017, 'head_position_y':1.004588, 'head_position_z':-0.4082525
'global_time':0.6940817, 'head_position_x':0.02705061, 'head_position_y':1.004545, 'head_position_z':-0.408231
'global_time':0.7078566, 'head_position_x':0.02704636, 'head_position_y':1.004488, 'head_position_z':-0.4082085
'global_time':0.7183465, 'head_position_x':0.02707716, 'head_position_y':1.004432, 'head_position_z':-0.4082425
'global_time':0.7309698, 'head_position_x':0.02709702, 'head_position_y':1.004335, 'head_position_z':-0.4082761
'global_time':0.742235, 'head_position_x':0.02718322, 'head_position_y':1.004188, 'head_position_z':-0.4083304
'global_time':0.7542078, 'head_position_x':0.02719374, 'head_position_y':1.004105, 'head_position_z':-0.4083939
'global_time':0.7657204, 'head_position_x':0.02726603, 'head_position_y':1.003767, 'head_position_z':-0.4085822
'global_time':0.7765375, 'head_position_x':0.0272896, 'head_position_y':1.003583, 'head_position_z':-0.4086337
'global_time':0.786562, 'head_position_x':0.02718275, 'head_position_y':1.003453, 'head_position_z':-0.4086672
'global_time':0.7977239, 'head_position_x':0.02713566, 'head_position_y':1.003204, 'head_position_z':-0.4087796
'global_time':0.8089011, 'head_position_x':0.02705602, 'head_position_y':1.002903, 'head_position_z':-0.4088767
'global_time':0.8251525, 'head_position_x':0.02702372, 'head_position_y':1.002561, 'head_position_z':-0.4090613
'global_time':0.8401468, 'head_position_x':0.02699495, 'head_position_y':1.002167, 'head_position_z':-0.4092502
'global_time':0.8504654, 'head_position_x':0.02700912, 'head_position_y':1.001705, 'head_position_z':-0.4094866
'global_time':0.860553, 'head_position_x':0.02701691, 'head_position_y':1.001236, 'head_position_z':-0.4096872
'global_time':0.873024, 'head_position_x':0.02701996, 'head_position_y':1.000768, 'head_position_z':-0.4098314
'global_time':0.8849896, 'head_position_x':0.02701026, 'head_position_y':1.000236, 'head_position_z':-0.4099599
'global_time':0.8965393, 'head_position_x':0.02696308, 'head_position_y':0.9997649, 'head_position_z':-0.4101106
'global_time':0.9087561, 'head_position_x':0.02691291, 'head_position_y':0.9993051, 'head_position_z':-0.4101777
'global_time':0.9194943, 'head_position_x':0.02689284, 'head_position_y':0.9988438, 'head_position_z':-0.4101994
'global_time':0.9312387, 'head_position_x':0.02682131, 'head_position_y':0.9983863, 'head_position_z':-0.4102045
'global_time':0.9434056, 'head_position_x':0.02671282, 'head_position_y':0.9974997, 'head_position_z':-0.4102366
'global_time':0.9553204, 'head_position_x':0.02670283, 'head_position_y':0.9971365, 'head_position_z':-0.410224
