'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.04, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.3733333, 'head_vector_x':0.1344637, 'head_vector_y':-0.5407577, 'head_vector_z':0.8303617
'global_time':0.4253135, 'head_vector_x':0.1340209, 'head_vector_y':-0.5449595, 'head_vector_z':0.827682
'global_time':0.4454618, 'head_vector_x':0.1336435, 'head_vector_y':-0.5454599, 'head_vector_z':0.8274134
'global_time':0.4584783, 'head_vector_x':0.1332829, 'head_vector_y':-0.5453576, 'head_vector_z':0.827539
'global_time':0.4697677, 'head_vector_x':0.1332161, 'head_vector_y':-0.5454381, 'head_vector_z':0.8274967
'global_time':0.4807165, 'head_vector_x':0.1333181, 'head_vector_y':-0.5456601, 'head_vector_z':0.8273339
'global_time':0.4921178, 'head_vector_x':0.133183, 'head_vector_y':-0.5459327, 'head_vector_z':0.8271759
'global_time':0.503866, 'head_vector_x':0.1331274, 'head_vector_y':-0.5463439, 'head_vector_z':0.8269132
'global_time':0.519182, 'head_vector_x':0.1330934, 'head_vector_y':-0.5466959, 'head_vector_z':0.826686
'global_time':0.5308982, 'head_vector_x':0.1330827, 'head_vector_y':-0.5473729, 'head_vector_z':0.8262396
'global_time':0.5443457, 'head_vector_x':0.1330439, 'head_vector_y':-0.548073, 'head_vector_z':0.8257816
'global_time':0.5560601, 'head_vector_x':0.1327696, 'head_vector_y':-0.5479847, 'head_vector_z':0.8258843
'global_time':0.5688462, 'head_vector_x':0.1327678, 'head_vector_y':-0.5480432, 'head_vector_z':0.8258459
'global_time':0.5819675, 'head_vector_x':0.1328084, 'head_vector_y':-0.54829, 'head_vector_z':0.8256755
'global_time':0.5937251, 'head_vector_x':0.132708, 'head_vector_y':-0.5485361, 'head_vector_z':0.8255281
'global_time':0.6053275, 'head_vector_x':0.1328317, 'head_vector_y':-0.5492004, 'head_vector_z':0.8250665
'global_time':0.6169409, 'head_vector_x':0.1328301, 'head_vector_y':-0.5497698, 'head_vector_z':0.8246875
'global_time':0.6313587, 'head_vector_x':0.132902, 'head_vector_y':-0.5505568, 'head_vector_z':0.8241506
'global_time':0.6441537, 'head_vector_x':0.1331291, 'head_vector_y':-0.5520507, 'head_vector_z':0.823114
'global_time':0.6554787, 'head_vector_x':0.133057, 'head_vector_y':-0.5524298, 'head_vector_z':0.8228713
'global_time':0.671361, 'head_vector_x':0.1332557, 'head_vector_y':-0.5528747, 'head_vector_z':0.8225402
'global_time':0.6820899, 'head_vector_x':0.1334717, 'head_vector_y':-0.5531842, 'head_vector_z':0.8222971
'global_time':0.6940817, 'head_vector_x':0.1333985, 'head_vector_y':-0.5532634, 'head_vector_z':0.8222557
'global_time':0.7078566, 'head_vector_x':0.1337171, 'head_vector_y':-0.55339, 'head_vector_z':0.8221188
