'global_time':2.588041, 'hit_distance':5.718157 
'global_time':2.606312, 'hit_distance':5.734844 
'global_time':2.618115, 'hit_distance':5.812812 
'global_time':2.618115, 'hit_distance':5.749298 
'global_time':2.630041, 'hit_distance':5.802069 
'global_time':2.64222, 'hit_distance':5.790715 
'global_time':2.653074, 'hit_distance':5.765994 
'global_time':2.664048, 'hit_distance':5.75421 
'global_time':2.67544, 'hit_distance':5.741889 
'global_time':2.686117, 'hit_distance':5.730522 
'global_time':2.697987, 'hit_distance':5.719331 
'global_time':2.709379, 'hit_distance':5.708567 
'global_time':2.721069, 'hit_distance':5.699362 
'global_time':2.721069, 'hit_distance':5.788664 
'global_time':2.732692, 'hit_distance':5.692711 
'global_time':2.732692, 'hit_distance':5.785076 
'global_time':2.74421, 'hit_distance':5.687687 
'global_time':2.74421, 'hit_distance':5.780416 
'global_time':2.756425, 'hit_distance':5.685306 
'global_time':2.756425, 'hit_distance':5.775094 
'global_time':2.768107, 'hit_distance':5.683593 
'global_time':2.768107, 'hit_distance':5.769145 
'global_time':2.780556, 'hit_distance':5.682842 
'global_time':2.780556, 'hit_distance':5.762912 
'global_time':2.791764, 'hit_distance':5.681592 
'global_time':2.791764, 'hit_distance':5.756546 
'global_time':2.802051, 'hit_distance':5.680378 
'global_time':2.802051, 'hit_distance':5.750162 
'global_time':2.8128, 'hit_distance':5.678173 
'global_time':2.8128, 'hit_distance':5.743689 
'global_time':2.824658, 'hit_distance':5.67658 
'global_time':2.824658, 'hit_distance':5.737411 
'global_time':2.835546, 'hit_distance':5.674499 
'global_time':2.835546, 'hit_distance':5.731227 
'global_time':2.848431, 'hit_distance':5.672317 
'global_time':2.848431, 'hit_distance':5.724985 
'global_time':2.858678, 'hit_distance':5.671315 
'global_time':2.858678, 'hit_distance':5.719107 
'global_time':2.869489, 'hit_distance':5.66964 
'global_time':2.869489, 'hit_distance':5.713257 
'global_time':2.881408, 'hit_distance':5.668659 
'global_time':2.881408, 'hit_distance':5.707881 
'global_time':2.893636, 'hit_distance':5.666144 
'global_time':2.893636, 'hit_distance':5.702466 
'global_time':2.906615, 'hit_distance':5.663462 
'global_time':2.906615, 'hit_distance':5.697499 
'global_time':2.917565, 'hit_distance':5.659679 
'global_time':2.917565, 'hit_distance':5.692387 
'global_time':2.930198, 'hit_distance':5.656178 
'global_time':2.930198, 'hit_distance':5.687589 
'global_time':2.942364, 'hit_distance':5.652605 
'global_time':2.942364, 'hit_distance':5.683166 
'global_time':2.953304, 'hit_distance':5.646291 
'global_time':2.953304, 'hit_distance':5.678355 
'global_time':2.964447, 'hit_distance':5.64266 
'global_time':2.964447, 'hit_distance':5.674026 
'global_time':2.975685, 'hit_distance':5.638838 
'global_time':2.975685, 'hit_distance':5.670168 
'global_time':2.985915, 'hit_distance':5.634287 
'global_time':2.985915, 'hit_distance':5.666593 
'global_time':2.997846, 'hit_distance':5.629453 
'global_time':2.997846, 'hit_distance':5.663582 
'global_time':3.009199, 'hit_distance':5.625358 
'global_time':3.009199, 'hit_distance':5.660531 
'global_time':3.019372, 'hit_distance':5.621471 
'global_time':3.019372, 'hit_distance':5.657652 
