'global_time':2.881408, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-1.246545, 'gaze_y':2.425189, 'gaze_z':4.940315, 'useGaze': False
'global_time':5.0795, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.94738, 'gaze_y':1.17939, 'gaze_z':1.992593, 'useGaze': False
'global_time':5.984445, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-0.9210308, 'gaze_y':1.165061, 'gaze_z':4.949795, 'useGaze': False
'global_time':6.627338, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-0.7741514, 'gaze_y':2.801402, 'gaze_z':4.935719, 'useGaze': False
'global_time':7.399539, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.9842656, 'gaze_y':2.613165, 'gaze_z':4.936848, 'useGaze': False
'global_time':8.340503, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.937958, 'gaze_y':2.396773, 'gaze_z':1.956495, 'useGaze': False
'global_time':9.595739, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.4734322, 'gaze_y':2.782816, 'gaze_z':4.934866, 'useGaze': False
'global_time':10.44273, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.938504, 'gaze_y':2.854189, 'gaze_z':3.488473, 'useGaze': False
'global_time':11.51454, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':0.9656502, 'gaze_y':0.6996992, 'gaze_z':4.954293, 'useGaze': False
'global_time':12.82431, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.948409, 'gaze_y':1.202056, 'gaze_z':1.84029, 'useGaze': False
'global_time':13.6262, 'center_x':-4, 'center_y':1, 'center_z':0.3999996, 'gaze_x':-3.948318, 'gaze_y':1.286789, 'gaze_z':0.2856892, 'useGaze': False
'global_time':15.26711, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.258625, 'gaze_y':2.518287, 'gaze_z':4.939819, 'useGaze': False
'global_time':16.55432, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.383395, 'gaze_y':0.8223093, 'gaze_z':4.95165, 'useGaze': False
'global_time':17.50598, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.947282, 'gaze_y':1.240628, 'gaze_z':1.637874, 'useGaze': False
'global_time':18.71455, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.469935, 'gaze_y':1.104934, 'gaze_z':4.949625, 'useGaze': False
'global_time':19.92165, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.590044, 'gaze_y':2.73779, 'gaze_z':4.938061, 'useGaze': False
'global_time':21.00578, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.936638, 'gaze_y':2.35487, 'gaze_z':0.4350304, 'useGaze': False
'global_time':22.54045, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-0.6980827, 'gaze_y':1.16871, 'gaze_z':4.949608, 'useGaze': False
'global_time':24.47932, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.942591, 'gaze_y':2.433563, 'gaze_z':3.912603, 'useGaze': False
'global_time':25.48247, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.7635986, 'gaze_y':2.518694, 'gaze_z':4.938303, 'useGaze': False
