'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0.477
'global_time':0.04, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0.477
'global_time':0.3733333, 'head_position_x':-0.4324244, 'head_position_y':1.11875, 'head_position_z':-0.4183685
'global_time':0.4399002, 'head_position_x':-0.4268935, 'head_position_y':1.118509, 'head_position_z':-0.4111759
'global_time':0.4591052, 'head_position_x':-0.4253621, 'head_position_y':1.118237, 'head_position_z':-0.4103807
'global_time':0.4763082, 'head_position_x':-0.420193, 'head_position_y':1.121589, 'head_position_z':-0.4131425
'global_time':0.4919584, 'head_position_x':-0.4184839, 'head_position_y':1.122156, 'head_position_z':-0.4131418
'global_time':0.5087529, 'head_position_x':-0.4179964, 'head_position_y':1.12228, 'head_position_z':-0.4129697
'global_time':0.5236664, 'head_position_x':-0.4163496, 'head_position_y':1.122891, 'head_position_z':-0.4133578
'global_time':0.5431072, 'head_position_x':-0.4150861, 'head_position_y':1.123096, 'head_position_z':-0.4132539
'global_time':0.5578477, 'head_position_x':-0.4156516, 'head_position_y':1.12254, 'head_position_z':-0.4124141
'global_time':0.5741577, 'head_position_x':-0.4158059, 'head_position_y':1.122524, 'head_position_z':-0.4119424
'global_time':0.5909791, 'head_position_x':-0.4156716, 'head_position_y':1.122543, 'head_position_z':-0.411735
'global_time':0.6075562, 'head_position_x':-0.4155849, 'head_position_y':1.12234, 'head_position_z':-0.4117746
'global_time':0.6249608, 'head_position_x':-0.4159235, 'head_position_y':1.121859, 'head_position_z':-0.4118949
'global_time':0.6417713, 'head_position_x':-0.4162418, 'head_position_y':1.121589, 'head_position_z':-0.4121514
'global_time':0.6590624, 'head_position_x':-0.4165663, 'head_position_y':1.121239, 'head_position_z':-0.4121885
'global_time':0.6742885, 'head_position_x':-0.4167138, 'head_position_y':1.121113, 'head_position_z':-0.4121934
'global_time':0.6953639, 'head_position_x':-0.4178621, 'head_position_y':1.120704, 'head_position_z':-0.4119978
'global_time':0.7157068, 'head_position_x':-0.4180723, 'head_position_y':1.120427, 'head_position_z':-0.4121452
'global_time':0.7320344, 'head_position_x':-0.4186207, 'head_position_y':1.119801, 'head_position_z':-0.4126358
'global_time':0.7467201, 'head_position_x':-0.4184185, 'head_position_y':1.11984, 'head_position_z':-0.413195
'global_time':0.7620215, 'head_position_x':-0.4230036, 'head_position_y':1.11688, 'head_position_z':-0.4104542
'global_time':0.7770647, 'head_position_x':-0.4234089, 'head_position_y':1.116868, 'head_position_z':-0.410676
