'global_time':1.326752, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.390255, 'gaze_y':-0.3485672, 'gaze_z':3.179135, 'useGaze': True
'global_time':2.471312, 'center_x':2.1, 'center_y':-0.33, 'center_z':-0.0999999, 'gaze_x':1.675377, 'gaze_y':0.2192606, 'gaze_z':0.1157344, 'useGaze': True
'global_time':4.597647, 'center_x':2.1, 'center_y':-0.33, 'center_z':-0.0999999, 'gaze_x':1.609212, 'gaze_y':0.07251108, 'gaze_z':0.08724904, 'useGaze': True
'global_time':5.856425, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.5910851, 'gaze_y':-0.1717474, 'gaze_z':3.177695, 'useGaze': True
'global_time':7.076621, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.705101, 'gaze_y':0.1170794, 'gaze_z':3.171689, 'useGaze': True
'global_time':8.287627, 'center_x':2.1, 'center_y':-0.33, 'center_z':-0.0999999, 'gaze_x':1.602322, 'gaze_y':0.1119086, 'gaze_z':-0.3913489, 'useGaze': True
'global_time':9.762623, 'center_x':2.1, 'center_y':-0.33, 'center_z':-0.0999999, 'gaze_x':1.608327, 'gaze_y':0.06866777, 'gaze_z':-0.4330045, 'useGaze': True
'global_time':10.85045, 'center_x':2.1, 'center_y':-0.33, 'center_z':-0.0999999, 'gaze_x':1.607876, 'gaze_y':0.1565765, 'gaze_z':-0.4476782, 'useGaze': True
'global_time':12.47403, 'center_x':2.1, 'center_y':-0.33, 'center_z':-0.0999999, 'gaze_x':1.608839, 'gaze_y':0.1641864, 'gaze_z':-0.2795821, 'useGaze': True
'global_time':14.25474, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.4148287, 'gaze_y':0.1725111, 'gaze_z':3.173021, 'useGaze': True
'global_time':14.60433, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.9836529, 'gaze_y':0.5625561, 'gaze_z':2.900781, 'useGaze': True
'global_time':16.25481, 'center_x':-2.93, 'center_y':1.38, 'center_z':0.29, 'gaze_x':-2.420119, 'gaze_y':1.175411, 'gaze_z':0.6817544, 'useGaze': True
'global_time':18.47269, 'center_x':-2.93, 'center_y':1.38, 'center_z':0.29, 'gaze_x':-2.414516, 'gaze_y':1.511882, 'gaze_z':0.7756075, 'useGaze': True
'global_time':19.89868, 'center_x':-2.93, 'center_y':1.38, 'center_z':0.29, 'gaze_x':-2.414551, 'gaze_y':1.48216, 'gaze_z':0.7338513, 'useGaze': True
'global_time':22.63577, 'center_x':-1.072, 'center_y':-0.33, 'center_z':-1.59, 'gaze_x':-0.770537, 'gaze_y':0.218352, 'gaze_z':-1.676574, 'useGaze': True
'global_time':24.77358, 'center_x':2.1, 'center_y':-0.33, 'center_z':-0.0999999, 'gaze_x':1.895841, 'gaze_y':0.2182089, 'gaze_z':-0.3333868, 'useGaze': True
'global_time':26.03399, 'center_x':2.1, 'center_y':-0.33, 'center_z':-0.0999999, 'gaze_x':1.611532, 'gaze_y':0.07554698, 'gaze_z':-0.2094728, 'useGaze': True
'global_time':5.882988, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.4084403, 'gaze_y':-0.3568822, 'gaze_z':3.169964, 'useGaze': True
'global_time':18.73268, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.08164961, 'gaze_y':0.02511979, 'gaze_z':3.169998, 'useGaze': True
'global_time':25.90292, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.1191439, 'gaze_y':-0.09004726, 'gaze_z':3.169981, 'useGaze': True
'global_time':27.59018, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.1524171, 'gaze_y':-0.2760801, 'gaze_z':3.169991, 'useGaze': True
'global_time':44.40031, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.1967141, 'gaze_y':0.2031184, 'gaze_z':3.169971, 'useGaze': True
'global_time':3.853026, 'center_x':2.1, 'center_y':-0.33, 'center_z':-0.0999999, 'gaze_x':1.823315, 'gaze_y':0.2216262, 'gaze_z':0.2271135, 'useGaze': True
'global_time':7.387322, 'center_x':2.1, 'center_y':-0.33, 'center_z':-0.0999999, 'gaze_x':1.606901, 'gaze_y':0.2189851, 'gaze_z':-0.5818599, 'useGaze': True
'global_time':8.563713, 'center_x':2.1, 'center_y':-0.33, 'center_z':-0.0999999, 'gaze_x':1.605927, 'gaze_y':0.2088896, 'gaze_z':-0.4493421, 'useGaze': True
