'global_time':0.04, 'hit_distance':2.95 
'global_time':0.3733333, 'hit_distance':2.95 
'global_time':1.035035, 'hit_distance':5.23906 
'global_time':3.590522, 'hit_distance':5.217987 
'global_time':3.613783, 'hit_distance':5.178144 
'global_time':3.635407, 'hit_distance':5.132418 
'global_time':3.65677, 'hit_distance':5.074033 
'global_time':3.679983, 'hit_distance':5.008095 
'global_time':3.703202, 'hit_distance':4.936231 
'global_time':3.724323, 'hit_distance':4.860372 
'global_time':3.746135, 'hit_distance':4.781753 
'global_time':3.746135, 'hit_distance':5.279508 
'global_time':3.768306, 'hit_distance':4.705498 
'global_time':3.768306, 'hit_distance':5.248243 
'global_time':3.789664, 'hit_distance':4.634979 
'global_time':3.789664, 'hit_distance':5.21439 
'global_time':3.81135, 'hit_distance':4.574563 
'global_time':3.81135, 'hit_distance':5.178534 
'global_time':3.832525, 'hit_distance':4.525269 
'global_time':3.832525, 'hit_distance':5.141015 
'global_time':3.855615, 'hit_distance':4.487438 
'global_time':3.855615, 'hit_distance':5.102946 
'global_time':3.877276, 'hit_distance':4.459076 
'global_time':3.877276, 'hit_distance':5.064569 
'global_time':3.899885, 'hit_distance':4.438623 
'global_time':3.899885, 'hit_distance':5.026374 
'global_time':3.921032, 'hit_distance':4.42772 
'global_time':3.921032, 'hit_distance':4.988947 
'global_time':3.944964, 'hit_distance':4.42279 
'global_time':3.944964, 'hit_distance':4.951972 
'global_time':3.966026, 'hit_distance':4.478247 
'global_time':3.966026, 'hit_distance':4.915453 
'global_time':3.989177, 'hit_distance':4.878757 
'global_time':4.01008, 'hit_distance':4.842113 
'global_time':4.03237, 'hit_distance':4.805956 
'global_time':4.055837, 'hit_distance':4.770635 
'global_time':4.076846, 'hit_distance':4.736 
'global_time':4.100241, 'hit_distance':4.702223 
'global_time':4.121287, 'hit_distance':4.669946 
'global_time':4.145015, 'hit_distance':4.639275 
'global_time':4.166221, 'hit_distance':4.610091 
'global_time':4.19025, 'hit_distance':4.582463 
'global_time':4.211613, 'hit_distance':4.556117 
'global_time':4.233996, 'hit_distance':4.531283 
'global_time':4.255163, 'hit_distance':4.507886 
'global_time':4.278637, 'hit_distance':4.486061 
'global_time':4.299672, 'hit_distance':4.46588 
'global_time':4.323571, 'hit_distance':4.511713 
'global_time':8.174055, 'hit_distance':3.878877 
'global_time':8.197049, 'hit_distance':3.853775 
'global_time':8.219979, 'hit_distance':3.831267 
'global_time':8.241373, 'hit_distance':3.812587 
'global_time':8.26499, 'hit_distance':3.798608 
'global_time':8.286401, 'hit_distance':3.789802 
'global_time':8.310932, 'hit_distance':3.783832 
'global_time':8.331856, 'hit_distance':3.779171 
